42:16:001:1	Laraa K'ąąhtii Niinjigwaazhii
42:16:013:0	“ Ch'itsyaa nilii ąįį duuyeh ch'ats'ą' k'eegwaadhat nilii neekwaii nąįį eetr'agwah'in . Ch'ihłak itr'ihee'ee ts'ą' ch'ihłak chan eet'ihęęnghyaa . Ch'ihłak ts'ą' heezyaa ts'ą' ch'ihłak chan ts'ą' iiheezųų . Duuyeh Vit'eegwijyąhchy'aa chan ts'ą' laraa haa nihłaa k'eegwaadhat an'įį . ”
42:16:014:0	Pharisee nąįį ąįį kwaii tthak gwigiitth'ak ts'ą' Jesus eegeedlaa , laraa gihił'ee geh'an .
42:16:015:0	Jesus t'agoovahnyąą , “ Nakhwan ąįįt'ee dinjii nąįį andah nizįį adoo'įį , gaa Vit'eegwijyąhchy'aa nakhwadrii zhit nats'ąą ninjich'ǫhthat nakhwaandaii . Dzaa nankat jidii ch'andaa t'aroonyąą ąįį Vit'eegwijyąhchy'aa vandee ts'ą' giilį' k'it t'inchy'aa .
42:16:016:0	“ John chųų gwats'an ąhtsii geech'oohąąhchyaa gwats'ą' t'ee Moses va-law chan ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį haa geech'agwąąhtan . Izhit dąį' gwats'an juk tth'aii hee K'eegwaadhat Veegwinii'ee eenjit geech'oorahtan zhit gwiindhat . Juu nąįį tthak nihdeech'itsigahthat k'it t'igii'in , ts'ą' nihdeega'oo .
42:16:017:0	Jii nan chan ts'ą' zheekat haa haajyaa nahaadhal ąįį gogwantrii kwaa gaa zhit Moses va-law zhit ch'andaa t'agwahtsal ąįį oo'an tr'ahaahthal ąįį gogwantrii .
42:16:003:1	Dinjii Gwintsii Veegoo'aii , Lazarus haa
42:16:018:0	“ Juu dinjii da'at akhoonyąą ts'ą' ch'izhii tr'injaa noonjik ąįįt'ee adultery t'iizhik ąįįts'ą' juu tr'injaa dakai' akhoonyąą ąįį ch'izhii dinjii neeyuunjik ąįįt'ee adultery t'iizhik . ”
42:16:019:0	“ Ch'ihłan dinjii gwintsii veegoo'aii zheh gwachoo gwizhit gwich'įį . Khit chan gwach'aa daatł'oo naazhii ts'ą' , jidii iindhan datthak chan di'įį .
42:16:020:0	Dinjii neeshraahchy'aa valaraa kwaa , Lazarus oaazhii , chan ąįį dinjii gwintsii veegoo'aii vizheh geeghaih tthałkhyųų k'at'aanhchįį .
42:16:021:0	Ąįį dinjii chan vakat datthak łit gwanlii . Ąįį dinjii gwintsii veegoo'aii shih tsal chiyahahthal ji' , gaa hih'aa niindhan . Łąįį nąįį gaa giikat łit aht'ok , tr'iits'ahts'ą' t'agoovilii vat'aii kwaa geh'an .
42:16:022:0	Niighyuk gwahaadhat kwaa ts'ą' ąįį dinjii neeshraahchy'aa niindhat . Ąįįtł'ęę zheekat gwich'in nąįį giizhin oonjik . Zheekat Abraham drihtsįį dhidii ts'ą' vaashroonchy'aa . Ąįįtł'ęę ąįį dinjii gwintsii veegoo'aii chan niindhat .
42:16:023:0	Giinąąhjik ts'ą' vizhin khit geenjit heek'an gwats'ą' haazhii . Izhit łyaa khaiinjich'iidhat . Izhit gwats'an niighit gwąąh'in , akhai' Abraham , Lazarus yit'aahchįį gwąąh'in .
42:16:024:0	Ąįįts'ą' yats'ą' khashraa'iintrat , ‘Shiti' Abraham , neeshraahchy'aa shǫįįnyąą . Jii kǫ' zhit łyaa khaiinjich'ashadhat . Lazarus chųų zhit danleetth'ak tee heetthal ts'ą' shikyaa kat giiyeheetthal ts'ą' neehinishik'į' geenjit . ’
42:16:025:0	Abraham ąįįts'ą' jyaa yahnyąą , ‘Shidinji' , gwiindaii dąį' jidii datthak chan ini'įį ts'ą' chan gwinzii gwiindaii gwizhik Lazarus ąįį gii'įį kwaa . Izhit geh'an , juk shaa dhidii ts'ą' vaashroonchy'aa t'iinchy'aa , gwizhik nan ąįį khaiinjich'inadhat .
42:16:026:0	Gwizhit chan diitł'an oozhak niighit diiteetak goo'aii t'oonchy'aa . Izhit geh'an , juu gwats'an izhit gwats'ą' hoihshi' yiindhan ji' , gaa duuyeh . Ąįįts'ą' chan izhit gwats'an dzaa gwats'ą' hoihshi' yiindhan ji' , gaa duuyeh t'oonchy'aa . ’
42:16:027-028:0	Dinjii gwintsii veegoo'aii yats'ą' khaneegeedi' , ‘Ąįį ji' shiti' , shachaa ch'ihłoanli' gwanlii shiti' vizheh gwigwich'įį . Izhit gwats'ą' Lazarus goots'ą' nanąąhchįį goots'ą' giheehkhyaa ts'ą' shik'it dzaa gwats'ą' giheedaa ts'ą' khaiinjich'igiheedhat kwaa eenjit . ’
42:16:029:0	Abraham t'iiyahnyąą , ‘Nachaa nąįį Dęhtły'aa Choh zhit Moses ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį k'injigooghit jaghaii ? Akwaa ji' , it'ee K'eegwaadhat nats'ahts'ą' dinjii gooli' goovahnyąą gaageheendaii . ’
42:16:030:0	Zhat dinjii gwintsii veegoo'aii t'iiyahnyąą , ‘Shiti' , Abraham , ąįį gaa tth'aii hee gwintsal , ts'ą' dinjii ch'ihłee niindhat khakee'ąįį ji' , ts'ą' shachaa nąįį ts'ą' haazhii ji' , it'ee datr'agwaanduu akhagooheenjyaa . ’
42:16:031:0	Akhai' Abraham t'iiyahnyąą , ‘Dęhtły'aa Choh zhit gwadanakhwatł'oo k'injigiighit kwaa ji' , jaghaii dinjii niindhat gwats'an khakihee'aa k'injigiheedhaa ? ’ ”
