42:10:001:1	Jesus , Dinjii 72 Nąįį Hił'e'
42:10:011:0	‘Jii nakhwakwaiik'it gwiłuu' gaa diikwai' kat gwats'an nakhwats'į' ach'arahjii . Gaa jii ganoondaii , Vit'eegwijyąhchy'aa Veegwinii'ee nahgwan nakhweenjit dha'aii ! ’
42:10:012:0	Ch'aroahkat Drin ji' Vit'eegwijyąhchy'aa jii nakhwakwaiik'it andaa ts'ą' Sodom ąįį neeshraahchy'aa heenghyaa googwahaahchy'aa .
42:10:013:0	“ Bethsaida kwaiik'it chan ts'ą' Chorazin kwaiik'it gwachoo haa , nakhwadiveegweheezųų t'oonchy'aa ! Vit'eegwijyąhchy'aa vat'aii zhit tr'agwał'ya' datthak gwąąh'ya' ts'ą' Tyre chan ts'ą' , Sidon , kwaiik'it haa chan googwąąh'ya' ji' niighit dąį' hee datr'agogwaanduu akhagagooheenjyaa goovaagweheendaii eenjit ohtsuu dhah ( sackcloth ) gwach'aa nagahaazhyaa ts'ą' dagakat kikluu t'igiheelyaa !
42:10:014:0	Ch'aroahkat Drin nigwiindhat ji' , Vit'eegwijyąhchy'aa nandaa ts'ą' Tyre , Sodom haa neeshraahchy'aa ooheenjyaa googwahaahchy'aa .
42:10:015:0	Capernaum kwaiik'it , zheekat gwats'ą' hoihshi' nohthan ? Hell oozhak gwit'eh gwakwaa gwats'ą' t'anakhwarahahthal t'oonchy'aa ! Jesus gwahkwaa ni'in vaiinyąą ch'adąį' hee nigii niindhat t'oonchy'aa . ”
42:10:002:1	Jesus , Vitsyaa 72 Nąįį Veek'ineedal
42:10:016:0	Jesus ditsyaa nąįį jyaa ahnyąą , “ Juu nakhoołk'įį , ąįįt'ee shoołk'įį . Juu akhanoonyąą , t'ee shįį chan akhashoonyąą . Juu akhashoonyąą , t'ee juu dzaa gwats'ą' shihił'e' chan akhoonyąą t'oonchy'aa . ”
42:10:017:0	Vitsyaa 72 nąįį shoo haa k'ineegiidal . “ Shik'eegwaadhat , Noozhri' zhit ch'anky'aa iizųų nąįį gaa diik'eegogwahthat ! ” ginyąą .
42:10:018:0	Jesus t'agoovahnyąą , “ Satan nahtan kǫ' haadhak ( lightning ) k'it shandah zheekat gwats'an neet'aanąįį nał'ya' .
42:10:019:0	Ch'oodǫǫhk'įį ! T'aih nitsii nakhwantł'eiin'ąįį , ąįį haa gyųų choh akwat Scorpion gwideedrii ha'al kwaii kat k'eekhwadal eenjit . Ąįįts'ą' ch'anky'aa iizųų vat'aii andaa t'aih khwa'yaa ts'ą' duuyeh k'eegwiichy'aa t'ohjii .
42:10:003:1	Jesus , Vit'eegwijyąhchy'aa Deehiił'ee
42:10:020:0	Gaa ch'anky'aa iizųų nąįį nakhwak'eegwahthat eenjit shoo ǫhłį' shrǫ' ! Yeedak zheekat nakhoozhri' danahootł'oo geenjit shoo ǫhłįį . ”
42:10:021:0	Izhit zhat dąį' Jesus Ch'anky'aa Shroodiinyąą haa vizhit shoh dha'aii ts'ą' jyaa nyąą , “ Shiti' , nankat , zheekat haa datthak gwats'ą' K'eegwaadhat . Ąįį jidii goonzhįį nąįį ts'į' nagwąą'įį ąįį kwaii gaandaii kwaa nąįį ts'ą' gwizhrįh nigwiin'ąįį geenjit mahsį' noihnyąą . Aahą' , Shiti' , jyąhts'ą' gwik'it gooli' niindhan chy'aa gwik'it t'inizhik .
42:10:022:0	“ Shiti' , jii kwaii tthak shintł'eegwinlii . Ch'ihłak gaa juu Gwidinji' t'arahnyąą gaandaii kwaa , Gwiti' zhrįh gaandaii . Ąįįts'ą' chan ch'ihłak gaa juu Gwiti' t'arahnyąą gaandaii kwaa , Gwidinji' zhrįh gaandaii . Ąįįts'ą' chan juu Gwidinji' Gwiti' eenjit gǫąąhtan nąįį zhrįh Gwiti' haaheendaii . ”
42:10:023:0	Ąįįtł'ęę Jesus neediil'ee ts'ą' ditsyaa nąįį zhrįh t'ahnyąą “ Jii datthak gǫǫh'ya' geenjit shoo ǫhłįį .
42:10:004:1	Samaria Gwich'in Ch'ihłak Veeshroonchy'aa , Ąįį Vagwandak
42:10:024:0	Vit'eegwijyąhchy'aa Eenjit Ginkhii chan ts'ą' King lęįį nąįį haa datthak jii jidii gǫǫh'ya' datthak gwarǫh'ya' ts'ą' garoothh'ak giindhan gaa khyų' t'igee'ya' . ”
42:10:025:0	Law eech'ǫąąhtan nąįį ch'ihłak ndak needhihkhin ts'ą' Jesus tsinteehąąhkaii gwik'eegwandaii . “ Geech'ǫąąhtan , gwandaii ndaanąą'ąį' kwaa shi'yaa eenjit deeshi'yaa goo'aii ? ” jyaa yahnyąą .
42:10:026:0	Jesus t'iiyahnyąą , “ Dęhtły'aa Choh zhit Law kat deegwinyąą gǫ' ? Nik'ee deenyąą t'inyąą vaanandaii ? ”
42:10:027:0	Ąįį dinjii t'iiyahnyąą , “ K'eegwaadhat Nivit'eegwijyąhchy'aa nidrii datthak haa veet'ihiinghyaa goo'aii , akwat nakhweegoo'aii ąįįts'ą' nakhwayinji' datthak ts'ą' nakhwat'aii datthak haa chan . Ąįįts'ą' chan deegwahtł'oo ideet'iindhan googwahtł'oo chan dinjii nineh'ok gwich'įį nąįį datthak eet'ihiinghyaa goo'aii . ”
42:10:028:0	Jesus t'iiyahnyąą , “ Jii deiinyą' datthak łi'didlii haa ginkhe' , akwat gwik'it t'ini'in . Ąįį ji' t'ee gwandaii ndaanąą'ąį' kwaa hini'yaa . ”
42:10:029:0	Gaa ąįį Law eech'ǫąąhtan ąįį łyaa łi'didlii adoodiinyąą ts'ą' Jesus oahkat , “ Ąįį Gwidinji' , ąįį juu t'inchy'aa ? ”
42:10:030:0	Jesus t'iiyahnyąą , “ Ch'ihłan dinjii Jerusalem gwats'an ootthan Jericho kwaiik'it gwachoo gwits'eehaa . Gwiizhit ch'an'įį nąįį giiyąąhkhwąį' ts'ą' giigwach'aa chan ts'ą' jidii di'įį datthak giits'an oonjik . Khaiinjii giiyuułkhwąįį ts'ą' akhagiiyuunyąą .
42:10:031:0	Gwiizhit ginkhii zhat gwa'an k'ii'an ahaa . Yąąh'in , gaa zhyaa yeh'ok hee yehgoo dhizhii .
42:10:032:0	Izhit gwik'it Levite gwiginkhii chan yeeniinzhii ts'ą' yąąh'in , tł'ęę yehgoo dhizhii .
42:10:033:0	Gaa Samaria gwich'in ch'ihłak yak'adeedhizhii ts'ą' niyiił'in dąį' , didrii zhit yeenjit tr'igwidii .
42:10:034:0	Yats'ą' haazhii ts'ą' yakat datthak Olive-ghwai' , jak chų' haa dadhanjaa , tł'ęę yakat dich'iłchaa . Dilik choh kat deeyiłchįį ts'ą' gwirich'įį zheh nihdeeyąąhchįį . Izhit hee yik'eełtii .
42:10:035:0	Ąįįtł'ęę gęhdaa drin ąįį juu zhat vizheh gwanlii ąįį laraa ghoo neekwaii yeenjit intł'eiin'ąįį ts'ą' t'iiyahnyąą , ‘Vak'ąąhtii . Dzaa gweekyaa neihdyaa ji' , jidii laraa vats'ą' an dhąhtsąįį datthak geenjit nineegoohihkwat , ’ ąįį vizheh gwanlii ahnyąą .
42:10:036:0	“ Jii dinjii khaiinjii tr'oołkhwąįį ąįį jii dinjii tik nąįį tee gwats'an juu shrit vinee'ok gwich'įį k'it t'ii'in ? ”
42:10:005:1	Jesus , Martha chan ts'ą' Mary haa Gwinch'į'
42:10:037:0	Law eech'ǫąąhtan t'inyąą , “ Ąįį juu yats'ą' nizįį ts'ą' yats'ą' tr'iinjik reh . ” Jesus t'iiyahnyąą , “ Nan chan oo'an neehindii ts'ą' gwik'it t'ini'in . ”
42:10:038:0	Jesus ditsyaa nąįį haa izhit gwats'an tr'ineegiijil ts'ą' ch'adanh kwaiik'it k'eegiidal . Izhit tr'injaa , Martha oaazhii , “ Ąįį shizheh gwinch'įį , ” yahnyąą .
42:10:039:0	Vijuu , Mary oaazhii , ąįį yakwai' eeghaii dhidii ts'ą' geech'ǫąąhtan yuułk'įį .
42:10:040:0	Martha ąįį tr'ihkhit vigwitr'it gwanlii , eenjit vik'įį goodlit ts'ą' Jesus ts'ą' niinzhii ts'ą' jyaa nyąą , “ Shik'eegwaadhat , shigwitr'it gwanlii , gwiizhit shijuu zhyaa shits'inyąą kwaa , gwąąh'in ? ‘Shits'iinyąą , ’ vaiinyąą ! ”
42:10:041:0	Diik'eegwaadhat jyaa diyahnyąą , “ Martha , Martha ! Gwinlęįį t'ini'yaa goo'aii , eenjit nik'įį goodlit .
42:10:042:0	Gaa ch'ihłak zhrįh t'eegwaahchy'aa . Mary shoołk'įį , ąįį gwinzii t'ii'in ts'ą' adan vats'an t'oonchy'aa , ąįį duuyeh vihłeegwaraha'ąįį . ”
