42:2:001:1	Jesus Vagoodlit Dąį'
42:2:025:0	Zhat dąį' Jerusalem gwizhit dinjii ch'ihłak voozhri' Simeon oaazhii , zhat gwich'įį . Łyaa dinjii nizįį nilii ts'ą' chan gweedhaa datthak Vit'eegwijyąhchy'aa yihil'ee . Israel gwich'in nąįį ts'ą' neeheezhii eenjit nagwal'in . Ąįįts'ą' Ch'anky'aa Shroodiinyąą yaa nilii .
42:2:026:0	Ąįįts'ą' chan Ch'anky'aa Shroodiinyąą , Diik'eegwaadhat Christ hąąh'yaa gwats'ą' niheedhaa kwaa yeenjit gwiłtsąįį .
42:2:027:0	Simeon Ch'anky'aa Shroodiinyąą yaa nilii haa Kharigidiinjii Zhee Gwachoo gwizhit nihdeeyąąhchįį . Viyehghan nąįį digigii tr'iinin Jesus k'iindak gwintł'eegahahchyaa goo'aii , t'ee jyąhts'ą' K'eegwaadhat va-law zhit geenjit goo'aii , ąįį jyaa dagahaalik eenjit nihdeegiiyąąhchįį dąį' ,
42:2:028:0	Simeon dantł'ee deeyiłchįį ts'ą' Vit'eegwijyąhchy'aa deehiił'ee ts'ą' jii jyaanyąą ,
42:2:029:0	“ Shik'eegwaadhat , it'ee khit deeshi'yaa diinyą' chy'aa khit gwik'it t'iinchy'aa , ąįįts'ą' juk jii nitsyaa tsinehdan gwizhit niheedhaa eenjit gwantł'ahchįį .
42:2:030:0	Łi'haa shandee haa dinjii neeheezhii gwąhtsii naał'in .
42:2:031:0	Ąįįt'ee dinjii nąįį datthak gwahąąh'yaa eenjit .
42:2:032:0	Neeheezhii khwa'įį t'ee ch'ahdrii ąįį Israel gwich'in nilii kwaa nąįį k'ąą ch'ahahdriits'ą' Israel gwich'in nąįį veh'an gwihil'ee gweheelyaa . ”
42:2:033:0	Nijin Simeon ąįį tr'iinin eenjit jyaa diinyą' dąį' ąįį viyehghan nąįį geenjit deegiheenjyaa gaa gaagiindaii kwaa .
42:2:034:0	Simeon ąįį Vit'eegwijyąhchy'aa gook'aa nahaandal ts'ą' , goovaa heelyaa eenjit oahkat ąįįtł'ęę yahan Mary ąįį t'ahnyąą . “ Jii tr'iinin K'eegwaadhat gwitee tr'iiyąąhchįį , ąįįt'ee Israel gwich'in lęįį nąįį ndak gahahchyaa ts'ą' chan lęįį nąįį chan zhak gahahchyaa .
42:2:035:0	K'eegwaadhat goots'ą' yihił'e' , ąįį eenjit lęįį nąįį giinehts'į' giheehkhyaa jyąhts'ą' t'ee nats'ąą niinjich'agadhat gwigweheechy'aa . Ąįįts'ą' tr'igwindii akwat khaiinjich'inadhat t'ee shrii haa nidrii tr'it'ii haa nihk'it t'igweheechy'aa . ”
42:2:036:0	Izhit zhat dąį' Asher Gwich'in , Phanuel oaazhii , ąįį vichi' tr'injaa Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii ąįį Anna oaazhii . Shyaaghan nilii , ts'ą' 7 years gwizhrįh veerindi' .
42:2:037:0	Ąįįts'ą' ąįį gwats'an chan 84 years neeroonjii kwaa . Khit Kharigidiinjii Zhee Gwachoo gihłeehahkhaii kwaa , drin , tǫǫ haa zhat ninidik ts'ą' K'eegwaadhat ts'ą' nikiigwąh'ee . Jyąhts'ą' t'ee geetee hee ch'ihłee adach'aa'aa kwaa ts'ą' , chan khadigiinjii ts'ą' gwizhrįh .
42:2:038:0	Izhit zhat Anna nihdeiinzhii ts'ą' Vit'eegwijyąhchy'aa ts'ą' mahsį' nyąą ts'ą' khadigiinjii . Ąįįts'ą' K'eegwaadhat Jerusalem gwats'ą' tr'iheendal eenjit nagwal'in nąįį eenjit ts'ą' ąįį tr'iinin eeginkhii .
42:2:039:0	Nijin K'eegwaadhat va-law deenyąą gwik'it t'iizhik dąį' tł'ęę Galilee nahkat dagakwaiik'it Nazareth gwits'eegahoo'oo .
42:2:005:1	Kharigidiinjii Zhee Gwachoo gwizhit , Jesus Tr'iinin Nilii Dąį'
42:2:040:0	Jii tr'iinin dink'indhat ts'ą' chan nint'aii , gwiizhit vigwizhi' chan gwanlii , Vit'eegwijyąhchy'aa vich'eegoonzhrii vaa nilii .
42:2:041:0	Shreenyaa zhat neegwiidhak hee Jesus viyehghan nąįį Jerusalem , Passover googwahahtsyaa eenjit , gwits'eegihiidal .
42:2:042:0	Ch'ihłan Jesus tr'iinin vaghaii ch'ihłoaatin ts'ą' neekwaii nilii dąį' chan izhit nagaajil .
42:2:043:0	Ąįį Passover shriit'agwahkhyuk gwahaadhat ąįįtł'ęę t'ee Mary , Joseph haa Nazareth gwits'eegahoo'oo gaa Jesus ąįį Jerusalem dhidii . Viyehghan nąįį izhit dhidii giiyaandaii kwaa .
42:2:044:0	Juu nąįį haa geedaa , haa dhidii giiyuunyąą ts'ą' drin datthak giinjil ąįįtł'ęę dagalak ts'ą' vijyaa nąįį tee neegogwąą'in
42:2:045:0	akhai' hiljii . Ts'ą' t'ee giiyinkeegwahaah'yaa eenjit Jerusalem gwits'eegahoo'oo .
42:2:046:0	Drin tik gwiindhat ąįįtł'ęę Kharigidiinjii Zhee Gwachoo gwizhit , Dęhtły'aa Choh Gǫąąhtan nąįį haa dhidii ts'ą' gwinzii goovołk'įį gwizhit goovahkat , giineegwah'ąįį .
42:2:047:0	Ąįį yuułk'įį nąįį gwintł'oo ch'iitth'ak ts'ą' gwinzii gwidii ginkhii eenjit łyaa goovandaa t'igwinyąą .
42:2:048:0	Viyehghan nąįį nijin Dęhtły'aa Choh Gǫąąhtan nąįį haa giiyąh'in dąį' łyaa geegagoolii kwaa goots'an goodlit . Vahan t'iiyahnyąą , “ Shizhuu , deeni'in t'ini'in ? Niti' haa khyų' nankarantii dąį' łyaa tsineeroolii . ”
42:2:049:0	Akhai' t'agoovahnyąą , “ Jaghaii shinkeegoh'in ? Shiti' vizheh hihdyaa gaakhwandaii shrǫǫ nihthan ? ”
42:2:050:0	Gaa deenyąą t'inyąą giiyaandaii kwaa .
42:2:051:0	Jesus ts'ą' goovaa Nazareth gwits'eehoozhii ts'ą' izhit gook'eegwiłthat . Vahan , Jesus dee'ya' ts'ą' deiinyą' datthak didrii zhit gwił'ąįį .
42:2:052:0	Jesus dink'indhat ts'ą' gwandaa goonzhįį dhidlit . ąįįts'ą' t'ee Jesus Vit'eegwijyąhchy'aa ts'ą' dinjii nąįį haa łyaa shoo ąhtsii .
