42:14:001:1	Jesus éí diné bitah nahonichaadii néidiisá
42:14:012:0	Diné ho'níłnii'ígíí ałdó' ábizhdííniid, Ałní'ní'ą́ągo adánígíí áníléehgo, doodaii' i'íí'ą́ągo áda'íínísįįdgo t'ááká nik'is danilíinii, doodaii' bił háíníjéé', doodaii' nik'éí danilíinii, doodaii' bił kéédahót'íinii da'at'ínígíí bida'óółnííh yíila', háálá ákónít'į́įgo k'éédandidoodlííł, índa ná nináda'doodlééł. 
42:14:013:0	Nidi áda'íínísįįdgo, badahojoobá'íígíí áádóó bąąh dah nidahaz'ánígíí áádóó nida'niłhodígíí índa doo da'oo'íinii bida'dííłnih, 
42:14:003:1	Ayóó át'é áda'azįįdii binahjį' hane' bee ak'idi'dootį́įłii
42:14:014:0	áko nik'ihojidlíi dooleeł, háálá éí t'áadoo yee k'éédadó'ne'í da. Ts'ídá t'áá ákogi ádaaníiłii náábi'diiljée'di índa k'ééndi'doolnííł. 
42:14:015:0	Bił da'jiyánígíí ła' díí yidiizts'ą́ą'go áháłní, Diyin God bee bóhólníihgo bił haz'ą́ądi bááh jidooyį́łígíí házhánee'! 
42:14:016:0	Nidi ábizhdííniid, Diné léi' ła', łah ayóó át'éego áda'íísįįdgo lą'í yida'asnii'. 
42:14:017:0	Áko baa hoolzhiizhgo bá naal'a'í ayííł'a'go, bida'asnii'ígíí áyidííniid, Hágo, háálá t'áá ałtsoní k'ad bee hasht'ehodiidzaa. 
42:14:018:0	Nít'éé' t'áá ałtso t'áadoo ła' doodaí ak'í'áhodi'ááh yaa nídiikai. Átséhígíí áhodííniid, Shí dá'ák'eh naháłnii', áko t'áá ákónéehee ákǫ́ǫ́ deesháałgo dínéesh'įįł; baa nánooshkąąh, sha'di'ní'aah. 
42:14:019:0	Náánáła' ánáádoo'niid, Shí éí béégashii ashdla' oołbąs bíighahgo naháłnii', áko bídadínéeshtahgóó deeshááł; baa nánooshkąąh, sha'di'ní'aah. 
42:14:020:0	Áádóó náánáła' ánáádoo'niid, Shí éí asdzání bił ahaa nisht'áázh, éí bąą doo ákǫ́ǫ́ dósha' át'ée da. 
42:14:021:0	Naal'a'í nádzáago binanit'a'í yił hoolne'. Kin bee bóhólníihii báhóóchįįdgo bá naal'a'ígíí áyidííniid, Tsxį́įłgo kin haal'á bitah da'nítiingóó índa áłts'óózígo hadahodiyiit'i'góó dínááh, áko badahojoobá'íígíí áádóó bąąh dah nidahaz'ánígíí áádóó nida'niłhodii índa doo da'oo'íinii nihidíí'ish. 
42:14:022:0	Naal'a'í ádííniid, Shinanit'a'í, bee háínídzí'ígíí ła'yidzaa, ákondi t'ah haz'ą́. 
42:14:023:0	Naat'áanii éí naal'a'í ánéidoo'niid, Nílááh, da'nítiingóó índa dahonághangóó dínáahgo, áádę́ę́' diné naastee'ígíí nidi yah ahí'éésh, áko shikin bii' hadi'doobį́į́ł. 
42:14:004:1	Ídahooł'aahgo bą́ą́h adooleełii
42:14:024:0	Diné átséédą́ą́' hoda'asnii'ii áda'íísįįdígíí doo ła' dazhdoolįh da, nihidishníigo ádíshní. 
42:14:025:0	Áko jideeyáágóó diné t'óó ahayóí hoł dah diikai, áádóó Jesus nídzízyizgo diné ábizhdííniid, 
42:14:026:0	Diné t'áá háiida shaazhníyáago hazhé'é, hamáda, hwe'asdzą́ąda, ha'áłchínída, bił hajííjée'da, hak'isóó áádóó halahkéida, índa t'áá hó jiinánígíí nidi doo jijoołáágóogo, éí doo shíhooł'aahii jóle' át'ée da. 
42:14:027:0	T'áá háiida doo hatsin ałnáoszid jootį́į́łgóó, áádóó doo shikéé' joogááłgóó, éí doo shíhooł'aahii jóle' át'ée da. 
42:14:028:0	Háálá háishą' nihitahdóó dego nízaadgóó astł'ingo ya'ii'áago ádeeshłííł niizį́'ígíí, da' doósh áłtsé dínóodaałgo bą́ą́h adooleełígíí yíídóołtah da, ałtso ályaajį' daats'í bíighah nízingo? 
42:14:029:0	Éí doodago, kin biyaadę́ę́' haastł'inígíí hajíítł'ingo ch'ééh ájííł'įįdgo, dahoníł'ínígíí t'áá ałtso há nidahałt'i'go 
42:14:030:0	ádaaníi doo, Díí diné i'niitł'in nít'éé' ałtso íidoolíiłjį' doo yínéés'ąąd da. 
42:14:031:0	Doodaii' háí aláahgo naat'áanii shį́įshą', náánáła' aláahgo naat'áanii yich'į' anaa' ííléehgo, da' doósh áłtsé dínóodaał da, áádóó yaa nitsídookos da, naadiindi mííl siláo yee shich'į' hideeskaígíí neeznáadi mííl bee bidááh deeshbahgo daats'í bíighah nízingo? 
42:14:032:0	Doodago, t'ah nízaadę́ę́' yinéełgo, diné dzisnilii k'é náhodoodleeł jiníigo bich'į' jidooł'aał. 
42:14:005:1	Áshįįh doo halniih da silį́'ígíí
42:14:033:0	Áko t'áá háiida nihitahdóó t'áá ha'át'íhída bee hólóonii doo yóó'iidi'aahígíí, éí shíhooł'aahii doo jóle' át'ée da. 
42:14:034:0	Áshįįh éí yá'át'ééh, nidi áshįįh doo halniih da silį́į'goshą', ha'át'éego halniih áńdoolnííł? 
42:14:035:0	Ákót'įįhgo dá'ák'eh biniyé da'alį́į́' bichaan deesk'idii bitah doojih nidi, t'áadoo yee choo'íní da, áko éí diné t'óó yóó'iiłka'. T'áá hajaa' hólǫ́ǫgo azdiits'a'ígíí, háni' ajíists'ą́ą́'.
