42:6:001:1	Jesus bídahooł'aahii háá'áyį́į́h jį́į́ góne' tł'oh naadą́ą́' deinizh
42:6:010:0	Áádóó t'áá ałtso bitah dzideezghalgo diné bíla' bąąh dahaz'ánígíí ábizhdííniid, K'ídílchííd. Áko ákódziidzaago hála' bąąh dahaz'áanii hadaałt'é násdlį́į́'. 
42:6:003:1	Jesus éí naakits'áadahígíí náyiizláá'
42:6:011:0	Nidi t'áá íiyisí bádahazhchįįdgo Jesus atídeidoolíiłgo yaa nídaast'įįd. 
42:6:012:0	Ákwe'é yoołkááł yę́ędą́ą́' sozdidoolzįįł biniyé dayílk'idgóó ajííyá, áko tł'éé' bíighah Diyin God bich'į' sozdilzin. 
42:6:013:0	Hoos'įįdgo hódahooł'aahii hágo bizhdííniid, áko bitahdóó naakits'áadah yilt'éego nídziizláá', éí ałdó' daal'aadii bee jíízhi'; 
42:6:014:0	Sáíman, (náánáła' yízhí yee hóózhi'go Peter yinílyée doo, hodííniid) índa yił háá'áázh Andrew índa James áádóó John áádóó Philip áádóó Barthálemew 
42:6:015:0	áádóó Matthew áádóó Thomas áádóó James éí Alfíyas biye' áádóó Sáíman éí Zélat yolyéhígíí, 
42:6:004:1	Hasłą́ągi Jesus na'neeztą́ą́'
42:6:016:0	Júdas éí James biye' índa Júdas Iskáriyat, éí nináhodidoo'áłígíí. 
42:6:017:0	Áádóó bił bidáájookaigo k'íhoneezláagi dziizį', hódahooł'aahii t'óó ahayóí bił, áádóó diné t'óó ahayóí Judíyadę́ę́' t'áá át'é índa Jerúsalemdę́ę́' áádóó Táir índa Sáídan tónteel bibąąhdę́ę́', éí dahodidoots'į́į́ł áádóó naałniihii bits'ąą náádabidi'dooljah biniyé neheeskai, 
42:6:018:0	áko níłch'i danchxǫ́'íii yik'ee ti'dahooníhígíí nááhizhdiiłjéé'. 
42:6:005:1	Ak'ihojidlí índa doo hojooba' áhá'níinii
42:6:019:0	Áádóó diné t'áá yíl'áá nít'éé' hodadidiilchił ch'ééh daniizį́į́', háálá hats'ą́ą́dóó adziil hólónígíí bee t'áá ałtso hadaałt'é áńdajiidlaa. 
42:6:020:0	Áádóó hódahooł'aahii bich'į' hajííghalgo ázhdííniid:Nihadahojoobá'íígíí nihik'idahojidlí, háálá Diyin God bee bóhólníihgo bił haz'áanii éí danihíí'. 
42:6:021:0	K'ad dichin danohłínígíí nihik'idahojidlí, háálá hwiih dadoohłeeł. K'ad daahchaígíí nihik'idahojidlí, háálá anídaahdloh dooleeł. 
42:6:022:0	Diné Silį́į'ii biniinaa diné nihik'ee dadiniihgo, áádóó t'áá sahdii nidanihinilgo áádóó danihódziihgo, índa danihízhi' baa'ihgo yaa yádaałti'go nihik'idahojidlí! 
42:6:023:0	Éí beiníłką́ągo nihił dahózhǫ́ǫ le', áádóó ił hózhóonii baa nidaałgeed le', háálá yá'ąąshdi nihaa dahidoolyéełii ayóó ádaat'é éí bąą, háálá nihik'ee dadiniihii dabizhé'é yę́ę Diyin God yá dahalne'ii ákódayííł'įįd.  
42:6:024:0	Nidi da'oht'ínígíí doo hojooba' ájíníi da, háálá nihí t'áá íídą́ą́' at'į́ bee ákidasoohdla'. 
42:6:025:0	K'ad hwiih danohłínígíí doo hojooba' ájíníi da, háálá dichin dadoohłeeł. K'ad daahdlohígíí doo hojooba' ájíníi da, háálá yínííł danohłį́į doo áádóó daahcha dooleeł. 
42:6:006:1	E'ana'í ayóó'ó'ó'ní
42:6:026:0	Diné t'áá ałtso yá'át'éehgo nihaa yádaałti'go doo hojooba' ájíníi da, háálá ákódanihił'íinii dabizhé'é yę́ę t'áá ákót'éego t'óó ádahodil'į́įgo dahalne'ii yaa yádaałti' nít'éé'. 
42:6:027:0	Nidi da'doohts'a'ígíí ádanihidishní, Nihida'ana'í ayóó'ádeínóh'ní, nihik'ee dadiniihígíí bá yá'át'éhígi ádaaht'į́, 
42:6:028:0	danihódziihígíí hózhǫ́ǫgo bá hadahohdziih, t'áá bita'ígi ádanihooł'įįłígíí bá sodadołzin. 
42:6:029:0	Ła'da niniitsį' néidííłts'ingo, łahjígo bee bich'į' dah náádíníít'ááł, áádóó nibeeldléí nighayíltsoozii ni'éé' ałdó' t'áadoo bich'į' baa níchį'í. 
42:6:030:0	Nída'dókeedígíí t'áá ałtso ba'iyínííł, áádóó ninaalye'é nighayii'níiłii t'áadoo bínéíníkeedí. 
42:6:031:0	Áádóó t'áá diné hach'į' ádaaníił le' danohsinígi át'éego, nihí ałdó' t'áá ákót'éego bich'į' ádaahnííł.  
42:6:032:0	Ayóó'ádanihó'nínígíí t'éí ayóó'ádeínóh'níigo, éísh bee nihaa daha'niih doo? Háálá bąąhági ádaaníiłii nidi ayóó'ádabó'níinii ayóó'ádayó'ní. 
42:6:033:0	Áádóó nihich'į' yá'át'éehgo ádaaníiłii bich'į' yá'át'éehgo ádaahníiłgo, éísh bee nihaa daha'niih doo? Háálá bąąhági ádaaníiłii nidi t'áá ákódaat'į́. 
42:6:034:0	Áádóó k'ééshididoodlííł wóh'níinii ba'ayohłéego, éísh bee nihaa daha'niih doo? Bąąhági ádaaníiłii nidi ałhada'ii'nííł, t'áá éigi át'éego k'ééda'ahidil'į́. 
42:6:035:0	Nidi nihida'ana'í ayóó'ádeínóh'ní, áádóó yá'át'éehgo ádaaht'į́, áádóó t'áadoo le'é ada'iyohnííł, t'áadoo k'ééshidi'doolnííł danohsiní, áko yá'ąąshdi nihaa dahidoolyéełii ayóó ádaat'ée dooleeł, áádóó nihí Ts'ídá Aláahgo Át'éii ba'áłchíní danohłį́į dooleeł, háálá éí doo ahééh danízinii índa doo yá'ádaashóonii yaa jooba'. 
42:6:007:1	Aa hwiinít'į́
42:6:036:0	Éí bąągo t'áá nihiTaa' jooba'ígi át'éego dajiinohba'. 
42:6:037:0	T'áadoo aa nídaaht'íní, áko nihí ałdó' doo nihaa nídahódóot'įįł da; t'áadoo át'éégóó t'áadoo diné bá hadahohdziihí, áko nihí ałdó' t'áadoo át'éégóó diné doo nihá hadadoodzih da; bąąhági át'éii ahá yóó'adahidoh'aah, áko nihí ałdó' nihibąąhági át'éii nihá yóó'adahididoot'ááł; 
42:6:038:0	nihił dahadlee', áko nihada'doodił; le'dółt'e'go daneel'ą́ągo áádóó níłk'íbí'nees'nii'go áádóó yaa yisdzidgo índa wó'ąhazhóoshgo bił áłká dasoołzaaz doo. Háálá t'áá ła' bá ída'nóoł'ąąd yę́ęgi ánéelt'e'go nihá ínídadí'nóol'ąął. 
42:6:039:0	Áádóó hane' bee ak'idi'dootį́įłii bee hach'į' hadzoodzíí', Da' doo oo'íiniísh t'áá bí na'ahidlóozgo bíighah? Da' doósh t'áá áłah ą'ádínóodah da? 
42:6:040:0	Íhooł'aahii éí nabinitinii doo yiláahgo át'ée da, nidi ałtso íhooł'ą́ą'go índa nabineeztą́ą'ii t'áá yił aheełt'ée doo. 
42:6:041:0	Áko ha'át'íí biniyé nik'is binák'e'oolts'idígíí níníł'į́, nidi t'áá ni nástáán ninák'ee sitánígíísh doo baa ákonínízin da? 
42:6:008:1	Ajéí bii' daahéełii hahwiileeh baa hane'
42:6:042:0	Éí doodaii' t'áá ni nástáán ninák'ee sitánígíishą' éí doo yíní'į́į́góó, ha'át'éego nik'is ábididííniił, Shik'is, ninák'e'oolts'idígíí ná haash'aah? T'óó áhodíl'íinii, áłtsé nástáán ninák'ee sitánígíí hantįįh, áko índa hazhó'ó ííní'į́įgo nik'is binák'e'oolts'idígíí bá hadíí'ááł. 
42:6:043:0	Tsin yá'át'éehii éí aneest'ą' nichxǫ́'ígíí doo bąąh haleeh da, doodaii' tsin nichxǫ́'ígíí éí aneest'ą' yá'át'éehii doo bąąh haleeh da, 
42:6:044:0	háálá tsin t'áá ałtso bineest'ą' bee béédahózin. Ch'il deeníní fig doo bąąh wóbée da, éí doodago tsin dadeeníinii ch'il na'atł'o'ii doo bąąh wóbée da. 
42:6:009:1	Kin bitł'ááh nástł'in naaki t'áá ał'ąą át'éii
42:6:045:0	Diné yá'át'éehgo hináanii éí bijéí bii' yá'ádaat'éehii hólóonii bits'ą́ą́dę́ę́' yá'át'éehii hahwiileeh, áádóó diné doo yá'áshóonii éí doo yá'ádaat'éehii bijéí bii' hólóonii bits'ą́ą́dę́ę́' doo yá'át'éehii hahwiileeh, háálá t'áá hajéí bii' hólónígíí t'áá éí bee yájíłti' łeh.  
42:6:046:0	Ha'át'íishą' biniyé, Bóhólníihii, Bóhólníihii, dashidohní, nidi ádíshnínígíí doo bida'oł'į́į da? 
42:6:047:0	T'áá háiida shaazhníyáago shizaad jidiizts'ą́ą'go bi'jił'ínígíí, éí bił ahijíłt'éhígíí bee nihił hodeeshnih: 
42:6:048:0	jó, diné éí kin ííléehii níléí wóyahdę́ę́' tsé'éłkáa'gi ha'íítł'inígíí nahojílin, áko tó dááląądgo bízdeesxał, nidi doo hidó'nááł át'ée da, háálá tsé'éłkáa'gi bidziilgo ályaa éí bąą. 
42:6:049:0	Nidi jidiizts'ą́ą'go doo bi'jił'ínígíí éí kin ájíléehgo atł'ááh nástł'inii t'áágééd t'áá łeeshtahdóó kin nizhní'ánígíí nahojílin, áko tó bízdeesxałgo t'áá áko ahiih nááłdááz, áko t'áá íiyisí yóó'i'íídéél.
