42:21:001:1	Asdzání bąąh áhásdįįdii béeso ayíínil
42:21:020:0	Nidi Jerúsalem éí siláo bináshzhiizhgo daołtsą́ągo, ádooldįįłígíí t'áá áyídídę́ę́' hadziihgo nihił béédahodoozįįł. 
42:21:021:0	Áyąądą́ą́' Judíyagi kéédahojit'ínígíí dziłjį' choda'iizhdooł'įįł, áádóó kin hadaas'áagi kéédahojit'ínígíí ch'íhizhdookah, índa binaagóó kéédahojit'ínígíí éí doo ákóne' adahizhdookah da, 
42:21:022:0	háálá bee ak'e'ashchínígíí ałtso bohodoolnííł biniyé díí k'ééhodi'nééh yoołkááł át'ée dooleeł. 
42:21:023:0	Éí beiníłką́ągo dadzooltsánígíí índa awéé' dahałt'o'ígíí doo hasht'é'égóó yínííł biishdínóodah! Háálá nahasdzáán bikáá'góó t'áá íiyisí yínííł łą́ą doo, índa díí dine'é t'óó báhádzidgo atídabidi'doolnííł. 
42:21:005:1	Diné Silį́į'ii nídoodáłígíí
42:21:024:0	Diltłish deeníinii bee bidi'doogą́ą́ł, áádóó ał'ąą dine'é t'áá ałtso bitahgóó yisnááh danilį́įgo adabidi'yoot'ish, áádóó doo Jew dine'é danilíinii bił hoolzhishígíí bíighah azlį́į'jį' doo Jew dine'é danilíinii Jerúsalem yik'i nidookah. 
42:21:025:0	Jį́honaa'éí áádóó tł'éhonaa'éí índa sǫ' bee éédahózingo deidooltsééł, índa nihokáá' dine'é t'áá íiyisí bich'į' nidahwii'náa dooleeł, tónteel índa tó bíígháán náádadiidáhígíí dadiits'a'go biniinaa t'óó hoł dahalą́ą doo. 
42:21:026:0	Yéé' bik'ee índa nahasdzáán bikáa'gi báhádzidii nawólníinii bik'ee háni' áńdaadįįh doo, háálá yá'ąąshdi bee dahółdzilii dadoogał. 
42:21:027:0	Ákohgo índa Diné Silį́į'ii k'os bił yildohgo áádóó bee adziil índa ayóó át'é ats'ádi'nílííd yił yigáałgo deizdoołtsééł. 
42:21:006:1	Fig sikaadii néitsóhígíí binahjį' na'nitin
42:21:028:0	Nidi díigi áhooníiłgo hodeeshzhiizhgo de ádaahnéehgo dego dasídóo'į́į' doo, háálá nihéédahididoochiłígíí k'adę́ę baa hoolzhíish doo. 
42:21:029:0	Hane' bee ak'idi'dootį́įłii ałdó' yee hoł hoolne': Fig sikaadii índa tsin naazkaadii t'áá ałtso danół'į́; 
42:21:030:0	jó, éí nídeitsóohgo danół'į́įgo k'adę́ę ch'ínáshį́įgo nihił béédahózin łeh. 
42:21:031:0	Nihí ałdó' díidíígíí bidahoolníiłgo danół'į́įgo Diyin God bee bóhólníihgo bił haz'áanii t'áá áyídídę́ę́' bił nihoolzhiizhgo nihił béédahodoozįįł. 
42:21:032:0	T'áá aaníígóó ánihidishní, Díí oochíłígíí doo bił yóó'ahodoogáał da, díidí t'áá ałtso ádaadzaago índa. 
42:21:007:1	Ha'ídées'į́į́' bee i'ílnii'
42:21:033:0	Yádiłhił índa nahasdzáán bił yóó'ahodoogááł, nidi shizaad t'éiyá doo bił yóó'ahodoogáał da. 
42:21:034:0	Nidi nihí ádaa ádahołyą́, áko ádił ná'ahanaad áádóó na'adlą' índa díí k'ad iiná bida'diił'áhígíí doo nihijéí bii' daahéeł da doo, áko éí bijį́ doo t'áadoo hooyání bił nihaa hodoolzhish da. 
42:21:035:0	Háálá nahasdzáán bikáá' t'áá át'éé nít'éé' kéédahojit'ínígíí t'áá ádzíłtso łoh á si'ą́ nahalingo haa hodoolzhish. 
42:21:036:0	Éí bąą t'áá áłahjį' hada'ísídół'į́į́' índa sodadołzin, éí danihidziilgo ádanihi'di'doolníiłgo díí ádahodooníłígíí t'áá ałtso bits'ąą dadoohdzih índa Diné Silį́į'ii bidááhdę́ę́' deidoohsįįł biniyé. 
42:21:037:0	Áko t'áá ákwíí jį́ kin bii' sohodizin bił haz'ą́ą́ góne' nazh'nitin, nidi tł'ée'go t'éí ch'ééjídáahgo Dził Álivz hoolyéedi náhwiilkááh. 
42:21:038:0	Áko t'áá ákwíí abíní kin bii' sohodizin bił haz'ą́ą́ góne' diné t'áá ałtso dahwíists'ą́ą́' biniyé haa áłah nádleeh.
