42:5:001:1	Łóó' t'óó ahayóí haadlo'
42:5:011:0	Áko bitsinaa'eeł tábąąhjį' ninádeis'éelgo, t'áá ałtsoní t'áá ákǫ́ǫgo Jesus bikéé' dashdiikai. 
42:5:012:0	Ákódahoodzaago kin haal'áá léi'gi nijigháá nít'éé', łóód ats'íís yiyáanii biiłhéé léi' hadááh níyá; éí Jesus yiyiiłtsą́ągo yiyaajį' nitsidinígo'go náyookąąhgo ání, Bóhólníihii, íinínízin ládą́ą́' nááshididííłááł. 
42:5:013:0	Áko Jesus k'ídeesníi'go hodeelchidgo áháłní, Íinisin lą́ą; łóód nąąh óodįįh. T'áá áko łóód ats'íís yiyáanii naałdzidii hąąh ásdįįd. 
42:5:014:0	Áko áhodííniid, T'ááká diné ła'da bił hóólne' lágo, nidi nílááh dah diináahgo náá'iiłniihii bíni'dii átsé niníł'į́, áádóó nááni'diilzáhígíí bąą nááhániihii Mózes yee nihoní'áanii bik'ehgo náá'ayíłniih, áko éí bee nilóód náádzíi'ii diné bił béédahózin doo. 
42:5:015:0	Nidi t'óó yówehda bee haa hane'ígíí adahideezdláád, áko t'óó ahayóí deididoots'į́į́ł biniyé áádóó bąąh dah nidahaz'ánígíí náádabidi'doodlááł biniyé haa áłah silį́į́'. 
42:5:003:1	Jesus éí diné doo bitah nahwii'náanii néidiisá
42:5:016:0	Nidi bits'ą́ą́' honoojíígóó dashdiiyáago áadi sozdoolzin. 
42:5:017:0	Ákódahoodzaago łah jį́įgo nináázh'nítingo, ákwii Férisii danilíinii índa bee haz'áanii yínda'niłtinii, éí Gáliliidi índa Judíya kéyahdi kin hadaas'áhídę́ę́' t'áá ałtso índa Jerúsalemdę́ę́' neheeskaigo naháaztą́ą́ lá, áádóó Bóhólníihii bibee adziilii bee náázhdi'doołááł biniyé hoł hólǫ́. 
42:5:018:0	Nít'éé' diné léi' bitah doo nahwii'náágóó bik'i antéhí yee hach'į' dayíłtsóós, áko éí yahadooltéełgo hayaajį' nidooltééł danízin, 
42:5:019:0	nít'éé' t'óó ahayóí áłah ílį́įgo biniinaa yah adahozhdoołtééł góne' ch'ééh hadazneeztą́ą'go, kin bighą́ą'jį' hadahodzistį́, áádóó kin bighą́ą́'dę́ę́' ąą dazdeeznilgo haníi'jį' Jesus bidáahjį' bik'i antéhí bee hadah adahodzizlo'. 
42:5:020:0	Áko bida'oodlą' yee aa dadzólíii jiiłtsą́ągo ájíní, Kwá'ásiní, ádił ni'iyínílzí'ígíí ná yóó'adoot'ą́. 
42:5:021:0	Áko bee haz'áanii yínda'niłtinii índa Férisii danilíinii nida'ídí'níiłkidgo ádaaní, Díí Diyin God í'diilyaago hahadziihígíishą' háí át'į́? Háishą' ádił ni'iidzííh á yóó'iidii'aah? Diyin God t'éiyá ni. 
42:5:022:0	Nidi baa nitsídadzikeesígíí Jesus bił bééhoozingo áhodííniid, Ha'át'íishą' biniyé danihijéí bii' t'óó nihił daahaadago nitsídaahkees? 
42:5:023:0	Háidíígíishą' doo nantł'agóó bee ha'doodzih? Ádił ni'iyínílzí'ígíí ná yóó'adoot'ą́, ha'nííjí daats'í, éí doodago, Nídii'néehgo dah diinááh, ha'nííjí daats'í? 
42:5:024:0	Nidi nahasdzáán bikáa'gi Diné Silį́į'ii ádił ni'iidzííh á yóó'iidii'aah yee bóhólníihgo nihił béédahózin doo, jidííniidgo bitah doo nahwii'nánígíí ábizhdííniid, Nídiidááh, nidishní, áádóó bik'i nítéhí nídiiníiłgo nighangóó nídídááh. 
42:5:025:0	T'áá áko hanááł nídii'na'go yik'i sitį́į́ nít'éé' yę́ę néidiinil, áádóó Diyin God yaa haniihgo bighangóó dah nídiidzá. 
42:5:004:1	Jesus éí Líívai, Shikéé' yínááł, yidííniid
42:5:026:0	Áko t'áá ałtso t'óó bił adahayóigo Diyin God yaa dahaznih áádóó t'áá bił daayée'go ádaaní, Díí jį́ doo nihił béédahózin da yę́ę daníil'į́į́'. 
42:5:027:0	Éí ákódahoodzaadóó bik'ijį' ch'ízhníyá, nít'éé' tax nahalyéhígíí yiniyé sidáii Líívai yolyéego, tax nahalyéhígi sidáago jiiłtsą́, áko, Shikéé' yínááł, bizhdííniid. 
42:5:028:0	Áádóó nízhdii'na'go t'áá ałtsoní t'áá ákǫ́ǫgo bikéé' dashdiiyá. 
42:5:029:0	Nít'éé' Líívai t'áá bí bighangi ayóó át'éego Jesus yá áda'íísįįd, áádóó ákwii tax nahalyéhígíí yiniyé naazdáii índa binaadę́ę́' danilíinii t'óó ahayóí yił da'ayą́ągo nidaháaztą́. 
42:5:030:0	Áko Férisii danilíinii índa bee haz'áanii yínda'niłtinii yił łá'í danilíinii éí hódahooł'aahii yaa nídaast'įįdgo ádaaní, Ha'át'éegoshą' tax nahalyéhígíí yiniyé naazdáii índa bąąhági ádaaníiłii bił da'ohsą́? 
42:5:031:0	Áádóó Jesus hach'į' haadzíi'go áhodííniid, Diné doo bąąh dah nidahaz'ánígíí éí azee' ííł'íní doo yich'į' dadikáah da, nidi bąąh nidahaz'ánígíí t'éiyá; 
42:5:005:1	Hodílzingo doo adánígíí bína'ídíkid
42:5:032:0	ts'ídá t'áá ákogi ádaat'éii doo bíká ádideeshniił biniyé níyáa da, nidi bąąhági ádaaníiłii, Łahgo át'éego Diyin God bich'į' tsíńdadohkeesgo nihibąąhági át'éii bits'áhóhkááh, bidideeshniił biniyé níyá. 
42:5:033:0	Áádóó ádahodííniid, John bídahooł'aahii t'áá ahą́ą́h hodílzingo doo adą́ yee ádá nídahool'aah áádóó sonídadilzįįh, Férisii danilíinii bídahooł'aahii ałdó' t'áá ákódaat'į́, nidi ni nídahooł'aahii éí doodį́įłii áádóó doodlį́įłii deiyą́. 
42:5:034:0	Áko Jesus áhodííniid, Iiyehii t'ah yił naakaigo iigehgi neheeskaígíísh dahodísingo doo da'ayą́ą́góó ádadoohłííł? Dooda lą́ą! 
42:5:035:0	Nidi iiyehii hats'ą́ą́' nídidooltéłígíí beidoołkááł, áko éí bijį́įdi índa dahozdísingo doo da'jiyą́ą da doo. 
42:5:036:0	Áádóó hane' bee ak'idi'dootį́įłii ła' yee hoł nááhoolne': Diné ła'da éé' ániidíígíí yiididoozǫ́ǫsgo éé' haastihii doo yineididoo'áał da; ákódziidzaago, éé' ániidíígíí azdoozǫ́ǫ́s, áádóó ániidíígíí bidoodǫ́ǫzii haastihígíí doo bił aheełt'ée da dooleeł. 
42:5:037:0	Áádóó diné ła'da wáin ániidíígíí tó abid hadaastihii doo yiih yikaah da; ákódziidzaago, wáin ániidíígíí tó abid deidoołdohgo t'áá ádzaaí dooleeł, áádóó tó abid ałdó' t'áá ádzaaí dadooleeł. 
42:5:038:0	Nidi wáin ániidíígíí tó abid ádaaniidíígíí biih yikááh [áko t'áá áłah nízaadgóó choo'į́]. 
42:5:039:0	Áádóó diné éí wáin ałk'idą́ą́' ádaalyaaígíí yidlą́ągo, ániidíígíí doo yidínóozįįł da, háálá ání, Wáin ałk'idą́ą́' ádaalyaaíjígo yá'át'ééh.
