42:11:001:1	Jesus sodizin yína'niłtin
42:11:018:0	Séítan ałdó' t'áá bí ák'inéilwodgo, hait'éegoshą' áko bee bóhólníihgo bił haz'áanii dina' dooleeł? Háálá, Béíyalzííbab bee níłch'i bida'iiníziinii ayi'dę́ę́' hahizhniłkaad, dashidohní. 
42:11:019:0	Áko Béíyalzííbab bee níłch'i bida'iiníziinii ayi'dę́ę́' hahinishkaadgo, ákoshą' nidanohtinígíí éí háí bibee adziilii shį́į́ bee ayi'dę́ę́' hadeiniiłkaad? Éí bąą éí t'áá bí nihaa nídadóot'įįł. 
42:11:020:0	Nidi Diyin God bílázhoozh bee níłch'i bida'iiníziinii ayi'dę́ę́' hahinishkaadgo, áko éí bee t'áadoo bahat'aadí Diyin God bee bóhólníihgo bił haz'áanii bił nihaa honíyá. 
42:11:021:0	Diné bidziilii éí yee naabaahii t'áá át'é bee hólǫ́ǫgo, t'áá bí bighan yich'ą́ą́h naagháago binaalye'é hazhó'ó sinil łeh, 
42:11:022:0	nidi diné náánáła' halááh ábóodziilgo hak'iilwodgo hak'eh didoodleeł, áko bee nijibaahii beijólíhígíí haghaidoo'nił, áádóó hanaalye'é ałts'ádeidooniłgo neidoonih. 
42:11:003:1	Níłch'i nichxǫ́'íii nádááh
42:11:023:0	Diné doo shich'ijí jílínígíí éí shits'ą́ą́jí jílį́, áádóó doo shił ahanizh'niiłkaadígíí éí ta'izhnoołkaad. 
42:11:024:0	Níłch'i nichxǫ́'ígíí diné yii'dę́ę́' haagháahgo, háádoolyįhgi haintáago tó ádaadingóó hahidiighááh, nidi doo ła' yik'éghááhgóó ániih, Shighandóó ch'íníyáhígóó nídeeshdááł. 
42:11:025:0	Áko nádáahgo nahashzhóo'go índa hasht'ehoolyaago yik'éghááh. 
42:11:004:1	Ts'ídá t'áá aaníí bik'ihojidlí yolyéii
42:11:026:0	Áko dah náádiidáahgo, náánáła' níłch'i tsosts'idgo t'ah biláhígo doo yá'ádaashóonii yił nákah, áko éí yił hwiih yikahgo hwii' kéédahat'į́į łeh, áko diné áłtséédą́ą́' át'éhę́ę t'óó nówehda át'įįh. 
42:11:027:0	Kójíníigo nít'éé' áłah ílínígíí bitahdę́ę́' asdzání léi' ła' hadoolghaazhgo áháłní, Nishchínígíí índa yíníłt'ódígíí éí bik'ihojidlí! 
42:11:005:1	Doo yá'áshxǫ́ǫ́góó ahoolchíiłii bee ééhózinii hadeintá
42:11:028:0	Nidi ázhdííniid, Ákondi Diyin God bizaad deidiits'a'go yik'eh dahół'ínígíí éí aláahgo bik'idahojidlí! 
42:11:029:0	Áko diné hach'į' ahinééltihgo ayázh'niiłti'go ájíní, Díí k'ad dine'é doo yá'át'ééhgóó ahoolchíiłii bee ééhózinii hadeintá, nidi bee ééhózinii doo ła' bá ádoolníił da, t'áá hazhó'ó Jónah Diyin God yá halne'ii bee ééhózinii silį́'ígíí t'éiyá. 
42:11:030:0	Háálá t'áá Jónah éí Níneveh dine'é yá bee ééhózinii silį́'ígi át'éego, t'áá ákót'éego Diné Silį́į'ii ałdó', díí k'ad ahoolchíłígíí bá bee ééhózinii dooleeł. 
42:11:031:0	Kéyah Shádi'ááh hoolyéedi asdzání naat'áanii jílį́į́ nít'é'ígíí díí k'ad ahoolchíłígíí ánihwiit'aah beiníłką́ądi bił náázhdidoojahgo bá nihozhdoo'ááł, háálá Sálaman bibee hódzáanii yízdóołts'įįł biniyé ni' nineel'ą́ą́dę́ę́' jiníyá, nidi jó'akon, Sálaman yiláahgo ayóó át'éii k'ad kwe'é naaghá. 
42:11:006:1	Ats'íís yá adiníłdíinii
42:11:032:0	Níneveh dine'é yę́ę ánihwiit'aah beiníłką́ądi díí k'ad ahoolchíłígíí yá nidahodoo'áałgo yee deidoozįįł, háálá Jónah éí Diyin God bizaad yaa hoolne'ígíí binahjį' łahgo át'éego Diyin God yich'į' tsíńdadeezkéezgo dayoosdląądgo ádił nida'iiszí'ígíí yits'áhaaskai, nidi jó'akon, Jónah yiláahgo ayóó át'éii éí kǫ́ǫ́ naaghá. 
42:11:033:0	Diné doo ła'da bee hool'iní yidiiłtłi'go nahont'ingi nií'aah da, doo nidi tsits'aa' yił yaa nií'aah da, nidi bá ya'ii'áhígi dah yi'ááh, áko yah ahikáhígíí bá adinídíingo da'oo'į́į łeh. 
42:11:034:0	Bee hool'iní bee adinídínígi át'éego nináá' éí nits'íís bee bá adinídíín, nináá' yá'át'éehgo, nits'íís t'áá át'é bił hool'in, nidi nináá' doo yá'át'ééhgóó, nits'íís t'áá át'é bił chahałheeł. 
42:11:035:0	Éí bąą ádaa áhólyą́, doodago adinídíín niyi'di hólónígíí éí bił chahałheeł doo. 
42:11:007:1	Jesus éí Férisii danilíinii áádóó bee haz'áanii yínda'niłtinii yideezteh
42:11:036:0	Éí bąągo t'áá át'é adinídíín bee nits'íís bił hool'ingo t'áadoo łahjį' bił chahałheełí, t'áá bee hool'iní i'dííłdláadgo ná adiníłdínígi át'éego t'áá át'é adinídíin dooleeł. 
42:11:037:0	T'ah yájíłti'go, nít'éé' Férisii danilíinii ła' adiidį́į́ł hodííniid, áádóó yah ajííyáago azhdooyį́į́ł biniyé dasneezdá. 
42:11:038:0	Nít'éé' Férisii honíł'į́įgo t'áadoo átsé Jew dine'é binahagha' bik'ehgo tá'ázdígisí izh'niiyą́ą'go t'óó bił ahóóyóí. 
42:11:039:0	Áko Bóhólníihii áhodííniid, Jó, Férisii danohłíinii, bee adlání índa łeets'aa' bikáá'dę́ę́' t'éiyá táádaahgis, nidi agha'ílyé índa bąąhági át'éii nihiyi' hadadeezbin. 
42:11:040:0	Doo ádahalyáanii danohłíinii, da' akáá'dę́ę́' áyiilaaígíísh ałdó' doo ayi'dę́'ígíí áyiilaa da? 
42:11:041:0	Nidi ayi'diígíí badahojoobá'íii baa dahidoohnił, áko t'áá ałtsoní nihá chin bąąh ádin doo. 
42:11:042:0	Nidi Férisii danohłíinii, doo hojooba' ájíníi da! Háálá tólchiin áádóó ru yolyéhígíí índa ch'il t'áá ałtah áát'eełii neeznáá daníjoolígíí éí t'ááłá'ígo shijool Diyin God baa nídahidoh'aah, nidi ts'ídá t'áá ákǫ́ǫ́ át'éego áhooníiłii índa Diyin God ayóó'óó'níinii doo baa nídaaht'į́į da; díí akée'di ch'ét'ánígíí ádaahníił doo nít'éé', ła'ígíí t'áadoo baa dayoohnéhí. 
42:11:043:0	Nihí Férisii danohłíinii, doo hojooba' ájíníi da! Háálá kin bii' áłah nída'adleehí dabiyi'góó aląąjį' naazíinii bá nidahaz'ą́ą́góó nihił ayóó ádahoot'é índa nida'iiniihgóó k'é danihidi'níigo nihił ayóó ádaat'é. 
42:11:044:0	Bee haz'áanii bínda'nołtinii áádóó Férisii danohłíinii, t'óó ádahodoł'íinii, doo hojooba' ájíníi da! Háálá dajishcháá' doo daat'íinii nidahonohłin, áko éí diné t'áadoo bił béédahóziní yikáá' naaldeeh. 
42:11:045:0	Bee haz'áanii yínda'niłtinígíí ła' haadzíi'go áhodííniid, Na'nitiní, díí háínídzí'ígíí bee t'óó baa yáhásinígi ánihidííníniid. 
42:11:046:0	Áko ázhdííniid, Bee haz'áanii bínda'nołtinii, nihí ałdó' doo hojooba' ájíníi da! Háálá nihí bee haz'áanii diné bide ádaahłaa, nidi t'áá nihí éí nihílázhoozh t'ááłá'í nidi doo bee bidadinołníih da. 
42:11:047:0	Doo hojooba' ájíníi da! Háálá danihizhé'é yę́ę Diyin God yá dahalne'ii nideistseed. Nihí k'ad Diyin God yá dahalne'ii yę́ę bee béédahaniih biniyé kin danizhónígíí nidaahnilgo ákóne' yóó'áńdaahdle'. 
42:11:048:0	Áko danihizhé'é yę́ę yaa naaskaígíí t'áá aaníí baa dahołne'go bee lą́ nida'iyohłeeh, háálá éí dahalne'ii nideistseed índa nihí bee béédahaniih biniyé kin danizhónígíí nidaahnilgo ákóne' yóó'áńdaahdle'. 
42:11:049:0	Éí bąą Diyin God bibee hódzáanii ałdó' ádííniid, Diyin God yá dahalne'ii índa daal'aadii hach'į' dadeesh'aał, ła' nidazdoołtsił, áádóó ła' éí atídazhdoolííł, 
42:11:050:0	áko nahasdzáán niit'ą́ą́dóó wóshdę́ę́' Diyin God yá dahalne'ii t'áá ałtso dabidił dadeezna'ígíí díí k'ad oochíłígíí yá ninádínóodah, 
42:11:051:0	t'áá níléí Éíbel bidił deezna' yę́ędóó níléí Zekaráíyah bidił deezna' yę́ęjį', éí bikáá' náá'iiniihí índa kin bii' sohodizin bita'gi ábi'disdįįdígíí. T'áá aaníí ánihidishní, Díí oochíłígíí éí yá ninádínóodah. 
42:11:052:0	Bee haz'áanii bínda'nołtinii, doo hojooba' ájíníi da! Háálá óhoo'aah bibee ąą ńdítį́hí yóó'adasootą́; t'áá nihí nidi doo yah ahisoohkai da, índa ła' yah ahidookahígíí ałdó' dasinoołtł'ah. 
42:11:053:0	Áádóó díidí bee hadziidziihgo, bee haz'áanii yínda'niłtinii índa Férisii danilíinii hádahodiilchįįł danízingo índa tsístł'ah dahodíníilchééł danízingo t'áá bizáákáágóó nidahódééłkid, 
42:11:054:0	hazaad ła' yee hákada'iiłhilgo haa nahaakai, éí yee hak'i dahodidoo'ááł biniyé.
