42:22:001:1	Jesus diyoolyéełgo binahast'ą́
42:22:006:1	Dah na'ayizii áádóó azis bee na'aljidí índa diltłish
42:22:034:0	Áko ábizhdííniid, Peter, ándishní, díí tł'éé' naa'ahóóhai biką'í t'áadoo ániihí táadi doo hwééhasin da shididííniił. 
42:22:035:0	Áádóó ábizhdííniid, Dah na'ayizii áádóó azis bee na'aljidí índa ké ba'aaníii t'áágééd danihííł'aad yę́ędą́ą́', da' íídą́ą́'ásh t'áadoo le'é bídin danohłį́į́ nít'éé'? Áko ádadííniid, Dooda lą́ą. 
42:22:036:0	Áko ánááhodoo'niid, Nidi k'ad dah na'ayizii índa azis bee na'aljidí bee hólónígíí, bíni'dii neijaah. Índa diltłish bee ádinígíí bíni'dii bibeeldléí baa nahóniihgo ła' neidiyoołnih. 
42:22:037:0	Háálá ánihidishní, Bee haz'áanii yitis nidahideestáalii bił bi'déélta', níigo bee ak'e'ashchínígíí shí shee bohodoolnííł, háálá sheinít'į́įgo bee ak'eda'ashchínígíí éí bidahodoolnííł. 
42:22:007:1	Jesus sodilzin
42:22:038:0	Áko ádadííniid, Shoo, Bóhólníihii, kóoní diltłish naaki nihee hólǫ́. Áko ábizhdííniid, T'áá éí t'éiyá bíighah. 
42:22:039:0	Áádóó ch'ízhníyáago, t'áá ájít'ínígíí bik'ehgo Dził Álivz hoolyéhígóó dashdiiyá, áko hódahooł'aahii ałdó' hakéé' dah diikai. 
42:22:040:0	Áadi jiníyáago ábizhdííniid, Sodadołzin, doo nihídahodínóotah da biniyé. 
42:22:041:0	Áádóó tsé bee adzoolne' ánízahjį' bits'ázhníyáago, áadi nitsizhdinígo'go sozdoolzingo ájíní, 
42:22:042:0	ShiTaa', íinínízingo díí doodlį́įłii shits'ą́ąjį' kónílééh, ákondi shí íinisinígíí éí dooda, nidi ni íinínízinígíí ádoonííł. 
42:22:043:0	Áko yá'ąąshdę́ę́' diyingo naal'a'í hach'į' niníyá, hadziil áhodoolííł biniyé. 
42:22:044:0	Áko t'áá íiyisí ti'hojooníihgo t'ah nááyówehígo haleebee sozdoolzin, áko hatásiil diłgi át'éego ni'jį' nidahidilch'ą́ą́ł. 
42:22:045:0	Áádóó sozdoolzindę́ę́' nízhdii'na'go hódahooł'aahii baa nídzídzá, nít'éé' yíní danilį́įgo da'ałhosh lá, 
42:22:008:1	Jesus ninádeet'ą́ áádóó bi'diiltsood
42:22:046:0	áko ábizhdííniid, Ha'át'éegoshą' da'ołhosh? Doo nihídahodínóotah da biniyé nídoohjeehgo sodadołzin. 
42:22:047:0	T'ah yájíłti'go, diné t'óó ahayóí haa nánízą́, áko diné Júdas yolyéhígíí, éí naakits'áadahígíí ła' nilíinii aní'eezh. Áko Jesus yidoots'ǫs biniyé yich'į' dah diiyá, 
42:22:048:0	nidi Jesus ábidííniid, Júdas, da' Diné Silį́į'iísh yiits'ǫsgo ninádiní'aah? 
42:22:049:0	Áko hanaagóó naazínígíí áhodi'doolníłígíí yaa ákodaniizį́į'go ádadííniid, Bóhólníihii, da' diltłishísh bee bitaa da'iilghaał? 
42:22:050:0	Áko ła' aláahgo náá'iiłniihii binaalte' néidííłhaalgo bijaa' nish'náájíígíí na'iidiiłhaal. 
42:22:051:0	Nidi Jesus ádííniid, Háni'dii t'áá díí t'éiyá ádoonííł! Áko bijaa' bizhdeelchidgo doo át'éhí da áńjiidlaa. 
42:22:052:0	Nít'éé' Jesus éí aláahgo nááda'iiłniihii áádóó kin bii' sohodizin bił haz'ą́ągi siláo bindanit'a'í índa diné yá aląąjį' naazíinii dahwiidoołtsoł biniyé haa yíkaígíí ábizhdííniid, Da' diltłish índa tsihał dayínóhjáahgo agha'ii'níiłii bich'į' oonééł nahalingoósh shich'į' ch'ínooná? 
42:22:009:1	Peter éí, Jesus doo bééhasin da, jiní
42:22:053:0	Shą́ą́', t'áá ákwíí jį́ kin bii' sohodizin bił haz'ą́ą́ góne' nihitaasháá nít'éé', nidi t'áadoo dashoołtsood da. Nidi nihí k'ad óhólnííh nihá baa hoolzhiizh, índa chahałheeł bibee óhólnííh ałdó' baa hoolzhiizh. 
42:22:054:0	Ákohgo siláo dahoołtsoodgo dah dahodiilóóz, áádóó aláahgo náá'iiłniihii bikin góne' yah adahazlóóz. Peter éí t'áá nízaadę́ę́' akéé' yigááł, 
42:22:055:0	áko siláo éí kin binaagi haz'ą́ągo biná'ástł'in ałníi'di dideideeshjée'go ákwii dineezbingo naháaztą́, ákwii Peter atah dzineezdá. 
42:22:056:0	Nít'éé' honibąąhgi dzizdáago asdzání naal'a'í léi' hazhó'ó honééł'į́į'go áháłní, Díí diné ałdó' Jesus yił naakai ni'. 
42:22:057:0	Nidi dooda jidííniid, kójíníigo, Asdzání, shíga' éí doo hwééhasin da. 
42:22:058:0	Nít'éé' t'óó nááhodoo'na'ígo náánáła' nááhoołtsą́ągo ánááhodoo'niid, Ni ałdó' éí ła' ánít'į́. Nidi Peter ázhdííniid, Dooda, kwá'ásiní, shí dooda. 
42:22:059:0	T'ááłáhídi daats'í ahéé'ílkidóó bik'ijį' ła' ánáázhdí'ní, T'áá aaníí díí diné ałdó' Jesus yił naakaígíí ła' át'į́į́ lá, háálá Gálilii dine'é jílį́, níigo yee niiltee'. 
42:22:060:0	Nidi Peter ádííniid, Kwá'ásiní, baa nánít'ínígíí ts'ídá doo shił bééhózin da. T'áá áko, t'ah yájíłti'go, naa'ahóóhai biką'í ádííniid. 
42:22:061:0	Áko Bóhólníihii nídzízyizgo Peter jinééł'į́į́'. Áko Peter éí Jesus, Díí tł'éé' naa'ahóóhai biką'í t'áadoo ániihí táadi doo hwééhasin da shididííniił, hodííniidii bééjoolnii'. 
42:22:010:1	Jesus bá nahast'i' áádóó nibí'íltsxas
42:22:062:0	Áko ch'ízhníyáago aníjíchago jíícha. 
42:22:063:0	Nít'éé' diné éí Jesus yaa ádahalyánígíí Jesus yá nidahast'i' áádóó niyí'da'astsxas, 
42:22:064:0	áádóó hanák'ee nináda'ałbałgo nidahódíłkidgo ádaaní, Diyin God yá halne'ii nílį́įgo, háishą' nándííłts'in bee nihił hólne'. 
42:22:011:1	Jesus éí diné ándaha'áii bidááhdę́ę́' niho'deedlóóz
42:22:065:0	Áádóó saad doo adaaníinii lą'í yee há hadahaasdzíi'go dahwéédzíí'. 
42:22:066:0	Hoos'įįdgo, diné yá aląąjį' naazíinii, éí aláahgo nááda'iiłniihii índa bee haz'áanii yínda'niłtinii yił áłah silį́į́', áko éí aa hwiinít'į́įjį' adahazlóozgo ádahałní, 
42:22:067:0	Christ nílį́įgo, haa'íshą' bee nihił hólne'. Nidi Jesus áhodííniid, Bee nihił hweeshne'go, doo deidoohdląął da, 
42:22:068:0	áádóó nanihídééłkidgo, ałdó' doo shił dahodoołnih da, [doo nidi shéédadidoohchił da]. 
42:22:069:0	Nidi kodóó Diné Silį́į'ii éí Diyin God aláahgo bidziilii binish'náájí dah bidí'nóoldaał. 
42:22:070:0	Áko t'áá ałtso ádadííniid, Da' ákoósh Diyin God biYe' nílį́? Áádóó ábizhdííniid, Jó, t'áá nihí éí hó ájít'į́ dashidohní. 
42:22:071:0	Áko ádadííniid, Ha'át'íísh ałdó' biniyé ła' ch'ínáádahót'aah doo? Háálá t'áá nihí t'áá hó ázhdííniidígíí dasidiits'ą́ą́'.
