7:20:001:1	Bénjamin dine'é bich'į' anaa' hazlį́į́'
7:20:021:0	Éí bijį́ Gíbiyah kin haal'áádóó Bénjamin dine'é ch'ínínáago Ízrel dine'é naadiin naakidi mííl nideistseed .
7:20:022:0	Nidi Ízrel dine'é danilíinii t'áá bí chánah áda'ahólzingo átsé hach'į' anaa' dahasłį́'ígi át'éego hat'ááh nájah nít'éé' .
7:20:023:0	Áko Ízrel dine'é ákóde anááhaaskaigo Bóhólníihii yinááł daachago i'íí'ą́ . Áko haash yit'éego dooleeł Bóhólníihii deidííniid , Bénjamin dine'é nihik'isóó danilíiniísh bit'ááh náádiijahgo bich'į' anaa' ánáádahodiilnííł ? Áko Bóhólníihii áhodííniid , Nílááh , bik'i náánáohjeeh .
7:20:024:0	Ákohgo naaki jį́ aleeh góne' Ízrel dine'é éí Bénjamin dine'é bit'ááh náájííjéé' .
7:20:025:0	Áko naaki jį́ aleeh góne' Gíbiyah kin haal'áádóó Bénjamin dine'é hach'į' anaa' dahasłį́į́' , áko tseebííts'áadahdi mííl Ízrel dine'é diltłish yee nidaabaahii nináádeistseed .
7:20:026:0	Ákohgo Ízrel dine'é t'áá ałtso , siláo danilínígíí t'áá át'é , Béthel haz'ánígóó aheeskaigo áadi Bóhólníihii yinááł daachago áádóó shá bíighah t'áadoo da'ayání i'íí'ą́ , índa didlidgo náádahaniihii áádóó hózhǫ́ǫ́jí náádahaniihii Bóhólníihii yich'į' náádayiisnii' .
7:20:027:0	Áko Ízrel dine'é danilíinii Bóhólníihii bíndabízhdééłkid , ( áko éí yoołkááł yę́ędą́ą́' Diyin God bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii ákwii si'ą́
7:20:028:0	áádóó éí yoołkááł bítséédą́ą́' Éran biye' Eliyéízar nilíinii éí haye' Fíniyas naal'a' nít'éé' , ) Ízrel dine'é ádaaní , Nihik'isóó Bénjamin dine'é danilíinii bich'į' nááhidiikahgoósh bich'į' anaa' ánáádahodiilnííł , doodaii' daats'í t'óó bik'i diikááh ? Áko Bóhólníihii ánááhodoo'niid , Nílááh , ákóde bich'į' nááhidohkááh , háálá yiską́ągo nihílák'ee hodideesh'ááł .
7:20:029:0	Ákohgo Ízrel dine'é éí Gíbiyah kin haal'áii binaagóó diné aa héeshjée'go ádayiilaa .
7:20:030:0	Áko tágí jį́ aleeh góne' Ízrel dine'é dah náádiikaigo Bénjamin dine'é yik'i náánéijéé' áádóó t'áá átsé ádaadzaa yę́ęgi át'éego Gíbiyah kin haal'áii yaa ninááhaakai .
7:20:031:0	Áko Bénjamin dine'é ch'ínááná'náago hak'i náánéijéé' áádóó kin haal'áhígíí bits'ą́ąjigo yóó'adahoneez'aa' . Índa t'áá átsé nidahastseed yę́ęgi át'éego halgaigóó áádóó da'nítiingóó , ła' éí Béthel haz'ánígóó atiin áádóó ła' éí Gíbiyah kin haal'áágóó atiin ákǫ́ǫ́ dahoníłtseedgo Ízrel dine'é t'áá tádiiní nideistseed .
7:20:032:0	Áko Bénjamin dine'é ádadííniid , Átséédą́ą́' yę́ęgi át'éego yóó'adahineezhchą́ą́' . Nidi Ízrel dine'é ádaaní , Kin haal'áádóó da'nítiingóó yóó'adahodíníit'ah biniyé dadíníichééł .
7:20:033:0	Áko Ízrel dine'é t'áá ałtso aa héeshjéé' yę́ędóó nídiijée'go Béíyal-téímar haz'ánígi anaa' biniyé ałkéé' ninááda'ahí'nil áádóó Gíbiyah binaagóó ch'iltahdóó Ízrel dine'é aa héeshjée'ii ch'éheezhjéé' .
7:20:034:0	Áko neeznáadi míilgo Ízrel dine'é bits'ą́ą́dóó nídii'nilii t'áá ałtso Gíbiyah kin haal'áagi ak'i náánéijéé' , índa t'áá íiyisí ałk'iijéé' , nidi Bénjamin dine'é éí doo yá'át'éehii baa honíle'ígíí doo bił béédahózin da .
7:20:035:0	Áko Ízrel dine'é dabinááł Bóhólníihii éí Bénjamin dine'é yik'eh deesdlį́į́' , áádóó éí bijį́ Ízrel dine'é danilíinii éí Bénjamin dine'é naadiin ashdladi mííldóó ba'aan t'ááłáhídi neeznádiingo nideistseed . Díí diné t'áá ałtso diltłish yee nidaabaahii danilį́į́ nít' éé' .
7:20:036:0	Áko Bénjamin dine'é éí hak'eh dahodeesdlį́į'go baa ákodazniizį́į́' . Ízrel dine'é éí Bénjamin dine'é yá dahooł'a'go Ízrel dine'é héeshjée'ii yada'ólíigo Gíbiyah kin haal'áagi ak'eh dadeesdlį́į́' .
7:20:037:0	Áko diné héeshjée'ii hatsin bee í'dílzoołí Gíbiyahgi kin haal'áhígíí yaatįįh híjéé' , áádóó diné aa héeshjée'ii kin haal'áagi kéédahat'íinii ałtso diltłish yee dayííghą́ą́' .
7:20:038:0	Áko Ízrel dine'é áádóó nahdę́ę́' aa héeshjée'ii éí kin haal'áádóó ayóó ánéelą́ą'go łid hahagháahgo , ííshją́ą́ éí bee ééhózin doo , da'ahidoo'niid .
7:20:039:0	Áko Ízrel dine'é yóó'iijeehgo Bénjamin dine'é hak'iijée'go Ízrel dine'é tádiin yilt'éego nideistseed , áko ádaaní , T'áá aaníí átséédą́ą́' anaa' hazlį́'ígi át'éego nihinááł bik'eh dahodidleeh .
7:20:040:0	Nidi kin haal'áhídóó łid hahagháahgo hakéé'dę́ę́' Bénjamin dine'é t'ą́ą́' nídadéét'į́į́' nít'éé' ; shoo , kin haal'áhídóó yót'ááhgóó łid hahagháahgo dayiiłtsą́ .
7:20:041:0	Ákohgo Ízrel dine'é nát'ą́ą́' hak'i néijée'go Bénjamin dine'é t'áá íiyisí t'óó bił dahóóyée'go nídaasdzííd , háálá doo yá'át'éehii bik'i hoole'go yaa ákodaniizį́į́' .
7:20:042:0	Éí bąą Ízrel dine'é dabinááł t'ą́ą́' dah nídiijée'go honoojíijigo dah diijéé' , nidi anaa' dahółóonii t'áá hoł naneesdaa' , áádóó kin hadaas'áádóó hach'į' nídiijée'go biníi'gi ałtso ádahasdįįd .
7:20:043:0	Bénjamin dine'é yinázt'i'go áádóó t'áadoo ádahodiilzéhí deinéełkaadgo Gíbiyah kin haal'á binaashii ha'a'aahjigo ałtso nidahastsxeed .
7:20:044:0	Bénjamin dine'é tseebííts'áadahdi míilgo nabízdįįd ; éí t'áá ałtso diné doo nídanilyéesii danilį́į́ nít'éé' .
7:20:045:0	Áádóó daadziihígíí naanídahaazhjée'go honoojíígóó Ríman tsé si'ánígóó hasih haz'ą́ą́góó aheezhjéé' . Áko ashdladi mííl ánéelą́ą'go atiingóó dajííghą́ą́' índa Gídam bich'į' t'áá haz'ą́ądi bídadzizbaa'go nibíjiizhjée'ii naakidi mííl ánéelą́ą'go dajííghą́ą́' .
7:20:046:0	Ákohgo éí bijį́ Bénjamin dine'é naadiin ashdladi míilgo diltłish yee nidaabaahii ałtso nabízdįįd ; éí t'áá ałtso diné doo nídanilyéesii danilį́į́ nít'éé' .
7:20:047:0	Nidi hastą́ądi neeznádiin ánéelą́ą'go éí t'áá honoojíígóó Ríman tsé si'ání bighą́ą'jį' hasih nahaz'ą́ąjį' yóó'aheezhjée'go áadi dį́į́' bee nídadeezid lá .
7:20:048:0	Áko Ízrel dine'é éí Bénjamin dine'é baatįįh náájookaigo diltłish bee nabínáádadzisdįįd ; diné danilíinii áádóó naaldlooshiida índa t'áá át'é t'áá shódadzoost'e'ígi nabídadzisdįįd . Áko kin hadaas'áágóó t'áá bik'ídajiikáhígíí adahizdeesk'ą́ą́' .
