7:16:001:1	Géíza kin haal'áadi Sámson yaa naayáii
7:16:012:0	Ákohgo Diiláílah éí tł'óół ániidíii ła' néidiinilgo yee hwenáá'áztł'ǫ́ǫgo hadoolghaazhgo ání , Sámson , Filístiya dine'é nik'i dah yizhjéé' ! Áko diné éí ná'áne'édę́ę́' héeshjéé' . Nidi bee hwe'astł'ónígíí bee ná'álkadí nahalingo ałtso jiizhnizh .
7:16:013:0	Áko Diiláílah éí Sámson ánéidoo'niid , T'ahdii yee' t'óó shá nahółt'i'go shina'ílo' . Hait'éegoshą' ni'dootł'óół bee shił hólne' . Áko ábizhdííniid , Shitsii' tsosts'id yishbizhgo dah iistł'ǫ́ bił díítł'óołgo bíighah doo .
7:16:014:0	Áko ajiiłhaazhgo hatsii' yiztł'ǫ́ǫgo tsin niłdzilgo yá ayíítsih áádóó hadoolghaazhgo ání , Sámson , Filístiya dine'é nik'i dah yizhjéé' ! Nidi ch'éédzídzidgo bik'i atł'óhí áádóó dah iistł'ónígíí t'áá bił náhizhdiitah .
7:16:015:0	Áko asdzání áhodííniid , Ha'át'éegoshą' ayóó'áníínísh'ní shidiníi nidi nijéí bee doo shit'áhíjį' nitsíníkees da ? K'ad t'óó shá nahółt'i'go táadi azlį́į́' , áko bee ayóó ánóodziilii t'ah doo bee shił hólne' da .
7:16:016:0	Áko t'áá ákwíí jį́ t'áá bizááká hach'į' yaa niséé'áłdiłgo náhookąąhgo t'óó báhádzidgo ts'ázdoos'nih .
7:16:017:0	Áko bee nitsídzíkeesii t'áá át'é bee bił hojoolne'go ájíní , Ts'ídá doo shitsii' shá yilzhéeh da , háálá t'áá shimá shi'niiltsąądę́ę́' Diyin God bich'į' Názarait nishłį́ . Shá oolzhée'go bee shidziilii shits'áhodooleeł , áko t'áá ła' diné ádaat'éhígi át'éego doo shidziil da deeshłeeł .
7:16:018:0	Áko bee nitsídzíkeesii t'áá át'é Diiláílah bee bił hojoolne'go bił bééhoozingo Filístiya dine'é binanit'a'í yich'į' i'ííł'a'go ání , T'áá díí t'éiyá náádoohkah , háálá bintsíkees t'áá át'é yee shił hoolne' . Ákohgo Filístiya dine'é binanit'a'í éí asdzání yaa yíkaigo béeso yílák'ee deiznil .
7:16:019:0	Áko bitsoosk'id bikáa'jį' hwi'iiłhaazhgo diné ła' hágo yidííniidgo hatsii' tsosts'idgo yishbizhígíí yiyiizhgizh . Ákohgo asdzání atíhóół'įįdgo bee hadziilii hats'áldoh .
7:16:020:0	Áko hadoolghaazhgo ání , Sámson , aadę́ę́' Filístiya dine'é nik'i dah yizhjéé' ! Áko ajiłhoshdę́ę́' nízhdiina'go ájíní , T'áá ánéisht'įįhígi át'éego ch'ídeeshááł áádóó ádíshgáád dooleeł . Áko Bóhólníihii hats'ą́ą́' dahodiile'ígíí doo hoł bééhózin da .
7:16:021:0	Áko Filístiya dine'é dahasiłgo hoda'aztł'ǫ́ índa hanáá' hayída'ashiizhgo Géíza kin haal'áá góyaa adahazlóóz . Áko béésh łitsoii béésh da'ahólzha'ígíí yee hweda'aztł'ǫ́ , índa awáalyaa góne' ajik'áago ádahoolaa .
7:16:003:1	Sámson daaztsą́
7:16:022:0	Nidi há'oolzhéé'dóó bik'ijį' hatsii' nídíneesą́ .
7:16:023:0	Filístiya dine'é binanit'a'í danilíinii éí t'áá ła' bizhi'ee áłah silį́į'go ayóó át'é nááhániihígíí bidiyin bidi'níinii Déígan wolyéii yich'į' náádeidiyoołnihgo bił dahózhǫ́ǫgo ádaaní , Nihidiyin éí Sámson nihi'ana'í nilíinii nihílák'eidíí'ą́ .
7:16:024:0	Áko diné dahoołtsą́ągo bidiyin yaa dahaniihgo ádaaní , Nihikéyahgi nihi'ana'í náhoodǫ́ǫsgo lą'í niilt'éego nanihistseedígíí nihidiyin nihílák'ee hodíí'ą́ .
7:16:025:0	Áko bijéí bił dahózhǫ́ǫgo ádaaní , Sámson baa dloh nihighą́ą doo biniyé hágo bidohní . Ákohgo awáalyaagóó Sámson yíká ada'as'a' áádóó haa dloh bighą́ , áko kin bíyah nii'áii bita'gi nidahazlóóz .
7:16:026:0	Áko Sámson éí ashkii nabilózígíí áyidííniid , Haa'íyee' díí kin bíyah nii'áhígíí kin dego yótą'ígíí bíniishtį́į doo biniyé bidinishnííh .
7:16:027:0	Wóne'é éí diné áádóó asdzání hazdeezbin ; Filístiya dine'é binanit'a'í t'áá ałtso ákóne' áłah nilį́ . Áko dah nidahaz'ánídóó diné áádóó asdzání táadi mííl yilt'éego Sámson yaa dloh dabighą́ .
7:16:028:0	Ákohgo Sámson éí Bóhólníihii yich'į' sodoolzingo ání , Bóhólníihii Diyin God nílíinii , shéénílnííh baa nánooshkąąh ; Diyin God nílíinii , shidziilgo ánáshídlééh , áko Filístiya dine'é shináá' hadeiznilii t'ááłáhídiígíí ałtso k'éédideeshdlííł .
7:16:029:0	Áádóó Sámson éí kin bíyah nii'áii naakigo ałníi'giígíí bíighahgi dziizį'go hála' nish'náájí áádóó hála' nishtł'ahjí bee kin bíyah nii'áii kin dego yótą'ígíí ałts'ą́ą́hjí bizhdeelnii' .
7:16:030:0	Áko Sámson ázhdííniid , Shíni'dii Filístiya dine'é bił dínéeshnééł . Ákohgo yaa ádziidzaago t'áá bizááká dzideesdzil . Nít'éé' naat'áanii danilíinii índa diné ákwii yíl'áhígíí bik'ijį' kin ahiih nááłdááz . Áko jiiná yę́ędą́ą́' nijistseedígíí bilááh ánéelą́ą'go dadziztsánígi daneezná .
7:16:031:0	Áko hak'isóó índa hazhé'é bighandóó danilíinii t'áá ałtso ákwii nidahaaskaigo nídahodiiłtį́įgo nídahastį́ áádóó Zórah kin shijaa' índa Éshteiyal kin shijaa' bita'gi hazhé'é yę́ę Manówah bitséní'ootséél góne' yóó'ádahoolaa . Ízrel dine'é bá nihozhdiyii'aahgo naadiin nááhai .
