7:9:001:1	Abímelek aláahgo naat'áanii nilį́į́ nít'éé' yę́ędą́ą́'
7:9:019:0	T'áá aaníinii áádóó t'áádóo nídíii díí jį́ Jerabéíyal áádóó bighandóó danilíinii bił bich'į' bee ádanoht'éé nít'ée'go Abímelek baa nihił nidahoozhǫǫh doo índa bí ałdó' bíni'dii nihaa bił nihoozhǫǫh doo .
7:9:020:0	Nidi doo ákót'éégóó bíni'dii Abímelek bits'ą́ą́dę́ę́' kǫ' hazdoosxihgo Shííkem kin haal'áádóó dine'é índa Míllo kin yaa'áhídóó dine'é iidółk'ą́ą́h , áádóó bíni'dii Shííkemdóó dine'é índa Míllo kin yaa'áhídóó dine'é bits'ą́ą́dóó kǫ' hadónaadgo Abímelek iidółk'ą́ą́h .
7:9:021:0	Áko Jótham yóó'ajoolwodgo yóó'azhnííchą́ą́' áádóó Bíyer haz'ánígi jiníyáago ákwii kééhojit'į́į́ nít'éé' , háálá hak'is Abímelek bik'ee hoł yéé' .
7:9:022:0	Abímelek éí Ízrel dine'é binazh'nt'áago táá' nááhai .
7:9:023:0	Diyin God éí Abímelek índa Shííkem dine'é bita'gi ak'e'diniih hólǫ́ǫgo áyiilaa . Áko Shííkem dine'é éí Abímelek yindahaz'ą́ .
7:9:024:0	Áko Jerabéíyal biye'ké tsosts'idiinígíí yich'į' t'óó báhádzidígi ádáát'įįd áádóó hak'isóó naaztseedii bidiłígíí Abímelek hak'i didoot'ááł , índa Shííkem dine'é háká ííjée'go hak'isóó neistseedígíí ałdó' yik'i deididoo'ááł .
7:9:025:0	Áko Shííkem dine'é éí diné haa nidahidoo'nahígíí dziłghą́ą'di nideiznil . Ákǫ́ǫ́ ch'ídahakáhígíí ałtso yighanída'ii'nił , áko éí bee Abímelek hoł hóóne' .
7:9:026:0	Áko Ébed biye' Géíyal hak'éí bił Shííkem kin haal'áágóó jíkai , índa Shííkemdóó dine'é t'áá íiyisí haa deidzólí .
7:9:027:0	Ákohgo dá'ák'ehgóó ch'ídahaaskaigo bich'il na'atł'o'ii áłah ádayiilaa áádóó ch'il na'atł'o'ii bitoo' yąąh hadayiiznii'go ída'íísįįd ; bidiyin bidi'níinii dílzinii bikin góne' yah aakaigo da'ííyą́ą́' áádóó da'oodlą́ą'go Abímelek hóyée'go yá hadaasdzíí' .
7:9:028:0	Áko Ébed biye' Géíyal ázhdííniid , Abímelekshą' ha'át'íí jílį́ ? Shííkem dine'é daniidlíiniishą' ha'át'íí niidlį́įgo Abímelek há nideiil'a' ? Doósh Jerabéíyal biye' jílį́į da ? Doósh Zííbal há naal'a' da ? Shííkem dine'é bizhé'é nilíinii Héímor bá nidaał'a' . Ákoshą' ha'át'íí biniyé há nideiil'a' ?
7:9:029:0	Díí diné shílák'ee sinil le' nisin . Ákót'éego Abímelek nahjį' kóhodeeshłííł , áádóó Abímelek ííłní , Nisiláo lą'í áníléehgo nihich'į' nídiibááh .
7:9:030:0	Áko kin haal'áádóó naat'áanii jílíinii Zííbal joolyéii éí Ébed biye' Géíyal bizaad baa hozdiizts'ą́ą'go bik'ee háhóóchįįd .
7:9:031:0	Áko t'áá nahont'inee Abímelek bich'į' naal'a'í adziis'a'go ájíní , Shoo , Ébed biye' Géíyal bik'éí yił Shííkem kin haal'áajį' yíkai , áko kin haal'áagi ts'ídá ditą́ągo nich'ą́ą́h ahéé'ítł'ingo áyiilaa .
7:9:032:0	Éí bąą k'ad , díí tł'éé' nílááh yínááł ; diné nił naakaígíí bił halgaidi baa hínóhjéé' .
7:9:033:0	Ákohgo t'ah abíínígo jį́honaa'éí t'óó hááyáhígo nídidoohjahgo kin haal'áhígíí bik'i dah doohjahgo diné yił naakaígíí nihá hashjada'doolíiłgo t'áá nínízinígi át'éego atídadíílííł .
7:9:034:0	Áko éí bitł'éé' Abímelek índa diné hoł naakaígíí t'áá ałtso nídiijée'go t'áá nahont'inee nizhnínáago Shííkem kin haal'áhígíí dį́į́'dę́ę'go baa nijiyeekai .
7:9:035:0	Áko Ébed biye' Géíyal dashdiiyáago kin haal'áhí yah a'atiinígi dzizį́ , áádóó Abímelek índa diné bił naakaígíí aa niheekai yę́ędóó nídiijéé' .
7:9:036:0	Áko Ébed biye' Géíyal éí diné dziiłtsą́ągo Zííbal ábizhdííniid , Shoo , dziłghą́ą́'dę́ę́' diné hadah deíjeeh . Áko Zííbal ánááhodoo'niid , Dził bichaha'ohígíí diné nahalingo yíní'į́į́ lá !
7:9:037:0	Géíyal hanáánáádzíi'go ání , Jó , kéyah ałníí'dę́ę́' diné deíjeeh , áko t'ááłáhígo dah náánáá'néłígíí éí Míyon-íínim hóteeldę́ę́' deíjeeh .
7:9:038:0	Ákohgo Zííbal áhodííniid , Háájíshą' ádííníniid yę́ę silį́į'go ádíní , Abímelekshą' ha'át'íí jílį́įgo há nideiil'a' dooleeł ? Díí diné ni'ínígíísh ádaat'į́ ? K'ad nílááh , bił da'ahígą́ .
7:9:039:0	Áko Géíyal éí Shííkem dine'é yinááł dah diiyáago Abímelek bisiláo yił da'ahoogą́ą́' .
7:9:040:0	Áko Abímelek dah hodíníiłchą́ą́' áádóó bik'ee yóó'azhnííchą́ą́' , índa t'áá níléí yah a'atiinjį' t'óó ahayóí bik'eh dazdeesdlį́į'go tídazhdiilaa .
7:9:041:0	Áko Arúmah haz'ánígi Abímelek kééhojit'į́ , índa Zííbal éí Géíyal áádóó bik'isóó t'áá bił ch'ínizhníłkaadgo doo Shííkem kin haal'áagi kénáádahat'į́į da .
7:9:042:0	Áádóó éí biiskání halgaigóó nidaaskaigo Abímelek yił dahoolne' .
7:9:043:0	Áko hasiláo ałts'ájíínilgo táa'go dah yinéełgo halgaigi bił baa nijiyeekai , áádóó jidéé'į́į'go kin haal'áádóó diné ch'ídahaazhjée'ii áadi dziiłtsą́ , áko náhizhdiitahgo bich'į' jiyeedzáago ałtso nidzistseed .
7:9:044:0	Abímelek áádóó hoł dah yinéłígíí bił kin haal'áhígi yah e'etiinígi nizhníjée'go naakigo dah yinéłígíí halgaijį' ch'íheezhjée'ii bik'i dah jizhjée'go ałtso nidadzistseed .
7:9:045:0	Áko éí bijį́ shá bíighah kin haal'áagi Abímelek bił da'ahijigą́ągo kin haal'áagi hak'eh deesdlį́į́' áádóó diné ałtso neistseed , áko kin haal'áii naa'adadziiskaadgo ákwii áshįįh nihidadziiskaad .
7:9:046:0	Shííkem kin yaa'áhídóó diné t'áá ałtso díí deidiizts'ą́ą'go bidiyin Bíírith wolyéii bikin niłdzilgo si'ą́ągo yiyaa aheezhjéé' .
7:9:047:0	Éí bee Abímelek bił hóóne' ; Shííkem kin haal'áagi kin bidziilgo yaa'áhígi diné t'áá át'é áłah silį́į́' lá , hodoo'niid .
7:9:048:0	Áko Abímelek éí Dził Zálman si'ánígóó haayá ; diné hoł naakaígíí ałdó' áajį' bił hadziskai , áko Abímelek éí tsénił nízhdii'ą́ągo tsin bits'ádaoz'a' k'ídziisne'go hawosgi dah dziznil . Áko diné hoł naakaígíí ábizhdííniid , T'áá dashooh'į́įgo íisdzaaígi át'éego tsį́įłgo nihí ałdó' ákódaaht'į́ .
7:9:049:0	Diné t'ááłá'í nítínígo ats'áoz'a' dayiisne'go Abímelek yikéé' dah diikai ; kin niłdzilgo haz'áníjį' nidayiizhjaa'go kin yiih dahodeeznilgo Shííkemgi kin yaa'áhígi diné t'áá ałtso daneezná ; t'ááłáhídi mííl daats'í diné áádóó asdzání daneezná .
7:9:050:0	Ákohgo Abímelek éí Thííbez kin haal'áágóó dashdiiyáago Thííbezgi kéédahat'íinii binijíznáago bik'eh dazdeesdlį́į́' .
7:9:051:0	Nidi éí kin haal'áhígi kin bidziilgo yaa'áhí hólǫ́ǫ́ lá , áko éí kin haal'áhídóó diné índa asdzání áajį' adahineezhchą́ą'go ádá da'deeskaal , áko kin yaa'áhígíí bighą́ą'jį' hahaazhjéé' .
7:9:052:0	Áádóó Abímelek éí kin yaa'áhíjį' ajííbaa'go bił da'ahijoogą́ą́' áádóó kin yaa'áhígíí bidáádílkał biih hozhdidoonił biniyé baatįįh jííyá .
7:9:053:0	Áko asdzání léi' tsédaashch'íní nitsxaii yee Abímelek yitsiit'áá iidzííłne'go bitsiits'iin sits'il .
7:9:054:0	Ákohgo dinééh éí bee na'abaahii há neijaahii ábijiní , Nidiltłish hahíłhango bee shiyíłhé , áko , Asdzání hwiisxį́į́ lá , doo dadidooniił da . Áko dinééh éí diltłish haníkáiníłgeedgo dadziztsą́ .
7:9:055:0	Áko Ízrel dine'é éí Abímelek daaztsą́ągo dayiiłtsą́ , índa t'áá ałtso bighangóó anídahaaskai .
7:9:056:0	Kót'éego Abímelek doo yá'áshónígi ájíít'įįdígíí Diyin God k'ééhodiidlaa ; jó , hazhé'é bits'ą́ą́' hak'is tsosts'idiingo nidzistseedgo bąą ákóhoolaa .
7:9:057:0	Áko Shííkem dine'é t'áá ádzíłtso doo yá'áshónígi ádajíít'įįdígíí Diyin God k'ééhodiidlaa , índa Jerabéíyal biye' Jótham hóyée'go há haadzíi'ii hak'ijį' silį́į́' .
