49:6:001:1	A'áłchíní índa da'ashchíinii
49:6:015:0	áádóó hane' yá'át'éehii bee k'é hwiindzinii baa ch'ídahoyoh'aah doo biniyé bee hasht'e'ádadíínółzingo bee kééh dadíínół'eez. 
49:6:016:0	Nihe'oodlą' nihinaage' ádeínóhsingo bine' nidaohdzi', áko naayéé' níłch'i bida'iiníziinii binanit'a'í bideezla' diltłi'ii t'áá ałtso bits'ą́ą́' dadínóołtsis. 
49:6:017:0	Áádóó béésh ch'ah bee yisdá'iildéehii índa Níłch'i Diyinii bidiltłish nídahidoohnííł, jó, Diyin God bizaad éí diltłish át'é. 
49:6:018:0	T'áá áłahjį' Níłch'i Diyinii bee sodadołzin índa nída'oohkąąh. Díí biniyé t'áadoo ádahodoołzéhí hada'ísídół'į́į́', wołí bee Diyin God bidiyį́į́' t'áá ałtso sodizin bee bá nída'oohkąąh. 
49:6:019:0	Shí ałdó' shá sodadołzin, áko hane' yá'át'éehii doo bééhózin da yę́ę saad bohónéedzáanii shaa deet'ą́ągo t'áadoo shizéé' nahonitł'aaí doo sisti'góó bee yáshti' doo. 
49:6:004:1	K'é ha'níigo bee naaltsoos niilt'i'ii
49:6:020:0	Háálá éí biniyé yil'aadii béésh da'ahólzha'í bee dahaastł'óonii nishłį́, áko doo sisti'góó hane' yá'át'éehii t'áá baa hashne' dooleełígi át'éego baa hashne' doogo shá sodadołzin. 
49:6:021:0	K'ad ánísht'éii áádóó baa naasháhígíí nihił béédahodoozįįł biniyé Tíkakas, nihik'is ayóó'óó'níinii índa ba'ahódlíigo Bóhólníihii yá naal'a'ígíí t'áá ałtso yee nihił hodoolnih. 
49:6:022:0	Ts'ídá díí biniyé nihich'į' ahóół'a', éí kodi nihił áhoot'éii nihił béédahodoozįįł, áádóó aají nihijéí bił nídahozhdooshǫǫł ałdó' biniyé akǫ́ǫ́ ahóół'a'.  
49:6:023:0	Diyin God aTaa' áádóó Bóhólníihii Jesus Christ bibee ach'į' hózhǫ́ náhásdlį́į'ii áádóó bibee ayóó'ó'ó'níinii oodlą́ bóóltą'go ałk'isóó danilíinii yee bik'ijidlíi doo. 
49:6:024:0	Ayóó'ó'ó'ní t'áá yit'éhí yit'éii bee nihiBóhólníihii Jesus Christ ayóó'ádayó'nínígíí t'áá ałtso Diyin God bibee ajooba' yee yik'ijidlíi doo.
