2:19:001:1	Dził Sáínaigi Ízrel dine'é níná
2:19:012:0	Áko dziłtsį́į́góó diné bich'ą́ąhgi hoodzogo ádíílíiłgo ábididííniił , Ádaa ádahołyą́ ; t'ááká ła' dził bóohááh lágo ; bibąąhgi nidi doo ła' bíhididooh'náał da ; t'áá háiida dził yíhidéé'ná'ígíí t'áá aaníí hodi'yoolyééł .
2:19:013:0	Doo ła' yididoolchił da , nidi yideelchidígíí tsé bee bił nizdoolniił , doodaii' bigházdoolkah ; alį́į́' , doodaii' diné éí doo t'áá hináa da doo ; deenáts'aa' bidee' bee í'dílzoołí diists'ą́ą'go dził bitsį́įjį' hizhdookah .
2:19:014:0	Áko Mózes éí dziłghą́ą́'dę́ę́' diné yich'į' hadanáádzáago diyingo diné ats'éidiní'ą́ , índa dabi'éé' deizgis .
2:19:015:0	Áádóó diné áyidííniid , Díí jį́į́dóó naaki yiską́ąjį' hasht'e'ádazhdidoolnííł ; hwe'asdzą́ą́ t'áadoo bit'áahjį' nidajikaí doo .
2:19:016:0	Ákódzaago tágí jį́ aleehgo abínígo da'di'ní áádóó nída'iilgęsh áádóó dził bąąhdóó k'os diłhił , índa deenásts'aa' bidee' bee í'dílzoołí ayóó íits'a'go diits'a' , áko diné dah yinéłígíí t'áá ałtso éí yik'ee bitah dahoditłid .
2:19:017:0	Áko Mózes éí Ízrel dine'é ninínáádóó Diyin God yaa dookah biniyé ch'íiní'eezhgo dził tsį́įdi áłah silį́į́' .
2:19:018:0	Áko Dził Sáínai t'áá át'é łid bąąh hazlį́į́' , háálá dzi ł bikáa'jį' Bóhólníihii éí kǫ' yił hadah hóóle' , áko déédíljahdóó łidígíí nahalin , áádóó dził ayóó át'éego naha'ná .
2:19:019:0	Áádóó deenásts'aa' bidee' bee í'dílzoołí nineezgo diits'a'ígíí t'óó náás áániiłgo t'áá íiyisí diits'a'go Mózes haadzíí' , áádóó Diyin God biinéé' diists'ą́ą'go ánááhodoo'niid .
2:19:020:0	Áko Dził Sáínai bighą́ą'di t'áá dził bikáa'jį' Bóhólníihii hadahóóle' , áádóó Mózes hágo yidííniidgo Mózes ákóde haayá .
2:19:021:0	Áádóó Bóhólníihii éí Mózes áyidííniid , Hadáánídáahgo diné hazhó'ó bi'níłnííh , áko Bóhólníihii doo deidínóolgęsh da biniyé bá hoodzoígíí doo yitis dookah da , doodago éí lą́'í ádoodįįł .
2:19:022:0	Áko nááda'iiłniihii ałdó' Bóhólníihii yit'áahjį' dookahígíí bíni'dii dadiyingo ats'á'ádadidoot'ááł , áko Bóhólníihii doo nabidoołtsił da .
2:19:023:0	Áko Mózes éí Bóhólníihii áyidííniid , Diné doo Dził Sáínai yóokááh át'ée da , háálá t'áá íiyisí bee ánihidííníniidgo ádíní , Dziłtsį́įgi hoodzoígíí doo bitis na'adáágóó dził dílzingo nidinoh'aah .
2:19:024:0	Áko Bóhólníihii áhodííniid , Nílááh , hadáánídáahgo áádę́ę́' Éran bił hadíí'ash , nidi nááda'iiłniihii áádóó diné éí Bóhólníihii bit'ááh deeshááł danízingo bá hoodzoígíí t'ááká yitis wokááh lágo ; ákódaadzaago Bóhólníihii nabidoołtsił .
2:19:025:0	Áko Mózes éí diné yich'į' hadanáádzáago yee yił hoolne' .
