2:26:001:1	Níbaal bii' hodílzinii
2:26:011:0	Ahidahidiiłtsooz doo biniyéhígíí béésh łitsoii ił dah nídaatį́hí ashdladiingo ádadoohłííł , áko łoh bighá nídaatsihgo yee da'ahótą'go níbaal t'áá ła' bizhi'ee si'ą́ą dooleeł .
2:26:012:0	Áádóó níbaal bii' hodílzinii bitis hííkaadii ch'íhííłtsooz dooígíí éí níbaal bikéédę́ę'go ła' t'áá ałní'ídóó ch'íhííłtsooz doo .
2:26:013:0	Áádóó níbaal bii' hodílzinii bik'ínáltih doo biniyé bitis hííkaadii t'áá ałch'ijí booshk'iizhjį' ch'íhííłtsooz dooígíí éí t'ááłá'í ké siláádóó ná'áłníi'go áníłtéél ch'íhííłtsooz doo .
2:26:014:0	Náá'áłdó' deenásts'aa' bikágí daaldzą́ągo deilchii'go índa nahashch'id bikágí daaldzą́ągo níbaal bik'ídooltih biniyé ánáádadoohdlííł .
2:26:015:0	Tsin nitł'izii bee tsin neheeshjíí' ályaii níbaal bii' hodílzinii bá neelkáal dooígíí ádadoohłííł .
2:26:016:0	Tsin neheeshjíí' t'ááłá'í nítánígo ashdla'áadah ké silá ádaníłnéez doo ; t'ááłá'í nítánígo naaki ké siláádóó táá' asdzoh ádaníłtéel doo .
2:26:017:0	Tsin neheeshjíí' neelkáalii t'ááłá'ígo biyaadóó naaznilígíí naaki bąąh ha'íí'áago ádadoohłííł ; kót'éego níbaal bii' hodílzinii bá tsin neheeshjíí' t'áá ałtso ádadoohłííł .
2:26:018:0	Níbaal bii' hodílzinii bá tsin neheeshjíí' éí shádi'ááhjí naadiingo noolkáal dooígíí ádadoohłííł .
2:26:019:0	Áádóó dízdiingo béésh łigaii t'ááłáhíjí biih dahasdzánígíí tsin neheeshjíí' naadiingo bitł'ááh sinil doo biniyé ádadoohłííł ; tsin neheeshjíí' t'ááłá'í nítánígo bitł'ááh sinil dooígíí naakigo ádadoohłííł .
2:26:020:0	Áádóó níbaal bii' hodílzinii bá tsin neheeshjíí' náhookǫsjí noolkáál dooígíí naadiingo ánáádadoohdlííł ,
2:26:021:0	índa dízdiingo béésh łigaii t'ááłáhíjí biih dahasdzánígíí tsin neheeshjíí' bitł'ááh sinil doo biniyé ałdó' ánáádadoohdlííł ; tsin neheeshjíí' t'ááłá'í nítánígo bitł'ááh sinil dooígíí naakigo ánáádadoohdlííł .
2:26:022:0	Áádóó níbaal bii' hodílzinii bá e'e'aahjí tsin neheeshjíí' éí hastą́ągo ánáádadoohdlííł .
2:26:023:0	Índa níbaal bii' hodílzinii bikéé'jí naanáz'áhígi éí t'áá ałch'ijí bá tsin neheeshjíí' yaa'áa doo biniyé ádadoohłííł .
2:26:024:0	Áko bitł'áahdi t'éiyá t'óó ahiní'áa doo , nidi dego yaa'áhíjį' béésh názbąsii bąąh si'ą́ągo ałch'į' yótą'go t'áá ałch'ijí bee nástł'ahgi ákót'éego ádadoohłííł .
2:26:025:0	Ákohgo tsin neheeshjíí' tseebíigo áádóó bitł'ááh sinil dooígíí béésh łigaii t'ááłáhíjí biih dahasdzánígíí hastą́'áadahgo ádadoohłííł ; tsin neheeshjíí' t'ááłá'í nítánígo naaki bitł'ááh naaznil doo .
2:26:026:0	Áádóó tsin nitł'izii bee tsin daníyizii ashdla'go níbaal bii' hodílzinii booshk'iizhjí naaniigo tsin neheeshjíí' bąąh daní'áa doo biniyéhígíí ádadoohłííł ,
2:26:027:0	áádóó náánáłahjí booshk'iizhjí ałdó' ashdla'go naaniigo bąąh daní'áa doo biniyé índa náá'ashdla'go éí níbaal bii' hodílzinii e'e'aahjígo ałdó' naaniigo bąąh daní'áa doo biniyé ádadoohłííł .
2:26:028:0	Ałníí'góó tsin níyizii ní'áa dooígíí éí t'áá níléijį' ha'naa hadii'áa doo .
2:26:029:0	Tsin neheeshjíí' éí óola bik'ídaasti'go ádadoohłííł , áádóó óola názbąsgo bąąh yí'nilgo tsin níyizii naaniigo bąąh daní'áa dooígíí bii' nídaditsih dooígíí ałdó' ádadoohłííł , índa tsin níyizgo ii' nídaditsih dooígíí ałdó' óola bik'ídaasti'go ádadoohłííł .
2:26:030:0	Áko níbaal bii' hodílzinii binahosé'ą́ągo dziłghą́ą'di nił ííshjání áshłaaígíí bik'ehgo nidadooh'ááł .
2:26:031:0	Áádóó ata'naníbaal dooígíí ádoolnííł ; éí yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii biyi'jį' yistł'ǫ́ǫgo , diyingo nidaal'a'í chérabim wolyéii bee nidaashch'ąą'go dayiichįįhgo ádeidoolííł .
2:26:032:0	Áko ata'naníbaal dooígíí bá tsin nitł'izii dį́į'go ííyah danii'áa dooígíí óola bik'ídaasti'go ádadoohłííł , áádóó óola bąąh hadaazhahgo ádadoohłííł , índa dį́į'go bitł'ááh sinil dooígíí béésh łigaii t'ááłáhíjí biih dahasdzánígíí bee ádadoohłííł , áko ata'naníbaal dooígíí dadidoołbał .
2:26:033:0	Ił dah nídaatį́hí bąąh yí'nilígíí bee dadidoołbał , índa tsits'aa' dílzinii éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii éí ata'naníbaalígíí bine'jí náwóne'édi yah adadooh'ááł , áko ata'naníbaal dooígíí éí hodiyingo haz'ánídóó ts'ídá aláahgo hodiyingo haz' ánígíí bits'ąą nanihinil doo biniyé bita'ndadoołbałgo t'áá ał'ąą haz'ą́ą doo .
2:26:034:0	Aa a'ááh hasinii bił haz'áanii éí tsits'aa' dílzinii bidań'dítį́įhgo ádadoohłíiłgo ts'ídá aláahgo hodiyingo haz'ání góne' nidadooh'ááł .
2:26:035:0	Ata'naníbaalídóó tł'óó' bich'ijígo bikáá' adání nidadooh'ááł , índa bee hool'iní éí níbaal bii' hodílzinii bii' bikáá' adání si'ánígíí binaashiijí shádi'ááhjígo nidadooh'ááł ; bikáá' adání éí náhookǫsjí si'ą́ą doo .
2:26:036:0	Níbaal bii' hodílzinii bich'é'étiingi dáádiníbaal dooígíí yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii biyi'jį' yistł'ǫ́ǫgo naashch'ąą'go bee ádadoohłííł .
2:26:037:0	Dáádiníbaal bá tsin nitł'izii ashdla'go ííyah danii'áa dooígíí bąąh hada'azhahgo ádadoohłíiłgo óola bik'ídadoołtih ; éí bąąh hada'azhah dooígíí ałdó' óola bee ádadoohłííł , áádóó ashdla'go bitł'ááh sinil dooígíí béésh łitsoii t'ááłáhíjí biih dahasdzánígíí ádadoohłííł .
