2:39:001:1	Nááda'iiłniihii dabi'éé' álnéhígíí
2:39:011:0	naaki góne' hanáádiit'i'ígíí éí émerald , áádóó sáfair , índa dáíman ;
2:39:012:0	táá' góne' hanáádiit'i'ígíí éí jéísinth , áádóó égad , índa ámethist ;
2:39:013:0	dį́į́' góne' hanáádiit'i'ígíí éí béril , áádóó ániks , índa jásper ; t'ááłá'í ní'ánígo óola binídadeesghasgo ádaalyaa .
2:39:014:0	Tsé naakits'áadahgo Ízrel biye'ké dabízhi' éí tsé hasht'e'niyída'ak'aashii tsé yinída'ak'aashgo Ízrel biye'ké naakits'áadahígíí dabízhi' t'ááłá'í nítínígo bik'ehgo ádaalyaa .
2:39:015:0	Ayidgi dah siłtsoozígíí bá tł'óół ałk'ésgizígi át'éego óola t'áá bízhání da'ahólzha'ígíí ałk'ésgizgo ádayiilaa ;
2:39:016:0	óola ahéédeelghasígíí naaki áádóó óola názbąsí naaki áyiilaa , áko ayidgi dah siłtsoozígíí t'áá ałch'ijí éí óola názbąsí bąąh dah sinilgo ádayiilaa ,
2:39:017:0	índa óola ałk'ésgizgo ályaaígíí naaki éí ayidgi dah siłtsoozígíí t'áá ałch'ijí óola názbąsgo naaki bąąh sinilígíí yídayiishcha' .
2:39:018:0	T'áá ałch'ijí nineel'ánídóó óola ałk'ésgizígíí bits'ánít'i'gi ałdó' óola naakigo ahéédeelghasígíí yídayiishcha'go éí bee ayidgi dah siłtsoozígíí íífad wolyéii bik'ijį' awostisjį' t'áá ałch'ijí bídajiishcha' .
2:39:019:0	Índa óola názbąsgo naaki ánáádayiidlaago ayidgi dah siłtsoozígíí yaago nineel'ání biyi'dóó íífad bich'į'go dah sinilgo ádayiilaa .
2:39:020:0	Áádóó óola názbąsgo naaki ánáádayiidlaa , áko éí íífad bik'ijį' awostisdóó t'áá ałch'ijí háát'i'ígíí yaago ninít'i'gi bąąh dah sinilgo ádayiilaa ; t'áá sis íífad bąąh nít'i'ígíí baa nahodeesgį'go yistł'ónígíí béheeshcha'gi bąąh sinilgo ádayiilaa .
2:39:021:0	Áádóó ayidgi dah siłtsoozígíí óola názbąsgo bąąh dah sinilii éí íífad wolyéii óola názbąsgo bąąh dah sinilígíí tł'óółts'ósí yá nahalingo dootł'izhígíí yee yídayiistł'ǫ́ , áko ayidgi dah siłtsoozígíí éí sis íífad bąąh nít'i'ígíí baa nahodeesgį'go yistł'ónídóó bidejígo siłtsooz doo , áádóó íífad doo bits'ą́ą́' nidi'doolts'ił da ; Bóhólníihii éí Mózes yich'į' yee haadzíi'ii bik'ehgo ádayiilaa .
2:39:022:0	Íífad wolyéii biyaadi éé' agod ta'jį' nineel'ánígíí ałdó' t'áá át'é yá nahalingo dootł'izhígíí bee yistł'ǫ́ǫgo áyiilaa ,
2:39:023:0	áko éí é'ígíí biih ná'nít'áahgo biih ná'ádáahgo doo adoodlał da biniyé bizénághą́ą́ gónaa yistł'ǫ́ǫgo béésh éé' bee na'abaahii ál'ínígi át'éego yíidiiłkad .
2:39:024:0	Éé' agod ta'jį' nineel'ánígíí bibąąhgi ajánilgi át'éego pámgrenit aneest'ą' dijoolígi át'éego éí yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí áádóó łichxí'ígíí índa áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee ádayiilaa .
2:39:025:0	Óola t'áá bízhání yoo' achaaí ádayiilaa , áko pámgrenit aneest'ą' éí yoo' achaaí bił ałta'nínilgo ajánil ádayiilaa ;
2:39:026:0	yoo' achaaí índa pámgrenit aneest'ą' bił ałta'yí'nilgo ajánil ályaago éí éé' agod ta'jį' nineel'ánígíí biih ná'ádáahgo na'al'a' doo biniyé Bóhólníihii éí Mózes yich'į' yee haadzíi'ii bik'ehgo ádayiilaa .
2:39:027:0	Éran áádóó biye'ké bá éé' nineezígíí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee deiztł'ǫ́ǫgo ádayiilaa ,
2:39:028:0	índa ch'ah dijoolí éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii bee yistł'ǫ́ǫgo ádayiilaa , áádóó Éran biye'ké bich'ah éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii bee yistł'ǫ́ǫgo ałdó' ádayiilaa , índa tł'aaji'éé' ałdó' áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii bee yistł'ǫ́ǫgo há ádayiilaa ,
2:39:029:0	áádóó sis bee áká ná'álzisígíí éí yisdizii yá nahalingo doot ł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii biyi'jį' naashch'ąą'go yistł'ǫ́ǫgo ádayiilaa ; Bóhólníihii éí Mózes yich'į' yee haadzíi'ii bik'ehgo ádayiilaa .
2:39:030:0	Béésh t'ą́hí dílzinii átáa'gi dah sitánígíí éí óola t'áá bízhání yee ádayiilaa , áádóó kóníigo tsé bii' na'ashk'aazhgo yízhí bik'i sinilígi át'éego Bóhólníihii Bá Ats'á Deet'ą́ yikáá' ádayiilaa .
2:39:002:1	Níbaal bii' hodílzinii bii' ałtso hahodidzaa
2:39:031:0	Ch'ah dijoolí bikáá' átáa'gi tł'óółts'ósí yá nahalingo dootł'izhígíí bee bíhidoolchah biniyé bíheestł'ǫ́ ; Bóhólníihii éí Mózes yich'į' yee haadzíi'ii bik'ehgo ádayiilaa .
2:39:032:0	Kót'éego níbaal bii' dahozdísinii ałtso yindaashnishgo ałtso hadidzaa áádóó Ízrel dine'é danilíinii Bóhólníihii éí Mózes yich'į' yee haadzíi'ii t'áá ałtso bik'ehgo áda'iilaa .
2:39:033:0	Áko níbaal bii' hodílzinii índa bił chodao'íinii t'áá ałtso éí Mózes baa dajiizhjaa' : ił dah nídaatį́hí tsin neheeshjíí' áádóó tsin níyizii naaniigo bąąh daní'áhígíí áádóó ííyah danii'áii índa bitł'ááh naaznilgo t'ááłáhíjí biih dahasdzánígíí ;
2:39:034:0	deenásts'aa' bikágí niilchii'ígíí índa nahashch'id bikágí daaldzą́ągo atis ahííkaadígíí áádóó ata'naníbaalígíí ;
2:39:035:0	tsits'aa' dílzinii éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii áádóó tsin níyizii bee na'at'áhígíí t'áá bił índa aa a'ááh hasinii bił haz'áanii ;
2:39:036:0	bikáá' adání índa bibeedí t'áá ałtso áádóó Diyin God bich'į' bááh nááhániihígíí ;
2:39:037:0	bee hool'iní bá yadaa'áii óola t'áá bízhání bee ályaii índa bee dahool'inígíí t' áá bikáá' nínilgo áádóó bił chodao'íinii t'áá ałtso t'áá bił índa ak'ah bee hool'in biniyé iih náhádzídígíí ;
2:39:038:0	bikáá' náá'iiniihí óola bee ályaii áádóó ak'ah ak'i yahiidzíidgo bee alzį́įhii áádóó tsin bijeeh dilidgo łikání halchinii índa níbaal bii' hodílzinii bich'é'étiingi dáádiníbaalígíí ;
2:39:039:0	bikáá' náá'iiniihí béésh łitsoii bee ályaii áádóó béésh łitsoii ałnáshizhoozhii áádóó tsin níyizii bee na'at'áhígíí índa bił chodao'íinii t'áá bił ; bii' tá'ádígisí índa bá si'ánígíí ,
2:39:040:0	áádóó níbaal bii' hodílzinii binaa haz'ą́ągi ahééníbaalígíí áádóó bá ííyah danii'áii índa bitł'ááh naaznilii t'ááłáhíjí biih dahasdzánígíí índa ch'é'étiingi dáádiníbaalígíí ; tł'óół índa anídaalkałígíí ; níbaal bii' hodílzinii bee bina'anishii t'áá ałtso ,
2:39:041:0	áko éé' ts'ídá yá'ádaat' éehii yiih nídaakahgo hodiyingo haz'ą́ągi nidaal'a' doo biniyéhígíí áádóó éé' dadílzinii Éran náá'iiłniihii nilíinii báhígíí índa Éran biye'ké nááda'iiłniihii danilíinii éí é'ígíí yee nidahałáa doo biniyéhígíida nidayiizhjaa' .
2:39:042:0	Bóhólníihii éí Mózes yich'į' yee haadzíi'ii bik'ehgo Ízrel dine'é naanish ałtso ła' dayiyiilaa .
2:39:043:0	Áko Mózes éí naanish ałtso ła' dajiilaaígíí hayíísid ; jó , Bóhólníihii éí hach'į' yee haadzíi'ii bik'ehgo ałtso nidaashnish lá . Ałtso nidajishnishígíí Mózes hak'ijisdli' .
