2:33:001:1	Dah doohnééh ho'doo'niid
2:33:010:0	Áko diné t'áá ałtso éí k'os níyizgo níbaal bii' hodílzinii bich'é'étiinjį' análdohígíí nídayiiltsééh bik'eh diné t'áá ałtso nídiijahgo t'ááłá'í nítínígo dabiníbaal bich'é'étiingi nidahałáa łeh .
2:33:003:1	Bóhólníihii éí bidine'é yił hólǫ́ǫ doogo yee nihoní'ą́
2:33:011:0	Áko diné éí bik'is yił yáłti' łeeígi át'éego Bóhólníihii éí Mózes t'áá binii'jį' yich'į' yáłti' łeh . Ákohgo Mózes éí níbaal haal'áhígóó anáhádáahgo bá naal'a'í , Nán biye' Jáshowa dinééh nilį́įgo níbaal bii' hodílzinii doo yits'ágháah da .
2:33:012:0	Mózes éí Bóhólníihii áyidííniid , Shoo , áshidiníí lá , Díí diné ákóde díí'ish . Nidi háí ákǫ́ǫ́ shił dííł'aałígíí t'áadoo shił bééhózingo áshiinilaa da . Ákondi kóshidííníniid lá , Nízhi' bee nééhasin áádóó ajooba' bee nich'oha'néego nąąh tsídíkééz .
2:33:013:0	Éí bąą k'ad , baa nánooshkąąh , ajooba' bee shich'oha'néego shąąh tsídíníkééz ládą́ą́' ; ánít'éii shił ííshjání ánílééh , ákót'éego nééhasin doo . Áádóó ałdó' ajooba' bee shich'oha'néego shaa nitsíníkees doo . Díí dine'é t'áá ni nidine'é át'éego baa nitsíníkees le' .
2:33:014:0	Áko Bóhólníihii ání , Shí honishłónígíí nił honishłǫ́ǫ dooleeł , áádóó háánílyį́įhgo ándeeshłííł .
2:33:015:0	Áko ábijiní , Honílóonii bee doo nihił honílǫ́ǫ́góogo kodóó doo ákóde nihidíí'ish da lá .
2:33:016:0	Háálá shí índa nidine'é ałdó' ajooba' bee nihich'odaha'néego nihąąh tsídíníkézígíí haash yit'éego bééhózin doo ? Nihił honílónígíí bee shí índa nidine'é ałdó' nahasdzáán bikáá'góó náádaała' dine'é t'áá ałtso bił ał'ąą ádaniit'éego bééhózin .
2:33:017:0	Áko Bóhólníihii éí Mózes áyidííniid , Díí baa yáníłti'ígíí bik'ehgo ádeeshnííł , háálá ajooba' bee nich'oha'néego nąąh tsídíkéezgo nízhi' bee nééhasin .
2:33:018:0	Áko Mózes ájíní , Nánooshkąąh , bee ayóó ánít'éii shił ííshją́ą́ ánílééh .
2:33:019:0	Áko Bóhólníihii áhodííniid , Bee yá'ánísht'éhígíí t'áá ałtso ninááł ádeeshłííł , áádóó Bóhólníihii shízhi' nilíinii bee nił hodeeshnih , áádóó t'áá háiida baa jiideeshbaałii éí baa jooshba' doo , índa t'áá háiida baa a'ááh dínéesįįłii éí baa a'ááh nisin doo .
2:33:020:0	Nidi ánáádí'ní , Shinii' éí doo nóół'į́į́' át'ée da , háálá diné ła' shinééł'į́į'go doo hináa da doo .
2:33:021:0	Áko Bóhólníihii ánááhodi'ní , Shoo , shíighahgi haz'ánígi tsé'éłkáa'gi yiizįįh ,
2:33:022:0	áko índa bee ayóó ánísht'éii bee ną́ą́h dideeshááł biniyé tsék'iz góne' nindeeshtééł , áádóó ną́ą́h díyáago nich'ą́ą́ díínísh'nii' doo .
2:33:023:0	Áádóó índa nahjį' anídeesh'nii'go shine'dę́ę́' t'éí yidííłtsééł , nidi shinii' éí doo yidííłtséeł da .
