2:12:001:1	Atis'adeesdzá bee bééhániihii
2:12:016:0	Átsé jínígíí áádóó tsosts'id jínígíí éí hodiyingo áłah ná'ádleeh baa niná'áldah doo ; éí bijį́ doo ni'doonish da ; t'áá hazhó'ó t'ááłá'í jinítínígo ha'át'íhída dajiyą́ą dooleełígíí éí t'éiyá hasht'éédajiil'įįh doo .
2:12:017:0	Áádóó hodílzingo áłah náhdleeh baa nináhkahgi díík'ǫsh t'áágééd bááh ályaii nídaohdį́įh doo , háálá t'áá éí bijį́į́dą́ą́' Ííjip kéyahdę́ę́' nidine'é dah deínéehii ch'íní'eezh ni' . Éí bąą ła'a jį́ hodílzingo áłah náhdleeh góne' náás da'ahíínółchííhgóó bik'eh hoogáałgo ahool'áa doo .
2:12:018:0	Átsé nídízídígíí dį́į́'ts'áadahgóó yoołkáałgo i'íí'ą́ągo díík'ǫsh t'áágééd bááh ályaii nídaodį́įh doo ; éí naadiin ła'góó yoołkáałjį' i'íí'ą́ąjį' ákót'ée doo .
2:12:019:0	Háálá tsosts'id néílkáahjį' danihighan góne' díík'ǫsh doo ła' si'ą́ą da doo , háálá t'áá háiida díík'ǫsh bił bááh ályaii jííyą́'ígíí éí Ízrel dine'é dah deínéehii bits'ą́ąjį' hodi'yoolyééł ; dé'éyóní , doodaii' kéyahgi Ízrel dine'é nilį́įgo yizhchį́į nidi doo bił ho'dólta' da doo .
2:12:020:0	Ha'át'íhída díík'ǫsh bił ályaii doo nídaohdį́įh da doo ; t'áá ałtsogóó kéédahoht'į́įgi díík'ǫsh t'áágééd bááh ályaii t'éí nídaohdį́įh doo .
2:12:021:0	Mózes éí Ízrel dine'é yá aląąjį' naazíinii bíká ázhdííniidgo ábijiní , T'áá nihí dibé yázhí ádá áts'á dahohníiłgo atis'adeesdzá ádoolníłígíí biniyé niha'áłchíní ánéelt'e'ígíí bik'ehgo dibé yázhí nidadoołtsił .
2:12:022:0	Ch'il hísap wolyéhígíí nídadidoołjołgo łeets'aa' háámazí biyi'jį' dił yadahooziidígíí ch'é'étiin siláii ałts'ą́ą́hjí áádóó naadasitánígi bee daashdlish doo . Hoos'įįdjį' nihí t'áadoo tł'óó'góó nidaahkaí .
2:12:023:0	Háálá Bóhólníihii éí Ííjip dine'é bitahgóó hadidoogáałgo atíidoolííł , áko ch'é'étiin siláii ałts'ą́ą́hjí áádóó naadasitánígi bąąh Bóhólníihii éí dił yiyiiłtsą́ągo t'óó ch'é'étiin yitis doogááł , áádóó danihighan góne' na'ałtseedii nihił yah adoogáałgo ła' atínihidoolíłígíí doo yadi'doo'áał da .
2:12:024:0	Díí hodílzingo áłah náhdleeh nídaoł'aahígíí bik'eh hoogáałii nihá áádóó nihiye'ké bá át'éego ahool'áa doo .
2:12:025:0	Ákódzaago Bóhólníihii t'áá bí kéyah baa noohkaidi nihaididoo'áałgo yee nihoní'áanii áadi díí nahadlá nídaoł'aah doo .
2:12:026:0	Áko nihada'áłchíní yínídanihídíłkid doo , áko ádanihididoohniił , Ha'át'íísh biniyé kót'éego nidahohłá ?
2:12:027:0	Áko ádabididoohniił , Díí náá'iiniihii éí Bóhólníihii bi'atis'adeesdzá bee bééhániihii át'é , jó , bí éí Ííjip kéyahgi Ízrel dine'é yitis deeyá ; Ííjip dine'é t'éí íísdįįd yę́ędą́ą́' nihí dah yiikahgi éí deidzíí' . Áko diné yaa ádaadzaago nidahasá .
2:12:002:1	Akée'di be'atí'ályaaígíí alą́ąjį' daazhchíinii daneezná
2:12:028:0	Ízrel dine'é dah diikaigo ákódaadzaa . Bóhólníihii éí Mózes áádóó Éran yich'į' yee haadzí'ígi ádaadzaa .
2:12:029:0	Áko tł'é'ííłníi'go Bóhólníihii éí Ííjip kéyahgi alą́ąjį' nidahaazhchíinii ałtso íísdįįd ; Féro éí habikáá'dóó nahat'áii bikáá' dah dzizdáago há alą́ąjį' yizhchíinii bee hahool'áádóó yaago ná'áyaaí góyaa awáalyaa sidáhígíí bá alą́ąjį' yizhchíinii bee nihool'áajį' ałtso íísdįįd , índa alį́į́' ádaat'éii alą́ąjį' nidahaazhchíinii ałtso íísdįįd .
2:12:030:0	Áko t'áá éí bitł'éé' Féro áádóó bá nidaal'a'í índa Ííjip dine'é t'áá ałtso nídiijée'go ayóó íits'a'go Ííjip kéyahgi cha hááyá , háálá t'áá dahooghanígi ła' dazneezná .
2:12:031:0	Áko t'áá éí bitł'éé' Féro éí Mózes áádóó Éran yíká áníigo ání , Nídoohjeehgo nihílááh ; shidine'é bitahdóó nihí áádóó Ízrel dine'é bił dah doohnéehgo t'áá ádóhnínígi át'éego Bóhólníihii bich'į' nidahohłá .
2:12:032:0	Nihidibé áádóó nihibéégashii nidanołkaadígíí danóołkaad ; ádadooniidígi át'éego ádaohnééh , áádóó shik'ijiidoohdliił .
2:12:033:0	Áádóó Ííjip dine'é honeetehee éí kéyahdóó t'óó hatsxį́įłgo diné yida'as'nii' , háálá ádaaní , Nihí ałdó' t'áá áníiltso dadíníi'nééł , sha'shin .
2:12:034:0	Diné éí hataos'nii' t'ah doo díík'ǫsh bił álnéhígíí hééł ádajiilaago dah dazhdiijaa' ; biyi' tááda'oo'nihí éí daha'éé' bee ałch'į' beda'astł'ǫ́ǫgo dah dazhdiiłjid .
2:12:035:0	Ízrel dine'é éí Mózes bizaad yik'eh dahóół'įįdgo béésh łigaii áádóó óola yódí ádaat'éii índa ée'da éí Ííjip dine'é bídajííkeed .
2:12:003:1	Ízrel dine'é Ííjip kéyahdóó ch'íníná
2:12:036:0	Áádóó Bóhólníihii éí Ízrel dine'é bich'oha'néego Ííjip dine'é baa dajooba'go ábiilaa , áko bídajííkeedígíí haa dayiiznil . Kódzaago Ííjip dine'é t'áá ákohígo ádajiilaa .
2:12:037:0	Áádóó Ízrel dine'é éí Rámsiiz hoolyéédóó Sákath hoolyéejį' jiníná ; diné t'éiyágo éí hastą́ądi neeznádiindi mííl ánéelą́ą́' ; áłchíní t'áadoo bił éélta'góogo .
2:12:038:0	T'óó ahojíyóí dine'é ał'ąą ádajít'éii ałdó' bił jiníná , áádóó dahalį́į́' t'óó adahayóigo dibé índa béégashii dazhnéełkaad .
2:12:039:0	Ííjip kéyahdóó taos'nii' dah dazhdiijaa'ígíí éí díík'ǫsh t'áágééd bááh ádajiilaa ; taos'nii'ígíí doo díík'ǫsh bił ályaa da nít'éé' , háálá Ííjip kéyahdóó t'áadoo t'ah ílíní ch'íhodi'neelkaad ; t'áadoo yist'éí ádá ádajilnéhí .
2:12:040:0	Éí Ízrel dine'é Ííjip kéyahgi t'óó átsééd kéédahat'į́įgo dį́įdi neeznádiindóó ba'aan tádiin nááhai .
2:12:041:0	Dį́įdi neeznádiindóó ba'aan tádiin náháhígíí ałtso nááhaigo Ííjip kéyahdóó Bóhólníihii bidine'é dah deínéehii ch'ídahaazná .
2:12:004:1	Atis'adeesdzá bee bééhániihii náásgóó bik'ehgo baa náá'áldah doo
2:12:042:0	T'áá éí bitł'éé' Bóhólníihii éí Ííjip kéyahdóó ch'íhoní'eezh ; t'áá éí bitł'éé' áhóót'įįdíjį' anáhwiilzhíishgo Ízrel dine'é náás da'ahílchííhgóó Bóhólníihii ch'íbiní'eezhígíí yéédaalniihgo hodílzingo áłah nádleeh nídayiil'aah doo .
2:12:043:0	Áko Bóhólníihii éí Mózes áádóó Éran áyidííniid , Díí atis'adeesdzá bééhániihii néit'aahígíí bik'eh hoogáałii át'é : dé'éyóní doo ła' atah adooyį́įł da .
2:12:044:0	Nidi diné t'ááłá'í jinítínígo hanaalte' éí béeso bee nidziisnii'ii bąąh náhidínóolgishgo índa atah ná'ádį́įh doo .
2:12:045:0	Náánáłahdę́ę́' naagháhígíí índa ideenáago naalnishii doo atah adooyį́įł da .
2:12:046:0	T'ááłá'í hooghaní góne' t'éí nídaahdį́įh doo ; éí hooghandóó atsį' doo ła' ch'ídadooh'áał da ; ts'inígíí nidi doo ła' k'ídadoohtih da .
2:12:047:0	Ízrel dine'é t'áá ádzíłtso t'áá ákónída'jiil'įįh dooleeł .
2:12:048:0	Dé'éyóní ła' nihił yikah ládą́ą́' Bóhólníihii bich'į' atis'adeesdzá bééhániihgo hodílzingo áłah ná'ádleeh néit'aahígíí yinízingo háni'dii bighandóó diné danilínígíí t'áá ałtso bąąh nídahidínóolgish áádóó bíni'dii yee atah níyáago hodílzingo áłah ná'ádleeh náyiił'aah doo , índa kéyahgi Ízrel dine'é bi'dizhchíiniigi ájít'ée doo , nidi doo bąąh nídahineeshgizhii éí doo ła' atah dazh'dooyį́įł da .
2:12:049:0	Kéyahgi Ízrel dine'é nilį́įgo ho'dizhchíinii índa nihitahgi dé'éyóní éí bee haz'áanii t'ááłá'íígíí bik'ehgo hodílzingo áłah ná'ádleeh níjiil'aah doo .
2:12:050:0	Áko Ízrel dine'é t'áá ałtso ákódaadzaa ; Bóhólníihii éí Mózes áádóó Éran yich'į' yee haadzí'ígíí yida'iilaa .
2:12:051:0	Áádóó t'áá éí bijį́ Bóhólníihii éí Ízrel dine'é dah deínéehii Ííjip kéyahdóó ch'íiní'eezh .
