2:34:001:1	Tsé dilkǫǫhii naaki góne'ígíí
2:34:010:0	Áádóó Bóhólníihii ádííniid , Jó , díí bee nihá hoosh'aah : nidine'é t'áá ałtso dabinááł t'óó bik'ee bił adahayóí ááshłíił doo ; nahasdzáán bikáá'góó t'áá át'éé nít' éé' , doodaii' ał'ąą dine'é bitahgóó t'ah doo ánéehii ááshłíił doo , áko diné bitah nanináhígíí éí Bóhólníihii binaanish deidoołtsééł . Jó , ninahjį' t'óó báhádzidígi át'éii baa nideeshaał .
2:34:011:0	Díí jį́ bee nihich'į' haasdzí'ígíí béédaałniihgo baa dahonohsą́ ; jó , nihilą́ąjį' Ámor dine'é , Kéínan dine'é , Het dine'é , Píírez dine'é , Háíva dine'é índa Jííbas dine'é ch'ídahoniishkaad doo .
2:34:012:0	Ádaa honíyą́ , doodaii' éí kéyahjį' díínéłígi kéédahat'ínígíí bił ahada'díínít'ą́ągo éí łoh nihąąh niit'ą́ nahalin dooleeł ,
2:34:013:0	nidi bibikáá' nááda'iiniihí bits'ą́ą́' nidahidoołchxǫǫł , áádóó bi'eda'alyaii bits'ą́ą́' naa'adahidoołtł'ił , índa bitsin naazkaadii yich'į' nidahałáhígíí nidahidoohtsił .
2:34:014:0	Jó , diyin bidi'níinii doo ła' bich'į' nidahohłáa da dooleeł , háálá Bóhólníihii Łe'nízinii wolyéii , éí Diyin God nilíinii bidine'é yaa łe'nízinii nilį́ .
2:34:015:0	Áko kéyahgi kéédahat'ínígíí doo bił ahadadi'díít'áał da , áádóó éí diné bidiyin dabidi'níinii bił tł'éé' na'aldeehii áádóó bidiyin dabidi'níinii yich'į' náádayiiłniihii t'áá háiida áajį' hágo niłníigo nááyiisnii'ii dííyį́įłgo bił aha'dóót'ááł lágo .
2:34:016:0	Náá'áłdó' dabitsi'ké danilíinii danihiye'ké bá nídahidoohnííł lágo , áko dabitsi'ké bidiyin dabidi'níinii bił tł'éé' na'aldeehii danihiye'ké ałdó' t'ááká yił tł'éé' naaldeeh yíila' .
2:34:017:0	Béésh doolyį́'ígíí bee diyin dabidi'níinii doo ła' ádá ádíílníił da .
2:34:018:0	Díík'ǫsh t'áágééd bááh ályaii yidą́ áńdaał'įįhgo béédaałniih doo . Tsosts'id jį́ díík'ǫsh t'áágééd bááh ályaii nídaahdį́įh dooleeł ; bee nihich'į' haasdzíi'ii bik'ehgo Éíbib yiziłígíí binih ła'a jį́ bee nihoní'áníjį' anáhwiilzhíishgo ákódaaht'į́į doo , háálá Éíbib yiziłígíí binih Ííjip kéyahdę́ę́' ch'ínoohkai ni' .
2:34:019:0	Alą́ąjį' nidaho'diizhchínígíí t'áá ádzíłtso shíí' dajílį́ , índa danihilį́į'da , béégashii áádóó dibéda dabiką'go alą́ąjį' nidahachíhígíí t'áá ałtso daashí .
2:34:020:0	Nidi télii alą́ąjį' nidahachíhígíí bitsásk'ehgi dibé yázhígo bee t'ą́ą́' náádahidoołnih , doodaii' bitsásk'ehgi doo ła' nááhideeshnih da danohsingo éí t'óó bik'os dahohtíih doo . Nihiye'ké alą́ąjį' nidahachíhígíí t'áá ałtso éí dibé yázhí bee t'ą́ą́' náádahidoołnih . Áko nááhániihii t'áágéedgo doo ła' shich'į' nizhdoogáał da .
2:34:021:0	Hastą́ą́h jį́ t'éí ninánílnish doo , nidi tsosts'id jį́į́ góne' hááhílyį́įh doo ; azhą́ nahojiyółdlaad áádóó ajóyizhígi át'ée nidi t'óó hááhílyį́įh doo .
2:34:022:0	Atis'adeesdzá bééhániihgo néiit'aahdóó tsosts'idi Damį́įgo ná'ádleeh biiłkáhí tł'oh naadą́ą́' ts'ídá áłtsé bineest'ą' áłah ánál'įįhgo hodílzingo áłah ná'ádleehígíí béénílniih doo áádóó nídant'į́įhii ałtso nánígishgo hodílzingo áłah ná'ádleeh néił'aahgo nínáhah doo .
2:34:023:0	Nidinéhígíí t'áá ałtso Bóhólníihii Diyin God , t'áá éí Ízrel dine'é biDiyin God nilíinii yich'į' nináhákáahgo táadi ná'ádleehgo nínáhah doo .
2:34:024:0	Jó , dadine'é danilíinii nihilą́ąjį' ch'ídahoniishkaad doo , índa nihikéyah nihá bínáhiish'aah doo , áádóó ákóde Bóhólníihii nihiDiyin God nilíinii bich'į' nináhkahgo táadi ná'ádleehgo nínáhahgo diné doo ła' nihikéyahígíí yidádínóolnih da .
2:34:025:0	T'ááká shinááhániihii bidił éí díík'ǫsh t'áá biłgo nááhółniih lágo ; atis'adeesdzá bee bééhániihii dibé yázhí bitsį' bi'oh da'oodą́'ígíí t'áadoo abíníjį' ła' t'áá ch'íhiniłnéhí .
2:34:026:0	Ts'ídá áłtséedi nihikéyahdóó áłtsé aneest'ą' nídahadleehígíí Bóhólníihii nihiDiyin God bikin góne' nidahohjáah doo . T'ááká tł'ízí yázhí bimá bibe' bee daołbéézh lágo .
2:34:027:0	Áko Bóhólníihii éí Mózes áyidííniid , Díí saad bee ak'e'íłchí ; ni áádóó Ízrel dine'é díí saad bik'ehgo nihił ahadadi'nisht'ą́ .
2:34:003:1	Dził Sáínai bighą́ą́'dę́ę́' Mózes hadanáádzá
2:34:028:0	Áko Mózes éí Bóhólníihii bił hojílǫ́ǫgo dízdiin jį́ áádóó dízdiin tł'éé' azlį́į́' ; t'áadoo ajiyání áádóó t'áadoo ajidlání . Áádóó tsé dilkǫǫhii bikáa'gi saad bee aha'deet'áanii bee ak'e'jishchį́ ; éí neeznáago bik'eh ó'oo'níiłii át'é .
2:34:029:0	Áádóó índa Dził Sáínaidę́ę́' Mózes éí tsé dilkǫǫhii naakigo bikáa'gi neeznáago bik'eh ó'oo'níiłii bee bééhániihii joojihgo dziłghą́ą́'dę́ę́' hadah níjoodáałgo hanii' bits'ádi'nílídígíí doo baa ákoznízingóó nídzídzá ; jó , Diyin God bił ałch'į' yájíłti' nít'éé' .
2:34:030:0	Ákohgo Éran áádóó Ízrel dine'é t'áá ałtso Mózes dayiiłtsą́ągo , shoo , hanii' bits'ádi'nílííd , áko hwéédaaldzidgo hat'áahjį' doo dadikáah da .
2:34:031:0	Nidi Mózes bíká ádííniidgo Éran áádóó áłah ílínígi diné nida'a'eeshígíí t'áá ałtso haa náhaaskai , áko Mózes hach'į' haadzíí' .
2:34:032:0	Áádóó bik'ijį' Ízrel dine'é t'áá ałtso haa haaskai , áko Dził Sáínai bighą́ą'di bik'eh ó'oo'níiłii éí Bóhólníihii hach'į' yee haadzí'ígíí t'áá át'é bee bił hojoolne' .
2:34:033:0	Áádóó índa Mózes éí diné yich'į' ałtso yááłti'go binii'jį' yik'é'ésti' .
2:34:034:0	Nidi Bóhólníihii binááł Mózes yah aníjídáahgo hanii'jį' bik'ésti'ígíí nahjį' aníjíłtsosgo bił ałch'į' yájíłti' łeh , áádóó ch'ééjiidáahgo hanii' bik'ínínáá'jíłtihgo Ízrel dine'é bił náhojilnih ; éí Bóhólníihii hach'į' yee haadzíi'ii bik'ehgo ákójít'į́ .
2:34:035:0	Ízrel dine'é éí Mózes binii' dayiiłtsą́ągo Mózes binii' t'áá íiyisí bits'ádi' nílííd lá , áko Bóhólníihii bił ałch'į' yájíłti' doo biniyé yah anáázhdoodáałjį' hanii' bik'íníjíłtih łeh .
