2:14:001:1	Ízrel dine'é éí Tónteel Łichíí' tsé'naa niikai
2:14:011:0	Áko Mózes ádayidííniid , Da' Ííjip kéyahdiísh łeehwii'nííł ádaadingo honoojíidi dadíníi'nééł biniyé nihíí'ish ? Ha'át'éegoshą' Ííjip kéyahdóó hanihííní'eezhgo doodahági ánihiinilaa ?
2:14:012:0	Shą́ą́' , Ííjip kéyahdi kódadii'níigo nich'į' hadasiidzíi' ni' . Nihíni'dii nideiikaigo Ííjip dine'é t'éí bá nideiil'a' . Jó , honoojíigi t'óó díníi'néłígíí biláahgo Ííjip dine'é bá nideiil'a'jígo nihá yá'át'éeh doo nít'éé' .
2:14:013:0	Áko Mózes éí dine'é áyidííniid , T'áadoo nídaałdzidí ; dziilí bee adahidíínóhsį́ , áko Bóhólníihii bee yisdá'iildéehii deidoołtsééł ; éí díí jį́ nihich'į' ííshjání íidoolííł , jó , Ííjip dine'é díí jį́ daoh'ínígíí hool'áágóó doo náádeidoołtséeł da .
2:14:014:0	Bóhólníihii nihá naabaah doo ; nihí éí t'óó hasht'edínóht'é .
2:14:015:0	Áko Bóhólníihii éí Mózes áyidííniid , Ha'át'íísh biniyé náshiinikąąh ? Ízrel dine'é , Bíni'dii náásgóó wohnééł , bidiní .
2:14:016:0	Áko nigish nídiitįįhgo tónteel bikáa'jigo bił dah didiilníihgo ałts'ádoolk'oł , áádóó Ízrel dine'é éí tónteel biyi' ni' yíłtseii yikáá' ha'naa nidookah .
2:14:017:0	Shí lą́ą , t'áá shí , Ííjip dine'é bijéí dadeestł'isgo nihikéé' adoonééł , áko Féro áádóó bisiláo áádóó bitsindaabąąs bijáád naakiígíí índa łį́į́' yee nidaabaahii bik'eh díshdlį́į'go bee shaa hodoo'nih .
2:14:018:0	Ííjip dine'é éí shí Bóhólníihii nishłį́įgo hoł béédahodoozįįł . Féro áádóó bitsindaabąąs bijáád naakiígíí índa łį́į́' yee nidaabaahii bik'eh díshdlį́į'go bee shaa ha'niihgo ádeeshłííł .
2:14:019:0	Áko Diyin God bidiyingo naal'a'í éí Ízrel dine'é dah yinéełii yoo'ishígíí dah diiyáago hakéédę́ę'go niníyá , áádóó k'os níyizígíí hadááhdóó dah diildogo hakéédę́ę'go niildo .
2:14:020:0	Áko Ííjip dine'é dah yinéełii índa Ízrel dine'é dah yinéełii bita' gónaa niildo , áko Ííjip dine'é bich'į'go éí k'os áádóó chahałheeł hazlį́į́' , nidi łahjiígíí éí tł'ée'go bá adinídíín , ákohgo t'áadoo ałt'áahjį' dazdeeskaí yiską́ .
2:14:021:0	Áko Mózes éí tónteel yikáa'jigo dah didiilnii'go Bóhólníihii éí ha'a'aahdę́ę'go tł'éé' bíighah ayóó át'éego níyolgo áyiilaa ; éí bee tónteel t'ą́ą́' anáálzhiizh ; tónteelígíí ałts'á yííłk'olgo ni' yíłtseigo áyiilaa .
2:14:022:0	Áko Ízrel dine'é éí tónteel biyi' ni' yíłtseii yikáá' ha'naa deezná , áko honish'náájí índa honishtł'ají ałts'ą́ą́hjí tó nihidii'á silį́į́' .
2:14:023:0	Áko Ííjip dine'é éí tónteel biyi' góne' hakéé' dah diináago Féro bilį́į́' áádóó bitsindaabąąs bijáád naakiígíí índa łį́į́' yee nidaabaahii t'áá ałtso yee hakéé' ííná .
2:14:024:0	Ákódzaago yikáít'áahjį' ayííłką́ągo kǫ' éí k'os bił níyizgo yildohígíí biníkáádę́ę́' Bóhólníihii éí Ííjip dine'é siláo yinééł'į́į'go yich'į' hodiisnáá' .
2:14:025:0	Áko tsindaabąąs bijáád naakiígíí bijáád yits'ą́ą́' yeidiyiiníiłgo nidahidinikááh silį́į́' ; éí bąą Ííjip dine'é ádadííniid , Bíni'dii Ízrel dine'é bits'ą́ąjigo t'ą́ąjį' dah didiijah , háálá Bóhólníihii éí Ííjip dine'é yich'į' anaa' ííł'į́ .
2:14:026:0	Áádóó Bóhólníihii éí Mózes áyidííniid , Tónteel bikáa'jigo dah didiilnííh , áko Ííjip dine'é áádóó bitsindaabąąs bijáád naakiígíí índa łį́į́' yee nidaabaahii tó bik'i diilkǫǫh .
2:14:027:0	Áko Mózes éí tónteel bikáa'jigo dah didiilnii' áádóó hayííłką́ągo tónteel ałch'į' kónádzaago nídiilkǫ' , áko Ííjip dine'é éí tónteel biyi' tsístł'aaskai , áádóó Bóhólníihii éí Ííjip dine'é bik'ijį' tó ahinéidiiłk'olgo íísdįįd .
2:14:028:0	Áko tóhígíí ałch'į' kónádzaago tsindaabąąs bijáád naakiígíí índa łį́į́' yee nidaabaahii áádóó Féro bisiláo t'áá ałtso tónteel biyi' góne' hakéé' íínáago tó bik'i diilkǫ' ; t'ááłá'í nidi t'áadoo ła' yidzíi' da .
2:14:029:0	Nidi Ízrel dine'é éí tónteel biyi' ni' yíłtseii yikáá' ha'naa niníná , jó , honish'náájí índa honishtł'ají ałts'ą́ą́hjí tó nihidii'á .
2:14:030:0	Ákódzaago t'áá éí bijį́į́dą́ą́' Bóhólníihii éí Ííjip dine'é bits'ą́ąjį' Ízrel dine'é yisdáyíínil , áko Ízrel dine'é éí Ííjip dine'é daneeznáago tábąąhgóó nihidíl'áago dayiiłtsą́ .
2:14:031:0	Áko Ízrel dine'é éí Bóhólníihii ayóó át'éego Ííjip dine'é áyííł'įįdígíí dayiiłtsą́ągo Bóhólníihii deidísin silį́į́' , áádóó Bóhólníihii índa bá naal'a'í Mózes dayoosdląąd .
