2:37:001:1	Tsits'aa' dílzinii álnéhígíí
2:37:017:0	Bee hool'iní bá yadaa'áhígíí éí óola t'áá bízhání yee áyiilaa . Óola hasht'e'nibízhníłne'go bá si'ánígíí áádóó dego bá yadaa'áhígíí áádóó bílátah dah na'azką́ągo ak'ah biih náhádzíid dooígíí áádóó éí bitł'ááh ní'deeskǫ'ígíí índa ch'ilátah hózhóón bee naashch'ąą'ii éí t'áá ła' bizhi'ee áyiilaa .
2:37:018:0	Hastą́ągo ats'áda'az'á ; bee hool'iní bá yadaa'áhígíí łahjí táá' bits'ání'á ; náánáłahjí ałdó' táá' bits'ání'á ;
2:37:019:0	t'ááłá'ígo ats'áz'áhígíí álman wolyéii bílátah yiigahígíí táa'go ałkéé' honíką́ągo bee naashch'ąą' ; bílátah haleehii áádóó yiigahígíí t'áá bił bee hool'iní bá yadaa'áhígíí hastą́ągo bits'ádaaz'áhígíí ákót'éego áyiilaa .
2:37:020:0	Bee hool'iní bá yadaa'áii dį́į'go ałk'i honíką́ągo álman wolyéego ch'ilátah hózhóón nahalingo yee neizhch'ąą' .
2:37:021:0	Naakigo ałts'ą́ąjį' dadeez'áhígi t'áá táa'go bitł'áahgi nída'deeskǫ'go bił t'áá ła' bizhi'ee áyiilaa .
2:37:022:0	Ałts'ádaaz'áhígíí áádóó ałkéé' honíkánígíí éí bá yadaa'áhígíí bił t'áá ła' bizhi'ee áyiilaa ; bee hool'iní t'áá át'é éí óola t'áá bízhání hasht'e'niyí'níłne'go t'áá ła' bizhi'ee áyiilaa .
2:37:023:0	Bee hool'inígíí tsosts'idgo áádóó kǫ' bee náhiniltsésí índa łeeshch'iih bee naakáhí éí óola t'áá bízhání yee áyiilaa .
2:37:004:1	Tsin bijeeh dilidgo łikání halchinii bá bikáá' náá'iiniihí álnéhígíí
2:37:024:0	Bee hool'iní bá yadaa'áii índa beedí chodao'íinii t'áá ałtso éí óola t'áá bízhání t'ááłá'í tálent dah hidiidloh bíighahgo yee áyiilaa .
2:37:025:0	Bikáá' náá'iiniihí bikáa'jį' tsin bijeeh dilidgo łikání halchinii nááhániih doo biniyéhígíí tsin nitł'izii yee áyiilaa ; t'ááłá'í ké siláádóó ná'áłníi'go áníłnééz áádóó naaniigo t'ááłá'í ké siláádóó ná'áłníi'go áníłtéél , áko dik'ą́ągo áyiilaa ; dego éí táá' ké silá ánízah ; bidee' hadaaz'áhígíí bił t'áá ła' bizhi'ee áyiilaa .
2:37:026:0	Óola t'áá bízhání yik'ídeisti' ; bikáá'dę́ę́' áádóó booshk'iizh naaz'áhígíí índa bidee' hadaaz'áhígíí ákóyiilaa , áádóó ałdó' bibąąhgóó óola ahénálch'ahgo áyiilaa .
2:37:027:0	Índa biyaagi t'áá ałch'ishjí tsin níyizii ii' ní'áago bee naat'á biniyéhígíí bá óola názbąsgo bąąh dah sinilgo áyiilaa .
2:37:005:1	Ak'ah ak'i yahiidzíidgo bee alzį́įhii áádóó tsin bijeeh dilidgo łikání halchinii álnéhígíí
2:37:028:0	Tsin nitł'izii níyizii áyiilaaígíí óola bik'ésti'go áyiilaa .
2:37:029:0	Dílzingo ak'ah ak'i yahiidzíidgo bee alzį́įhii índa spáis łikání ts'ídá nizhóníii bee tsin bijeeh dilidgo łikání halchinii áyiilaa ; bił bééhózinii ałtahgo ííł'ínígi át'éego áyiilaa .
