42:9:001:1	Pen . ix .
42:9:033:0	Ac ys darvu , a’ hwy yn ymadael ywrthaw , Petr a ddyuot wrth yr Iesu , Y llywiawdur , ys tec yw i ni vod ymā , gwnawn gan hyny dri phepyll , vn i ti , ac vn i Voysen ac vn i Elias , ac ny wyddiat pa beth a ddywedei .
42:9:034:0	Ac ef yn ymadrodd val hyn , y daeth wybren ac y gwascotawdd hwy , ac wy a ofnesōt pan oedd yr ei hyn yn myned y mewn ir wybren .
42:9:035:0	Ac e ddaeth llef allan o’r wybren , yn dywedyt , Hwn yw vy Map y caredic , clywch ef .
42:9:036:0	A’ gwedy darvot y llef hono , y cahad yr Iesu yn vnic : ac wy nyd ynganesont , ac ny vanegesont i nebun yn dyddieu hyny ddim o’r pethae a’ welsynt .
42:9:037:0	A’ darvu ar y dydd nesaf , ac wy yn dyuot y wared o’r mynyth , yr oedd llawer o popul yn cyfarvot ac ef .
42:9:038:0	A’ nycha , ’wr o’r dyrfa a ddolefawdd , gan ddywedyt , Athro , adolwyn yty , edrych ar vy map : can ys vy vn‐map y gyd ydyw .
42:9:039:0	A’ nycha , yspryt y cymer ef , ac yn ddysumwth y llefa , ac ef ei rhwyg , y ny valo‐ewyn a’ braidd yr ymedy ac ef gwedy iddaw ei sigo ,
42:9:040:0	A mi adolygais ith ddiscipulon y vwrw ef allan , ac ny allent vvy .
42:9:041:0	Yno yr atepawdd yr Iesu , ac y dyuot , A genedleth amffyddlawn a’ throvaus , pa hyd bellach y byddaf y gyd a chwi , ac ich dyoðefaf ? Dwc yman dy vap .
42:9:042:0	A’ thra ytoeð ef yn dyuot , y rhwygawð y cythraul ef , ac y drylliawdd : a’r Iesu a gerydawdd yr yspryt aflan , ac a iachaoð y bachcen , ac y rhoes ef at ei dat .
42:9:043:0	A’ brawychy a wnaethant oll gan vawredic veðiant Duw : ac a ’n wy oll yn ryveddu am yr oll pethe a wnethesei ’r Iesu , y dyuot wrth ei ddiscipulon ,
42:9:044:0	Clustymwrandewch y gairiae hyn : can ys‐dervydd y , rhoddir Map y dyn yn‐dwylo dynion .
42:9:045:0	Eithyr ny ddeallesont wy ’m ’or gair hwnvv : can ys cuddietic oedd racddynt , val na synniēt ddim hano : ac ofnent ymofyn ac ef y peth hwn .
42:9:046:0	Yno y cyuodes dadl yn y plith wy , pwy ’n o hanaddynt vyddei ’r mwyaf .
42:9:047:0	Pan welas yr Iesu veddyliae y calonae , ef a gymerth vachcenyn , ac ei gesodes yn ei emyl ,
42:9:048:0	ac a ddyuot wrthynt , Pwy pynac a dderbyn y bachcenyn hwn yn vy Enw i , ’sy im derbyn i : a’ phwy pynac am derbyn i , a dderbyn hwn am danvones i : can ys hwn ’sy leiaf yn eich plith chvvi oll , hwnw a vydd mawr .
42:9:049:0	Ac atepodd Ioan , ac a ddyuot , Y llywiawdur , ni welsam vn yn bwrw allan gythraelieit yn dy Enw di , ac ei goharddesam , can nad yw ith ddilyn y gyd a ni .
42:9:050:0	Yno y dyuot yr Iesu wrthaw , Na ’vv ’oherddwch ef ddim : can ys yr hwnn a’r nyd yw yn ein erbyn , y sy y gyd a ni .
42:9:051:0	Ac e ddarvu , gwedy cyflawny y dyddiae val y cymerit ef y vynydd , ef a ddirgyfeiriodd ei wynep i vyn’d i Gaerusalem ,
42:9:052:0	ac a ddanvones genadon oei vlaen : ac wy gerðesont , ac aethont i dref y Samarieit , y baratoi iddo letuy .
42:9:053:0	A’ hwythe ny’s derbynynt ef , can vot y wynebiat ef val yn myned i Gaerusalem .
42:9:054:0	A’ phan welawdd ei ddiscipulon Ioan ac Iaco hyny , y dywetsont , Arglwydd a ewyllysy di ’orchymyn o hanam ar ddescend tan o’r nef , a’ ei difa hwy , megis y gwnaeth Elias ?
42:9:055:0	A’r Iesu a droes , ac y ceryddawdd wy , ac a ddyuot , Ny wyddoch o ba yspryt yð ychwi .
42:9:056:0	Can na ðeuth Map y dyn i y golly einioesoedd dynion , eithyr y’vv cadw . Yno ydd aethon i dref arall .
42:9:057:0	Ac e ddarvu a’ hwy yn myned rhyd y ffordd , y dyuot nebun wrthaw , Mi ath ddilynaf , Arglwyð , i b’le bynac ydd elych .
42:9:058:0	A’r Iesu a ddyuot wrthaw , Ir llwynogot y mae dayerydd , ac i adar y nef y mae nythot , ac i Vap y dyn nyd oes lle i roi ei ben i lawr .
42:9:059:0	Ac ef a ddyuot wrth vn arall Dilyn vi . Ac yntef aysyganei , Arglwydd , goddef i mi yn gyntaf vyned a’ chladdu vy‐tad .
42:9:060:0	A’r Iesu a ddyuot , wrthaw , Gad ir meirw gladdu ei meirw hvvy : a’ do’s tithe a’ phrecetha deyrnas Duw .
42:9:061:0	Yno eb yr vn arall , Dylynaf di , Arglwydd : and gad i mi yn gyntaf vyn’d a’ chanu yn iach ir ei sy i’m tuy .
42:9:062:0	Ac wrtha y dyuot yr Iesu , Nid oes nebun a’r a ddyd ei law ar yr aratr , ac a edrycho ar bethe y tu cefyn yn gyfaddas i deyrnas Duw .
