42:6:001:1	Pen . vj .
42:6:022:0	Gwyn eich byd pan ich casao dynion , a’ phan ich gohanant , a’ ch’ divenwi , a’ bwrw allan eich enw val yn ðrwc er mwyn Map y dyn .
42:6:023:0	Byddwch lawen yn y dydd hwnw , a’ byddwch‐hyfryt : can ys nycha , eich gwobr ’sy vawr yn y nefoedd : o bleit yn y modd hyn y gwnaeth y tadae hwy ir Prophwyti .
42:6:024:0	Eithr ys gwae chwi yr ei goludawc : can ys derbyniesoch eich diðanwch .
42:6:025:0	Gwae chvvy chwi ’r ei llawn can ys chvvi a newynwch . Gwae chwy chvvi a’ chwarddvvch yr awrhon : can ys chvvi a gwynfenwch , ac a wylwch .
42:6:026:0	Gwae chwy chvvi pan ddyweto pop dyn ddayoni am danoch : can ys velly y gwnaeth y tadae wy ir gau-prophwyti .
42:6:027:0	An’d wrthych y dywedaf , yr ei a glywch , Cerwch eich gelynion : gwnewch dda ir sawl ach casant :
42:6:028:0	Bendithiwch y sawl ach melltithiant , a’ gweddiwch tros y sawl a wnant eniwet y’wch .
42:6:029:0	Ac i hwn ath trawo ar yn aill gern , cynic hefyd y llall : ac i hwn a ddwc ymaith dy gochyl , na ’o hardd ddvvyn dy bais hefyd .
42:6:030:0	Dyrro i bawp a arch y ti : a’ chan hwn a ddwc ymaith dy dda , nag arch drachefyn ,
42:6:031:0	Ac val yr wyllysoch wneuthur o ddynion i chwi , a’ gwnewch chwitheu yddynt wy yr vn ffynyt .
42:6:032:0	Can ys a cherwch yr ei ach carant , pa tra ddiolch vydd ychwi ? o bleit ys y pechaturieit a gar yr ei y car wythe .
42:6:033:0	Ac a’s gwnewch‐dda i’r sawl a wnant dda i chwithe , pa ’ra ddiolwch vyð ychwy ? o bleit y pechaturieit a wnant ys yr vn peth .
42:6:034:0	Ac a’s benthycwch ir ei y gobeithiwch dderbyn ganthyn drachefn , pa ’ra ddiolvvch vydd ychwy ? can ys‐y‐pechaturieit a venthycant i’r pechaturieit , er aderbyn y cyfryw .
42:6:035:0	Can hyny cerw‐chwi eich gelynion , a’ gwnewch‐ða , a’ benthycwch eb edrych am ddim drachefyn , a’ch gvvobyr a vyð lliosawc a’ phlant vyddwch ir Goruchaf : can ys‐ef ’sy garedic ir ei ancaredic , ac i’r ei drwc . Yr euangel y iiij . Sul gwedy Trintot .
42:6:036:0	¶ Byddwch gan hyny drugarogion , megis ac y mae eich Tat yn trugaroc .
42:6:037:0	Na varnwch , ac nich bernir : na ðamnwch ac ni’ch damnir : maddeuwch , ac ich maddeuir .
42:6:038:0	Rowch , ac e roddir ychwy : mesur da dwys , wedy ’r gyd yscwyt , ac yn myned trosodd a roddant yn eich monwes : can ys a’r vn mesur y mesuroch , y mesurir ychwy : drachefyn .
42:6:039:0	Ac ef a ddyvot ar ddamec wrthwynt . A ddychon ydall arwein y dall ? a ny chwympant ill dau yn y ffoss ?
42:6:040:0	Nyd yw’r discipul uch pen ei athro : anid pwy bynac a vydd discipul perffeith , a vydd val ei athro .
42:6:041:0	A’ phaam y gwely vrycheuyn yn llygat dy vrawt , a’r trawst y sy yn dy lygat dy hun nyd wyt yn ystyriet ?
42:6:042:0	Ai pa vodd y gelly ddywedyt wrth dy vrawt , Y brawt , gad i mi dynu allan y brychaeyn ys id yn dy lygat , a’ thydy eb welet y trawst ys yd yn dy lygat vn ? Hipocrit , bwrw allan , y trawst oth lygat dy hun yn gyntaf , ac yno y gwely yn amlwc , dynu allan y brychaeyn y sydd yn llygat dy vrawt .
42:6:043:0	Can nyd da pren a ðwco ffrwyth drwc : na phrē drwc a dduco ffrwyth da .
42:6:044:0	Can ys pop pren a adwaenir wrth ei ffrwyth y hun : can nad o yscall y casclant fficus , nac o ddyrysi y clascant ’rawnwin .
42:6:045:0	Y dyn da ymaes o dresawr da ei galon a ddwc allan dda , a’rdyn drwc ymaes o dresawr drwc ei galon a ddwc allan drwc : can ys o gyflawnder y galon yr ymadrodd ei ’enae .
42:6:046:0	An’d paam y galwch’ vi Arglwydd , Arglwyð , ac ny wnewch y pethae a ddywedaf ?
42:6:047:0	Pwy ’n pynac a ðaw a ta vi , ac a glyw vy‐gairiae ac ei gwna , ys dangosaf ywch’ i bwy ’n y mae ef yn gyffelyp .
42:6:048:0	Cyffelyp yw i ddyn a adailiadai duy , ac a gloddiai yn ðwfyn , ac a ’osodai y sailvaeniat ar graic : a’ phan ddaeth rhyferthwy , y curawdd y llifddvvr ar y tuy , ac ny allei ei yscytwyt : o bleit ei sailiaw ar y graic .
42:6:049:0	Eithyr hwn a glyw ac ny wna , cyffelip yw i ddyn a adailiadai duy ar y ddaiar eb sailvain , ar yr hwn y curawdd y llifddvvr , ac yn ehegr y syrthiawdd : a’ chwymp y tuy hwnw vu ddirvawr .
