42:4:001:1	Pen . iiij .
42:4:033:0	Ac yr oedd yn y Synagog ddyn ac iddaw yspryt cythraelic aflan , yr hwn a lefawð a llef vchel ,
42:4:034:0	gan ddywedyt , Och beth ’sy i ni a wnelam a thi , tydi Iesu o Nazaret ? a ddaethosti in colli ni ? Mi wn pwy ’n wyt , ys ef Sanct y Duw .
42:4:035:0	A’r Iesu a ei ceryddawdd , gan ddywedyt , Ys taw , a’ dos allan o hanaw . Yno ’r cythrael gan ei davlu ef yn y cenol vvy , aeth allan o hanaw , ac ny wnaeth ddim niwed yddaw .
42:4:036:0	Ac e ddaeth ofyn arnynt oll , ac ymadroddynt wrth ey gylydd , gan ddywedyt , Pa beth yw hyn ? can ys trwy awdurdot , a meddiant y gorchymyn ef yr ysprytion bydron , ac vvy ddant allan ?
42:4:037:0	Ac aeth son am danaw dros bop lle o’r amgylch‐wlat .
42:4:038:0	Ac ef a gyuodes i vyny , ac o’r Synagog yd aeth y mywn y duy Simon . A’ chwegr Simon oeð a’ haint‐gwres mawr arnei , ac vvy archesōt iðaw drostei .
42:4:039:0	Yno y safawdd ef vch i phen , ac e geryðawdd yr haint‐gwres , a’r haint y gadawdd hi : ac yn ebrwydd y cyfodes , a’i gweini hvvy a wnaeth hi .
42:4:040:0	Ac wedy myned haul y ymochlyt , y savvl oll a’r oedd ganthynt gleifion o amryw haintiae , ei ducsont ataw , ac ef a ðodes ei ddwylo ar bop vn o hanaddynt , ac y iachaodd hwy .
42:4:041:0	A’ chythraelieit hefyt a ddaeth allan o laweroedd , gan lefain a’ dywedyt , Canys Ti yw’r Christ y Map Duw : ac ef y ceryddawdd hwy , ac ny adawdd yddyn ðywedyt y gwyddent mai efe oedd y Christ .
42:4:042:0	A’ phan oedd hi yn ddydd , yr aeth e oyno y ymddaith i le diffaith , a’r populoedd ai caisiawdd , ac a ddaethant ataw , ac y attaliesant ef rac myned ymaith y wrthynt .
42:4:043:0	Ac yntef a ddyuot wrthynt , Diau vod yn ddir hefyd i mi precethy teyrnas Duw y ddinasoedd eraill : can ys i hyny im danvonwyt .
42:4:044:0	Ac ef a precethawdd yn‐dinasoedd Galilaia .
