42:13:001:1	Pen . xiij .
42:13:019:0	Cyffelyp yw i ’ronyn o had mustard , yr hwn a gymerei ðyn ac a heuhei yn dy ’arð , ac a dyvei , ac ’ai yn brē mawr , ac ehediait y nef a nythent yn ey gangae
42:13:020:0	A’ thrachefn y dyuot , I ba beth y cyffelypaf deyrnas Duw ?
42:13:021:0	Cyffelyp yw i surdoes , ’rhwn a gymrei wreic , ac ei cuddiei mewn tri chibened o vlawd , yn y surei oll .
42:13:022:0	Ac ef a gerddawdd trwy ’r oll ddinasoedd a’ threfi , gan ei dyscu , gan ymddaith tu a’ Chaerusalem .
42:13:023:0	Yno y dyuot vn wrthaw , Arglwydd , Ai ychydigion ynt a vyddant cadwedic ? Ac ef a ddyuot wrthynt ,
42:13:024:0	Ymdynnwch am vynet y mywn i’r porth cyfing : can ys llaweroedd , dywedaf ywch , a gaisiant vyned i mywn , ac ny byddant abl .
42:13:025:0	Gwedy y cyfoto gwr y tuy i vynydd , a’ chau’r drws a’ dechreu o hanoch sefyll allan , a’ churo ’r drws , gan ddywedyt , Arglwydd , Arglwydd , agor y ni , ac ef a atep ac a ddywait wrthych , Nyd adwen chwi , o b’le ddych .
42:13:026:0	Yno y dechrewch ddywedyt , Bwytesam ac a yfesam geyr dy vron , ac a ðysceist y bobyl ar ein heolydd .
42:13:027:0	Ac ef a ðywait , Dywedaf wrthych , nyd adwaen i chwi o b’le ddych : ewch ymaith ywrthyf chwychwi weithredwyr enwiredd .
42:13:028:0	Yno y bydd wylofain a’ rriccian dannedd , pan weloch Abraham , ac Isaac ac Iaco , a’r oll Prophwyti yn‐teyrnhs Duw , a’ chwitheu wedy ych tavly allan .
42:13:029:0	Yno y dawant llavver o’r Dwyrein , a’r Gorllewin , ac o’r Gogledd ac o’r Deheu , ac a eisteddant‐ar vord yn‐teyrnas Duw .
42:13:030:0	A’ nycha yn olaf ydd ynt , yr ei vyddant gyntaf , ac y mae yn gyntaf yr ei vyddant olaf .
42:13:031:0	Yn y diernot hwnw y daeth yr ei or Pharisaieit , ac y dywedesont wrthaw , Cerdda ymaith , a’ dos o ddyma : can ys Herod a chwenych dy ladd di .
42:13:032:0	Yno y dyuot ef wrthynt , Ewch a dywedwch ir cadnaw hwnw , Nycha I bwriaf allan gythaelieit , ac y gorphenaf iachau , heddyw , ac yvoru , a’r trydydd dydd mi ðybennir .
42:13:033:0	Er hyny rhaid i mi orymddaith heddyw , ac evoru , a’ threnydd : can ny ’all vot , y collir Prophwyt allan o Caerusalem .
42:13:034:0	A Caerusalem , Caerusalen , yr hon a leðy ’r Prophwyti , ac a lapyddy yr ei a ddanvonir atat , pa sawl gwaith yr ewyllyseis gasclu dy blāt di ynghyt , yr vn modd ac y cascl yr iar hi nytheid y dā y hadaned , ac ny’s mynnech ?
42:13:035:0	Nycha : y gedewir eich tuy y‐chwy yn ancyfannedd . ac yn wir y dywedaf y chwi , na chewch‐vy‐gweled , yn y ddel yr amser y dywedoch , Ys bendigedic yr hwn ’sy yn dyuot yn enw yr Arglwydd .
