42:18:001:1	Pen . xviij .
42:18:019:0	A’r Iesu a ddyuot wrthaw , Paam ym gelwy vi yn dda ? nyd da nebun dyeithr vn , ’sef Duw .
42:18:020:0	Y gorchmynnion awyðost , Na wna obineb : Na lað gelain : Na latrata : Na ðwc ffalstestiolaeth : Anrydeða dy dat a’th vam .
42:18:021:0	Ac ef a ðyuot , Hyn oll a gedweis o’m ieūctit .
42:18:022:0	Gwedy clybot o’r Iesu hyn , y dyuot wrthaw . Etwo mae yti vn peth yn eisiae . Gwerth cymmeint oll ac ys‐y ar dy helw , a’ chyfrana i’r tlodion , a’ thi gai dresawr yn y nef , a’ dyred , dilin vi .
42:18:023:0	An’d pan glybu ef y pethe hyny , bod yn drathrista or ug ef : can ys-goludawc aruthr y doedd .
42:18:024:0	A’ phan y gwelas yr Iesu y vot ef yn drathrist , y dywedawð , Pa’nd anhawdd ir ei ’sy a golud yðynt vyned i deyrnas Duw ?
42:18:025:0	Can ys‐hawsach i gamel vyned trwy grau nodwydd ddur , nag i ’oludawc vyned i deyrnas Duw .
42:18:026:0	Yno y dywedynt yr ei ai clybu , A phwy ynte a aill vot yn gatwedic ?
42:18:027:0	Ac ef a ddyuot , Y pethae ys‐y ampossibil y gyd a dynion , ’sy possibil y gyd a Duw .
42:18:028:0	Yno y dyuot Petr , Nacha , ys gadawsam ni y cvvbl oll , ac ath ddylynesam di .
42:18:029:0	Ac ef a ddyuot wrthynt , Yn wir y dywedaf wrthych , Nid oes vn a’r a adawoð duy , neu rieni , neu vroder , neu wreic , neu blant , o bleit teyrnas Duw ,
42:18:030:0	a’r ny’s derbyn vwy o lawer yn y byd hwn , ac yn y byd a ddaw buchedd dragyvythawl . Yr Euangel ar Sul Quinquagesima .
42:18:031:0	Yno y cymerth yr Iesu ataw y deuddec , ac a ddyuot wrthynt , Nycha , ni yn mynet i vyny i Caerusalem , ae a gyfiawnir i vap y dyn bop peth , ys y yscrivenenedic can y Prophwyti .
42:18:032:0	Can ys ef a roddir ir Cenetloedd , ac a ef watworir , ac a geblir , ac a boerir arnaw .
42:18:033:0	A’ gwedy yddynt y yscyrsiaw ef , wy ei lladdant : anid ef a gyvyt y trydydd dydd drachefyn .
42:18:034:0	Ac wy ny ni ddyallesont ðim or pethae hyn , ac ydd oedd y gair hwn yn guðiedic rhacddynt vvy , ac ny wybuont y pethae a ddywedesit .
42:18:035:0	Ac e ddarvu , ac ef yn dynesay at Iericho , bot ryw ddyn dall yn eistedd ar emyl y ffordd , yn cardota .
42:18:036:0	A’ phan glywodd ef y popul yn myned heibio , e ymovynodd beth oedd hynny .
42:18:037:0	Ac wy a ddywedesont yddaw , mae’r Iesu o Nazaret oedd yn mynet heibio .
42:18:038:0	Ac ef a lefawdd ac a dyuot , Iesu vap Dauid , trugarha wrthyf .
42:18:039:0	A’r ei oedd yn mynet o’r blaen , y ceryddent ef , y dewi a son . Ac ef a levawdd vwyvwy , Map Dauid , trugarha wrthyf .
42:18:040:0	A’r Iesu a savodd , ac a ’orchymynawdd ei ddwyn ef attaw . A gwedy y ddawot ef yn nes , e ovynnawdd ydd‐aw ,
42:18:041:0	can ddywedyt , Beth a vynny imi wneythyd y ty ? Ac ef a ddyvot , Arglwydd , cahel‐vy‐golwc .
42:18:042:0	A’r Iesu a ddyvot wrthaw , Cymer dy olwc : dy ffydd ath iachaawdd .
42:18:043:0	Ac yn ebrwydd y cavas ei olwc , ac y canlynawdd ef , gan roddy gogoniant y Dduw : a’r oll popul , pan welsont hyn a roesont voliant i Dduw .
