42:22:001:1	Pen . xxij .
42:22:025:0	Ac ef a ddyvot wrthynt , Brenhinoedd y Cenedloedd a deyrnasant arnynt , ar ei ai h’arglwyddiaethant a elwir yn Bendevigion da .
42:22:026:0	Eithyr na vydd y chwi velly : anid byðet y mwyaf yn eich plith chwi megis y lleiaf : a’r pennaf , megis yr hwn a vo yn gweini .
42:22:027:0	Canys pa‐vn vwyaf , ai hwn ys a’n eisteð ar‐y‐vort , ai ’r hwn ys y’n gweini ? Anyd mvvyaf yr vn a vo yn eistedd‐ar-y‐vort ? Ac ydd wyf vi yn eich mysc mal vn yn gweini .
42:22:028:0	A’ chwychwi yw’r ei’n arosesoch gyd a mi yn vy‐provedigaethae .
42:22:029:0	Am hyny y gosodeis y chwi deyrnas , megis y gosododd vy‐Tad i minef ,
42:22:030:0	mal y galloch vwyta , ac yfet ar vy‐bort yn vy‐teyrnas , ar eisteddvae , a’ barny dauddecllwyt yr Israel .
42:22:031:0	Ar Arglwydd a ddyvot , Simon , Simon , nycha , Satan a’ch ðeisyfawdd , er eich nithiaw megis gwenith .
42:22:032:0	An’d mi a weddiais trosot , na dðefficiai dy ffydd . Can hyny pan ith ymchweler ir iavvn , cadarnha dy vroder .
42:22:033:0	Ac ef a ddyvot wrthaw , Arglwydd , ydd wyf yn parat y vynet gyd a thi y garchar ac angae .
42:22:034:0	Eithyr ef a ddyvot , Ys dywedaf wrthyt , Petr , ny chan y ceiliawc heddyw , cyn y ti wady deirgwaith vy adnabot .
42:22:035:0	Ac ef a ddyvot wrthwynt , Pan eich anvoneis eb gwd , ac yscrepan , ac yscidiae , a vu arnoch eisiau dim ? Ac wy a ddywedesont , Na ddo ddim .
42:22:036:0	Yno y dyvot ef wrthynt , Eithr yr awrhon y neb ys y gantaw gwd , cymeret , a’r vn ffynyt yscrepan : a’r nep ny bo gāthaw yr vn , gwerthet ei bais , a’ phrynet gleddyf .
42:22:037:0	Can ys dywedaf ychwi , pan yw eto hyn ys y escrivennedic , ys angenrait ei gyflawni yno vi , Ac y gyd ar ei enwir y cyfrifwyt ef : can ys diamau bod diben yr awrhon am y pethae a yscrifenvvyt ohano vi .
42:22:038:0	Ac wy a ddywedesont , Arglwydd , nycha , ll’yma ddau gleddyf . Ac ef a ddyvot wrthwynt , Digon yw .
42:22:039:0	Ac ef a ddeuth allan , ac aeth ( megis ydd oedd ef gynefin ) i vonyth yr olewydd , a’ei ddiscipulon ei canlynesont .
42:22:040:0	A’ gwedy y ddawot ef ir van , e ddyvot wrthwynt , Gweðiwch nad eloch ym‐provedigaeth .
42:22:041:0	Ac ef a dynnawdd y wrthynt , yn‐cylch ergit carec , ac a roes ei ’liniae ar lawr ac a weddiawdd ,
42:22:042:0	can ddywedyt , Y Tad a’s ewyllysy , ys mut y cwpan hwn y wrthyf , eithyr nid vy ewyllys i , namyn dy ewyllys di a gyflawner .
42:22:043:0	Ac a ymddangoses yddaw Angel o’r nef , yn ei confforddiaw ef .
42:22:044:0	Eithyr ac ef mewn cyfingdra meddvvl , ef a weddiawdd yn ddyvalach : a’ ei chwys ef ytoedd megis deigreu gwaet , yn treiglo i lawr yd y ddaear .
42:22:045:0	Ac ef a gyfodes o weðiaw , ac a ðauth at ei ddiscipulon , ac ei cafas wy yn cyscy gan dristit .
42:22:046:0	Ac ef a ddyvot wrthwynt , Paam y cyscwch ? Cyfodwch a’ gweddiwch nad eloch ym‐provedigaeth .
42:22:047:0	A thra oeð ef etwa yn ymddiðan , nycha dorfa a’r hwn a elwit Iudas vn or dauðec , aeth o ei blaen wy , ac a nesaodd at yr Iesu y’w gusany .
42:22:048:0	A’r Iesu a ddyvot wrthaw , Iudas , a vradychy di Vap y dyn a chusan ?
42:22:049:0	A’ phan welawdd yr ei oedd yn y gylch ef , beth a ddelei : wy ddywedesont wrthaw , Arglwydd , a drawom ni a chleddyf ?
42:22:050:0	Ac vn o hanwynt a drawodd was yr Archoffeiriat , ac a dores i glust ddehen ymaith .
42:22:051:0	Yno ’r Iesu atepawdd , ac a ddyvot , Goddefwch hvvy yd hynn . Ac ef a gyfurddawdd a ei glust , ac ei iachaodd ef .
42:22:052:0	Yno y dyvot yr Iesu wrth yr Archoffeiriat ac wrth lywodraethwyr y Templ , a’r Henurieit yr ei a ddauthesei attaw , A ddaetho‐chwi allan megis at leitr a chleddyfae ac a ffynn ?
42:22:053:0	Pan oeddwn paunydd gyd a chwi yn y templ , nyd estenesoch ddwylo ym erbyn : eithyr hon yw eich gwir awr , a’ gallu yr tywyllwch .
42:22:054:0	Yno y cymersont ef , ac yr arwenesont , ac ei ducesont i duy ’r Archoffeiriat . Ac Petr ei canlynawdd o hirbell .
42:22:055:0	Ac wedy yddynt gynnae tan yn cenawl y llys , a’ chydeistedd i lawr , ydd eisteddawdd Petr hefyt yn ei plith .
42:22:056:0	A’ rhyw vorwyn vveini a y canvu ef val ydd oedd e yn eistedd wrth tan , ac wedy iði edrych yn graff arnaw , hi ddyvot , Ac ydd oedd y dyn hwn y gyd ac ef .
42:22:057:0	Ac ef y gwadawdd ef , can ddywedyt , Ha wreic , nid adwaen i ddim hanaw .
42:22:058:0	Ac ychydic yn ol , y gwelawdd dyn arall ef , ac y dyvot Ac ydd wyt tithef yn vn o hanwynt . An’d Petr a ddyvot , Ha‐ddyn , nag wyf .
42:22:059:0	Ac yn cylch awr yn ol hynny , vn arall a gadarnhaodd , gan ddywedyt . Yn wir ac ydd oedd y dyn hwn gyd ac ef : can ys Galileat ytyw .
42:22:060:0	Ac Petr a ddyvot , A ddyn , ny wn pa ddywedy . Ac yn y van ac ef eto yn ymddiddan , y canawdd y ceiliawc .
42:22:061:0	Yno yr Arglwydd a ymchoelawdd , ac a edrychawdd ar Petr : ac a ddaeth yn‐cof Petr ymadrodd yr Arglwydd py wedd y dywedesei wrthaw , Cyn canu ’r ceiliawc , tu a ’m gwedy dairgwaith .
42:22:062:0	Ac Petr a aeth allan , ac a wylawdd yn chwerw .
42:22:063:0	A’r gwyr a ddaliesent yr Iesu , ei watwor a’ ei vaeddu a wnaethant .
42:22:064:0	A’ gwedy yddwynt guddiaw ei lygait , y trawsōt ef ar y wynep , ac y govynesont yddaw , gan ddywedyt . Prophwyta pwy ath trawodd .
42:22:065:0	A’ llawer o gabl ’airie eraill a ddywetesont yn y erbyn ef .
42:22:066:0	Ac er cynted ydd oedd hi yn ddydd , ydd ymgynullawdd Henurieit y popul , a’r Archoffeiriait a’r gwyr llen , ac yr arwenesont ef y’w Seneddr hwy , can ddywedyt .
42:22:067:0	Ai tu yw’r Christ ? dywait i ni . Ac ef a ddyvot wrthwynt , P’es dywedwn y chwy , ny’s credech .
42:22:068:0	A’ phe hefyt ydd holaf , nim atepwch ac ni’m gellwngwch ymaith .
42:22:069:0	Gwedy hynn yr eistedd Map y dyn ar ddeheulaw gallu Duw .
42:22:070:0	Yno y dywedesont oll , Yw‐ti can hynny yn Vap Duw ? Ac ef a ddyvot wrthynt , Ydd yw chwi yn dywedyt vy‐bot .
42:22:071:0	Yno y dywedesont wy , Pa reid i ni mwy wrth testoliaeth ? canys clywsam ein hunain o ei enae ehun .
