42:23:001:1	Pen . xxiij .
42:23:019:0	yr hwn am draws gyfodiat a wnaethit yn y dinas , ac am lawryddiaeth a ddodesit yn‐carchar .
42:23:020:0	Yno Pilatus a ddyvot wrthyn drachefyn , can ewyllysy rhyddhay ’r Iesu .
42:23:021:0	An’d wy lefent can ddywedyt , Croc , croc ef .
42:23:022:0	Ac ef a ddyvot wrthynt y drydydd waith , An’d pa ddrwc a wnaeth ef : ny chefais ynthaw achos angae : am hyny mi ei cospaf , ac ei gellyngaf yn rhydd .
42:23:023:0	Ac wyntwy oeddent daerach a llefeu vchel , can erchi y groci ef : a’ ei llefae hwy a’r Archoffeiriait a ’orvu .
42:23:024:0	Velly Pilatus a varnawdd yddwynt gahel ei h’arch .
42:23:025:0	Ac ef a ellyggawð yddwynt hwn‐am gyfodiat a’ llawryddiaeth a roesit yn carchar : ys ef yr hwn a archesent wy , ac ef a roddes yr Iesu y wnaethy ’r ac ef a vynnent .
42:23:026:0	Ac val ydd oeddent yn ei arwein ef ymaith , wy ddaliesont vn Simon o Cyren , yn dyuot o’r maes , ac arnaw ef y gosodesont y groc , y’w dwyn ar ol yr Iesu .
42:23:027:0	Ac ydd oedd yn ei ganlyn ef turfa vawr o popul , ac o wragedd , a’r gvvragedd hyny oedd yn cwynofain ac yn galary drostaw .
42:23:028:0	A’r Iesu a ymchwelawdd atwynt , can ddywedyt , Merchet Caerusalem , nac wylwch droso vi , ’n amyn wylwch trosoch eich hunain , a’ch plant .
42:23:029:0	Can ys , nycha , y daw’r dyddiae y dywedant , Gwyn ei byt yr hespion , a’r bruoedd ny chenedlesont erioed , ar bronnae ny roesant sugn .
42:23:030:0	Yno y dechreant dðywedyt wrth y monyddoedd , Syrthiwch arnam : ac wrth y brynnae , Cuddiwch ni .
42:23:031:0	Can ys a’s gwnant wy hynn ir prenn ijr , peth a wneir ir crin ?
42:23:032:0	Ac Ac ydd oeddit yn arwein gyd ac ef dau ddrygddyn eraill y’w lladd .
42:23:033:0	A’ gwedy y dyvot hwy i’r lle , a elwyt y Penglocva , yno y crogesont ef , a’r drygddynion : vn ar y ddeheu , a’r all ar y aswy .
42:23:034:0	Yno y dyvot yr Iesu . Y Tad , maddae yddwynt , can na wyddon peth y maent yn ei wneythyr . Ac wy a barthesant ei ðillat , ac a vwriesant goelbreni .
42:23:035:0	A’r popul oedd yn sefyll , ac yn edrych : a’r llywiawdwyr ei gwatworent y gyd ac wynt , gan ðywedyt , Eraill a iachaeai : iachaet ehun , a’s ef y’w’r Christ , yr Etholedic can Dduw .
42:23:036:0	A’r milwyr hefyt y gwatworent ef , can ddawot a’ chynic vinegr ydd‐aw ,
42:23:037:0	a’ dywedyt . A’s tu yw’r Brenhin yr Iuddaeon , iachaa tyhun .
42:23:038:0	Ac ydd oedd yscriuen wedyr yscrivemy ar ei uchaf , mewn llythyrae Groec , a’ Llatin , ac Hebreo , HVN YVVR BRENHIN YR IVDEON .
42:23:039:0	Ac vn or drygddynion a grocesit , y cablawdd ef , gan ddywedyt , A’s tu yw’r Christ , iachaa tuhun a’ ninae .
42:23:040:0	A’r llall a atepawdd , ac y ceryddawdd ef , can ddyweddyt , Anyd oes arnat ofn Duw , a’ thydy yn yr vn varn ?
42:23:041:0	Ac ydd ym ni yn gyfiawnus yma , can ys ydd ym ni yn derbyn y pethae y haeddawð ein gweithredoeð : eithyr ny wnaeth hwn ddim ancymmesur .
42:23:042:0	Ac ef a ddyvot wrth yr Iesu , Arglwydd , coffa vi pan ddelych ith teyrnas .
42:23:043:0	A’r Iesu a ddyvot wrthaw , Yn wir y dywedaf y ti , heddyw y byddy gyd a mi ym‐paradwys .
42:23:044:0	Ac yð oedd hi yn‐cylch y chwechet awr : ac a vu tywyllwch tros yr oll ddaiar , yd y nawvet awr .
42:23:045:0	A’r haul a dywyllwyt , a’llen y Templ a rwygwyd trwy hei chanawl .
42:23:046:0	A’r Iesu a lefawdd a llef vchel , ac a ddyvot , Y Tad , ith ddwylaw y cymennaf vy yspryt . A’ gwedy yddaw ddywedyt hyn , ef a anhetlawdd allan yr yspryt .
42:23:047:0	A’ phan weles y Cannwriad yr hyn a wnaethpwyt , ef a roes ’ogoniant i Dduw , can ddywedyt , Yn sicur ydd oedd y dyn hwn yn gyfiawn .
42:23:048:0	A’r oll turfa ar a ðauthei ynghyt er y golwc hynn , cann weled y pethae a ddaroedd , a guresont ei dwyvronae , ac ymchwelesont .
42:23:049:0	A’ ei oll gydnabot a savent o hir‐bell , a’r gwragedd y dylinesent ef or Galilaia , gan edrych ar y pethae hynn .
42:23:050:0	A’ nycha , ydd oedd gwr aei enw Ioseph , cygcorwr , gwr da , a’ chyfiawn .
42:23:051:0	Ef ny chytunesei a ei cygcor na’c a’ ei gweithret hwy , ac ef a hanoedd o’r Arimathaia , dinas yr Iuddaeon : yr hwn oedd yntef yn edrych am teyrnas Duw .
42:23:052:0	Hwn yma aeth at Pilatus , ac archawdd gorph yr Iesu ,
42:23:053:0	ac ei tynnawdd i lawr , ac ei amdoes mewn lliein , ac egosodes mewn monwent wedy’r drychy o graic lle ny roesit nep ir ioet .
42:23:054:0	A’r dydd hwnw oeð y Darpar , a’r Sabbath oedd yn nesay .
42:23:055:0	A’r gwrageð hefyt yr ei oedd yn darddilyn , yr ei a ddaethent gyd ac ef o’r Galilea , a edrychesont ar y vonwēt a’ pha bodd y gesodesit y gorph ef .
42:23:056:0	Ac wynt a a ymchwelesont , ac a paratoesont aroglae , ac wylmentae , ac a ’orphoysesont y dydd Sabbath erwydd y gorchymyn .
