42:2:001:1	Pen ij .
42:2:015:0	¶ Ac e ddarvu , gwedy myned o’r Angelion odd y wrthynt ir nefoeð , yno y dywede y bugelieit wrth y gylydd , Awn ninae yd ym Bethle‐hem , y welet y peth hynn y ddarvu , ac y ðangosawdd yr Arglwydd y ni .
42:2:016:0	Yno y daethant ar ffrwst , ac a gawsant Vair ac Ioseph , a’r dyn‐bychan wedy ei ðodi yn y presep .
42:2:017:0	A’ phan ei gwelsont , wy wnaethāt y peth yn gyhoeddus yr hyn , a ddywedesit wrthynt am y dyn bychan hwnw .
42:2:018:0	A’ phawp ar ei clywsant , a ryveddasant am y pethae y ddywedesit yddynt can y bugelydd .
42:2:019:0	A’ Mair a gatwodd y pethae hyn oll , gan ei hystyriaw yn hei chalon .
42:2:020:0	A’r bugelydd a ymchoelasant , can roddy gogoniant a’ moliant y Dduw , am bop peth a’ glywsent ac a welsent , megis y dywedesit wrthynt .
42:2:021:0	A’ gwedy cyflawny yr wythvet dydd , y enwaedy ar y dyn‐bychan , yno y galwyt y enw ef Iesu , yr hwn a enwesyt can yr Angel , cyn y ymddwyn ef ynghroth . Yr Euangel ar ddydd puredigeth y sanctes Vair .
42:2:022:0	¶ A gwedy cyflawny dyðiae puredigaeth Mair yn ol Deddyf Moysen , wy y ducesont ef i Caerusalem , y’w oystaty ef i’r Arglwydd .
42:2:023:0	( Megis y mae yn escrivenetic yn deðyf yr Arglwyð Pop , vn gwrryw y agoro yn gyntaf y vam a elwir yn sāctaidd ir Arglwydd :
42:2:024:0	ac y roddy offrwm erwydd yr hyn a ddywetpwyt yn‐Deddyf yr Arglwydd , par o turturon nei ddeu gyw colombenot .
42:2:025:0	A’ nycha , ydd oedd gwr yn Caerusalem a’ ei enw yn Simeon : y gwr hwnn oedd gyfiawn a dwywol , ac yn dysgwyl am ðiðanwch yr Israel , a’r Yspryt glan oedd arnaw .
42:2:026:0	Ac a venagesit iddaw gan yr Yspryt glā , na welei ef ange cyn yðo welet Christ yr Arglwydd .
42:2:027:0	A’ thrwy annoc yr Yspryt y deuth ef ir Templ . A’ gwedy ir rieni ddwyn y mewn y map Iesu y wneythy’r drostaw herwydd devot y Ddeddyf ,
42:2:028:0	yno yntef y cymerth ef yn ei vraichiae , ac a voloð Dduw , ac a ddyvot ,
42:2:029:0	Arglwydd yr awrhon y gillyngy dy was , mewn tangneðyf erwydd dy’air .
42:2:030:0	Can ys gweled om llygait dy iachyduriaeth di .
42:2:031:0	Yr vn baratoaist yn golwc yr oll populoedd .
42:2:032:0	Llewych i yw dywynny ir Cenetloedd a’ gogoniant dy popul Israel .
42:2:033:0	Ac Ioseph a’ ei vam a ryveddesōt wrth y pethae y adroðesit am danaw .
42:2:034:0	A’ Simeō y bendithioð hwy , ac a ddyuot wrth Vair y vam ef , Wele ys gesodwyt y map hwn yn gwymp ac yn gyfodiadigaeth llawer yn yr Israel , ac yn arwydd yr hvvn a ddywedir yn ei erbyn ,
42:2:035:0	( ac ys aiff cleðyf trwy dy enait ) er ymatguddiaw meðyliae l’awer o calonae .
42:2:036:0	Ac ydd oeð Prophwetes vn Anna verch Phanuel , o ’lwyth Aser , yr hon oedd yn dra oedranus , ac a vysei vyw gyd a gwr saith blynedd oei gweryfdawt .
42:2:037:0	A’ hi vysei yn weddw ynghylch petwar vgein blynedd , ac nyd ai allan o’r Templ , anyd gwasanaethu Duvv yn vmprydiae a’ gweddiae , nos a’ dydd .
42:2:038:0	Hitheu yn dyvot yn y cyfamser hwnw arnaddynt , a gyd gyffessawdd yr Arglwydd , ac a ymadroddawdd am danaw wrth yr oll rei a edrychent am y prynedigaeth yn‐Caerusalem .
42:2:039:0	A’ gwedy yddyn ’orphen pop peth erwydd Deddyf yr Arglwydd , yd adymchwelesont i Galilaea y’w dinas y hunain Nazaret .
42:2:040:0	A’r maban a dyfodd , ac a nerthit yn yr Yspryt , ac a gyflawnit o ddoethinep , a ’rhat Dew oedd arnaw . Yr Euangel y Sul cyntaf gwedy yr Ystwyll .
42:2:041:0	¶ Yno yðai y rieni ef i Gaerusalem bop blwyðyn ar wyl y Pasc .
42:2:042:0	A’ phan ytoedd ef yn ddauddec blwydd oed , a’ myned o hanynt i vynydd i Gaerusalem yn ol arver yr wyl ,
42:2:043:0	a’ gorphen ei dyddiae ac wynt yn adymchwelyt , yr arhoawdd y map Iesu ar ol yn‐Caerusalem eb wybot i Ioseph a’i vam ef ,
42:2:044:0	eithr can tybieit y vot ef ar y fforð gyd ac wynt , aethant daith ðiernot , ac ei caisiesōt ef ym plith ei cenetl a’i cydnabot .
42:2:045:0	A’ phryd na chawsant ef , yr ywchoelasāt i Gaerusalē , ac ei caisiasant .
42:2:046:0	Ac a ðarvu ym pen tridie yn ol , yddwynt ei gaffael yn y templ , yn eisteð yn cenol y Doctorieit , yn gwrādo arnynt , ac yn ymholy ac wynt .
42:2:047:0	Ac a vu aruthr gan pawp ae i clywoð , ei ðyall ef , a ’ei atepion .
42:2:048:0	A’ phan welsant ef , ryveddy a wnaethant , a’i vam a a ddyvot wrthaw , Y map pam y gwneuthost val hyn a ni ? Nycha , dy dat a minae gau ymovidio ath gaisiesam .
42:2:049:0	Ac ef a ddyuot wrthynt , Pa gaisio ydd oeddech arna vi ? a ny wyddech y gorvyðei i mi vot yn‐cylch y pethae a berthynant im tad ?
42:2:050:0	Eithr nid oddent wy yn deall y gair a ddyvot ef wrthynt .
42:2:051:0	Yno ydd aeth ef i wared gyd ac wynt , ac a ddaeth i Nazaret , ac a vu ’ostyngedic yðynt : A’i vam ef a gatwodd yr oll’airieu hynn yn hei chalon .
42:2:052:0	A’r Iesu a gynnyddodd mewn doethinep a chorpholaeth a’ chariat gyd a Duw a’ dynion .
