42:17:001:1	Pen . xvij .
42:17:022:0	Ac ef a ddyuot wrth y discipulon , E ddaw ’r amser pan ddeisyfoch ’weled vn o ddyddiae Map y dyn , ac ny’s gwelwch .
42:17:023:0	Yuo y dywedant wrthych , Wele yman , nei wele yna : eithyr nag ewch yno , ac na ddylynwch wy .
42:17:024:0	Can ys megis y vellten a velltenna o yvvrth vn van y dan y nef , a dowyn i van arall y dan y nef , velly y bydd Map y dyn yn y ddydd ef .
42:17:025:0	Eithyr yn gyntaf dir yw iddo ddyoddef llawer o bethæ , ai argyweddy y gan y genedleth hon .
42:17:026:0	A’ megis y darvu yn‐dyddiae Noe , velly y bydd yn‐dyddiae Map y dyn hefyt .
42:17:027:0	Bwytaent , yfent , gwreicaent , a’ gwrhaent , yd y dyð ydd ai Noe i’r Arch : a’ daeth y diliv , ac ei cyfercollawdd vvy oll .
42:17:028:0	Yr vn modd hefyt , mal y darvu yn‐dyðiae Lot : bwytaent , yfent , prynent , gwerthent , plantent , adailent .
42:17:029:0	Eithyr y dyð ydd aeth Lot allan o Sodoma , y glawiodd hi tan a’ brwmstan o’r nef , ac y dinistrawdd vvy oll .
42:17:030:0	Erwydd yr esemplæ hyn y bydd yn y diernot yr ymddengys Map y dyn .
42:17:031:0	Yn y dydd hwnw yr hwn ys ydd arucha y tuy , a’ ei ddodrefn yn tuy , na ddescendet yw gymeryd allan : a’ hwn ’sy yn y maes yr vn ffynyt , na ddadymchweled at yr hyn a adavvodd ar ol .
42:17:032:0	Cofiwch ’wreic Lot .
42:17:033:0	Pwy pynac a gais gadw ei enait , ef ei cyll : a’ phwy py pynac ei cyll , ei bywocaa .
42:17:034:0	Dywedaf y‐chwy , y nos hon hono y bydd dau mewn‐vn gwely : vn a dderbynir , a’r llall a edewir .
42:17:035:0	Dwy vyddant yn malu yn yr vn‐lle : y naill a gymerir , a’r llall a edewir .
42:17:037:0	Ac vvy a atebesont , ac a ddywedesont wrthaw , P’le , Arglwydd ? Ac ef a ddyuot wrthynt , P’le bynac y bo’r corph yno hefyt yr ymgascl yr eryrod .
