42:7:001:1	Pen . vij .
42:7:034:0	Ys daeth Map y dyn , yn bwyta ac yn yfet : a’ chvvi ddywedwch , Nacha ddyn glwth , ac y fwr gwin , car ir Publicanot a’ phecaturieit .
42:7:035:0	A’ doethinep a gyfiawnheir y gan y phlāt y hun oll .
42:7:036:0	Ac vn o’r Pharisaieit a ðeisyfawð arnaw vwyta y gyd ac ef : ac ef aeth i duy ’r Pharisaiat , ac a eisteddawdd wrth y bwrdd .
42:7:037:0	A’ nycha ’wreic yn y dinas yr hon a vesei pechatures , pan wybu hi vot yr Iesu yn eistedd wrth y bwrdd yn‐tuy ’r Pharisaiat , hi a dduc vlwch o irait .
42:7:038:0	Ac hi a eisteddawdd wrth y draet ef y tu ol yn wylaw , ac a ddechreawdd ’olchy y draet ef a daigre , ac a’ gwallt hi phen y sychawdd , ac a gysanawdd y draet ef , ac ei hirawdd a’r ired .
42:7:039:0	A’ phan y gwelawð y Pharisaiat , yr hwn y gohaddesei ef , eb yr ef wrthaw y hun , gan ddywedyt , Pe’s bysei hwn yn Prophwyt , ys gwybysei ef pwy ’n , a’ pha ryw ’wreic yw hon ysy yn y gywrdd ef : can ys‐pechatures yw hi .
42:7:040:0	Yno ydd atepawdd yr Iesu ac y dyuot wrthaw , Simon , mae genyf beth yw ddywedyt wrthyt . Ac ef a ddyuot , Athro , dywait tithe .
42:7:041:0	Yr oedd ( eb yr Iesu ) ryw venthycwr , ac iðaw ddau ddyledwr : yn aill oedd arno pempcant ceiniawc o ddylet , ar llall ddec a’ da’ugain .
42:7:042:0	A’ phryt nad oedd ganthynt ddim oi daly , ef vaddauawð yddynt ill ddau . Pwy ’n o hanynt can hynny , dywait i mi , y car ef yn vwyaf ?
42:7:043:0	Simon a atepawdd ac a ddyuot , Tybiaf mai hwn , a vaddauawdd ef iddaw vwyaf . Ac ef a ddyuot wrthaw , Vnion y berneist .
42:7:044:0	Yno ydd ymchoelawdd ef at y ’wreic , ac y dyuot , wrth Simon , A weli di y wreic hon ? Deuthym ith tuy , a’ dwfr im traed ny’s roddeist : a’ hon a ’olches vy‐traed a daigrae , ac a gwallt hei phen y sychawdd .
42:7:045:0	Ny roist y my gusā : a’ hithe er pan ddauthym y mywn ny pheidiawð a chusanu vy‐traet .
42:7:046:0	Vy‐pen ac oleo nid iraist : a’ hi a irawdd vy‐traet ac irait gvvrthvavvr .
42:7:047:0	Am hyny y dywedaf wrthyt , y maddeuwyt llawer o pechotae iddi : can ys‐carawdd hi yn vawr . Ac i bwy vn y maðeuer ychydgyn , y car ef ychydigyn .
42:7:048:0	Ac ef a ddyuot wrthei , Maddauwyt yty dy pechotae .
42:7:049:0	A’r ei oedd yn eistedd‐wrth y‐bwrdd gyd ac ef , a ddechraeson dywedyt ynthyn y hunain , Pwy ’n yw hwn ys ef a vaddae bechadae ?
42:7:050:0	Ac ef a ddyvot wrth y wreic , Dy ffydd ath iachaodd : dos yn‐tangweddyf .
