42:8:001:1	Pen . viij .
42:8:026:0	Yno hwyliaw o hanynt i vro y Gadarenieit , yr hon ’sy drosodd gyferbyn a Galilaia .
42:8:027:0	A gwedy iddaw vyned i dir , y cyfarvu ac ef ryw wr o’r dinas , yr hwn oedd perchen cythrael er ys hir amser , ac ny wiscai ddillat , ac ny arosei yn tuy , anyd yn y monwenti .
42:8:028:0	A’ phan welas ef yr Iesu , y dolefawdd , ac a gwympawdd y lawr ger y vron ef , ac a llef vchel a ddyuot , Beth ’sy i mi avvnelvvyf a thi , Iesu vap Duw , y goruchaf ? Atolwg yti na’m poenych .
42:8:029:0	Can ys‐gorchymynesei ef ir yspryt haloc ddyuot allan o’r dyn : ( can ys llawer gwaith y daliesei ef : am hyny y rhwymit ef a chadwyni , ac y cedwit mewn hualae : ac ef a ddrylliai y rhwymae , ac a ddugit gan y cythrael ir diffeithiae . )
42:8:030:0	Yno y govynawd yr Iesu iddaw gan ddywedyt , Beth yw d’ enw ? Ac ef a ddyuot , Lleng , can ys cythreuliait lawer aethent ynðaw .
42:8:031:0	A’ hwy atolygesont iddaw , na orchymynei yðynt vyned ir gorddwfyn .
42:8:032:0	Ac ydd oedd yno geirllaw gēvaint o voch lawer , yn pori ar y mynyth , a’r cythraelieit atolygesant iddaw , ar adel o hanaw yddyn vyned ynthynt vvy . Ac e adawodd yddynt .
42:8:033:0	Yno ydd aeth y cythraelieit allan o’r dyn , ac yn aethon ir moch : a’r genvaint a ddy gyrchawdd y ar ddibin i’r merllyn , ac a degit .
42:8:034:0	Pan welawdd y meichiait yr hyn a wneithit , y ffoesont : a’ gwedy yddyn vyn’d ymaith , y manegesont ir dinas a’r wlat .
42:8:035:0	Yno y deuthant allan i ’weled beth a wnaethesit , ac y daethant at yr Iesu , ac a gawsant y dyn o’r hwn yr aethai allan y cythraelieit , yn eistedd , wrth draet yr Iesu , yn wiscedic , ac yn ei iavvnbwyll : ac vvy ofnent .
42:8:036:0	A’r ei a ’welsent , a vynegesant yddynt pa vodd yr iachesit , y cythraelic .
42:8:037:0	Yno yr oll lliaws y wlat o amgylch y Gadarenit a atolygesant iddaw , vynd ymaith y wrthynt : can ys delhit wy ac ofn mawr : ac ef aeth ir llong , ac a ddadymchwelawð .
42:8:038:0	Yno ’r gwr , o’r hwn y madawsei ’r cythraelieit , a atolygadd iddaw gael o hanaw vot y gyd ac ef : a’r Iesu y danvonawdd ef ymaith , gan ddywedyt ,
42:8:039:0	Ymchwyl ith tuy dy hun , a’ datcan vaint bethae a wnaeth Duw yty . Yno ydd aeth ef ffwrdd , gan precethu trwy’r oll ddinas pa veint bethae a wnaethesei ’r Iesu iddaw .
42:8:040:0	A’ darvu pan ddaeth yr Iesu drachefyn , bot ir bopul y dderbyn ef : can ys wy oll a ddysgwylynt am danaw .
42:8:041:0	A’ nycha y daeth nebun gwr a ei enw Iairus , ac efe oeð yn llywodraethwr y Synagog , ac ef a gwympodd wrth draet yr Iesu , ac atolygawdd iddo ddyuot y mevvn yw duy ef .
42:8:042:0	Can ys vn verch oedd yddaw yn‐cylch deuddecblwyð oet , a’ hon oedd ar varw ( ac ef yn myned y gwascei ’r bopul ef .
42:8:043:0	A’ gwreic rhon oedd arnei waedlif er ys dauddec blynedd , yr hon a dreuliesei i holl vywyt ar veddigon , ac ny’s gallei gael i hiachau y gan nebun :
42:8:044:0	pan ddeuth hi y tu cefyn iddo , y cyvurðawð hi ac emylyn y wisc ef , ac yn ebrwydd y safawdd llif y gwaet hi .
42:8:045:0	Yno y dyuot yr Iesu , Pwy ’n yvv a gyffurddawdd a mi ? Ac a phawp yn gwadu , y dyuot Petr , a’r ei oedd y gyd ac ef , Y llywiawdr y mae’r dorf yn dy wascu , ac ith sathru , a’ dywedy . Pwy ’n yvv a gyfyrðodd a mi ?
42:8:046:0	A’r Iesu a ddyvot , E gyfurddawð ryw vn a mi : can ys mi a wn vynet nerth allan o hanof .
42:8:047:0	Pan welas y wreic nad oedd hi yn guddiedic , hi ddaeth dan ergrynu , ac a syrthiawdd geyr y vron ef , ac a vynegawdd iddaw rhac bron yr oll popul , er pa achaws y cyvwrðesei hi ac ef , ac val yr iachesit y hi yn ebrwyð .
42:8:048:0	Ac ef a ddyuot wrthei , Cymer confort , verch : dy ffydd ath iachchaodd : dos yn‐tangweddyf )
42:8:049:0	Ac ef eto yn ymadrodd , y daeth vn ywrth lywodraethwr y Synagog , gan ðywedyt wrthaw , Marw vu dy verch : na phoena ddim o’r Athro .
42:8:050:0	Pan glybu ’r Iesu , yr atepawdd iddaw , gan ddywedyt , Nag ofna : cred yn vnic , a’ hi a iachëir .
42:8:051:0	A’ phan aeth ef i’r tuy , ny adawdd ef y nep ðyvot y mewn y gyd ac ef , amyn Petr , ac Iaco ac Ioan , a’ that a’ mam y vacheues .
42:8:052:0	Ac wylo oll ac irad a wnaēt am denei : ac ef a ddyuot , Nag wylwch : can nad marw hi , anyd hunaw y mae hi .
42:8:053:0	Ac wy y gwatworesont ef , can yddyn wybot y marw hi .
42:8:054:0	Yno y gwthiodd ef wy oll y maes , ac y cymerth hi erbyn hei llaw , ac a lefawdd , gan ddywedyt . Y vachcennes , cyvot .
42:8:055:0	A’ ei h’yspryt a ddaeth drachefyn , a hi a gyuodes yn ebrwydd : ac ef a ’orchmynawdd roi yddi vwyt .
42:8:056:0	Yno aruthr vu gan i rhieni : ac ef a orchmynawdd yddynt na ddywedent i nebun hyn a wnaethesit .
