42:1:001:1	Pen . j .
42:1:046:0	Yno y dyuot Mair , Ys mawrha vy enait yr Arglwydd .
42:1:047:0	A’m yspryt a lawenycha yn‐Duw vy Iachawdr .
42:1:048:0	Can ys ef a edrychawdd ar iselder ei wasanaethyddes : can ys nycha o’r pryd hyn allan ym gailw yr oll oesoed vi yn wynvydedic .
42:1:049:0	Can ys y cadarn a wnaeth i mi vawreð , a’ sanctaidd yvv ei Enw .
42:1:050:0	A’ ei drugaredd ’sy yn oes osoedd ir sawl y hofnant ef .
42:1:051:0	Ef a wnaeth gadernit a’ ei vraich : ef a ’oyscarawdd y beilchion ym-meddwl ei calonae .
42:1:052:0	Ef a dynnawdd y cedyrn y lawr o ei heisteddfaë , ac a dderchafawdd yr ei isel‐radd .
42:1:053:0	Ef a lanwodd y newynogion a da bethae , ac a ddanvonawdd ymaith y goludogion yn weigion .
42:1:054:0	Ef a gynnaliodd Israel ei was , gan goffay ei drugaredd
42:1:055:0	( megis y dyuot ef wrth eyn tadae , ys ef wrth Abraham a’ ei had ) yn dragyvyth .
42:1:056:0	A’ Mair a arhoesavvdd y gyd a hi yn‐cylch tri‐mis : ac yno ydd aeth hi y’w thuy y hun . Yr Euangel ar ddydd Ioan Vatyddiwr .
42:1:057:0	¶ Gwedy cyflawny temp Elizabet , y escor , a’ hi a escorawdd ar vap .
42:1:058:0	Ac a glypu hei chymydogion ae chenetl ddarvot ir Arglwydd ddangos ei vawredic drugaredd arnei , a’ chydlawenychy a hi a wnaethant .
42:1:059:0	Ac e ddarvu , pan yw ar yr wythvet dydd ydaethant i enwaedy ar y dyn‐bachan , ac ei galwesont ef Zacharias , yn ol enw ei dat .
42:1:060:0	A’ ei vam a atepawdd , ac a ddyvot , Nag e , eithyr ei galwer yn Ioan .
42:1:061:0	Ac wy a ddywedesont wrthei , Ny’d oes vn oth cenetl a elwir ar enw hwnn .
42:1:062:0	Yno ydd amneidiesant ar ei dat , pa wedd yr ewyllesei ef ey alw .
42:1:063:0	Ac ef a alwadd am astyllen orgraph , ac a escrivenawdd , can ddywedyt , Ioan yw ei enw , a’ rhyveddy a wnaethant oll .
42:1:064:0	A’ ei enae a egorwyt yn ebrwydd , a’ ei davot a ellyngvvyt , ac ef a ymddiddanawdd , can vendithiaw Duw .
42:1:065:0	Yno y daeth ofn ar ei oll gymydogion , a’r oll ’airiae hynn a gyhoeddwyt trwy oll vlaeneudir Iudaiah .
42:1:066:0	A’ phawp a’r a ei clypu , ei gesodesont yn ei calonae , gan ddywedyt , Pa ryw ddyn‐bachan vydd hwnn ? A’ llaw yr Arglwydd oedd gyd ac ef .
42:1:067:0	Yno ei dat Zacharias a gyflawnwyt o’r yspryt glan , ac a prophwytawdd , can ddywedyt .
42:1:068:0	Bendigeit vo Arglwydd Dduw’r Israel : can ys govwyawdd ac a brynawdd ey bopul .
42:1:069:0	Ac ef a adderchavawdd gorn iechyt y ni , yn‐tuy Dauid ei wasanaethwr ,
42:1:070:0	megis y dyvot trwy enae ey sanctaið Prophwyti , yr ei oedd o ddechrae r byt ,
42:1:071:0	rei ddywedent , yd anvonei ef i ni ymwared rac ein gelynion a’ rhac dwylo ein oll ddygasogion ,
42:1:072:0	y ddangos trugaredd ar ein tadae , a’ choffay ei ddygymbot sanctaidd ,
42:1:073:0	a’r llw a dyngawdd wrth ein tat Abraham
42:1:074:0	nid amgen bot iddo ganiatay y ni , gahel ymwared y wrth ddwylo ein gelynion , a’ ei wasanaethy yn ddiofn oll ddyddiae ein bywyt ,
42:1:075:0	mewn sancteidrwydd ac iawnder geyr y vron ef .
42:1:076:0	A’ thithe vab ath elwir yn Prophwyt y Goruchaf : can ys ti ai o vlaē wynep yr Arglwydd i baratoi y ffyrdd ef ,
42:1:077:0	ac y roðy gwybyddlaeth o iechyt yw bopul ef , can vaðeuāt oei pechatae .
42:1:078:0	Trwy galondit trugaredd ein Duw , gan yr honn y govwyawdd y towyn‐haul o’r vchelder .
42:1:079:0	I dowyny ir ei a eisteddant mewn tywylwch , ac yngwascawt angae , er cymmetry ein traet i ffordd tangneddyf .
42:1:080:0	A’r maban a dyfodd ac a gadarnhawyt yn yr yspryt , ac a vu yn y diffeithwch , yd y dydd yr ymddangosei i’r Israelieit .
