14:29:001:1	Heziikáíyah nant'áá nít'éé'
14:29:025:0	David áádóó aláahgo naat'áanii bá náásgóó áhodoonííł yaa halne'ii Géed índa Diyin God yá halne'ii Néíthan éí nidahaz'áanii bik'ehgo niinínil . Éí béésh ahídí'niłgo diits'a'ígíí áádóó tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii índa tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii Líívai dine'é dah deíjáahgo Bóhólníihii bikin bii' sohodizin góne' niinínil , háálá kót'éego Bóhólníihii bá dahalne'ii yee haadzíí' nít'éé' .
14:29:026:0	Áko Líívai dine'é éí David yę́ę bibee nida'a'néhígíí dah deíjáahgo áádóó nááda'iiłniihii éí béésh dilní bee í'dílzoołí dah deíjáahgo naazį́ .
14:29:027:0	Áko Heziikáíyah éí bikáá' náá'iiniihí bikáa'jį' didlidgo náádi'yoonihgo yee haadzíí' . Didlidgo náá'iiniihí bee hahoolzhiizhgo béésh dilní bee í'dílzoołí áádóó Ízrel dine'é aláahgo binanit'a'í David yę́ę bibee nida'a'néhígíí biłgo Bóhólníihii biyiin ałdó' yee nídadiine' .
14:29:028:0	Áádóó áłah ílínígíí t'áá ałtso nidahałáago dahataałígíí éí dahataał índa béésh dilní bee í'dílzoołí yee ádaanínígíí dadiists'ą́ą́' , áko didlidgo náá'iiniihígíí ałtso deidííłidjį' nidahałá bíighah azlį́į́' .
14:29:029:0	Áko ałtso nááda'dziisnii'go aláahgo naat'áanii áádóó bił áłah nilínígíí t'áá ałtso bił nitsidazdéesgo'go nidahodzisá .
14:29:030:0	Náá'áłdó' aláahgo naat'áanii Heziikáíyah áádóó naat'áanii danilíinii éí Líívai dine'é yida'asnii'go David yę́ę índa áhodooníiłii yaa halne'ii Éísaf yę́ę bizaad bee Bóhólníihii baa dahohniihgo bich'į' dahohtaał deidííniid . Áko yaa dahaniihgo bił dahózhǫ́ǫgo dahóótáál áádóó yaa'ádaat'éego nidahasá .
14:29:031:0	Ákohgo Heziikáíyah áhodííniidgo ání , K'ad Bóhólníihii bich'į' diyingo ats'ánída'asidoht'ą́ ; áyídíjį' ninohkáahgo nááhidoonihii áádóó ahééh hasinjí nááhániihii áádóó didlidgo nááhániihii Bóhólníihii bikin bii' sohodizin góne' yah adaahjááh . Áko áłah nilínígíí éí didlidgo nááhániihii áádóó ahééh hasinjí nááhániihii nidayiizhjaa' índa t'áá bí ádeinízinígíí didlidgo nááhániihii nidayiizhjaa' .
14:29:032:0	Áko áłah ílínígíí éí didlidgo nááhidoonihii nidayiizhjaa'ígíí éí dóola tsosts'idiingo , deenásts'aa' neeznádiingo índa dibé yázhí naakidi neeznádiingo t'áá át'é Bóhólníihii bich'į' didlidgo nááhániihii biniyé deineeskaad .
14:29:033:0	Áádóó diyingo ats'ádahideest'ánígíí éí béégashii hastą́ądi neeznádiin áádóó dibé éí táadi mííl .
14:29:034:0	Nidi nááda'iiłniihii t'áá díkwíigo bąą didlidgo nááhidoonihii ch'ééh ałtso nídajił'ah . Áko náánáła' nááda'iiłniihii t'ah ádadildéehgo biná ałtso bindajishnishjį' dahak'isóó Líívai dine'é háká ííjéé' , háálá Líívai dine'é éí nááda'iiłniihii biláahgo t'áá ákogi ádaat'éego ádadooldee' .
14:29:035:0	Áádóó didlidgo nááhániihii t'óó ahayóí áádóó hózhǫ́ǫ́jí nááhániihii bik'ah t'áá bił índa yanáadzi'go nááhániihii didlidgo nááhániihígíí t'áá bik'eh daníką́ągo , kót'éego Bóhólníihii bikin bii' sohodizingi nidahojiłáago ádajiilaa .
14:29:036:0	Áádóó Diyin God éí diné t'áá ałtso yá áát'įįd biniinaa Heziikáíyah índa diné t'áá ałtso bił nidahoozhǫǫh , háálá t'áadoo hooyání ádzaa .
