14:32:001:1	Senákerib anaa' hasłį́į́'
14:32:014:0	Dashizhé'é yę́ę éí ał'ąą dine'é ałtso ádeisdįįdii dabidiyinii bitahdóó háidíígíishą' yíneel'ą́ągo bidine'é shits'ą́ą́dóó yisdáyíínil ? Áko nihiDiyin God da' éísh yíneel'ą́ągo shiyaa háánihidoo'nił ?
14:32:015:0	Éí bąą k'ad , t'ááká Heziikáíyah nihi'dóleeh , doodaii' díí yee nihíni' áhólééh lágo ; t'áadoo nidi dahwiinohdlání , háálá ał'ąą dine'é índa bee ídahólníihii dabidiyinii doo ła' hadine'é , shí , doodaii' dashizhé'é yę́ę nihiyaadóó hahodooniłii yíneel'ání da , áko nihiDiyin God nidi doo shiyaadóó háánihidoo'nił da .
14:32:016:0	Áko bá nidaal'a'í t'óó yówehda Diyin God yik'ijį' índa Heziikáíyah yik'ijį' hadahaasdzíí' .
14:32:017:0	Áádóó ałdó' Asíriya dine'é aláahgo binanit'a'í naaltsoos áyiilaa ; éí bikáá' Ízrel dine'é biBóhólníihii Diyin God t'óó baa'ihgo yaa yáłti' índa yik'ijį' yáłti'go ání , Náádaałahgóó ał'ąą dine'é dabidiyinii éí hodine'é danilíinii t'áadoo shigháádahwiisnil da ; ákót'éego Heziikáíyah haDiyin God éí hodine'é doo shiyaa hahizhdoo'ish da .
14:32:018:0	Áádóó Jerúsalem kin haal'áagi tsé ahénátł'inígíí bikáa'gi diné nidaakaígíí yił yéé' ádahodoolíiłgo nídadooldzííł biniyé Jew dine'é bizaad k'ehgo hadadeeshghaazh , áko kin haal'áii dadiilnééł , danízin .
14:32:002:1	Bóhólníihii éí Heziikáíyah yisdáyííłtį́
14:32:019:0	Áádóó nihokáá' dine' é bidiyin dabidi'níinii diné ádayiilaii yik'ijį' hadahadziihígi át'éego Jerúsalem kin haal'áádóó Diyin God yik'ijį' hadahaasdzíí' .
14:32:020:0	Áko díí biniinaa aláahgo naat'áanii Heziikáíyah áádóó Éímaz biye' éí Diyin God yá halne'ii Aizéíyah yił yá'ąąsh góde Diyin God yich'į' yéego sodoolzin .
14:32:021:0	Áko Bóhólníihii éí diyingo naal'a'í yiníł'a'go siláo ayóó ádaat'éii dahayóii t'áá ałtso áádóó diné nidei'eeshii índa Asíriya dine'é aláahgo binanit'a'í bisiláo yinanit'a'í danilíinii ałtso íísdįįd . Áko t'óó haa yáhásingo hakéyahgóó anídzoodzá . Áádóó nít'éé' hadiyin bidi'níinii bikin góne' yah ajííyáago ákwii t'áá hó haye'ké diltłish yee dahwiisxį́ .
14:32:022:0	Kót'éego Bóhólníihii éí Heziikáíyah áádóó Jerúsalemgi kéédahat'ínígíí éí Asíriya dine'é aláahgo binanit'a'í índa hweda'ana'í t'áá ałtso bits'ą́ąjį' yisdáhóónil , áko t'áá ałtsodę́ę'go haa áhályą́ągo hoo'ish nít'éé' .
14:32:003:1	Heziikáíyah bitah honiigai
14:32:023:0	Áádóó diné t'óó ahayóí éí aa doolyéełii Jerúsalemjį' Bóhólníihii yich'į' nidayiizhjaa' , índa Júdah dine'é aláahgo binanit'a'í Heziikáíyah aa doolyééł da'ílínígíí yaa dayiizhjaa' . Kodóó lą́ą ał'ąą dine'é t'áá ałtso binááł ayóó ájít'éego hodideeshzhiizh .
14:32:024:0	Éí yoołkááł yę́ędą́ą́' Heziikáíyah bitah doo hóóts'íídgóó bi'niitsą́ , áádóó Bóhólníihii yich'į' sodoolzin , áko bich'į' haadzíi'go bee ééhózinii baidiní'ą́ .
14:32:025:0	Nidi Heziikáíyah éí Bóhólníihii yee háká eelwodii t'áadoo baa ahéésniizį́į́'góó hajéí bee ádaa hojisnihígíí biniinaa hó áádóó Júdah dine'é índa Jerúsalem dine'é t'óó báhádzidgo bee atí'él'íinii hak'ijį' kóyiilaa .
14:32:004:1	Heziikáíyah éí Bábilandę́ę́' baa íldee'
14:32:026:0	Nidi Heziikáíyah hajéí bii' ádaa hojisnih yę́ę hó índa Jerúsalemgi kéédahat'íinii bił a'ohgo ádazh'diilyaa , áko éí biniinaa Heziikáíyah bíyoołkááł yę́ędą́ą́' Bóhólníihii yee atí'éł'íinii doo hak'ijį' kwííł'į́į́góó Heziikáíyah bíiníłką́ .
14:32:027:0	Heziikáíyah t'áá íiyisí ast'įįd áádóó ił yílįįd , áko yódí bá dahooghanígíí ádayiilaago éí bii'góó béésh łigaii áádóó óola áádóó tsé da'ílíinii áádóó spáis wolyéii áádóó naagé índa da'ílíinii ałtah ádaat'éii ákǫ́ǫ́ yah ayiizyį́ .
14:32:028:0	Áádóó tł'oh naadą́ą́' áádóó wáin índa áliv bineest'ą' bik'ah éí t'óó ahayóí yileełgo yá kin bii' nooh nída'achíihii ádayiilaa índa alį́į́' ałtah ádaat'éii t'áá át'é áádóó dibéda éí dabighan yá ádayiilaa .
14:32:029:0	Náá'áłdó' kin hadaas'áago ádá áyiilaa , áádóó dibé índa alį́į́' t'óó ahayóí hainínil , háálá Diyin God éí yódí t'óó ahayóí haidiní'ą́ .
14:32:030:0	Áádóó díí Heziikáíyah ałdó' Gáíhan bideidę́ę́' tó háálínígíí yidádi'níłtł'ingo David yę́ę bikin haal'áajį' e'e'aahdę́ę'go tó bá aní'áago yah íílį́įgo áyiilaa . Áko Heziikáíyah yinaashnishígíí t'áá át'é yá'át'éehgo bá áánííł nít'éé' .
14:32:005:1	Heziikáíyah daaztsą́
14:32:031:0	Áko Bábilan dine'é binanit'a'í danilíinii bá nidaal'a'í éí kéyahgi ayóó ánóolningo ádahóót'įįdígíí yínda'ídídóoł kił biniyé hach'į' ayiis'a'go Diyin God hwíidínóotah biniyé t'áá ákǫ́ǫ́ nihoníłtį́ , áko hajéí bii' bee nitsídzíkeesii t'áá át'é bił bééhodoozįįł .
14:32:032:0	K'ad Heziikáíyah łahjį' yaa naayáhígíí áádóó yá'át'éehgo ádzaaígíí , jó , éí Éímaz biye' éí Diyin God yá halne'ii Aizéíyah índa Júdah dine'é áádóó Ízrel dine'é binanit'a'í danilínígíí binaaltsoos bik'inídaháasdzoh .
14:32:033:0	Áko Heziikáíyah éí dahazhé'é yę́ę bitahjį' ajiiłhaazh , áádóó yóó'ádahoolaago David biye'ké yę́ę bitsénída'ootséél aláahgo wódahdiígi nidahastį́ ; dadziztsánígi Júdah dine'é índa Jerúsalem kin haal'áagi kéédahat'ínígíí t'áá ałtso neheeskaigo bił dajíílįįd , áádóó haye' Manáseh hatsásk'ehgi aláahgo nant'á silį́į́' .
