14:34:001:1	Josáíyah nant'áá nít'éé'
14:34:009:0	Áádóó aláahgo náá'iiłniihii Hilkáíyah baa jíkaigo Líívai dine'é dááda'dilkał yaa ádahalyánígíí éí Manáseh dine'é áádóó Íífreiyim dine'é índa Ízrel dine'é daadziihígíí t'áá ałtso índa Júdah dine'é áádóó Bénjamin dine'é t'áá ałtso bits'ą́ą́dóó béeso áłah ádayiilaii Bóhólníihii bikin bii' sohodizin góne' yah adeizhjaa'ígíí Hilkáíyah baa dadziznil , áko Jerúsalemgóó anáákai .
14:34:010:0	Áko diné éí Bóhólníihii bikin bii' sohodizingi nidaalnishgo bídahólníhígíí yílák'e deiznil , áádóó éí Bóhólníihii bikin bii' sohodizin yindaalnishígíí hasht'éédeidoodlíiłgo biniyé yaa deiznil .
14:34:011:0	Kin ál'į́ dayiichįįhígíí índa kin ál'į́ át'é danízinii éí tsé hadahaasnilígíí áádóó kin bá daní'áhígíí índa bita' nidaaz'áhígíí yá tsin neheeshjíí' nideidiyoołnihgo Júdah dine'é aláahgo binanit'a'í danilíinii éí kin bąąh nida'iizhchxǫ'ígóó hasht'éédeidoodlííł biniyé béeso yaa deiznil .
14:34:012:0	Áko diné bada'ahódlíigo nidaashnish , áádóó bik'ehgo nida'anishígíí éí Líívai dine'é nilíinii Miirárai ba'áłchíní náás ahoolchíiłii ła' Jéíhath índa Obadáíyah áádóó Kóhath ba'áłchíní náás ahoolchíiłii ła' éí Zekaráíyah índa Miishálam bá niho'dee'nil . Líívai dine'é t'áá ałtso éí sin yee nidaanéego dayiichįįhii ,
14:34:013:0	éí ałdó' hééł nideiyéhígíí índa t'áá da'níł'ąą ádaat'éego binda'anishii yik'i dadéez'į́į́' , áádóó Líívai dine'é ła' naaltsoos ííł'íní áádóó naat'áanii danilíinii índa dáń'da'ditį́į́h yaa ádahalyáanii danilį́ .
14:34:014:0	Áko Bóhólníihii bikin bii' sohodizin góne' béeso yah aajaa'ígíí ch'ídeizhjaa'go aláahgo náá'iiłniihii Hilkáíyah éí Mózes bibee haz'áanii naaltsoos bee si'ánígíí Bóhólníihii beidiní'áanii yik'íníyá .
14:34:015:0	Áádóó Hilkáíyah éí Shéífan naaltsoos ííł'íní áyidííniid , Bóhólníihii bikin bii' sohodizin góne' bee haz'áanii naaltsoos bee si'ánígíí bik'íníyá . Áko Hilkáíyah éí naaltsoos Shéífan yeiní'ą́ .
14:34:016:0	Áko Shéífan éí naaltsoosígíí aláahgo naat'áanii yich'į' yiní'ą́ áádóó hane' yaa néiní'ą́ągo ání , Ná nidaal'a'í baa dadeest'ánígíí t'áá ałtso yaa nidaakai .
14:34:017:0	Áádóó Bóhólníihii bikin bii' sohodizin góne' béeso hasht'e'nihees'nilii áłah ádayiilaago bá nida'anishígíí áádóó diné nidaalnishígíí yaa deiznil .
14:34:018:0	Ákohgo naaltsoos ííł'íní Shéífan éí aláahgo naat'áanii yił hoolne'go ání , Aláahgo náá'iiłniihii Hilkáíyah éí naaltsoos léi' sheiní'ą́ . Áko Shéífan éí aláahgo naat'áanii yinááł yiyííłta' .
14:34:019:0	Ákódzaadóó aláahgo naat'áanii saad bee haz'áanii naaltsoos bee si'ánígíí yidiizts'ą́ą'go ák'ina'ooldláád .
14:34:020:0	Áádóó aláahgo naat'áanii éí Hilkáíyah , Shéífan biye' Aháíkam , Máíkah biye' Ábdan áádóó naaltsoos ííł'íní Shéífan índa aláahgo naat'áanii bá naal'a'í Asáíyah yich'į' haadzíi'go ání ,
14:34:021:0	Nílááh , díí naaltsoos nídiit'ánígíí biyi'dóó ánínígíí éí Ízrel dine'é áádóó Júdah dine'é daadziihígíí índa shí ałdó' éí Bóhólníihii nihá nideídółkid ; jó , Bóhólníihii t'óó báhádzidgo yee atí'éł'íinii yee atínihiilaa , háálá danihizhé'é yę́ę Bóhólníihii bizaad díí naaltsoos bik'ináháasdzooígíí t'áá át'é t'áadoo yik'ehgo ádaadzaa da .
14:34:022:0	Áko Hilkáíyah áádóó aláahgo naat'áanii éí diné niinínilii Diyin God yá halne'ii Húldah wolyéii Shálam ye'asdzą́ą́ nilį́įgo yich'į' eekai ; Hásrah biye' , Tíkvath éí biye' Shálam , éí éé' ninádaa'nił yaa áhályáanii nilį́įgo Jerúsalem kin haal'áii ániidígo haz'ánígi kééhat'į́ , áko diné éí asdzą́ą́ yich'į' yaa yádaałti' .
14:34:023:0	Húldah hach'į' haadzíi'go ání , Ízrel dine'é biBóhólníihii Diyin God kóní , Diné shaa nihiníł'a'ígíí bił dahołne' ,
14:34:024:0	Bóhólníihii kóní , Shoo , doo yá'ádaashóonii díí haz'áníjį' índa ákwii kéédahojit'ínígíí hak'ijį' kódeeshłííł ; éí hóyée'go á hada'iisdzíi'ii t'áá át'é naaltsoos bik'inídaháasdzogo ályaa yę́ę , Júdah dine'é aláahgo binanit'a'í binááł yéélta'ii hak'ijį' kódeeshłííł .
14:34:025:0	Háálá yóó'adashideez'ą́ áádóó diyin dabidi'níinii yich'į' tsin bijeeh dilidgo łikání halchinii deidiłid ; t'áá bí ádayiilaii t'áá át'é yee shá dahodoołchįįł yiniyé ádaat'į́ . Éí bąą díí kéyah nahós'a'ígíí bik'ijį' bee hashké niisdzį́į'ii yeideeshxéełgo doo dínóoltsis da .
14:34:026:0	Nidi Júdah dine'é aláahgo binanit'a'í éí Bóhólníihii nideídídóołkiłgo nihijííł'aadígíí kódabididoohniił , Saad bee hada'iisdzíi'ii baa hosidíníts'ą́'ígíí éí bídadéét'i'go Ízrel dine'é biBóhólníihii Diyin God kóní ,
14:34:027:0	Nijéí joozba'go áádóó Diyin God binááł a'ohgo ádi'nilyaago bizaad yee díí kéyah índa ákwii kéédahat'ínígíí yik'ijį' haadzíi'go dísíníts'ą́ą'go , shinááł t'áá ni a'ohgo ádi'nilyaago áádóó ni'éé' ák'inéíníldláád índa shinááł nichago biniinaa shí ałdó' nisodizin diséts'ą́ą́' , ní Bóhólníihii .
14:34:028:0	Jó , danizhé'é yę́ę bił áłah ánándeeshdlííł , áádóó hózhǫ́ǫgo haz'ą́ągo yóó'ándi'doolnííł ; díí kéyah nahós'a'gi índa yikáá' kéédahat'ínígíí bik'ijį' doo yá'ádaat'éehii t'áá át'é kódeeshłíłígíí éí doo yiidííłtséeł da . Kót'éego aláahgo naat'áanii hane' baa nídadziz'ą́ .
14:34:029:0	Nít'éé' aláahgo naat'áanii i'iis'a'go Júdah dine'é bitahdóó índa Jerúsalem kin haal'áádóó hastóí aląąjį' naazíinii haa áłah ádayiilaa .
14:34:030:0	Áádóó aláahgo naat'áanii éí Bóhólníihii bikin bii' sohodizinii si'áníjį' haayá ; Júdah dine'é áádóó Jerúsalemgi kéédahat'ínígíí áádóó nááda'iiłniihii áádóó Líívai dine'é índa diné t'áá ałtso ayóó ádaat'éii áádóó a'ohgo ádaat'éii yił yíkaigo bich'į' i'ízhníiłta'go da'íists'ą́ą'go saad t'áá át'é naaltsoos bee si'ą́ągo bee aha'deet'áanii éí Bóhólníihii bikin bii' sohodizin góne' nídiit'ánígíí jííłta' .
14:34:031:0	Áko aláahgo naat'áanii t'áá néidzįįhídóó yiizį'go Bóhólníihii yił aha'deet'ą́ , ákót'éego Bóhólníihii yikéé' yigáał doo áádóó bibik'eh ó'oo'níiłii áádóó yee hahaasdzíi'ii índa yee nihwiiz'áanii hajéí t'áá át'é bee índa hwii' sizíinii t'áá át'é bee éí saad bee aha'deet'áanii naaltsoos bii' bee ak'e'ashchíinii bi'jósin doo .
14:34:032:0	Áádóó Jerúsalemgi índa Bénjamin dine'é bikéyahgi nidahaaskaígíí t'áá ałtso bił daalą́go yee naazį́įgo áyiilaa . Áko Jerúsalemgi kéédahat'ínígíí Diyin God bibee aha'deet'áanii , t'áá éí dabizhé'é yę́ę biDiyin God yik'eh ádaadzaa .
14:34:033:0	Áko Josáíyah éí kédaayah t'áá át'é Ízrel dine'é daabíhígíí bits'ą́ą́dóó doo daaldinii t'áá át'é nahjį' kóyiilaago Ízrel dine'é bikéyahgi nidajikaígíí t'áá ádzíłtso haBóhólníihii Diyin God yá nidaal'a'go áyiilaa . Áádóó Josáíyah bíyoołkááł yę́ędą́ą́' Bóhólníihii t'áadoo yits'ákáhí , dabizhé'é yę́ę biDiyin God yá nidaal'a' nít'éé' .
