14:20:001:1	Mó'ab dine'é áádóó Áman dine'é bik'eh hodeesdlį́į́'
14:20:014:0	Ákohgo Éísaf biye'ké náás ahoolchíiłii Matanáíyah biye' Jáíyel , éí biye' Biinéíyah , éí biye' Zekaráíyah , éí biye' Jahéíziyel , éí Líívai dine'é nilíinii éí Bóhólníihii biNíłch'i Diyinii áłah ílínígíí biníi'gi bik'i hoole' .
14:20:015:0	Áádóó ání , Júdah dine'é áádóó Jerúsalem kin haal'áagi kééhoht'íinii t'áá ánółtso índa Jiiháshafat aláahgo naat'áanii nílíinii , da'íísółts'ą́ą́' ; Bóhólníihii kónihiłní , Díí ayóó át'é dah oonéłígíí biniinaa t'áadoo béédaałdzidí , áádóó t'áadoo bik'ee nisidaahdáhí , háálá nihí doo anadadooht'įįł da , nidi Diyin God anadoot'įįł .
14:20:016:0	Yiską́ągo ákóyaa bich'į' hidoohkah ; jó , Ziz tsénít'i'dę́ę'go hadookah , áko Jiirú'el honoojíigi ha'a'aahjigo honíts'aa' nineel'ą́ągi bik'ídoohnééł .
14:20:017:0	Nihí éí díí anaa'gi doo bik'iidoohjah da ; t'áá nihí bich'į' ni'ádóhníiłgo hazhó'ó adahidíínóhsį́h , áko Bóhólníihii bibee yisdá'iildéehii deidoołtsééł ; Júdah dine'é áádóó Jerúsalem dine'é nohłíinii , t'áadoo nihił daayé'í , áádóó t'áadoo bik'ee nisidaahdáhí ; yiską́ągo bich'į' ch'ídoohnééł , háálá Bóhólníihii éí nihił hólǫ́ǫ dooleeł .
14:20:018:0	Áko Jiiháshafat éí yaa ádzaago neeshjool áádóó Júdah dine'é índa Jerúsalem kin haal'áagi kéédahat'íinii t'áá ałtso Bóhólníihii yich'į' tsé'yaa daneeshjoolgo Bóhólníihii yich'į' nidahasá .
14:20:019:0	Áádóó Líívai dine'é éí Kóhath dine'é áádóó Kórah dine'é danilíinii deizį'go Ízrel dine'é biBóhólníihii Diyin God yaa dahaniihgo chánahgo dahataał .
14:20:020:0	Áko t'ah abíínídą́ą́' nízhdiijéé' áádóó Tekówah honoojíijigo ch'ízhníná , áko joonéełgo Jiiháshafat t'áá ákǫ́ǫ́ yiizį'go ání , Dashíínółts'ą́ą́' , Júdah dine'é áádóó Jerúsalemgi kéédahoht'íinii , Bóhólníihii nihiDiyin God deinohdlą́ągo baa dadzíínóhłí , áko nihidziilgo adasoołkaal doo ; yá dahalne'ii deinohdlą́ , áko nihá ła' hooníił doo .
14:20:021:0	Áádóó dine'é bił nabik'íyádajisti'go Bóhólníihii yich'į' dahataał dooígíí néidiinil , áádóó éí hodílzingo baa dahojiniih doo biniyé siláo yilą́ąjį' yikahgo ádadidooniił , Bóhólníihii baa dahohniih , háálá aa a'ááh nízingo ahóyéel'á .
14:20:022:0	Áko adaho'niitáalgo áádóó Bóhólníihii yaa dahaniihgo Bóhólníihii éí Áman dine'é áádóó Mó'ab dine'é índa Dził Síyerdóó dine'é éí Júdah dine'é yiniyé niheeznáago ahaah héeshjée'go áyiilaa , áko t'óó ałk'i néijéé' .
14:20:023:0	Jó , Áman dine'é áádóó Mó'ab dine'é bisiláo éí Dził Síyerdóó dine'é ałtso ádeidoołdįįł biniyé yik'iijéé' , áko Síyerdóó kéédahat'íinii ádeisdįįdgo t'áá bí t'ááłá'í nítínígo ahíłká'ííjée'go ahidiníłnáago áda'ahisdįįd .
14:20:024:0	Áko Júdah dine'é honoojíidi ya'ii'áago bikáá'dóó ha'alzídíjį' yíkaigo , diné haal'áhíjį' dadéé'į́į́' nít'éé' ; jó , ats'íís daneeznáago ni'góó nihidíl'á ; doo ła' yidzí'í da lá .
14:20:025:0	Jiiháshafat áádóó bidine'é éí bida'ana'í yę́ę bindaalye'é yąąh deídóobeeł biniyé yíkaigo daneeznáanii bitahgóó yódí t'óó ahayóí índa t'áadoo le'é da'ílínígíí yik'ídahaaskaigo , t'áá bí ádá nidayiidláahgo t'óó yówehda áde ádayiilyaa ; t'áá nídayiiláahgo táá' yiską́ ; jó , t'óó ahayóí lá .
14:20:026:0	Áádóó dį́į́' yiską́ągo yíldzis Bérakah hoolyéegi áłah silį́į́' , áko ákwe'é Bóhólníihii yaa dahaniih ; éí bąą éí haz'ánígíí díí jį́įjį' yíldzis Bérakah hoolyé .
14:20:027:0	Ákohgo Júdah dine'é áádóó Jerúsalem kin haal'áádóó dine'é Jiiháshafat halą́ąjį' yigáałgo hoł dahózhǫ́ǫgo Jerúsalem kin haal'áágóó níjíkai , háálá hoda'ana'í bik'eh dazdeesdlį́į'go biniinaa Bóhólníihii hoł nidahoozhǫǫhgo áhoolaa .
14:20:028:0	Tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii áádóó tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii índa béésh dilní bee í'dílzoołí yee nidaanéego Jerúsalem kin haal'áagi Bóhólníihii bikin bii' sohodizinjį' nákai .
14:20:029:0	Nít'éé' bee ídahólníihii t'áá át'é kédaayahgóó Bóhólníihii éí Ízrel dine'é bida'ana'í yich'į' naazbaa'ígíí yaa dahodiizts'ą́ą'go Diyin God yik'ee bił yéé' dahazlį́į́' .
14:20:002:1	Jiiháshafat nant'áá nít'éé'
14:20:030:0	Áko Jiiháshafat yee bóhólníihgo nahós'a'gi hodiiyeel , háálá haDiyin God hanaadę́ę́' doo ách'į' ni'jódlíígóó háázhdoolyįhgo há áyiilaa .
14:20:031:0	Kót'éego Jiiháshafat éí Júdah dine'é yinant'áá nít'éé' . Tádiindóó ba'aan ashdla' binááhaigo aláahgo naat'áanii silį́į́' áádóó Jerúsalem kin haal'áagi nant'áago naadiin ashdla' nááhai . Bimá éí Azúbah wolyéego Sháílhai yitsi' nilį́ .
14:20:032:0	Áko bizhé'é Éísa yę́ę yaa naayáii yik'ehgo níyá ; éí doo yits'ághááhgóó Bóhólníihii binááł t'áá ákogi ádaat'éii yaa naaghá .
14:20:033:0	Azhą́ ákót'ée nidi , ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí t'áadoo nahjį' ályaa da , háálá dine'é éí dahazhé'é yę́ę biDiyin God bich'į' t'áadoo bijéí yee nideideez'ą́ą da .
14:20:034:0	K'ad łahjį' Jiiháshafat átsé áádóó akée'di ádzaaígíí , jó , Hanéínai biye' Jííhu éí Ízrel dine'é aláahgo binanit'a'í danilíinii binaaltsoos bik'inídaháasdzo .
14:20:035:0	Díí ádahóót'įįdóó bik'ijį' Júdah dine'é aláahgo binanit'a'í Jiiháshafat éí Ízrel dine'é aláahgo binanit'a'í Eihazáíyah doo yá'áshóonii yaa naagháii yił yíní ahíldin .
14:20:036:0	Tsinaa'eeł Társhish kin haal'áágóó ałnáádaa'oł doo biniyé ádeidoolíiłgo yił ahidii'áázh ; Ííziyan-gííber kin haal'áagi éí tsinaa'eeł ádayiilaa .
14:20:037:0	Ákohgo Maríísha kin haal'áádóó diné Dódava biye' Eliyíízer éí Jiiháshafat yik'ijį' hahaasdzíi'go ání , Eihazáíyah bił ahidini' áazhgo biniinaa Bóhólníihii éí bindashínílnishii yiyííłchǫ' . Áko tsinaa'eeł dahaastǫ'go doo dazhdół'eeł át'ée da silį́į́' .
