14:36:001:1	Jiihó'ahaz nant'áá nít'éé' áádóó nahjį' háábi'doolt'e'
14:36:009:0	Jehóíyakin éí tseebííts'áadah binááhaigo aláahgo nant'á silį́į́' , áko Jerúsalemgi nant'áago táá' nídeezid áádóó neeznáá yiską́ . Áko doo yá'ádaashóonii yaa naagháago Bóhólníihii binááł ákwáát'įįd .
14:36:004:1	Zedekáíyah nant'áá nít'éé'
14:36:010:0	Dąągo aláahgo naat'áanii Nébukadnézzar aníł'a'go Jehóíyakin éí Bábilanjį' yił adaaskai áádóó Bóhólníihii bikin bii' sohodizin góne' chodao'íinii da'ílíinii daadziihígíí ałdó' ákǫ́ǫ́ adeizhjaa' , áko hak'is Zedekáíyah éí Júdah dine'é áádóó Jerúsalem dine'é aláahgo yinanit'a'í nilį́įgo áyiilaa .
14:36:011:0	Zedekáíyah éí naadiin ła' binááhaigo nant'á silį́į́' áádóó Jerúsalemgi nant'áago ła'ts'áadah nááhai .
14:36:012:0	Doo yá'áshóonii baa nijigháago biDiyin God Bóhólníihii binááł ájíít'įįd , áádóó t'áá hó Diyin God yá halne'ii Jeremáíyah éí Bóhólníihii bizaad yee yáłti'go t'áadoo a'ohgo ízh'diilyaa da .
14:36:013:0	Aláahgo naat'áanii Nébukadnézzar éí Diyin God bee ádee hahoyííłdzíí' yę́ę bich'į' nízhdiiltee' áádóó áhozhdeeshchxǫ'go índa hajéí jííłtł'isgo ízh'diilyaago Ízrel dine'é biDiyin God Bóhólníihii bich'į' nijíltee' .
14:36:014:0	Náá'áłdó' aláahgo nááda'iiłniihii áádóó diné t'áá ałtso t'áá íiyisí bee haz'áanii dayiizti' ; ał'ąą dine'é bidoo daaldinii t'áá át'é bik'ehgo yaa naaskai , áko Jerúsalemgi Bóhólníihii bikin bii' sohodizin dílzingo ats'éidiní'áanii dayííłchxǫ' .
14:36:015:0	Dahazhé'é yę́ę biBóhólníihii Diyin God éí hane' nidei'áhí hach'į' ałnáánéíł'aah , háálá bidine'é áádóó hodiyingo hoł haz'ánígi yaa a'ááh nízin nít'éé' .
14:36:005:1	Júdah dine'é dabidisná
14:36:016:0	Nidi Diyin God yá hane' nidei'áhígíí yá nidahałt'i' índa hazaad dayíí'įįd índa há dahalne'ii yaa daadloh nít'éé' , áko Bóhólníihii bidine'é yich'į' t'óó báhádzidgo yee atí'éł'íinii t'áadoo bidééłníní da silį́į'jį' hanííchaad .
14:36:017:0	Éí bąą Kaldíya dine'é aláahgo binanit'a'í hach'į' yiyííł'aad , éí hakin bii' sohodizin góne' hadinééh danilíinii diltłish yee nideistseed , áko dinééh , doodaii' ch'ikę́ęhda , hastóí haastihiida doo yaa a'ááh nízin da ; Bóhólníihii éí t'áá ádzíłtso yílák'ee hodíí'ą́ .
14:36:018:0	Bóhólníihii bikin bii' sohodizin góne' chodao'íinii dantsaaígíí índa ádaałts'íísígíí t'áá át'é , áádóó Bóhólníihii bikin bii' sohodizindóó áádóó aláahgo naat'áanii bighandóó índa naat'áanii danilíinii dabighandóó da'ílíinii t'áá át'é éí Bábilangóó ayiizhjaa' .
14:36:019:0	Áádóó Bóhólníihii bikin bii' sohodizin adeideesk'ą́ą́' índa Jerúsalem kin haal'á ditą́ągo binaa ahéé'ítł'inígíí tadayoostł'ííd , áádóó naat'áanii dabighan ałtso deidííłid , índa chodao'íinii da'ílíinii ałtso nidayiishchxǫ' .
14:36:020:0	Áko diltłish yits'ąą hadahineezhchą́'ígíí éí Bábilan kin haal'áágóó ayiizh'eezh ; áadi Pérzha dine'é yee bóhólníihii hwee ádíhólnííh silį́į'jį' Nébukadnézzar índa biye'ké ałdó' yá nidaal'a' nít'éé' .
14:36:006:1	Sáíras nahasne'
14:36:021:0	Áádóó Jeremáíyah éí Bóhólníihii yee haadzíi'ii bohodoolnííł biniyé tsosts'idiin nááhaijį' kéyah háá'áyį́į́h yee ákeesdla' , áko bikáá' doo nihwiildlaadgóó tsosts'idiin nááhaijį' hanáályį́į́' .
14:36:022:0	Áko k'ad Pérzha dine' é aláahgo binanit'a'í Sáíras nant'áago t'ááłá'í náhááh góne' Jeremáíyah éí Bóhólníihii bizaad yee hahaasdzíi'ii bohodoolnííł biniyé Bóhólníihii éí Pérzha dine'é aláahgo binanit'a'í Sáíras biníłch'i yidiisnáá' , áko aláahgo naat'áanii bee óhólníihgo bił haz' ą́ą́góó t'áá át'é baa nidahazne' índa bee ak'e'ashchį́įgo ałdó' áyiilaago ání ,
14:36:023:0	Pérzha dine'é aláahgo binanit'a'í Sáíras kóní , Yá'ąąshdę́ę́' Bóhólníihii Diyin God éí nahasdzáán bikáa'gi bee ídahólníihii t'áá át'é sheidiní'ą́ , áko Júdah kéyahgi Jerúsalem kin haal'áagi kin bii' sohodizin bá ádeeshłíiłgo shąąh niinílá . Háishą' Diyin God bidine'é t'áá ałtso bitahdóó nidaahkaii ? Éí haBóhólníihii Diyin God hoł hólǫ́ǫ le' áádóó bíni' Jerúsalem góde nihééhizhdookah .
