14:6:001:1	Kin bii' sohodizin diyingo nideet'ą́
14:6:023:0	Ákohgo yá'ąąshdi didííts'į́įłgo ná naal'a'í nidilt'éhígíí t'áá ha'át'éegoda ádíílíiłgo baa nídíít'įįł , éí doo yá'áshǫ́ǫ́góó ádzaaígíí yá ninádootłishgo bee bá nihodíí'ááł índa t'áá ákogi ááníiłii éí bit'áá ákogi át'éii bik'ehgo bik'ijiidíídliił .
14:6:024:0	Nidine'é Ízrel nich'į' nida'iisíi'go biniinaa bi'ana'í bik'eh dadeesdlį́į'go áádóó nízhi' dayózhíigo nich'į' ninákaigo índa díí kin biyi' nída'ookąąhgo sodadilzingo
14:6:025:0	yá'ąąshdi didííts'į́įłgo nidine'é Ízrel nida'iisíi'ii bá yóó'ádidíí'ááł áádóó kéyah baa dííní'ánígíí áajį' dabizhé'é yę́ę bił ninádíí'ish .
14:6:026:0	Nidine'é Ízrel nich'į' nida'iisíi'go biniinaa níłtsą́ nihéé'ni' áádóó díí haz'ánígíí yich'į'go dadéez'į́į'go nich'į' sodadilzingo índa nízhi' dayózhíigo nida'iisí'ígíí yits'ą́ąjigo ninákai ; jó , bich'į' nidahoyíníłnáá' .
14:6:027:0	Ákohgo yá'ąąshdi didííts'į́įłgo ná nidaal'a'í áádóó nidine'é Ízrel nida'iisíi'ii bá yóó'ahidí'aah doo , yá'át'éehgo honít'i'góó deíkáah dooígíí bee nanítingo bikéyah bik'ijį' nidahałtin doo ; kéyah daabíí' dooleełgo nidine'é baa dííní'ą́ .
14:6:028:0	Kéyah bikáá'góó hodííchįįdgo , doodaii' nidahałniihgo , doodaii' nídahooltseigo , doodaii' dláád dahazlį́į'go , doodaii' nahachagiitsoh dahazlį́į'go , doodaii' ch'osh ditł'ooí dahazlį́į'go bikéyahdóó kin hadaas'áhígíí ła' bi'ana'í yinadééjée'go t'áá ha'át'íhída atí'oolíiłii bidadeesna'go , t'áá ha'át'íhída naałniih baa níłnii'go ,
14:6:029:0	ákohgo diné t'áá háiida sodilzingo , doodaii' ná'ookąąhgo , doodaii' Ízrel dine'é t'áá ałtso ákót'éego yaa naakaigo , t'ááłá'í nítínígo t'áá bí yik'ee ti'dahooníihii áádóó yaa yínííł danilíinii yaa ákódahiniizįįhgo índa díí kin bii' sohodizin biyi'dóó dah dadéelníihgo sodadilzingo
14:6:030:0	yá'ąąshdi kééhót'į́įdi didííts'į́į́ł áádóó nida'iisí'ígíí bá yóó'ahidí'aah doo , áádóó diné t'ááłá'í nítínígo bá dahonít'i' bik'ehgo bá ádadííliił , diné dabijéí nił bééhózinígíí ; ( t'áá ni t'éiyá nihokáá' dine'é dabijéí nił bééhózin ; )
14:6:031:0	éí danihizhé'é yę́ę kéyah baa dííní'ánígíí yikáá' t'áá abídayiiską́ bijį́įjį' dandósin doo biniyé ákódíínííł .
14:6:032:0	Áádóó ałdó' dé'éyóní ła' doo Ízrel dine'é nilíinii , nidi nízhi' ayóó át'éii áádóó ayóó ánóodziilii índa nigaan bits'áhoníyée'ii biniinaa díí haz'ánígíí yich'į'go déez'į́į'go nich'į' sodidoozįįłgo
14:6:033:0	yá'ąąshdi kééhót'ínídę́ę́' didííts'į́į́ł , áádóó dé'éyóní níyókeedígíí t'áá ałtso bá bi'díílííł ; díí t'áá nidine'é Ízrel nízhi' bił béédahózingo deidósinígi át'éego nihokáá' dine'é t'áá át'é dandósin doo áádóó bił béédahodoozįįł : díí kin áshłaaígíí nízhi' bee wójíi doo .
14:6:034:0	Nidine'é bi'ana'í danilíinii yich'į' dahidibáahgo , t'áá háájída hidíł'áago kin haal'á nidííní'ánígíí áádóó kin éí nízhi' bee wójíigo íishłaaígíí yich'į' dadéez'į́į'go nich'į' sodadilzingo
14:6:035:0	yá'ąąshdi bisodizin índa biná'ookąąh bá didííts'į́į́ł índa yiniyé ádaaníinii bá bi'íínísin doo .
14:6:036:0	Nich'į' ádił nida'iisíihgo , ( jó , diné t'áá ałtso ádił da'iisííh , ) áko hach'į' náhodoochįįł go hwe'ana'í baa hodidíí'ááł , áko dahodoołnéełgo bikéyah nízaadgóó , doodaii' áhą́dígóoda yóó'adahodínóołkał ,
14:6:037:0	nidi éí kéyahgóó yisnááh ádaho'diilyaa yę́ędi hajéítł'áahdi łahgo át'éego tsíńdazdookosgo áádóó dahasnánígíí bikéyahdi nich'į' nida'jookąąhgo kódajiníi doo , Ádił nida'ayeelzíí' , doo ádahwiilyą́ą́góó , doo yá'áshǫ́ǫ́góó ádeiit'įįd .
14:6:038:0	Dabisnánígíí bikéyahdi dahajéí índa daháni' t'áá át'é bee łahgo át'éego tsíńdazdookosgo áádóó hakéyah dahazhé'é yę́ę baa dííní'áanii índa kin haal'á nidííní'áanii , áádóó kin áshłaaígíí nízhi' bee wójíi doo ,
14:6:039:0	yá'ąąshdi kééhót'ínídę́ę́' bisodizin áádóó biná'ookąąh didííts'į́į́ł áádóó yiniyé ádaaníinii bá bi'íínísin doo índa nidine'é nich'į' ádił nida'iisíi'ii bá yóó'ahidí'aah doo .
14:6:040:0	K'ad , shiDiyin God nílíinii , nánooshkąąh , díí haz'ą́ą́dóó nich'į' sodiszingo shíísíníłts'ą́ą́' .
14:6:041:0	Éí bąą k'ad , Bóhólníihii shiDiyin God nílíinii , díldzííł , háánílyį́į́h dooleełgóó tsits'aa' dílzinii nidziil bee bééhózinii bił dínááh , Bóhólníihii shiDiyin God nílíinii , háni'dii nináá'iiłniihii yisdá'iildééh yee hadadít'ée le' áádóó háni'dii nidiyį́į́' danilíinii yá'át'éehii yaa bił nidahoozhǫǫh le' .
14:6:042:0	Bóhólníihii shiDiyin God ak'ah bik'i yeiniziidgo yíínísį́į'ii doo t'óó bi'dííłnih da , béénílniih , ná naal'a'í David yę́ę baa a'ááh ná niidzįįh nít'éé' .
