49:1:001:1	Tr'iinin ts'ą' Ch'iyehghan Haa Deegihee'yaa Goo'aii
49:1:014:0	Ch'anky'aa Shroodiinyąą tr'ii'įį eenjit Vit'eegwijyąhchy'aa jidii diinantł'eegwehee'aa nyąą tr'ooheendal gaagwiindaii . Yeendaa ji' Vit'eegwijyąhchy'aa vigii tr'inlii geh'an Christ k'iighai' diineenjit neegwahookwat . Jii geenjit t'ee dinjii nąįį Vit'eegwijyąhchy'aa vich'eegwąhndit eh'an gwintsii giiyinjihił'ee .
49:1:015:0	Jii geh'an nijin Vit'eegwijyąhchy'aa vigii nąįį datthak eet'ohthan , ts'ą' K'eegwaadhat Jesus vik'injuhkhit nakhweegwihtth'ak dąį' ,
49:1:016:0	khadigihjii datthak nakhwanaldaii t'oonchy'aa , Vit'eegwijyąhchy'aa nakhweenjit mahsį' vaihnyąą .
49:1:017:0	Vit'eegwijyąhchy'aa , Diik'eegwaadhat Jesus Christ Viti' łyaa gwintsii veegoo'aii , Ch'anky'aa Shroodiinyąą nakhwantł'eegwehee'aa , ts'ą' gwandaa vaakhwandaii eenjit vigwizhi' khwa'yaa ts'ą' nakhwats'ą' gwagwahahkyaa geenjit , vats'a' khadigihihjyaa .
49:1:018:0	Jii deegwinyąą t'igwinyąą gaakhwandaii eenjit nakhweenjit khadigihjii . Vit'eegwijyąhchy'aa vigii hohłyaa geenjit nakhoozhrii ts'ą' jii jidii gwinzii nakhweenjit gwii'įį ąįįt'ee łyaa nakhwats'an hahtsyaa , jii łyaa gwintsii digii nąįį antł'eehih'aa nyąą ąįį deegwahtsii t'ahnyąą vaakhwandaii eenjit nakhweenjit khadigihjii .
49:1:004:1	Jii Dęhtły'aa T'ee Ndaanaa'ąį'
49:1:019:0	Diikhwan vik'injiriighit deegwahtł'oo niint'aii vaakhwandaii geenjit nakhweenjit khadigihjii .
49:1:020:0	Nijin Christ ineegwiłdaii dąį' , ąįį t'aih t'ee t'aahchy'aa , Vit'eegwijyąhchy'aa zheekat Christ dishriits'ąįį niyąąhchįį .
49:1:021:0	Zheezhit jidii ch'anky'aa niint'aii nąįį datthak andaa gaa Christ k'eegwaadhat . Juu gwintsii veegoo'aii ts'ą' khaihkwaii nilii nąįį datthak gaa goovandaa Christ voozhri' daatł'oo , juk akwat yeendaa ji' gaa jyaa diheechy'aa .
49:1:022:0	Christ jidii datthak ts'ą' k'eegwahaadhat eenjit Vit'eegwijyąhchy'aa t'aih yantł'eiin'ąįį . Ąįįts'ą' tr'igiinkhii zheh gwik'injiighit nilii nąįį datthak gwakhaihkwaii yiłtsąįį .
49:1:023:0	Tr'igiinkhii zheh t'ee Christ vatthąį' k'it t'inchy'aa , ąįį gwik'it diikhwan t'ee diikhaihkwaii nilii ts'ą' vigii tr'iinlii . Tr'igiinkhii zheh , Christ vat'aii haa goo'aii , Christ t'ee jidii datthak akwat nijin datthak gwinzii gwiłtsąįį .
