49:6:001:1	Tr'iinin ts'ą' Ch'iyehghan Haa Deegihee'yaa Goo'aii
49:6:014:0	Geenjit gwinzii shreedoonjii . Dinjii łi'didlii ohlii . Ąįį łi'didlii t'ee tthah vaa k'ideereeheedik geenjit naraazhii k'it t'inchy'aa . Vit'eegwijyąhchy'aa vik'eegohthat , nijin deekhwa'yaa nakhoonyaa gwik'it t'akhwa'in dąį' nakhwadrihtsii ch'iitsii gwach'aa nakhwanooljik k'it t'oonchy'aa ąįį tsin t'ahohjyaa gwits'į' nakhwak'aahtii t'oonchy'aa .
49:6:015:0	Khit Gwandak Nizįį k'injiinghit ąįį vats'an tsinehdan gwanlii . Ąįį jii nakhwakwai' kat dachan kwaiitryah noonzhii ts'ą' nakhwak'injigwiighit akhagoonyąą kwaa t'oonchy'aa .
49:6:016:0	Tseenjyaa Jesus Christ vik'injuhkhit , ąįį nakhwagwik'injigwiighit t'ee ch'iitsii k'ik nakhwats'ooghaii dha'aii k'it t'inchy'aa . Nakhwagwik'injigwiighit t'ee tr'aanduu vik'i' gal tsii kǫ' daak'a' ts'į' adak'ǫǫntii t'oonchy'aa , nijin nihłich'iighan dąį' ch'iitsii k'ik haa tsint'igeheenjyaa gwits'į' giiyuutą' k'it t'ohchy'aa .
49:6:017:0	Vit'eegwijyąhchy'aa łyaa neenakhwahshii gaakhwandaii , niveet'oh'in gwa'an nakhwareheendal gwits'į' ch'iitsii ts'eh noon'ąįį k'it t'ohchy'aa . Vit'eegwijyąhchy'aa viginjik nakhwanli' haa gwinzii ohtą' , ąįįt'ee Ch'anky'aa Shroodiinyąą shrii choo veek'i' neekwaii gwanlii nakhwantł'eiin'ąįį k'it t'inchy'aa .
49:6:018:0	Nijin Ch'anky'aa Shroodiinyąą jyaa dakhwa'in nakhwahnyąą dąį' , Vit'eegwijyąhchy'aa jidii datthak geenjit nakhwats'iheenjyaa eenjit vats'a' khagadǫhjii . Nijin khagadǫhjii dąį' gwak'ǫǫhtii ts'ą' Vit'eegwijyąhchy'aa k'injiighit nąįį datthak eenjit khagadǫhjii chan akhagohnyą' shrǫ' .
49:6:019:0	Shant'ee sheenjit khagadǫhjii , Vit'eegwijyąhchy'aa ginjik nizįį shats'an iłtsąįį ąįį naljat kwaa haa eegihihkhyaa geenjit . Jyąhts'ą' gwik'iighai' jidii Gwandak Nizįį , Vit'eegwijyąhchy'aa diits'ą' gwigwiiłkįį ąįį łi'didlii haa dinjii nąįį haa gwahaldak geenjit .
49:6:004:1	Jii Dęhtły'aa T'ee Ndaanaa'ąį'
49:6:020:0	Jesus Christ Vagwandak Nizįį eech'oohaałchyaa eenjit gwit'eetr'ashahchįį t'oonchy'aa , ąįį geh'an juk dzaa zheh gwaazhrąįį dhiidii ts'ą' Gwandak Nizįį eech'oohałchyaa gwizhrįh goo'aii , ąįįts'ą' naljat kwaa haa t'ishi'yaa geenjit Vit'eegwijyąhchy'aa vats'ą' sheenjit khagadǫhjii .
49:6:021:0	Diichaa , Tychicus łyaa K'eegwaadhat k'injiighit ts'ą' veet'igwiindhan t'ee shagwandak datthak nakhwaa gwahaandak t'inchy'aa , deeshi'in ts'ą' sheenjit doonchy'aa gaahahkhwandaii geenjit .
49:6:022:0	Diinaa doonchy'aa nakhwaagwahaandak geenjit nakhwats'ą' naałchįį t'inchy'aa , ts'ą' nakhwadrii nint'aii hahtsyaa geenjit chan .
49:6:023:0	Gwik'injiighit nąįį , Vit'eegwijyąhchy'aa Gwiti' ts'ą' K'eegwaadhat Jesus Christ k'iighai' tsinehdan nakhwaa oolį' , khit ts'ą' Christ k'injuhkhit ts'ą' ch'eet'igwiniindhan nihłeenjit akhwa'įį nakhwats'an gohtsyaa .
49:6:024:0	Juu K'eegwaadhat Jesus Christ eenjit ch'eet'igwiniindhan ndaanąą'ąį' kwaa di'įį nąįį , Vit'eegwijyąhchy'aa nakhwats'ą' ch'eegoonzhrįį oo'į' .
