19:78:001:1	Psalm . lxxviij .
19:78:041:0	A’ hwy ymchoelesant ac a temptesont Ddew , ac Sanct Israel a dervynent .
19:78:042:0	Ny chofient ei law [ na’r] dydd y gwaredawdd ef hwy rac y gelyn :
19:78:043:0	[ Na hwn] y osodawdd ei arwyddion yn yr Aipht , aei ryveddodae ym-maes tSoan :
19:78:044:0	Ac ef a droes y avonydd hwy yn waet , ai llifddyfredd val na allent yfed .
19:78:045:0	E ddanvonawð pop ryw adnoc yn ei plith , yr ei eu hysawdd , a’ llyffaint yr ei divethent .
19:78:046:0	E roes hefyt y ffrwythae hwy ir lindys , a ei llafur i’r ceilioc-rhedyn .
19:78:047:0	Lladdodd ef ei gwinwyð a chenllysc , a’ei gwyllt fficuswydd a’chessair .
19:78:048:0	Ef a roes hefyt y h’yscryblieit i’r cenllysc , a’ei perchenogeth i’r lluchet .
19:78:049:0	Anvonawdd arnynt gynddareð ei lit , irlonedd a’bar , ac ing gan ddanvon Angelion anvat .
19:78:050:0	Ef a wnaeth ffordd y’w ddigoveint : nyd arbedawdd ef ei henaid rac angae , [ and] rhoi ei bywyt ir cornwyt :
19:78:051:0	Ac e drawodd bop cynenit yn yr Aipht , [ ys] dechreuait y nerth hwy yn lluestai Cham .
19:78:052:0	Ac e wnaeth y’w bopul ymddaith mal deveit , ac h’arwenawdd yn y diffaith val gyr .
19:78:053:0	Ys ef y duc hwy allan yn ddiogel , ac nyd ofnesont , a’r mor a guddiawdd ei gelynion .
19:78:054:0	Ac e a ddaeth a hwy y gyffinydd ei Gyssecr : [ sef] ir mynyth hwn , [ y] a orescennawdd ei ddeeulaw .
19:78:055:0	Ef a vwriawdd hefyd y cenedloedd allan yn y gwydd hwy ac a wnaeth y ddynt syrthio yn rhann [ ei] etifeddiaeth , ac a barawdd y lwytheu Israel drigio yn y pepyll hwy .
19:78:056:0	Er hynny wy temtiesont ac a ddigiesont y goruchaf Ddew , a’ ei destiolaetheu ny-chatwesant :
19:78:057:0	Eithr ymchwelyt , a’ gwneuthur ar gam val eu tadeu : [ ac] ymdroi val bwa twyllodrus .
19:78:058:0	A’ digiesant ef a’ ei gwyðvaeu , ac y cyffroesōt ef y lidio a’ ei delwae-cerviedic .
19:78:059:0	Clybu Dew [ hyn] ac e ðigiawð , ac a e dremygawdd yn ddirvawr Israel :
19:78:060:0	Val y gadawdd ef breswyl Shilo , [ sef] y babell [ lle] preswiliawdd ef ym-plith dynion ,
19:78:061:0	Ac e roddes ei veddiant yn-caethiwet , a ei brydverthwch yn llaw ’r gelyn .
19:78:062:0	Ac e roddes ei bopul ir cleddyf , ac a lidiawdd wrth ei etiveddiaeth .
19:78:063:0	Y dewis-wyr hwy a ysawdd y tân , a’i gweryfon ny volwyt .
19:78:064:0	Ei hOffeiriait y gwympodd gan y cleðyf , a’i gwrageð-gweddwon nyd wylesont .
19:78:065:0	A’r Arglwydd a ddeffroes val vn o guscu , [ ac] mal gwr-cadr gwedy gwin yn bloeddio ,
19:78:066:0	Ac e drawodd ei ’elynion ar y tu ol , ac eu rhoðes yn-gwradwydd tragyvythawl .
19:78:067:0	Ac ef a wrthodes luest’ Ioseph , a’llwyth Ephraim ny’ ddetholawdd .
19:78:068:0	Ac ef a ddetholes lwyth Iudáh , [ a’] mynyth Tsijon yr hwn a garawdd .
19:78:069:0	Ac ef y adeilawdd ei Gyssecr mal [ llys] vchel , mal y ddaiar , rhon y sailiawdd ef yn tragyvyth .
19:78:070:0	E ddetholes hefyd Ddauid ei was , ac ei cymerth o’r corlanae deueit .
19:78:071:0	Ys o ol y [ deveit] cyfebron y daeth ac ef y borthi ei bopul yn Iaco , a’i etiueddiaeth yn Israel .
19:78:072:0	Ac ef y porthei wy yn ol gwiriondep ei galon , ac eu ’harwenawdd wrth ddyall ei ddwyllaw .
