44:8:001:1	Saul éí Jesus dayoodláanii atííł'į́
44:8:015:0	Áadi ní'áazhgo Níłch'i Diyinii biih dahodooleeł biniyé bá sozdoolzin, 
44:8:016:0	háálá łá'í nidi doo ła' bee haleeh da lá, nidi Bóhólníihii Jesus bízhi' t'éí bee tó bee dabi'doolzį́į́' lá. 
44:8:017:0	Áko yik'i dah dahidilníihgo Níłch'i Diyinii biih dahwiizle'. 
44:8:018:0	Nít'éé' Sáíman, daal'aadii ak'i dah dahidilníhígíí binahjį' Níłch'i Diyinii aa hidit'aahgo yiyiiłtsą́ągo, béeso yee yooskango 
44:8:019:0	ííłní, Shí ałdó' éí bee óhólníihii shaa dinoh'aah, áko t'áá háiida bik'i dah dahidishníihgo Níłch'i Diyinii biih dahwiileeh doo. 
44:8:020:0	Nidi Peter áhodííniid, Nibéeso t'áá bił ánídįįh, háálá Diyin God eidiyii'aahii béeso bik'é nidííléełgo tsídíníkééz! 
44:8:021:0	Díí ádei'níłígíí t'áá bighąądígi nidi doo nídéét'i' da, háálá Diyin God nijéí yiníł'į́įgo doo bił ákwii át'ée da. 
44:8:022:0	Éí bąą nichǫ́'ógo tsídíníkézígíí łahgo át'éego bąąh tsíńdíkeesgo Diyin God néinikąąhgo, T'áá shiyi'ídi doo ákǫ́ǫ́ tsídíkéezii shá yóó'adí'aah, bidiní. 
44:8:023:0	Háálá ak'e'diniih bee nił niiłch'iihii nii' hééł lá, índa bąąhági át'éii ádíniistł'ǫ́ǫ́ lá. 
44:8:024:0	Áko Sáíman haadzíi'go ání, Bóhólníihii shá náohkąąh, áko eii bee haohdzí'ígíí doo shik'i hwiidooleeł da. 
44:8:003:1	Philip áádóó Iithiyópiyadę́ę́' yúnak nilíinii
44:8:025:0	Áko ákwe'é Peter áádóó John oo'íinii k'ehgo haleebee nahasne', áádóó Bóhólníihii bizaad baa hojoolne'dóó bik'ijį' Jerúsalemgóó níjoot'ashgo, Samériya dine'é lą'í bikin dah naazhjaa'góó hane' yá'át'éehii baa hojoolne'. 
44:8:026:0	Bóhólníihii bidiyingo naal'a'í ła' Philip yich'į' haadzíi'go ání, Nídiidáahgo, shádi'áahjigo Jerúsalemdóó Géízagóó atiiníjį' dínááh. Éí honoojíígóó atiin. 
44:8:027:0	Áko nízhdii'na'go dashdiiyá. Nít'éé' diné léi', yúnak nilį́įgo t'áá íiyisí bóhólnííh, Iithiyópiyadóó asdzą́ą́ naat'ááh Kándasii yolyé, éí binaalye'é t'áá ałtso bá baa áhojilyą́, áko Jerúsalemdi Diyin God bich'į' nahozhdoołaał biniyé ákǫ́ǫ́ nijiyá, 
44:8:028:0	áko Diyin God yá halne'ii Aizéíyah binaaltsoos jółta'go hatsinaabąąs bijáád naakiígíí bii' dah dzizdáago níjoodááł. 
44:8:029:0	Níłch'i Diyinii éí Philip áyidííniid, Nílááh, tsinaabąąs bíighahgi ninínááh. 
44:8:030:0	T'áá áko Philip áadi yílwod, nít'éé' Diyin God yá halne'ii Aizéíyah binaaltsoos yółta' lágo jidiizts'ą́ą'go ábijiní, Yíníłta'ígíísh t'áá bik'idi'yiitįįh? 
44:8:031:0	Nít'éé' ání, Haash yit'éego bik'idi'deeshtį́į́ł? Ła'da yínashineestą́ą'go t'éiyá. Áko Philip ábizhdííniid, Wóshdę́ę́' hasí'néehgo shíighahgi dah nídaah. 
44:8:032:0	Kót'éego Diyin God bizaad bee ak'e'ashchínígíí yółta' lá:Na'atseedjį' dibé yidlósígi át'éego,dibé yázhí t'áadoo áníní tábididoogishii yidááhdóó sizínígi át'éego,hazéé' t'áadoo ąą ájiilaa da. 
44:8:033:0	Áko a'ohgo ájít'éii áho'diilyaago doo ákót'éégóó haa hwiiníst'įįd.Háishą' oochíiłii bii' jiinánígíí hazhó'ó yaa hodoolnih?Háálá nahasdzáán bits'ą́ąjį' hwii' sizíinii nídiilyá.  
44:8:034:0	Áko yúnak éí Philip ííłní, Nanídíshkid, Diyin God yá halne'iishą' háí yaa halne'? T'áásh bí ádaa halne', náánáła' daats'í yaa halne'? 
44:8:035:0	Áko Philip ayá'niiłti'go, díí Diyin God bizaad bee ak'e'ashchínígíí deezt'i'dóó Jesus baa hane' yá'át'éehii bee bił hojoolne'. 
44:8:036:0	Áádóó t'áá náás jookahgo tó hólǫ́ǫ́ léi'gi jíkai, áko yúnak ání, Jó, ákǫ́ǫ́ tó! Tó bee shidi'doolzįhígíishą' ha'át'íí yidínóołtł'ah? 
44:8:037:0	[Philip áháłní, Nijéí t'áá át'é bee iisínídląądgo lą́ą. Áko yúnak haadzíi'go ání, Jesus Christ éí Diyin God biYe' nilį́įgo wooshdlą́.] 
44:8:038:0	Oołbąsii, Łį́į́' ni'ánílééh, bizhdííniid, áko Philip éí yúnak bił taah jíí'áazhgo tó bee jíísį́į́'. 
44:8:039:0	Táyi'dę́ę́' háájísht'áazhgo, Bóhólníihii biNíłch'i Diyinii éí Philip néidiiłtį́, áádóó yúnak t'áadoo náhoołtsą́ą da, nidi bił hózhǫ́ǫgo nihináánádzá. 
44:8:040:0	Nidi Azótas hoolyéedi Philip ho'diiltsą́, áko kin hadaas'áágóó kintah ch'íjiigháahgo hane' yá'át'éehii baa nahojilne'go Sesaríyagi jiníyá.
