44:7:001:1	Stephen ách'ą́ą́h yálti'
44:7:015:0	índa Ííjip góyaa Jéíkab ajíínáago t'áá áadi dadziztsą́. Danihizhé'é yę́ę ałdó' t'áá áadi daneezná, 
44:7:016:0	áko Shííkemgi nidaho'diishjaa'go, ákwe'é tséní'ootséél góne' yóó'ádaho'diilyaa, éí Éíbraham jílíinii Héímor biye'ké béeso baazhnínilgo tséní'ootséél baa nidziisnii' nít'éé'.  
44:7:017:0	Nidi Diyin God éí Éíbraham yeidiní'áanii bohodoolníłígíí bich'į' hoolzhishgo, Ííjipgi Éíbraham bidine'é k'ee'ąą dínéest'ą́ągo t'óó ahayóí silį́į́'. 
44:7:018:0	Ákohgo índa Íijip dine'é aláahgo binanit'a'í, Jóseph doo yééhósinii naat'áanii náánásdlį́į́'. 
44:7:019:0	Éí nihidine'é yę́ę na'adlo' yee atídayííł'įįdgo danihizhé'é yę́ę bada'áłchíní yázhí dadínóonééł biniyé t'áákáajį' ch'ídahohjááh, deiłníigo. 
44:7:020:0	Ákwe'é hoolzhish yę́ędą́ą́' Mózes ho'dizhchį́įgo t'áá íiyisí jízhóní. Hazhé'é bighangi haa áháyą́ągo táá' nídeezid, 
44:7:021:0	áádóó t'áákáajį' ch'ího'deeltį́įgo, Féro bitsi' náhodiiłtį́įgo t'áá bí biyáázh jílį́ nahalingo honeesą́. 
44:7:022:0	Áko Mózes éí Ííjip dine'é bibee hódzáanii t'áá át'é bíhodi'yiil'ą́ą́', áádóó hazaad índa hanaanish bee ayóó ájít'é dzizlį́į́'. 
44:7:023:0	Dízdiin honááhaigo hak'isóó danilíinii éí Ízrel ba'áłchíní bitaa deeshaał jiniizį́į́'. 
44:7:024:0	Áko ła' atíbi'dil'į́įgo jiiłtsą́ągo bich'ą́ą́h ajííyáago Ííjip diné nilíinii bił niizhníłts'ingo k'éézhdiidlaa. 
44:7:025:0	Jó, dahak'isóó t'áá hó hanahjį' Diyin God yisdábidooniłígíí yaa ákodanízin hanii jiniizį́į́', nít'éé' doo yaa ákodanízin da lá. 
44:7:026:0	Biiskání ła' ałk'i náánéílwod léi' baazhníyá, áko k'é ná'ahididoo'niił biniyé kóbijiní, Shoo, hastóí, ałk'isyee' nohłį́, ha'át'íishą' biniyé atí'ahoł'į́? 
44:7:027:0	Nidi bik'is bąąhági ííł'į́ nít'é'ígíí nahjį' honíyilgo áháłní, Háishą' nihinanit'a'í nílį́įgo áádóó nihá nihoyí'aahgo ániilaa? 
44:7:028:0	Da' adą́ą́dą́ą́' Ííjip dine'é ła' síníłhį́ yę́ęgi át'éego shíísh ałdó' shidiyííłhééł? 
44:7:029:0	Áko díí bee ha'oodzí'ígíí biniinaa Mózes dashdiilwod, áádóó kéyah Mídiyan hoolyéedi dé'éyóní jílį́įgo áadi haye' naaki há yizhchį́.  
44:7:030:0	Áadi dízdiin honááhaidóó bik'ijį', Dził Sáínai binaagóó honoojíigi, dówózhii biyi'dóó kǫ' dah nídíno'go biyi'dóó diyingo naal'a'í hach'į' ííshjání í'diilyaa. 
44:7:031:0	Áko Mózes éí bik'izhníghalgo bik'ee t'óó hoł ahóóyóí, áko áhánídóó jidínóoł'įįł biniyé bich'į' nizhníyá, nít'éé' Bóhólníihii haadzíi'go jidiizts'ą́ą'go ání, 
44:7:032:0	Shí danizhé'é yę́ę biDiyin God nishłį́, Éíbraham biDiyin God, áádóó Áízak biDiyin God, índa Jéíkab biDiyin God nishłį́. Áko Mózes hatah hoditłidgo jidídóo'įįłgi bíká jíítiid. 
44:7:033:0	Nít'éé' Bóhólníihii áháłní, Nikee' hadiidlé, háálá sínízínígi hodiyingo haz'ą́. 
44:7:034:0	Ííjipdi shidine'é ti'dahooníihgo t'áá aaníí yiiłtsą́, áádóó dadi'níigo diséts'ą́ą́', áko yisdádeeshnił biniyé hadááyá. Áko tį', k'ad Ííjipgóó nándeesh'aał.  
44:7:035:0	Díí Mózes, Háishą' nihinanit'a'í nílį́įgo áádóó nihá nihoyí'aahgo ániilaa? dahałníigo doo dahoniizį́į' daígíí, t'áá éí Diyin God naat'áanii índa yisdázhdooniłii jílį́įgo áhoolaa, dówózhii biyi'dóó diyingo naal'a'í hach'į' í'diilyaii binahjį' hóół'aad. 
44:7:036:0	Mózes éí Ííjipgi áádóó Tónteel Łichíí' yolyéego siyínígíí bik'ee t'óó ił ahayóigo ádahooníiłii índa Diyin God bibee adziilii bee béédahózinii ííł'į́įgo honí'eezh, índa honoojíidi dízdiin nááhaijį' nijildeehgo ałdó' ákódzaa. 
44:7:037:0	Díí Mózes éí Ízrel dine'é áyidííniid, Bóhólníihii nihiDiyin God shííł'aadígi át'éego nihik'isóó bitahdę́ę́' bá halne'ii ła' nihich'į' yidooł'aał [éí dadidoohts'į́į́ł]. 
44:7:038:0	Díí lá Mózes, honoojíidi áłah azlį́į'gi danihizhé'é yę́ę bił diyingo naal'a'í Dził Sáínaidi hach'į' haadzíi'ii ájít'į́ ni; éí saad hináanii nihá hwee hazlį́į'go nihaazhdiní'ą́. 
44:7:039:0	Danihizhé'é yę́ę doo hak'eh dahół'į́į́góó, nahjį' hódeizyilgo, nát'ą́ą́' Ííjip góyaa atsíńdaazkééz, 
44:7:040:0	áko Éran yich'į' hadaasdzíi'go ádadííniid, Diyin nihilą́ąjį' hoo'į́į dooleełígíí nihá ádadíílííł, háálá Mózes, Íijipdóó ch'ínihiní'eezhii, háájí shį́į́ dzizlį́į'go doo nihił béédahoozin da. 
44:7:041:0	Áko íídą́ą́' béégashii yáázh yida'iilaa, áko be'elyaii yich'į' nááda'iiłniih áádóó t'áá bí bíla' yee ádayiilaii yaa bił dahóózhǫǫd. 
44:7:042:0	Nidi Diyin God hats'ą́ąjį' ádzaago yá biyi'di hiníláii bich'į' nidahojiłáa doogo yaa hodiní'ą́, t'áá Diyin God yá dahalne'ii binaaltsoos yik'eda'ashchį́ yę́ęgi át'éego:Jó, Ízrel dine'é nohłíinii, da' nihíísh honoojíidi dízdiin nááhaijį'nidaaldlooshii nidaaztseedígíí áádóó náádahaniihii hanii shich'į' náádahołniih nít'éé'? 
44:7:043:0	Áádóó Mólak diyin bidi'níinii biníbaal nidaah'áá nít'éé',áádóó Rémfan, diyin bidi'níinii bisǫ' nidaah'áá nít'éé';éí be'elyaii bich'į' nidahohłáa doogo ádaahłaa,áko shí t'éiyá Bábilan bilááhgóó anihidínéeshkał.  
44:7:044:0	Danihizhé'é yę́ę honoojíidi níbaal bii' hodílzinii éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii bił hólǫ́, t'áá Diyin God éí Mózes t'áá jiiłtsánígíí bik'ehgo ádíílííł ho'doo'niid yę́ęgi át'éego ályaa. 
44:7:045:0	Jó, éí danihizhé'é yę́ę bitah hoolzhishgo náás deiní'ą́. Diyin God éí ał'ąą dine'é kéyah yikáá' kéédahat'į́ yę́ędóó nahjį' hainííłkaadgo danihizhé'é yę́ę bíí' daazlį́į́'. Áko Jáshowa hoo'ishgo níbaal bii' hodílzinii éí kéyah biih dadziz'ą́. David naat'áanii nilį́ yę́ęjį' ákwii si'ą́ą́ nít'éé'. 
44:7:046:0	David éí Diyin God bił jílį́į́ nít'ée'go Jéíkab biDiyin God hólǫ́ǫ dooleełgi áhozhdoolííł biniyé jííkeed. 
44:7:047:0	Nidi Sálamanda Diyin God yá kin áyiilaa. 
44:7:048:0	Ákondi Aláahgo Ayóó'ájít'éii yílá bee kin ályaii doo bii' kééhojit'į́į da; Diyin God yá halne'ii ánínígi át'éego: 
44:7:049:0	Yádiłhił éí shibik'i dah asdáhí bikáá'dóó nahash'áii át'é,áádóó nahasdzáán éí shibik'i dah adées'eezí át'é.Kin hait'éé shį́įshą' shá ádadoohłííł? níigo Bóhólníihii haadzíí',Éí doodago haa yit'éego haz'ą́ągishą' hanáshyį́įh doo? 
44:7:050:0	Da' doósh díidíígíí t'áá ałtso shíla' bee ádaashłaa da?  
44:7:051:0	Ák'eha'į́ bee nihik'os daniłdzilii, nihijéí doo binídahaz'áii índa nihijaa' doo daalzį́į'ii nidahonohłinii, ts'ídá t'áá áłahjį' Níłch'i Diyinii bich'į' dooda bee nidasoołtee'. T'áá danihizhé'é ádaadzaa yę́ęgi át'éego ádaaht'į́. 
44:7:052:0	Danihizhé'é yę́ęshą' Diyin God yá dahalne'ii háidíígíí t'áadoo atídayiilaa da? Jó, éí Ts'ídá T'áá Ákogi Át'éii doogáłígíí t'áá bilą́ąjį' baa dahojoolne'ii nidahodiztseed, áko doogááł hodoo'niid yę́ę ninádasidoo'ą́ągo dasoołhį́, 
44:7:002:1	Stephen bił nidzílne'
44:7:053:0	jó, azhą́ diyingo nidaal'a'í bee haz'áanii nihaa deideez'ą́ą nidi t'áadoo bik'eh dahosooł'įįd da.  
44:7:054:0	Áko díidíígíí deidiizts'ą́ą'go, t'áá íiyisí yik'ee bádahazhchįįdgo háhgóó shį́į́ hach'į' biwoo' ahídeidiłk'ash. 
44:7:055:0	Nidi Stephen, Níłch'i Diyinii hwii' hadeezbingo, yá'ąąsh góde jidiniilgęęzhgo Diyin God bee bits'ádi'nílíidii, áádóó Jesus éí Diyin God binish'náájí sizį́įgo jiiłtsą́, 
44:7:056:0	áko ájíní, Jó'akon, yá'ąąsh ąą át'éego, Diné Silį́į'ii Diyin God binish'náájí sizį́įgo yish'į́. 
44:7:057:0	Nidi yéego hadadeeshghaazh áádóó bijeeyi' dáádadeeshchidgo t'áá łahjį' hach'į' dah diijée'go 
44:7:058:0	kintahdóó ch'ídahazdzį́į́z. Áadi hoł nidadzisne', áádóó hak'i dahodii'áanii dabi'éé' éí dinééh léi' Saul yolyéego yiyaajį' adayiiznil. 
44:7:059:0	Áádóó Stephen hoł nidzílne'go, Bóhólníihii józhíigo sozdilzingo ájíní, Bóhólníihii Jesus, shii' sizíinii nídiilé. 
44:7:060:0	Áko nitsizhdinígo'go yéego hadzoodzíi'go ájíní, Bóhólníihii, díí bąąhági ádashił'ínígíí doo bik'ijį' síníł'ą́ą da doo. Áádóó ákózhdííniidgo ájídin.
