27:5:001:1	Honit'ahdi ak'e'ashchínígíí
27:5:011:0	aláahgo bee níhólníihgo nił haz'áanii biyi' diné léi' diyin danilíinii biníłch'i bii' hólǫ́ . Nizhé'é bíyoołkááł yę́ędą́ą́' bee hódzáanii áádóó bee ak'idi'yiitįįhii bee éí diyin danilíinii bibee hódzáanii bii' hólónígíí bééhoozin índa aláahgo naat'áanii Nébukadnézzar nizhé'é yę́ę éí álílee k'ehgo ída'ooł'įįłii , déest'į́į́' ádeił'íinii , Kaldíya dine'é danilíinii áádóó náásgóó ádahodooníiłii yaa halne'ii yinanit'a'í nilį́įgo ábi'diilyaa .
27:5:012:0	Háálá díí diné Daniel ts'ídá aláahgo haniihii éí baa na'iisgeelgo ááhyiłnínígíí yik'idi'yiitįįhgo áádóó hane' bee éé'deetįįhii yaa halne' índa t'áá íiyisí nidantł'ago deít'éehii k'ééyoołdǫǫł ; éí Bélteshazar ałdó' wolyé . Áko k'ad Daniel , Hágo , bidiní ; éí ááhyiłníinii nił ííshją́ą́ íidoolííł .
27:5:013:0	Ákohgo Daniel éí aláahgo naat'áanii bidááhdę́ę́' niho'deedlóóz , nít'éé' aláahgo naat'áanii éí Daniel áyidííniid , Da' niísh Daniel ánít'į́ ? Éí Judíya kéyahdóó shizhé'é naat'áanii nilį́ yę́ędą́ą́' Judíya kéyahdę́ę́' yisnááh danilíinii ch'íiní'eezhii ła' ánít'į́ ?
27:5:014:0	Diyin danilíinii biníłch'i nii' hólǫ́ǫgo índa nantł'aii naniłkaahgo áádóó bee ak'idi'yiitįįhii índa bee hódzą́ ts'ídá aláahdi át'éii nii' hólǫ́ǫgo yínii' .
27:5:015:0	Áko diné dahóyáanii , éí déest'į́į́' ádeiił'íinii , shidááhdóó niheesht'eezhgo díí bee ak'e'ashchínígíí deízhdóołtahgo ááhyiłníinii bee shił dahozhdoolnihgo shił bééhózin doo biniyé nidziiskai nít'éé' , nidi ááhyiłníinii bee shił dahozhdoolnih doo bídazhneel'ą́ą da .
27:5:016:0	Nidi t'áá ni t'éí ááhyiłníinii baa hodíílnihgo nidantł'ago deít'éehii k'énááłdǫǫłgo bíninil'ą́ągo yínii' . K'ad díí bee ak'e'ashchínígíí yíníłta' áádóó ááhyiłníinii shił bééhózin íinilaago éé' tsídídééh nahalingo łichí'ígíí bee handi'doolnííł índa óola béésh da'ahólzha'í nizénázt'i'go éí táá' góne' aláahgo bee íhólníihgo bił haz'áanii binanít'áago ándeeshłííł .
27:5:017:0	Ákohgo Daniel éí aláahgo naat'áanii ábizhdííniid , T'áá jíík'eh aa dííléłígíí t'áá ni nanjaah áádóó nályééh ła'da bich'į' kódíílííł , nidi díí bee ak'e'ashchínígíí aláahgo naat'áanii t'óó bich'į' yídéeshtah áádóó ááhyiłníinii bił bééhózingo ádeeshłííł .
27:5:018:0	Aláahgo naat'áanii nílíinii , Aláahgo Ayóó'át'éii Diyin God éí bee óhólnííh bił haz'áanii áádóó ts'ídá ayóó át'éii áádóó bee ayóó é'ét'éii índa ił ídlíinii nizhé'é yę́ę Nébukadnézzar yeidiní'ą́ .
27:5:019:0	Áko ts'ídá ayóó át'éii haidiní'ą́ągo bąą diné danilíinii áádóó ał'ąą dine'é danilíinii índa bizaad ał'ąą át'éego yee yádaałti'ii t'áá ałtso t'áá íiyisí bitah nidahwiiłnáago hak'ee bił daayéé' nít'éé' . Diyeeshhééł yó'níinii neiłtsxeed nít'éé' , áádóó bił yá'át'éehii éí dahináago áyósin nít'éé' . A'ohgo át'éii atisgo át'éego ádeile' nít'éé' , áádóó atisgo át'éii a'ohgo át'éego ádeile' nít'éé' .
27:5:020:0	Áko ádaa hodzódlí bee hajéí áádóó háni' yítł'isgo bąą bikáá'dóó nahoji'áii áádóó ayóó át'éii índa bee ayóó ájít'éii éí Diyin God hats'ą́ąjį' kóyiilaa .
27:5:021:0	Diné danilíinii bits'á hodi'needzood áádóó háni' éí naaldlooshii bíni' bił aheełt'é dzizlį́į́' índa télii da'ałchinii bitahgóó nahwííłka' nít'éé' ; béégashii nahalingo tł'oh jiłchozh nít'éé' índa wót'ááhdę́ę́' dahtoo' t'éí bee nínájíltłoh nít'éé' . Aláahgo Ayóó'át'éii Diyin God éí diné yee bóhólníihgo bił nahaz'ą́ą́góó yinant'á áádóó t'áá bí yinízinígíí yá niyiiníiłgo hoł bééhoozinjį' ákójít'éé nít'éé' .
27:5:022:0	Áko Belsházar nílíinii , ni éí biye' nílį́įgo díí t'áá át'é nił bééhózin nidi , t'áadoo ádaa hojíínílbá'ígo tsídííníkéez da .
27:5:023:0	Nidi yá'ąąshdę́ę́' Bóhólníihii nilíinii bich'į' ayóó ánít'éego í'diinilyaa . Áko bikin bii' sohodizin góne' łeets'aa' chodao'į́į́ nít'éé' yę́ę nił yah aheeshjaa' , ni índa nikéé'dóó bídahólníihii , ne'asdzą́ą́ danilíinii áádóó ne'asdzą́ą́ daníł'íní éí yee wáin dayoodlą́ą'go béésh łigaii áádóó óola , béésh łitsoii áádóó béésh nitł'izii , tsin índa tsé diyin bééda'alyaago éí yaa dahaniih , nidi éí e'elyaii doo da'oo'į́į da , doo da'diits'a' da , doo bił éédahózin da . Nidi Diyin God nídídzihgo ánóhsinii áádóó ánít'éii t'áá ałtso bílák'ee siláii éí doo baa hóniih da nít'éé' .
27:5:024:0	Ákohgo Diyin God bits'ą́ą́dę́ę́' álázhoozh yee ak'e'ashchínígíí t'áá éí bee ak'e'ashchį́ .
27:5:025:0	Áko díí saadígíí Míínii , Míínii , Tííkel , Yufársin , níigo bee ak'e'ashchį́ .
27:5:026:0	Míínii , nínígíí díí ááhyiłní : bee níhólníihgo bił haz'áanii beidoołkáłígíí nidoot'ihjį' yéélta' .
27:5:027:0	Tííkel , nínígíí díí ááhyiłní : ałts'ą́ąhjį' dah hidiidlohí bee dah ni'diidlo'go a'oh níníl'ąąd .
27:5:028:0	Pííres , nínígíí díí ááhyiłní : bee níhólníihgo bił haz'áanii éí Míídiya dine'é índa Pérzha dine'é bá ałts'ádoodzohgo baa didoot'ááł .
27:5:029:0	Ákohgo Belsházar haadzíi'go Daniel éí éé' tsídídééh nahalingo łichí'ígíí biih ho'dooltį́ , óola béésh da'ahólzha'í hayo' ályaa ; táá' góne' bee óhólníihgo bił haz'áanii bee hóhólníih doo .
27:5:030:0	T'áá éí bitł'éé' Belsházar joolyéii Kaldíya dine'é binanit'a'í nilíinii seesxį́ .
27:5:031:0	Áko Daráíyas Míídiya dine'é nilį́įgo bee óhólníihgo bił haz'áanii náhodii'ą́ ; hastą́diindóó ba'aan naaki binááhaigo ákwáát'įįd .
