27:11:001:1	Náhookǫsjí aláahgo naat'áanii áádóó shádi'ááhjí aláahgo naat'áanii
27:11:014:0	Éí hoolzhish bijį́įdi t'óó ahayóí nínáádahidiibáahgo shádi'ááhjí aláahgo naat'áanii yich'į' anaa' ánáádahodoodlííł ; áádóó ił áhoodzaa yę́ę bohodoolnííł biniyé nidine'é bitahgóó diné doo nídanilyéesii t'áá bí ayóó ádaniit'é , danízin doo , nidi ch'ééh adadoot'įįł .
27:11:015:0	Ákohgo náhookǫsjí aláahgo naat'áanii doonéełgo kin haal'áii ditą́ągo binaa ahéé'ítł'inii bíilk'idgo ádeidoolíiłgo yik'eh didoodleeł . Áko shádi'ááhjí aláahgo naat'áanii bisiláo dah deínéehii doo bídaníłdzil da doo ; bisiláo dahayóii bąąh nidahoodookałgo doo bídaníłdzil da doo .
27:11:016:0	Baatįįh yínánígíí t'áá bí nízinígi ádoonííł áádóó t'áadoo bíníłdzilí da doo ; kéyah ayóó áhonóolningi yidoozįįłgo bee até'él'íinii yee íidoołdįįł .
27:11:017:0	Áádóó t'áá k'é hólǫ́ǫ doo , nízingo yee bóhólníihgo bił haz'áanii yee bidziilígíí t'áá át'é yił doonééł ; éí ákódoonííł . Ííjip dine'é binanit'a'í yił náhodooshǫǫł biniyé bitsi' ła' yeidoołtééł , nidi doo háká adoolwoł da , doo nidi hadziilgo áhodoolíił da .
27:11:018:0	Díí bik'ijį' tónteel bibąąhgóó atsídookosgo áadi lą'í nishóhodiyoołt'eeł , nidi t'óó baa yáhásin ádajííł'įįdii naat'áanii nilíinii ła' hats'ą́ą́' ni' kwíidoolíiłgo t'óó haa yáhásinígi ánáhodoodlííł .
27:11:019:0	Áádóó bik'ijį' t'áá hó hakéyah bohoníłdzil bił haz'ą́ą́góó nihéézhdoodááł , nidi dizhdoogohgo doo hwénáhoodzį́į́' át'ée da dooleeł .
27:11:020:0	Ákohgo hatsásk'eh góne' ła' néidoodzįįłgo éí bee óhólníihgo bił haz'áanii bee baa ha'niihígi naalye'é bik'é nahalyéii yee ade áhósin doo , nidi éí t'áadoo hashké hwiindziní , t'áadoo anaa' hólóní , doo lą'í náábiidoolkááłgóó bidi'yoolyééł .
27:11:021:0	Bitsásk'ehgi diné doo ts'íí át'éii ła' bee óhólnííh bił haz'áanii bee ił ídlíinii t'áadoo baa deet'áanii ákwii néidoodzįįł ; éí k'é nídzingo índa łídílchíigo doogááł , áko bee óhólníihii bił haz'áanii aghaididoot'ááł .
27:11:022:0	Áko tó yíląąd nahalingo siláo dah deínéehii yinéłígíí bidááhdóó yóó'abidí'nóolkałgo ak'eh didoodleeł ; naat'áanii éí bee aha'deet'áanii bídéét'i'ii ałdó' ákóbidi'doolnííł .
27:11:023:0	Áko yił aha'deet'ą́ą́dóó bik'ijį' éí t'óó bina'adlo'go ááníił doo áádóó t'áadoo kót'é'ílíní diné t'áá díkwíí nidi , yił bidziil dooleeł .
27:11:024:0	Áádóó nahós'a'gi yá'ádahoot'éehgo hasht'ehodít'éego doogáa łgo bizhé'é yę́ę áádóó binálí yę́ę hádą́ą'da t'ah doo ádeiléehii íidoolííł ; diné bindaalye'é áádóó bąąh da'oogą́ą'ii índa deit'íinii bisiláo yitaidoonih . Ts'ídá bidziilgo nahaz'ą́ą́góó yidiilkaalgo yik'ijį' nilį́įgo yinaha'áa dooleeł , nidi díí ts'ídá t'óó kónízahíjį' ádoonííł .
27:11:025:0	Áko yee ayóó ábóodziilii éí yee ha'oosníi'go áádóó siláo ayóó ánéelą́ą'go dah deínéehii yił shádi'ááhjí aláahgo naat'áanii yich'į' anaa' ádahodoolííł , áko shádi'ááhjí aláahgo naat'áanii éí siláo ayóó ánéelą́ą'ii yee ayóó ábóodziilgo hach'į' nídidoobah , nidi doo bízníłdzil da doo , háálá honaha'áago honi'dooloh .
27:11:026:0	T'áá aaníí , hach'iyą' deiyáanii atídahodoolííł áádóó hasiláo yóó'adahidínóochéełgo t'óó ahayóí nidabidi'dootsił .
27:11:027:0	Áko díí aláahgo naat'áanii t'áá áłah doo yá'át'ééhgóó nitsíkeesgo bikáá' adání yich'į' dah sikéego biyooch'íidgo ałch'į' yáłti' doo , nidi doo bá ła'dooníił da , háálá bá nihonít'i' bee nihoot'ánígíí baa hoolzhiizhgo bohodoolnííł .
27:11:028:0	Áko aláahgo naat'áanii ayóó át'éego at'į́įgo nihéédoodááł , nidi diyingo bee aha'deet'áanii yik'ijį' nilį́įgo t'áá bí íinízinígi át'éego íidoolííł áádóó índa bikéyahgóó nídoodleeł .
27:11:029:0	Bee nihoot'áníjį' ahoolzhiizhgo nínáádoodáałgo shádi'áahjigo bisiláo yił doonééł , nidi ákóne' náánádzáii doo átséedi níyáhígi át'éego náádoodáał da .
27:11:030:0	Háálá Kíttim kéyahdóó tsinaa'eeł yee hach'į' dadoobahgo hąąh nahodoołkałgo t'ą́ą́' nízhdoodááł . Áádóó diyingo bee aha'deet'áanii t'óó báhádzidgo yik'ijį' báhodoochįįłgo t'áá bí nízinígi íidoolííł . Áko t'ą́ą́' nádzáago diyingo bee aha'deet'áanii doo deinízinígíí yił ałch' odadoo'niił .
27:11:031:0	Bisiláo dah deínéehii t'áá bizááká hodílzingo bidziilgo bił haz'áanii deidoołchǫǫł áádóó t'áá áłahíjį' didlidgo nááhániihii nahgóó adeidiyoołtł'ił . Áko doo yildingóó ni'iiłchǫǫhii deidoosįįł .
27:11:032:0	T'óó áhá'níigo saad bee aa ha'niihii yee yóó'ahodínóo'ahgo bee aha'deet'áanii ts'ídá doo yá'áshǫ́ǫ́góó yaa naakaígíí yidoołchxǫǫł , nidi diné biDiyin God yéédahósinii ts'ídá bidziilgo naazį́į dooleeł áádóó ayóó át'éego ak'eh dadidlį́į doo .
27:11:033:0	Áko diné bitahgóó dahóyą́ągo ak'idadi'yiitįįhígíí éí lą'í nideintin doo . Ákondi lą'í yiską́ąjį' diltłish bee nidabidi'dootsił áádóó adabidi'doolk'ą́ą́ł áádóó dabidi'doolnééł índa bighadadi'yoo'nił .
27:11:034:0	Atídabi'dil'į́įgo áłts'íísígo bíká i'doolwoł , áko diné t'óó ahayóí éí t'óó áhá'ní saad yee aa dahaniihgo ałch'odadoo'neełgo hodidookah .
27:11:035:0	Nabídahodínóotah áádóó chin bąąh ádingo índa łigaigo ádadoolnííł biniyé ak'ida'diitáanii ła' nihodoogáałjį' nidabidi'dootsił , háálá nihoot'ánígíí t'ah doo baa hoolzhíish da .
27:11:036:0	Áko aláahgo naat'áanii ts'ídá t'áá bí nízinígi ádoonííł ; diyin dabidi'níinii t'áá ałtso yiláahgo t'áá bí ayóó át'éii ídi'doolnííł áádóó ayóó ádaat'éii yee yáłti'go diyin dabidi'níinii biláahgo Diyin God nilíinii yik'ijį' yáłti' doo . Áko hashké niidzį́į'ii bohoolyaajį' náás doogááł . Háálá bee nihodeet'áanii bohodoolnííł .
27:11:037:0	Dabizhé'é yę́ę bidiyin dabidi'níinii doo bił nilį́į da doo , doodaii' asdzání danilíinii yídin danilíinii nidi dooda , doo nidi diyin dabidi'níinii ła' bił nilį́į da doo , háálá t'áá bí t'áá ałtso yiláahgo ádaa ha'niih dooleeł .
27:11:038:0	Áko bine' da'niichéehii yidiyin bidi'níinii t'éí bił nilį́įgo dabizhé'é yę́ę éí diyin t'áadoo yéédahoosįįd daígíí óola áádóó béésh łigaii áádóó tsé da'ílíinii índa t'áá aa daahyáii da'ílíinii t' éí yee bił nilį́į doo .
27:11:039:0	Diyin doo bééhózinii bíká análwo'go bidziilgo bine' da'niichééh bił nahaz'ą́ą́góó yaa nídóot'įįł . Éí baa ákódanízinii ayóó át'éego ił nilį́įgo ábidoolíiłgo diné lą'í yindant'áago íidoolííł índa bikéyah dadooleełígíí béeso bik'é yá ahádeidoozoh .
27:11:040:0	Áko nihoolzhiizhgo shádi'ááhjí aláahgo naat'áanii nilíinii baatįįh náádoodááł , nidi náhookǫsjí aláahgo naat'áanii nilíinii nááts'ó'oołdísii bidziilii hak'i ch'íníyá nahalingo bisiláo t'óó ahayóigo áádóó tsindaabąąs bijáád naakiígíí áádóó łį́į́' yee nidaabaahii índa tsinaa'eeł t'óó ahayóigo yee haatįįh nídoozééł . Áko kéyah bił dah nahaz'ánígóó tó bee nahozhneeshghaazhígi át'éego hoł ahóóyáa doo .
27:11:041:0	Áko kéyah ayóó áhonóolnin góne' yah adoogáałgo kéyah t'óó ahayóí yik'eh didoodleeł , nidi Íídam dine'é áádóó Mó'ab dine'é índa Áman dine'é dah da'í'éeshii ałdó' hayaa hadookah .
27:11:042:0	Áádóó ałdó' kédaayah yidoołnéełgo Ííjip kéyah doo doodzih da .
27:11:043:0	Áko Ííjipdóó óola áádóó béésh łigaii índa naalye'é da'ílíinii t'áá át'é yidoołnééł . Áko Líbiya dine'é índa Iithiyópiya dine'é bá nidaal'a'í danilį́į dooleeł .
27:11:044:0	Nidi ha'a'aahdę́ę́' áádóó náhookǫsdę́ę́' hane' nilíinii ayóó át'éego yik'ee nitsidoodááł ; éí bąą ayóó át'éego báhodoochįįłgo yich'į' nídidoobahgo atíidoolíiłgo ałtso íidoołdįįł .
27:11:045:0	Áko tónteel áádóó dził diyinii ayóó át'éii bita'gi biníbaal yii'dóó nant'áii niidoonił , ákondi t'áadoo háká oolyeedígóó hakéé' áhodoodįįł .
