27:4:001:1	Nébukadnézzar diigis silį́į́'
27:4:019:0	Ákohgo Daniel éí Bélteshazar joolyéego t'ááłá'í ahéé'ílkidjį' t'óó hoł ahóóyóí áádóó bik'ee hóyée'go bąąh tsízdeezkééz . Nít'éé' aláahgo naat'áanii áhodííniid , Bélteshazar yinílyéii , baa neisíyeelii ááhyiłníinii t'áadoo bik'ee nił yé'í , áko Bélteshazar ázhdííniid , Shinanit'a'í nílíinii , baa neisíníyeelgo ááhyiłnínígíí éí danjoołáii índa ni'ana'í danilíinii t'éí bá át'é laanaa nisin .
27:4:020:0	Tsin sikaadgo yiniłtsánígíí tsin nooséełgo bidziil silį́į'ii áádóó bílátahdóó yá bidii'á silį́'ígíí t'áá nahasdzáán nidanees'ą́ąjį' t'áadoo bahat'aadí yit'į́ silį́į'ii
27:4:021:0	éí bit'ąą' nizhóní áádóó bineest'ą' t'óó ahayóí bąąh hazlį́į'ii índa t'áá ałtso deiyą́ą doogo bá át'éii éí halgaigóó naaldlooshii nidaakaii yiyaa chaha'oh anídaakahii índa wódahgo tsídii nidaat'a'ii tsin bits'ádaoz'a' bąąh bit'oh áńdayiil'įįhígíí
27:4:022:0	éí ni ánít'į́ , aláahgo naat'áanii nílíinii , ayóó ánít'é áádóó nidziil sínílį́į́' ; bee ayóó ánít'éii yádiłhiłjį' nininísą́ índa bee níhólníihii ni' nidahonees'ą́ąjį' silį́į́' .
27:4:023:0	Áko aláahgo naat'áanii nilíinii ha'ídées'į́'í éí diyingo naal'a'í yá'ąąshdę́ę́' hadahóóle'go yiniłtsą́ągo áníinii , Tsin sikaadii k'íníłne' áádóó ałtso áníłdįįh , nidi tsehégod t'éí behétł'óól t'áá bił łeeh yí'áago ánílééh ; béésh nitł'izii índa béésh łitsoii bináz'áago éí haz'ą́ągi tł'oh dootł'izhgo yíl'áa le' , áko bíni' yá'ąąshdę́ę́' dahtoo' nínábíłtłoh le' índa naaldlooshii bił da'jiłchozhgo tsosts'id honídoohah .
27:4:024:0	Aláahgo naat'áanii nílíinii , díí ááhyiłnínígíí Aláahgo Ayóó'át'éii yee haadzíi'ii nik'i hwiidooleeł , shinanit'a'í aláahgo naat'áanii nílíinii :
27:4:025:0	diné danilíinii yits'ádandínóoyoł áádóó naaldlooshii bitahgóó nanííłka' dooleeł ; béégashii nahalingo tł'oh niłchozh doo índa wót'ááhdę́ę́' dahtoo' bee nínáníltłoh dooleeł ; tsosts'id nááhaijį' kót'éego hinínáa doo . Aláahgo Ayóó'át'éii éí diné yee bóhólníihgo bił nahaz'ą́ą́góó yinant'á áádóó t'áá bí íinízinígíí bik'ehgo yeidiyii'aahgo nił bééhoozinjį' kónít'ée dooleeł .
27:4:026:0	Ákondi tsehégod t'éí behétł'óól t'áá bił íí'áa doogo bee nihoot'ánígíí éí yá'ąąshdę́ę́' bídahólníihii bééhosínísįįdóó bik'ijį' aláahgo bee níhólníihgo bee nił nááhást'ą́ą dooleełgo át'é .
27:4:027:0	Éí bąą aláahgo naat'áanii nílíinii , kót'éego nidishnínígíí shá niizįįh : t'áá ákogi ánít'į́įgo binahjį' nibąąhági át'éii nahjį' nidiní'aah , índa jooba' ádaat'éii baa a'ááh nínízinii binahjį' na'át'e' nahjį' nidiní'aah , áko ná yá'át'éeh dooleełgo da'át'é .
27:4:028:0	Díí t'áá ałtso aláahgo naat'áanii Nébukadnézzar bik'i hoole' .
27:4:029:0	Áko díí naakits'áadah nídeezidgo Bábilangi bee hóhólníihgo hoł haz'ą́ągi nijigháá nít'éé' .
27:4:030:0	Áko aláahgo naat'áanii ání , Dooládó' Bábilan haz'ą́ągi ayóó áhoot'ée da . Bee ayóó ánísht'éii shá bééhodoozįįł biniyé ayóó át'éego shibee adziilii bee kin haal'áago íishłaa ni .
27:4:031:0	Aláahgo naat'áanii t'ahdii yáłti'go , jó , yá'ąąshdę́ę́' iinéé' diists'ą́ą'go ání , Aláahgo naat'áanii Nébukadnézzar yinílyéii , díí bee nich'į' ha'oodzíí' , aláahgo bee níhólníihgo bił haz'áanii ga' nits'ą́ą́' dahodiile' .
27:4:032:0	Áko diné danilíinii yits'ádandínóoyoł áádóó naaldlooshii bitahgóó nanííłka' dooleeł ; béégashii nahalingo tł'oh niłchozhgo ádandoolííł ; tsosts'id nááhaijį' kót'éego hinínáa doo . Aláahgo Ayóó'át'éii éí diné yee bóhólníihgo bił nahaz'ą́ą́góó yinant'á áádóó t'áá bí yinízinígíí bik'ehgo yeidiyii'aahgo nił bééhoozinjį' kónít'ée dooleeł .
27:4:033:0	T'áá áko saad bihoolyaago Nébukadnézzar nilíinii bik'i hoole' . Diné danilíinii bits'á hodi'needzood áádóó béégashii nahalingo tł'oh jiłchozh nít'éé' índa yá'ąąshdę́ę́' dahtoo' bee nínájíltłohgo hatsii' t'éí atsá bits'os nahalingo dínéesą́ áádóó háláshgaan tsídii bíláshgaan nahalin silį́į́' .
27:4:034:0	Éí bíighah niiníłką́ągo , shí Nébukadnézzar yinishyéii , yá'ąąshgóó déé'į́į'go sha'áni' shá háádídzaa , índa Aláahgo Ayóó'át'éii baa hózhǫ́ǫgo baa hosénih áádóó hool'áágóó hináanii baa hashniihgo shił yílįįd , háálá bee bóhólníihgo bił haz'áanii éí ahóyéel'áágóó bee bóhólnííh índa bee bóhólníihgo bił haz'áanii éí oochííłdę́ę́' áádóó oochííłgóó bee bóhólnííh .
27:4:035:0	Nahasdzáán bikáa'gi kéédahat'íinii t'áá ałtso t'áadoo nídandlínígóó yaa nitsíkees . Áko yá'ąąshdę́ę́' dah deínéehii índa nahasdzáán bikáa'gi kéédahojit'íinii hatahgóó t'áá bí nízinígi áyoolííł ; doo ła'da t'ą́ą́' áhósin le' át'ée da , doo nidi kóbidi'doo'niił da , Ha'át'íishą' baa naniná ?
27:4:036:0	Ts'ídá t'áá ákwii hoolzhishgo sha'áni' shá háádídzaa . Bee ayóó ánísht'éii índa ts'ídá aláahgo ayóó át'éii bee háádiisdzaago ts'ídá aláahgo bee shóhólníihgo haz'áanii bá ayóó át'éii shee náhásdlį́į́' . Kót'éego dashiłníinii índa shá bídahólníihii shaa nináhaaskaigo ts'ídá aláahgo bee óhólníihgo bee shił haz'ą́ągi t'áá íiyisí bee chánah sélį́į́' áádóó t'ah nááyówehgo ts'ídá ayóó át'éii shich'į' ánáánályaa .
27:4:037:0	Áko k'ad shí Nébukadnézzar yinishyéii yá'ąąshdi Aláahgo Naat'áanii baa hashniih áádóó agháago baa hashniih índa shił nilį́ , háálá t'áá ałtsojį' ts'ídá t'áá ákogi át'éego áánííł índa yaa naagháii doo haada yit'ée da ; t'áá háiida ádaa dzódlíigo yigáłígíí akéédę́ę́' niidoołt'eełgo yíneel'ą́ .
