27:9:001:1	Daniel éí bidine'é yá sodilzin
27:9:011:0	T'áá aaníí , Ízrel dine'é t'áá ałtso nibee haz'áanii dayiitíihgo ádíníinii doo yik'eh dahóół'įįd da , áko Mózes ninaal'a'í nilíinii bee haz'áanii biyi' yee ak'e'ashchį́įgo hóyée'jį' nihá ha'oodzíi'go bee nihoot'áanii nihik'i hoole' , háálá Diyin God bich'į' ádił da'niilzíí' .
27:9:012:0	Áko nihí índa nihá dahwée'aahii danilíinii ts'ídá t'áá aaníígóó nizaad nihik'ijį' bee háínídzíi'ii bik'ehgo ayóó át'éego atínihiinilaa ; jó , Jerúsalem kin haal'áii ábi'diilyaaígi át'éego nidahonees'ą́ą́góó ts'ídá t'ah doo ákóhánéeh da nít'éé' .
27:9:013:0	Mózes yee has'áanii bee ak'e'ashchínígíí bik'ehgo ayóó át'éego atínihi'diilyaa , nidi doo ákwii ádeiit'įįdii doo bits'áhidiikahgóó áádóó nit'áá aaníinii doo bik'ida'diyiitįįhgóó Bóhólníihii nihiDiyin God yee ach'oo'níinii t'áadoo há deiit'įįd da .
27:9:014:0	Éí bąągo Bóhólníihii éí ts'ídá t'áá íiyisí yínííł bik'e'íyée'ii hasht'eyósingo yee atínihiilaa , háálá Bóhólníihii nihiDiyin God t'áá ałtsoní binaanishígíí ts'ídá t'áá ákwii át'é , nidi áníinii doo bik'eh dahoniil'į́į da nít'éé' .
27:9:015:0	Áko k'ad , Bóhólníihii nihiDiyin God nílíinii , Ííjipdę́ę́' nidine'é nibee adziilii bee ch'ííní'eezhgo díí jį́ át'éhígi át'éego nízhi' bééhózingo íinilaa . Ádił nida'ayeelzíí' ; ts'ídá doo yá'áshónígi ádeiit'įįd .
27:9:016:0	Bóhólníihii nílíinii , ts'ídá t'áá ákogi át'éego ááníiłii t'áá ałtso bik'ehgo , jó , Jerúsalem nikin haal'áii , nidził diyinii bich'į' náhóóchįįdgo hashké ninidzį́'ígíí łahgo ánánídléehgo baa nánooshkąąh ; jó , nihí ádił nida'ayeelzíi'go índa danihizhé'é yę́ę ádił nida'iisíi'go biniinaa nihinaagóó kéédahat'íinii éí Jerúsalem índa nidine'é t'óó yá nidahałt'i' .
27:9:017:0	Éí bąągo k'ad , nihiDiyin God nílíinii , ninaal'a'í nishłíinii shisodizin índa shiná'ookąąh shá diits'į́į́h , áádóó , Bóhólníihii nílíinii , nihodiyingo haz'ą́ągi t'áá ádzaaí silį́'ígíí ádá yá'át'éehgo baa tsídíkees .
27:9:018:0	ShiDiyin God nílíinii , shidiits'į́į́h ; nihiníníł'į́ áádóó nikin haal'áii nízhi' bee wójíhígi doo naagháhí daígíí níníł'į́ , háálá t'áá ákogi ádaniit'éego bąą doo nídaniikąąh da , nidi nee a'ááh hasin ayóó át'éii bąą nídaniikąąh .
27:9:002:1	Tsosts'idiindi damóojį' áhodoonííł baa hane'
27:9:019:0	Bóhólníihii nílíinii , nihidiits'į́į́h ; Bóhólníihii nílíinii , bąąhági át'éii nihits'ádiní'aah ; Bóhólníihii nílíinii , nihidiits'į́įhgo nihá ánínééh ; shiDiyin God nílíinii , ádá t'áadoo t'ah níníziní , háálá nikin haal'áii índa nidine'é danilíinii nízhi' bee wójí .
27:9:020:0	Áko shibąąhági át'éii índa shidine'é Ízrel bibąąhági ádaat'éii bá bee ádaa hashne'go sodeeszingo Bóhólníihii shiDiyin God bidził diyinii bá ná'ooshkąąhgo
27:9:021:0	t'ahdii sodiszingo diné léi' Géíbriyel wolyéii átsé shił ádzaa yę́ę t'áá nááná éí i'íí'ą́ągo náá'iiniihjį' ahoolzhiizhgo t'áadoo hooyání shaa yít'a'go shideelchid .
27:9:022:0	Áko shaa honíle'go shich'į' yáłti'go nashintingo áshidííniid , Daniel yinílyéii , bee hódzą́ índa bee ak'idi'yiitįįhii naa dideesh'ááł biniyé naa honíle' .
27:9:023:0	Baa ná'iinikąąhgo t'óó sodi'nilzin yę́ędą́ą́' ná bee hoo'a' áádóó bee nił hodeeshnih biniyé naa honíle' , háálá Diyin God ayóó'ánó'ní ; éí bąą nił áhoodzaago yiniłtsánígíí ááhyiłníinii yísíníłts'ą́ą'go bik'idi'díítį́į́ł .
27:9:024:0	Tsosts'idiindi damóo azlį́į'jį' éí nidine'é índa diyingo nikin haal'áii át'ée dooleełii nideet'ą́ , éí ts'ídá bąąhági áhooníiłii bíighah adooleełgo bąąhági át'éii ádooldįįł , áádóó bąąhági ádaat'íinii bá k'énáhodoodleełgo hool'áágóó ts'ídá t'áá ákogi át'éii biih hidoot'ish áádóó éí nił ádzaii índa áhodoonííł baa hóóne'ígíí ts'ídá bohodoolnííł índa ts'ídá aláahgo diyingo haz'ą́ ats'ádeet'ą́ dooleełgo ak'ah bik'i yeidoodziłgo hodoosį́į́ł biniyé nideet'ą́ .
27:9:025:0	Áko Jerúsalem kin haal'á hasht'éédoolníiłgo bee nihoot'áanii Diyin K'ehgo Ats'áltíinii níyáajį' éí tsosts'idi damóo índa hastą́diindóó ba'aan naakidi damóo azlį́į'jį' nił bééhózingo bik'idi'díítį́į́ł ; azhą́ ach'į' nahwii'náa nidi , kintah nida'aztiin áádóó ahéé'ígeedii bee t'áá bił áńdadoolnííł .
27:9:026:0	Áko hastą́diindóó ba'aan naakidi damóo azlį́į́'dóó bik'ijį' Diyin K'ehgo Ats'áltíinii ábidi'dooldįįłgo bee bik'íhát'áahii ádin doo áádóó naat'áanii doogáłígíí bidine'é doonéełgo éí kin haal'áii índa hodiyingo haz'áanii ałtso ádeidoołdįįł . Áko ayóó át'éego tó yíląąd nahalingo t'áá anaa' hólǫ́ǫgo nihodoot'ihgo kints'iil t'éí naazhjaa' doo .
27:9:027:0	Áko t'ááłá'í damóo azlį́į'jį' jilą'í bidziilgo hoł aha'didoot'ááł , nidi éí damóo aleehígíí ałníí'góó hoolzhishgo didlidgo nááhániihii índa náá'iiniihígíí áidoosįįł . Áádóó ałtso ábi'didooldįįł nideet'áanii baa hoolzhiizhjį' ni'iiłchǫǫhii éí diyingo haz'ánígi t'áá íiyisí doo haldingóó áhodoolííł .
