27:3:001:1	Déédíljah góne' kǫ' bit'ááh dahalchxíí'dóó hwéédadeeshchid
27:3:011:0	Áko t'áá háiida e'elyaii t'áadoo bich'į' nitsizhdinígo'ígíí índa doo bich'į' nahojisáhígíí éí déédíljah góne' kǫ' bit'ááh dahalchxíi'jį' ahodi'yooltł'ił , diníi ni' .
27:3:012:0	Bábilan nahós'a'gi diné yindant'áa doo biniyé Jew dine'é éí Shéídrak áádóó Mííshak índa Abédniigo níínínil ; aláahgo naat'áanii nílíinii , bee háínídzí'ígíí díí diné doo dayíists'ą́ą' da , nidiyin danilíinii doo yá nidaal'a' da índa óola e'elyaii biinisį'ii doo yich'į' nidahałáa da .
27:3:013:0	Ákohgo Nébukadnézzar t'áá íiyisí bił hazhchxihgo éí Shéídrak áádóó Mííshak índa Abédniigo nídoot'ishgo yee haadzíí' áádóó éí diné nídeizh'eezhgo aláahgo naat'áanii bidááhdóó nideizh'eezh .
27:3:014:0	Nébukadnézzar áhodííniid , Shéídrak , Mííshak áádóó Abédniigo , t'áásh aaníí shidiyin danilíinii doo bá nidaał'a' da índa óola e'elyaii biisį'ii doo bich'į' nidahohłáa da ?
27:3:015:0	K'ad béésh dilní bee í'dílzoołí , tsin bee í'dílzoołí , tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii , tsin tł'óół bąąh daaltązhígíí , tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii , azis bii' ná'álzołii bee nida'a'néii índa sįįł ał'ąą íits'a'go t'áá ałtso bee hááhodidla'ii dasidoots'ą́ą'go yaa ádadooh'nííł biniyé hasht'e'adadoołyaago e'elyaii biisį'ii bich'į' nidahodoohłaałgo éí yá'át'éeh doo , nidi doo bich'į' nidahosoosáágóó t'áá áko déédíljah góne' kǫ' bit'ááh dahalchxíí' góne' anihidi'yoolt ł'ił , áko háí diyin shį́įshą' shílák'eedóó yisdánihidoonił ?
27:3:016:0	Shéídrak áádóó Mííshak índa Abédniigo éí aláahgo naat'áanii ádeidííniid , Nébukadnézzar yinílyéii , ákóhodooníłígíí biniinaa t'áadoo adandoo'ne'gi da .
27:3:017:0	Déédíljah góne' kǫ' bit'ááh dahalchxíí' góne' adanihisoołtł'íidgo nihiDiyin God bá nideiil'a'ígíí kǫ' bits'ą́ąjį' yisdánihidooniłgo yíneel'ą́ . Áko aláahgo naat'áanii nílíinii , ni nidi nílák'eedóó yisdánihidooniłgo yíneel'ą́ .
27:3:018:0	Azhą́ doo yisdánihíínil da nidi , aláahgo naat'áanii nílíinii , nidiyin danilíinii doo bá nidadiil'aał da áádóó óola e'elyaii biinisį'ii doo bich'į' nidahodiidlaałgóó nił bééhodoozįįł .
27:3:019:0	Ákohgo Nébukadnézzar t'áá íiyisí báhóóchįįdgo Shéídrak áádóó Mííshak índa Abédniigo yich'į' doo ákódzaa da . Éí bąą déédíljah góyaa tsosts'idi ahą́ą́h nániilá bíighahgo hodínóolchxih , níigo yee haadzíí' .
27:3:020:0	Áko bisiláo bitahdę́ę́' diné ayóó ádabóodziilii éí Shéídrak áádóó Mííshak índa Abédniigo yida'dootł'óołgo déédíljah góne' kǫ' bit'ááh dahalchxíí' góne' adeidiyoołtł'ił biniyé yich'į' haadzíí' .
27:3:021:0	Ákohgo díí diné daha'éénééz áádóó ayaajį' éé' áádóó dahach'ahda índa náánáła' daha'éé' t'áá bii' nijizhjée'go hwee da'aztł'ǫ́ǫgo déédíljah góne' kǫ' bit'ááh dahalchxíí' góne' aho'diistł'ííd .
27:3:022:0	Aláahgo naat'áanii tsxį́įłgo níigo yee haadzíi'go áádóó déédíljah góne' kǫ' t'áá íiyisí bit'ááh dahalchxíi'go biniinaa Shéídrak , Mííshak índa Abédniigo déédíljah góyaa adahwiistł'íidii kǫ' bííghą́ą́' .
27:3:023:0	Áko díí diné tált'éego éí Shéídrak , Mííshak índa Abédniigo hwee da'astł'ǫ́ǫgo déédíljah góne' kǫ' bit'ááh dahalchxíi'ii biyi' góne' aho'diistł'ííd .
27:3:024:0	Ákohgo aláahgo naat'áanii Nébukadnézzar t'óó bił ahóóyóigo tsxį́įłgo náhidiitahgo kót'éego dabiłníinii áyidííniid , Da' diné tált'éegoósh doo kǫ' biyi' góne' adahaaltł'íid da ? Nít'éé' aláahgo naat'áanii ádeidííniid , Aoo' , aláahgo naat'áanii nílíinii , t'áá aaníí ákódzaa .
27:3:025:0	Áko ánááhodoo'niid , Shoo , diné dį́lt'éego doo bida'astł'ǫ́ǫ́góó kǫ' ałníi'gi doo ádaat'éhígóó tádíkááh . Shoo , dį́į́' góne'ígíí éí diyin danilíinii biye' nahalin .
27:3:026:0	Ákohgo Nébukadnézzar éí déédíljah bich'é'étiinjį' niníyáago ádííniid , Shéídrak , Mííshak áádóó Abédniigo , Diyin God Aláahgo Ayóó'át'éii binaal'a'í danohłíinii , hágo wóshdę́ę́' , ch'ínóhkááh . Áádóó Shéídrak , Mííshak índa Abédniigo kǫ' biyi'dę́ę́' ch'ékai .
27:3:027:0	Áko aláahgo bídahólníihii , aląąjį' naazíinii , naat'áanii danilíinii índa aláahgo naat'áanii kót'éego dabiłníinii áłah silį́į'go éí kǫ'ígíí diné dabits'íís t'áadoo iidííłk'ą́ą' daígíí , dabitsii' doo daadeez daígíí , dabi'éé' doo dadiniitsoi daígíí índa łid doo dahalchin daígíí dayiiłtsą́ .
27:3:028:0	Áko Nébukadnézzar ádííniid , Shéídrak , Mííshak áádóó Abédniigo biDiyin God baa ha'niih le' , háálá bidiyingo naal'a'í yiníł'a'go binaal'a'í baa dadzólíii yisdáyíínil , áko aláahgo naat'áanii yee haadzíi'ii łahgo ánáyiidlaa , áádóó diyin t'áá bóhólníhígíí bá na'al'a'go bich'į' nahadláhígíí biláahgo díí diné tált'éego bits'íís atídoolnííł biniyé t'áá bí biDiyin God yich'į' nidahałáhígíí yaa ádadeest'ą́ .
27:3:029:0	Éí bąągo bee haz'áanii ła' áshłééh : Diné danilíinii , ał'ąą dine'é danilíinii índa bizaad ał'ąą át'éego yee yádaałti'ii éí Shéídrak áádóó Mííshak índa Abédniigo biDiyin God bidazhdiilkaalgo bik'ijį' yádajiłti'ii nidahodii'nish doo índa dahaghan kints'iil t'éí ádeidoolííł , háálá kót'éego Diyin God yisdá'iinííł dooleełii doo ła' nááhódlǫ́ǫ da .
27:3:030:0	Ákohgo aláahgo naat'áanii éí Shéídrak áádóó Mííshak índa Abédniigo Bábilan nahós'a'gi náás yideeznil .
