	language	language_tag	local_name	iso_639_3	iso_639_1	family/subfamily/genus	version_index	version_tag	version	default_version
48	English	eng	English	eng	en	Indo-European//Germanic	1922	RV1895	Revised Version with Apocrypha 1895	No
49	English	eng	English	eng	en	Indo-European//Germanic	1047	GWC	St Paul from the Trenches 1916	No
50	English	eng	English	eng	en	Indo-European//Germanic	31	BOOKS	The Books of the Bible NT	No
51	English	eng	English	eng	en	Indo-European//Germanic	97	MSG	The Message	No
52	English	eng	English	eng	en	Indo-European//Germanic	1849	TPT	The Passion Translation	No
53	English	eng	English	eng	en	Indo-European//Germanic	316	TS2009	The Scriptures 2009	No
54	English	eng	English	eng	en	Indo-European//Germanic	314	TLV	Tree of Life Version	No
55	English	eng	English	eng	en	Indo-European//Germanic	206	WEB	World English Bible	No
56	English	eng	English	eng	en	Indo-European//Germanic	1204	WEBBE	World English Bible British Edition	No
57	English	eng	English	eng	en	Indo-European//Germanic	1209	WMB	World Messianic Bible	No
58	English	eng	English	eng	en	Indo-European//Germanic	1207	WMBBE	World Messianic Bible British Edition	No
59	English	eng	English	eng	en	Indo-European//Germanic	2407	WBMS	Wycliffe's Bible with Modern Spelling	No
60	English	eng	English	eng	en	Indo-European//Germanic	821	YLT1898	Young's Literal Translation 3rd Revision 1898	No
61	'Auhelawa	kud	'Auhelawa	kud		/	1069	KUDNT	Yaubada Yana Walo Yemidi Vauvauna	Yes
62	Abau	aau	Abau	aau		Sepik//Upper Sepik	1015	AAUNT	God so Sokior-ok Iwon	Yes
63	Achagua	aca	Achagua	aca		Arawakan//Inland Northern Arawakan	1418	ACAPOR	Liáꞌa Chuánshi Dios Shínaa	Yes
64	Achi	acr	Achi	acr		Mayan//Mayan	3	ACRCNT	I ʼUtz Laj Tzij Re I Dios	Yes
65	Achi	acr	Achi	acr		Mayan//Mayan	517	ACRNNT	Ri utzilaj tzij re ri kanimajawal Jesucristo	No
66	Achi	acr	Achi	acr		Mayan//Mayan	513	ACRTNT	Ri utzilaj tzij re ri kanimajawal Jesucristo	No
67	Achuar [Achuar-Shiwiar]	acu	Achuar	acu		Jivaroan//Jivaroan	1295	ACU	Achuar: Yuse Chichame Aarmauri Porciones del Antiguo Testamento y El Nuevo Testamento	No
68	Achuar [Achuar-Shiwiar]	acu	Achuar	acu		Jivaroan//Jivaroan	4	ACUNT	Yuse chichame aarmauri; Yaanchuik, Chicham; Yamaram Chicham	Yes
69	Adangme	ada	Adangme	ada		/	2265	DANGME	BAIBLO ALOO NGMAMI KLƆUKLƆU Ɔ	Yes
70	Adangme	ada	Adangme	ada		/	2322	DAN77	Somi He Ɔ	No
71	Adhola	adh	Adhola	adh		/	2186	DHOPE	KITAWO MALEŊ	No
72	Adhola	adh	Adhola	adh		/	2185	DHOCDC	KITAWO MALEŊ Catholic	Yes
73	Adi	adi	Adi	adi		Sino-Tibetan/Tibeto-Burman/Tani	1530	ADI-BSI	DEENA BAIBÉL (BSI)	Yes
74	Adilabad Gondi	wsg	Adilabad Gondi	wsg		/	2019	WSGNT	ఆదిలాబాద్ గోండి పూన నియమ్	Yes
75	Adjukru [Adioukrou]	adj	Adjukru	adj		Niger-Congo//Kwa	1462	ADJNT	Adioukrou NT	Yes
76	Adyghe	ady	Adyghe	ady		Northwest Caucasian//Northwest Caucasian	2157	ADGNT14	Къэбарышӏур (Инджыл)	Yes
77	Adzera	adz	Adzera	adz		Austronesian/Eastern Malayo-Polynesian/Oceanic	1229	ADZ	Miamun	Yes
78	Afrikaans	afr	Afrikaans	afr	af	Indo-European//Germanic	5	AFR53	Afrikaans 1933/1953	No
79	Afrikaans	afr	Afrikaans	afr	af	Indo-European//Germanic	6	AFR83	Afrikaans 1983	Yes
80	Afrikaans	afr	Afrikaans	afr	af	Indo-European//Germanic	2	ABA	Bybel vir almal	No
81	Afrikaans	afr	Afrikaans	afr	af	Indo-European//Germanic	50	DB	Die Boodskap	No
82	Afrikaans	afr	Afrikaans	afr	af	Indo-European//Germanic	117	NLV	Nuwe Lewende Vertaling	No
83	Agarabi	agd	Agarabi	agd		Trans-New Guinea//Eastern Highlands	935	AGDNT	Yisasini Kama Vaya	Yes
84	Aghul	agx	Aghul	agx		Nakh-Daghestanian/Daghestanian/Lezgic	2080	AGU	Лукайин Китаб Месигь Ӏисайихъас Идже Хабар	Yes
85	Aguaruna	agr	Aguaruna	agr		Jivaroan//Jivaroan	515	AGR	Awajún: Apajuí chichame pegkejam Porciones del Antiguo Testamento y el Nuevo Testamento	Yes
86	Agusan Manobo	msm	Agusan Manobo	msm		/	979	MSMNT	Kasuyatan to Diyus	Yes
87	Agutaynen	agn	Agutaynen	agn		/	1124	AGNNT	Ang bitala tang Dios: ba-long inigoan; Ang bagong magandang balita: bagong tipan	Yes
88	Aimol	aim	Aimol	aim		/	1533	AIMOL-BSI	RABU ATHAR N.T. (BSI)	Yes
89	Ainu (Japan)	ain	Ainu (Japan)	ain		//	1944	AINU	Ashiri Aeuitaknup 1897	Yes
90	Ajyíninka Apurucayali	cpc	Ajyíninka Apurucayali	cpc		/	579	CPCNT	KAMIITHARI ÑAANTSI	Yes
91	Akawaio	ake	Akawaio	ake		Cariban//Cariban	308	AKE	Wakʉ Itekare	Yes
92	Akha	ahk	Akha	ahk		Sino-Tibetan/Tibeto-Burman/Burmese-Lolo	1722	AHK	Akha	Yes
93	Akha	ahk	Akha	ahk		Sino-Tibetan/Tibeto-Burman/Burmese-Lolo	2166	AKA	Yawshawr Yaerbof Dawqma Sarjax Yawshuif, Jaceuq-eu Hawr-eu Dawqdaq	No
94	Akoose	bss	Akoose	bss		/	336	BSSNT	Melɛ̌ Mékɔ̄ɔ̄lē	Yes
95	Akɨghɨman Akam [Akukem]	spm	Akɨghɨman Akam	spm		/	1823	AKG-MKAC	Mak Osɨrisira Akaman Aghuuŋ ko Iesusɨm Mbɨsevisir Gumasi	Yes
96	Alacatlatzala Mixtec	mim	Alacatlatzala Mixtec	mim		Oto-Manguean//Mixtecan	2439	MIM	Alacatlatzala Mixtec New Testament	Yes
97	Alamblak	amp	Alamblak	amp		Sepik//Sepik Hill	986	AMPNT	Bro Nkifrarhu Mrokfot	Yes
98	Alekano	gah	Alekano	gah		Trans-New Guinea//Eastern Highlands	954	GAHNT	Monó Gotola Gosohá	Yes
99	Alladian	ald	Alladian	ald		Niger-Congo//Kwa	1487	ƐAA03	Ɛmɛẅi ankà ankrànkràn 2003	Yes
100	Alune	alp	Alune	alp		Austronesian//Central Malayo-Polynesian	323	ALPNT	Janji beluke	Yes
101	Ama (Papua New Guinea)	amm	Ama (Papua New Guinea)	amm		Left May//Left May	991	AMMNT	Kotoni Imo Itouniyaimo	Yes
102	Amanab	amn	Amanab	amn		Border//Border	980	AMNNT	Godna mo Awai mona go	Yes
103	Amarakaeri	amr	Amarakaeri	amr		Harakmbet//Harakmbet	511	AMRNT	Jesucristo oy oa’pak: Kenda Jesucristoa; monigka’uyatenok; Diostaj mo’manopo’yarea’ika’ne	Yes
104	Amarasi	aaz	Amarasi	aaz		/	1320	AAZ	Uisneno In Kabin ma Prenat: Rais Manba'an Fe'u nok Reta' Ahun-hunut	Yes
105	Ambai	amk	Ambai	amk		Austronesian/Eastern Malayo-Polynesian/South Halmahera - West New Guinea	1176	AMKNT	Sempaisi Ne Kaiwo Mirarebanai	Yes
106	Ambo-Pasco Quechua	qva	Ambo-Pasco Quechua	qva		/	1769	QVANT	Quechua Ambo-Pasco New Testament	Yes
107	Ambulas	abt	Ambulas	abt		Sepik//Ndu	927	ABTNT	Gotna Kudi	Yes
108	Ambulas	abt	Ambulas	abt		Sepik//Ndu	1006	ABT	Gotna kundi	No
109	Amele	aey	Amele	aey		Trans-New Guinea//Madang	978	AEYNTPO	Bal cehec je haun	Yes
110	Amganad Ifugao	ifa	Amganad Ifugao	ifa		/	1356	IFAONT	Nan Hapit Apu Dios	Yes
111	Amri Karbi	ajz	Amri Karbi	ajz		/	1535	AMRI-BSI	AKIMI ANGTON N.T. (BSI)	Yes
112	Amuzgo [Guerrero Amuzgo]	amu	Amuzgo	amu		Oto-Manguean//Amuzgoan	229	AMUNT	Ñʼoom xco na tqueⁿ tyʼo̱o̱tsʼom cantxja ʼnaaʼ Jesucristo	Yes
113	Anal	anm	Anal	anm		/	1858	ANALBSI	ITHIING THIMBU - BSI	Yes
114	Aneme Wake	aby	Aneme Wake	aby		/	1011	ABY	Godinu irau wake	Yes
115	Angaataha	agm	Angaataha	agm		Trans-New Guinea//Angan	981	AGMNT	Autaahaatɨhomɨ Pɨwɨha Gaaha Wanɨha	Yes
116	Angal Heneng	akh	Angal Heneng	akh		/	988	AKHNT	Angal Heneng mbuk Ngaoran Angal Bib Hobau Sao ngo wi o	Yes
117	Angami [Angami Naga]	njm	Angami	njm		/	338	ANGAMIBSI	KETHOLESHU (BSI)	Yes
118	Anganiwai [Kahua]	agw	Anganiwai	agw		/	589	KCB	Buka Apuna (I Lotu Katolika)	Yes
119	Anganiwai [Kahua]	agw	Anganiwai	agw		/	592	KCB	Buka Apuna (I Lotu Katolika)	No
120	Angor	agg	Angor	agg		Senagi//Senagi	1001	AGGNT	Godɨndɨ Hoafɨ	Yes
121	Anicinabemowin [Algonquin]	alq	Anicinabemowin	alq		Algic//Algonquian	487	ALGNT	Kije Manido Odikido8in: Ocki Mazinaigan	Yes
122	Anjam	boj	Anjam	boj		/	1743	BOJ2014	Yesus Aqa Anjam Bole	No
123	Anjam	boj	Anjam	boj		/	936	BOJNT	Yesus Aqa Anjam Bole	Yes
124	Ankave	aak	Ankave	aak		/	985	AAK	Ankave	Yes
125	Antipolo Ifugao [Keley-I Kallahan]	ify	Antipolo Ifugao	ify		/	1450	IFY	Keley-i Bible (Antipolo Ifugao)	Yes
126	Anufo	cko	Anufo	cko		Niger-Congo//Kwa	2168	CKOU	Nyεmε Jɔrε Kadasi	Yes
127	Anuki	aui	Anuki	aui		/	1413	AUI	God Warana Miisena Mak Igirumi	Yes
128	Anyin	any	Anyin	any		Niger-Congo//Kwa	1731	ANY	The Agni Sanvi NT of Côte d’Ivoire	Yes
129	Ao Naga	njo	Ao Naga	njo		Sino-Tibetan/Tibeto-Burman/Kuki-Chin	1008	AONAGABSI	Ao Naga C.L. Bible (BSI)	Yes
130	Apalaí	apy	Apalaí	apy		Cariban//Cariban	865	APYB	Ritonõpo Omiry	Yes
131	Apatani	apt	Apatani	apt		Sino-Tibetan/Tibeto-Burman/Tani	1529	APAT-BSI	NITI GONTU N.T. (BSI)	Yes
132	Apinayé	apn	Apinayé	apn		Macro-Ge//Ge-Kaingang	514	APNNT	Tĩrtũm kapẽr ã kagà nyw	Yes
133	Apurinã	apu	Apurinã	apu		Arawakan//Purus	864	APUNT	Teoso sãkire amaneri	Yes
134	Arabe tchadien [Chadian Arabic (Roman script)]	shu_rom	Arabe tchadien	shu		Afro-Asiatic//Semitic	501	ADT19	Al-Kitaab al-Mukhaddas be l-arabi al-daariji hana Tchad	Yes
135	Arabela	arl	Arabela	arl		Zaparoan//Zaparoan	519	ARLNT	Quiarinio pueyaso rupaa pa jiyaniijia Jesucristojiniji pueyano rupaajinia	Yes
136	Arapaho	arp	Arapaho	arp		Algic//Algonquian	1369	ARP	Hethadenee waunauyaunee vadan Luke Vanenāna	Yes
137	Are	mwc	Are	mwc		/	1404	ARELUKE	God Wonana Kaoaobaisiyena	Yes
138	Arifama-Miniafia	aai	Arifama-Miniafia	aai		/	407	AAI	Tur gewasin o baibasit boubun	Yes
139	Aringa	luc	Aringa	luc		/	2341	LUC	Ị́jọ́ Úꞌdí rĩ	Yes
140	Armãneashti/Arumanisht [Aromanian]	rup	Armãneashti/Arumanisht	rup		/	1559	ARUM	Evanghelu pi dupi Luka 2013	Yes
141	Armãneashti/Arumanisht [Aromanian]	rup	Armãneashti/Arumanisht	rup		/	1655	AROM	Vangheilu al Matheu 1889	No
142	Arop-Lokep	apr	Arop-Lokep	apr		Austronesian/Eastern Malayo-Polynesian/Oceanic	1409	APR	Rau Ke Maro	Yes
143	Arosi	aia	Arosi	aia		Austronesian/Eastern Malayo-Polynesian/Oceanic	1639	AIANT	Taroha Goro Mana Usuusu Maea	Yes
144	Aruamu	msy	Aruamu	msy		Lower Sepik-Ramu//Mikarew	913	ARUNT	Godɨn Akar Aghuim; Akar Dɨkɨrɨzir Gavgavir Igiam	Yes
145	Asháninka	cni	Asháninka	cni		/	575	CNINT	Irineane tasorentsi oquenquetsatacotaqueri Avincatsarite Jesoquirishito	Yes
146	Ashéninka Pajonal	cjo	Ashéninka Pajonal	cjo		Arawakan//Pre-Andine Arawakan	568	CJONT	Iwaperite tajorentsi ikenkithatakoetziri awinkatharite Jesokirishito: owakirari inimotakiri tajorentsi	Yes
147	Ashéninka Perené	prq	Ashéninka Perené	prq		/	2136	PRQNTPO	Las Escrituras en Ashéninka Perené del Perú	Yes
148	Ashéninka Pichis [Pichis Ashéninka]	cpu	Ashéninka Pichis	cpu		/	238	CPUNT	KAMEETHARI ÑAANTSI: Iñaaventaitzirira Avinkatharite Jesucristo	Yes
149	Ata Manobo	atd	Ata Manobo	atd		/	1003	ATDNT	Kasulatan to Magboboot	Yes
150	Atatláhuca Mixtec	mib	Atatláhuca Mixtec	mib		Oto-Manguean//Mixtecan	851	MIBDBL	New Testament in Mixtec, Atatláhuca	Yes
151	Atikamekw	atj	Atikamekw	atj		Algic//Algonquian	2342	ATMK	Kice Manito Ocki Omirwatcimowin	Yes
152	Au	avt	Au	avt		Torricelli//Wapei-Palei	967	AVTNT	Hɨm Yaaim Me God	Yes
153	Auye	auu	Auye	auu		/	2547	AUU	Auye	Yes
154	Avaric	ava	Avaric	ava		Nakh-Daghestanian/Daghestanian/Avar-Andic-Tsezic	2086	AVRNT	Инжил	Yes
155	Avatime	avn	Avatime	avn		Niger-Congo//Kwa	1982	AVNDBLNT	KUNYANYA VUVU YƆ	Yes
156	Avokaya	avu	Avokaya	avu		Central Sudanic//Moru-Ma'di	1766	AVU	Tã-drı̣̃ Lẽlẽ Óꞌdí Óvârí Kâ	Yes
157	Awa (Papua New Guinea)	awb	Awa (Papua New Guinea)	awb		Trans-New Guinea//Eastern Highlands	932	AWBNT	Manikáne O Ehwehne	Yes
158	Awa-Cuaiquer	kwi	Awa-Cuaiquer	kwi		Barbacoan//Barbacoan	1092	KWINT	Masas Pit Jesucristowa	Yes
159	Awara	awx	Awara	awx		/	1335	AWX	Awara Baibel	Yes
160	Awiyaana	auy	Awiyaana	auy		Trans-New Guinea//Eastern Highlands	845	AUYNT	Aú-aai símai kááisamakain-aai	Yes
161	Ayacucho Quechua	quy	Ayacucho Quechua	quy		Quechuan//Quechuan	2389	RCQ12	CHUYA QELLQA La Biblia en Quechua de Ayacucho 2012	No
162	Ayacucho Quechua	quy	Ayacucho Quechua	quy		Quechuan//Quechuan	556	RCHQ2	Chuya Qellqa 1992	Yes
163	Ayacucho Quechua	quy	Ayacucho Quechua	quy		Quechuan//Quechuan	2390	QUEAYA87	Quechua Ayacucho Bible 1987	No
164	Ayautla Mazatec	vmy	Ayautla Mazatec	vmy		/	655	VMYNT	El Nuevo Testamento Mazateco de Ayautla	Yes
165	Aymar [Central Aymara]	ayr	Aymar	ayr		/	2251	AYBOL1986	Aymar Bibliia 1986	No
166	Aymar [Central Aymara]	ayr	Aymar	ayr		/	293	AYOP	Qullan Arunaca	Yes
167	Aymar [Central Aymara]	ayr	Aymar	ayr		/	2250	AYOPD	Qullan Arunaka DC	No
168	Ayta, Abellen	abp	Ayta, Abellen	abp		/	2466	AABPV	Hiyay Habi nin Dioh	Yes
169	Ayutla Mixtec	miy	Ayutla Mixtec	miy		Oto-Manguean//Mixtecan	1659	MIYNT	El Nuevo Testamento	Yes
170	Azərbaycanca [Azerbaijani]	azj	Azərbaycanca	azj		/	2324	AZJ08	Azərbaycan Bibliyası 2008	Yes
171	Baatonum	bba	Baatonum	bba		Niger-Congo/Gur/Southern-Central Gur	1138	BAR	Bibeli Gusunɔn Gari	Yes
172	Babanki	bbk	Babanki	bbk		/	1983	BBKDBLNT	The New Testament in the Babanki language	Yes
173	Baeggu	bvd	Baeggu	bvd		/	1901	BVD	Na Alangaia Falu 'ana Baea 'i Baeguu	Yes
174	Bafia	ksf	Bafia	ksf		Niger-Congo/Benue-Congo/Bantoid	876	BAFNT	Bafia New Testament	Yes
175	Bafut	bfd	Bafut	bfd		Niger-Congo/Benue-Congo/Bantoid	2147	NFD	Ǹtoò Kristo yî Ǹsɨgɨ̀nǝ̀: mɨ̀kàà yî mfiì	Yes
176	Baga Sitemu	bsp	Baga Sitemu	bsp		Niger-Congo/Atlantic/Mel	1557	KKK	Kitabu ka Kanu	Yes
177	Bahasa Indonesia [Indonesian]	ind	Bahasa Indonesia	ind	id	Austronesian//Malayo-Sumbawan	306	TB	Alkitab Terjemahan Baru	Yes
178	Bahasa Indonesia [Indonesian]	ind	Bahasa Indonesia	ind	id	Austronesian//Malayo-Sumbawan	27	BIMK	Alkitab dalam Bahasa Indonesia Masa Kini	No
179	Bahasa Indonesia [Indonesian]	ind	Bahasa Indonesia	ind	id	Austronesian//Malayo-Sumbawan	199	AMD	Perjanjian Baru: Versi Mudah Dibaca	No
180	Bahasa Indonesia [Indonesian]	ind	Bahasa Indonesia	ind	id	Austronesian//Malayo-Sumbawan	320	TSI	Terjemahan Sederhana Indonesia	No
181	Bahasa Melayu [Malay]	msa	Bahasa Melayu	msa	ms	/	402	BM	Alkitab Berita Baik	Yes
182	Bahasa Melayu [Malay]	msa	Bahasa Melayu	msa	ms	/	377	BMDC	Alkitab Berita Baik (+Deuterokanonika)	No
183	Bahasa Melayu [Malay]	msa	Bahasa Melayu	msa	ms	/	2271	AVB	Alkitab Versi Borneo	No
184	Bahasa Melayu [Malay]	msa	Bahasa Melayu	msa	ms	/	1859	KEAS	Kitab Alkudus: Injil Isa Almasih 1866 (Keasberry)	No
185	Bahnar	bdq	Bahnar	bdq		Austro-Asiatic/Mon-Khmer/Bahnaric	2137	BDQ	Sơ̆p Hlabơar Nơ̆r 'Bok Kei-Dei	Yes
186	Baka (Sudan)	bdh	Baka (Sudan)	bdh		Central Sudanic//Bongo-Bagirmi	1563	BDH	MƗKÁNDA LORỤ ꞌBƗ LOMO KƗ́ DOSỊ́ ÉYỊ́ E	Yes
187	Bakairí	bkq	Bakairí	bkq		Cariban//Cariban	408	BKQNT	Deus Itaumbyry	Yes
188	Baki	bki	Baki	bki		/	2420	BKI	Verikariano Vou Na Baki	Yes
189	Balangao	blw	Balangao	blw		Austronesian//Northern Luzon	1115	BLWNT	Hen alen Apudyus	Yes
190	Balantak	blz	Balantak	blz		Austronesian//Celebic	337	BLZNT	Kitap molinas men ringkat na alaata'ala: perjanjian baru	Yes
191	Bali (Nigeria)	bcn	Bali (Nigeria)	bcn		/	2513	BCNNT	Wale ɗi Kpan Ɓisuwi Waltamne ɗa nye Maya	Yes
192	Bali, basa [Balinese]	ban	Bali, basa	ban		Austronesian//Malayo-Sumbawan	302	BAN	Cakepan Suci	Yes
193	Balóchi [Balochi]	bcc_rom	Balóchi	bcc		/	1500	HPKB	The holy book of God in the Balochi language	Yes
194	Bambalang	bmo	Bambalang	bmo		/	2348	BMO	Ŋwaʼaŋlɨ Kɨǹ a Fhi	Yes
195	Bambam	ptu	Bambam	ptu		Austronesian//South Sulawesi	1147	INABAM	Suha’ Maseho: Kadadiam anna Pa’dandiam Bakahu	Yes
196	Bana	bcw	Bana	bcw		Afro-Asiatic/Chadic/Biu-Mandara	1767	BCW	Zliya Yǝwǝn kwǝma wǝzǝ naa dzǝkǝn Yesǝw Kǝristǝw	Yes
197	Bandial	bqj	Bandial	bqj		/	1300	BQJDBL2	bqj Firim fafu fal Aláemit	Yes
198	Banjar	bjn	Banjar	bjn		/	2228	BJN	Bagian bagian Kitab Suci Taurat (dalam bahasa Banjar)	Yes
199	Bantoanon	bno	Bantoanon	bno		/	2174	BNONTGNEX	Bag-ong Kasuyatan	Yes
200	Baoulé	bci	Baoulé	bci		Niger-Congo//Kwa	1643	BLNT74	Nyanmien nde Ufle	Yes
201	Barai	bbb	Barai	bbb		/	970	BBBNTPO	Godido Vua Maeje	Yes
202	Barasana-Eduria	bsn	Barasana-Eduria	bsn		Tucanoan//Tucanoan	571	BSNNT	Dios oca gotirituti	Yes
203	Bargam	mlp	Bargam	mlp		Trans-New Guinea//Madang	1084	MLPNT	God ago maror muturta agamukan	Yes
204	Bariai	bch	Bariai	bch		/	960	BCHNTPO	Deo Ele Posanga	Yes
205	Baruya	byr	Baruya	byr		Trans-New Guinea//Angan	994	BYRNTPO	Gotɨyare Yagaala Mudɨke'	Yes
206	Basa Jawa [Javanese]	jav	Basa Jawa	jav	jv	Austronesian//Javanese	248	JAV	Kitab Sutji	Yes
207	Basa Jawa Suriname [Caribbean Javanese]	jvn	Basa Jawa Suriname	jvn		/	250	JVNNT	Kitab sutyi prejanjian anyar ing Basa Jawa Suriname sing gampang	Yes
208	Batad Ifugao	ifb	Batad Ifugao	ifb		Austronesian//Northern Luzon	2230	NHAD	Nan Hapit Apo Dios	Yes
209	Batak Karo	btx	Batak Karo	btx		Austronesian//Northwest Sumatra-Barrier Islands	35	BTX	Pustaka Si Badia	Yes
210	Batak Simalungun	bts	Batak Simalungun	bts		/	34	BTS	Bibel	Yes
211	Batak Toba	bbc	Batak Toba	bbc		Austronesian//Northwest Sumatra-Barrier Islands	17	BBC	Bibel	Yes
212	Bawm [Bawm Chin]	bgr	Bawm	bgr		Sino-Tibetan/Tibeto-Burman/Kuki-Chin	1945	BCLBV	Bawm Common Language Bible Version	Yes
213	Beami	beo	Beami	beo		/	2441	BEO	GODE EA SIA: IDA:IWANE GALA	Yes
214	Benabena	bef	Benabena	bef		Trans-New Guinea//Eastern Highlands	1019	BEFNT	KA LAMANAꞌA Monoꞌi Lu Mu Tifiꞌehina Ka Yabe	Yes
215	Berom	bom	Berom	bom		Niger-Congo/Benue-Congo/Platoid	1591	BOMBI	Bwok-basa Dagwi wuna-na-sira roso tanga pas	Yes
216	Besiro (Chiquitano) [Chiquitano]	cax	Besiro (Chiquitano)	cax		Chiquito//Chiquito	534	CAXNT	Manitanati Tuparrü	No
217	Besiro (Chiquitano) [Chiquitano]	cax	Besiro (Chiquitano)	cax		Chiquito//Chiquito	362	CHIQB	Manityanati Tupax	Yes
218	Bezhta	kap	Bezhta	kap		Nakh-Daghestanian/Daghestanian/Avar-Andic-Tsezic	2172	KAPPROLUK	Анкълова, Лука	Yes
219	Biangai	big	Biangai	big		/	965	BIGNT	Anotogi Ngago Wikta	Yes
220	Biatah Bidayuh	bth	Biatah Bidayuh	bth		Austronesian//Land Dayak	18	TBV	Simanya Bauh	Yes
221	Biate [Biete]	biu	Biate	biu		/	1532	BIAT-BSI	Pathian Lekhabu Rithiang (BSI)	Yes
222	Bileez Kriol [Belize Creole English]	bzj	Bileez Kriol	bzj		other//Creoles and Pidgins	409	BZJNT	Di Nyoo Testiment eena Bileez Kriol	Yes
223	Bimin	bhl	Bimin	bhl		/	1281	BHLNT	Sunbim-Got em Kitakamin Weng	Yes
224	Bimoba	bim	Bimoba	bim		Niger-Congo/Gur/Northern-Central Gur	1838	BIM	Yennu Gbounpaauŋ Mɔɔr	No
