OOTECH OOCHU TAKEHNIYATINKLES ST. MASK.
41:001:000:1  Tghaehyestla Ehlaiti.
41:001:029:0  Ayite otsi, gliaghatestyetlon taneghaotatyechi kwa otsi, kweghaghintyetl Simon yu Andrew yu kwa, James chu John chu.
41:001:030:0  Simon tsiyue ma tyelasatyi teskoone ayila, oohchu koohoohati.
41:001:031:0  Yechidesha yila inchut, kahchu tahyatinti; kwete ayi teskoone ayila vecheli, ayi oota yakeotihch.
41:001:032:0  Hatse kahkachi, naghioo, kiya nanila yatitine, yaghi chu mazichi yaghatai metselilii.
41:001:033:0  Kahchu atghe ehlaititi tane natihti tyechiklaghatati tusklahti.
41:001:034:0  Kahchu atgliazi tatihi akooyilalon ayeeah natlone yehtanintyelon, kooyaghatai metselihi nation oonteslalon; kahchu atu ketselihoo wahti iyao-ohti, achi atayatilon ayiwooh ayehti.
41:001:035:0  Kahchu hatlindo, setsehto tsitike satalon, hadesha, kahchu koondeshalon aghasuchalechi, kahchu iehti yachutatyehch.
41:001:036:0  Kahchu Simon yehkyatehchi kikyehtestyetllon.
41:001:037:0  Kikihtitsi, toowela ooli kiyehtilon, Atghe tane ninkhaghanatgha.
41:001:038:0  Towehchu yehti, Tane natehtsi otsidooshai kooche oohoostihi oochu, kootatooshigha lasasta aoontye.
41:001:039:0  Kahchu tane tsiwogliintalon taneghaotatyech kwa kwe Galilee, kahchu atsinde metseli ghayatehalon.
41:001:040:0  Kahchu machitatestyel tane tsusachi yaghoone yatsi nioonunisit, kahchu machi nachustachaklili, kahchu toowela ooli yehtilon Kooh koodinti ate oochu asaghoonlehassi.
41:001:041:0  Kahchu Jesus, atyetastihtoo madzye tatilon nati gha tiesunni ihe, yetsi tahtatitichlon, kahchu yakatehtich Ion, kahchu toowela ooli yehtilon, Kooh koosti; kwakoola oochu anatyeh.
41:001:042:0  Tsiwohzon otatyech otye, susuchi yetselilon, kahchu oochu oohtyelon.
41:001:043:0  Kahchu yatatilon tsiwohzon itintiah, kahchu oochu tyehalon;
41:001:044:0  Kahchu toowela ooli yehtilon, Atu kahchu  ataoonti niwotine : kahchu achutiya, nazi yueh taneghaotatyech metihi, kahchu khaniah naoochu oohtyi ihe yaghi Moses za kyehchi, ata kiyutihi.
41:001:045:0  Kahchu hadesha, oohtye awonetye khootawootyelon, kahchu tike okehe khootawotyelon, kwa hlilon Jesus atu tanetghakweya tyetachatlihi kwa iyu meheaoontye, ahwole kemwehchi tike alilon, kahchu kiyinkhatestyetllon ewonetyetsi otsi.
41:002:000:1  Tghachyestla Onketi.
41:002:001:0  KAHCHU kwiyalon Capernaum tahke dzine oolitatatich wazilate ; kahchu kooachatilon ayiti nito kwa oota ko-ochati ihe mewoyu.
41:002:002:0  Kwete natlone tyechi ghlaghatilon, kwa hlilon tagliadesmanlon atulitah ookuzze ooli ghintlon kye, kwa hlilon tusla aghoo ooghata taghadesman ghintlon kye; kahchu sa yatatilon.
41:002:003:0  Kahchu kiyinkhatestyetl yatilonooh yatitihi ihe, tyentane kooyahtyel.
41:002:004:0  Kahchu atu ugha otsighatatyel iyua aoontye ootaneghutl kye, nighatilalon anetiyi ootaneghutl kye alinti; kootoo ghaghatagheoo yatilone, kitaghintsut takeustyi tyela satyechti.
41:002:005:0  Kootoo Jesus wai aha oochati, toowela ooli yehtilon ayi yatilone, Sechue, nametselihi naoonchatuleli.
41:002:006:0  Ahwole tahkine ayiti tyechii adesklesne, kahchu koodzye otsi indighateshalon,
41:002:007:0  Yeoogha ti teze atu oochu ateotye ? mea metselihi ka oontoolelassi kootahtye Kagha Tgha zon ?
41:002:008:0  Kwete Jesus ataotio yaghatei intidesakehe, toowela ooli yehtilon, Yehoo oohtye naghadzye ihe intidaa aoontye ?
41:002:009:0  Tyeyi meotena achatooti kehe yatilone, Nametselihi naooncliatoolel; koolehe, Tsitike sinta, nustyi neodiah ?
41:002:010:0  Atawalitihi iyu aoontye hligi teze Machue natsutti ayehi chode tike kakametselihi naghaoontooleli, (toowela ooli yehtilon yatilone,)
41:002:011:0  Toowela nesiih, Niiya, nustye nioodiah, nakwa otsidiya.
41:002:012:0  Kwa kwete niiya, ustyi nioodioo, kahchix hadesha aitye yai; kwa hlilon atglie yaooli, kiyaooli Nagha Tgtia, toowela ghatyeh, Atu haoontyedi ooliwetyi tahooli.
41:002:013:0  Kahchu tu cliok meootyesha; atghe aghanetye machichatyesha, kwa yaotatich.
41:002:014:0  Intyizon ghayalu, yailon Levi Alpiiaens ma chue sata sooniya mechetilichti, toowela ooli yehtilon, Sakyetiya. Kahchu niiya yekehtesha.
41:002:015:0  Hesai wazeluh Jesus yakwa kwesata atsitsoo, natlone tanechowhoine chu metseline chu Jesus yakahtehtsi yaotatichne chu : oohchu ghintlone, kooketestyetl chu.
41:002:016:0  Kootoo hatseto adesklesne chu Phariseene chu kiyaichi inka aghatsitsoo tanechowhoine chu metseline chu, toowela ooli yehtilon yaota tichne, Yehoo yakaatsits aoontye yakah chu tuaton tane chowhoine chu metseline chu ?
41:002:017:0  Kootoo Jesus ootitsahoo, toowela ooli yehti, Yaghine ooehu oontyene atu kiyinkhasootati yutane, yatitihizon: atu yuhchideya tyechi kooyusine tyeswe yaghitane, ahwole ayi atu tyeswe yaghitane chodeh kyetsahanohoolehe koometselihi oogliatihuali.
41:002:018:0  Kahchu yaotatichne John chu Phariseene chu ooneaghatatihya toonkye: kahchu yuhchihatestyetl toowela ooli, yehoogha yaotatichne John chu Phariseene chu ooneatatehya aoontye, ahwole mini maghotintichne atu ooneatatehya ?
41:002:019:0  Kahchu Jesus toowela ooli yehti, Maskyege la kwa nichiyehi kooj^ehkyatechi ooneatatulela la ? kooyehkyatechton atu ooneata tehya iyu aoontye.
41:002:020:0  Ahwole kwa kwete khoonahwozetasi, kootoo inka tuchainklitne kwiya kwa oochayihate, kahchu ayi dzine ooneatatuyelassi.
41:002:021:0  Atu chu ooli koonde ale ooli tsatse ihe kyechatoohkatassi, yaikoole koonde ihe kecliaghinghati kwa hlilon hleooyu awotiassi.
41:002:022:0  Kahchu atuline tata ahklitassi chiche tu koonde satsoone tontyeto otsi: atu chu chiche tu ooli tsatse tataoohklit ootookyezasi, kahchu natesklit chiche tu, kahchu mataootsayih oontookyezasi: ahwole chiche tu koonde ooli tu koonde chuhklitassi.
41:002:023:0  Kahchu otles tghah niya achuniyehti Menejitti Dzine; kahchu yaotichne makye ghatehlu atghe inchaghakinesla otles.
41:002:024:0  Kahchu Phariseene toowehchu yehti, Kye, yehoo koohghaghati aoontye Menejitti Dzine atu tu dzine kooh ghatsati iyu aoontye ?
41:002:025:0  Kahchu toowela ooli yehti, Atn makyeh ootahtyech tab oolila David aoontli kootoo intaklinto kalicliu tapatoo, atane chu ayi yehkyatiche chu ?
41:002:026:0  Kwiye sikooh Naglia Tgha kwa, intvizon Abiathar taneghaotatyechi inetihi chok acha, kahchu kiyatsetslon otles oochu atuline vetsitslon gha yai zon taneghaotatyecli, kahchu  ayi yehkyatiche.
41:002:027:0  Kahchu toowela ooli yehti, Menejitti Dzine acliilalon tane gha, kahchu atu chu tane Menejitti Dzine gha:
41:002:028:0  Ayigho teze Chue ghakaoodzut Mene jitti Dzine.
41:003:000:1  Tghachyestla Taiti.
41:003:001:0  Kahchu tyetachatlihi kwa kwiya: ayiti teze natyelon mila taneskyelon.
41:003:002:0  Kahchu kiyunailon, ooka ooli asityeh kha Menejitti Dzine nai; kitalih iyu aoontye.
41:003:003:0  Kahchu toowela ooli yehti ayi teze rnila taneskye, Hatelon atichi nazutooh.
41:003:004:0  Tooweh chu yehti, Oochu la oochu keoochuahch Menejitti Dzine, ketseliooh keooehuahch ? tane ghaghatai gha kasoochatooti gha koole ? Ahwole atu ooghati.
41:003:005:0  Kahchu anetye klokanatghalon niadzyehatsutooh, kyeoocheklah ihe tane dzye natsutti, tooweh chu yehti teze, Tahtatinti. Ooh kahchu tahtatintieh: oohchu mila natsaghinhtalon achune kehchi.
41:003:006:0  Kahchu Phariseene achughatestyelon, kwete hla nighohanintalon yai chu Herodianuk, tihakehe soo ookitoohtelu.
41:003:007:0  Ahwole Jesus achutyezlia yaghotine chu tu chok tsi: Kahchu tane natlone Galilee otsi yu Judaea otsi yu yekehtestyetl.
41:003:008:0  Kahchu Jerusalem otsi, kahchu Idumaea otsi, kahchu o-one otehchi otsi Jordan, kahchu aghatane ahthaze Tyre yu Sidon yu, ghintlon ke, ooghatitsuk chi ayi oochu keoahclii, kiyinkhadesha.
41:003:009:0  Kahchu yaotatichne tatilon, ela ckok natsutli ootagha iiti wothoogha kooghohtyi tane nation ke kha ati makechichiticha.
41:003:010:0  Atane natlone yaghihti ihe; kwa hlilon, yinkghanotyesuts yakatutihikha, anetye ayi tatihi akooyahine.
41:003:011:0  Tane yaghatai mindicheli kahchu kiyainchi ate, kyechinachustaklih, kahchu ghatyezul toowe la ooli kiyehti ihe. Nuni Nagha Tgha Chue nelaoontye.
41:003:012:0  Kooh oochu atu soohcliiwoti atu atachutihikha.
41:003:013:0  Kahchu khis ehkyeghiyalon, kahchu ayizon ayuti tyechi yehti: yachidesha.
41:003:014:0  Kahchu keneti onketi matgha kliniyanila, yekyeootichiglia, kalicliu achutehaloii udzib oohootigha.
41:003:015:0  Kahchu ayuhi glia natsutti, kahchu atsinde metselihi hayatuhi gha:
41:003:016:0  Kahchu Simon yindizi yakecliioosun Peterlon;
41:003:017:0  Kahchu James Zebedee machue, kahchu John, James mekye; kahchu nindizi yakechioosun Boanerges, ayi nahthunni uskyege chatyeh:
41:003:018:0  Kahchu Andrew, kahchu Philip, kahchu Bartholomew, kahchu Matthew, kahchu Thomas, kahchu James Alphaeus machue, kahchu Thaddaeus, kahchu Simon ayi Canaanite,
41:003:019:0  Kahchu Judas Iscariot, mazi atahootalon : kahchu nito kwa kwighaghintyetl.
41:003:020:0  Kahchu natlone natsughanestlalon, ehtye kwa hlilon atu otles atsitslon natlonke.
41:003:021:0  Kootoo meootinoo ootitsukoo, achughatestyetl kiyuhchutigha: aghatune kooghatyeh, Tinditaodesooissi.
41:003:022:0  Kahchu adesklesne yuhchighatestvetl Jerusalem otsi ghati, Ayehi Beelzebub, kahchu yaghatai metselihi iiti otsi hayateha.
41:003:023:0  Kahchu koohchu yinkhawoti, kahchu toowe yehti, tyecha otsi aghaghatai metselihi hatsatoohtyel oontye ayi aghaghatai metselihi ?
41:003:024:0  Kahchu hlahti tane natehti intsake yawoinklit ate, ayiti tike ii oowotoehassi.
41:003:025:0  Kahchu ayi nito kwa yaooghinkliti ate, ayi nito kwa oowotoehassi.
41:003:026:0  Kahchu aghaghatai metselihi ataniiya ate, kalichu tezi yanile ate, atu oowotoehassi.
41:003:027:0  Atuline kweyali iyua aoontye teze natsutti kwa, yenatunne yatatulelu, hatse tahyaghesklu teze natsutti; atezon ya kwa yaghonile iyu aoontye.
41:003:028:0  Kwa hli anaghaisilon, Atgke metselihi kooya oochatoolelassi tane uskyege, kahchu sooclia oochatilai:
41:003:029:0  Ahwole ayi ketselioo atii Menejitti Oochu atu ihlaotateoo ayehi kha, ahwole seghaai ayehi nioonizutti oonchatalilii:
41:003:030:0  Ayighoo ayeliti, Ayehi aghaghatai metse lihi.
41:003:031:0  Kahchu mekye chu ma chu iiti otsighatestyetl, kahchu tsehtsi nazutooh, kilati, kiyinkhaooti.
41:003:032:0  Kahchu tane natlone yaka tghanatihtsi, tooweh chu kiyehti, Nea, noo chu nehtghizinne  tsehtsi naghatehya ninkhaghanata.
41:003:033:0  Kahchu ateyatetla, toowehchu yehti, Mea anne eli, setghezinne koole ?
41:003:034:0  Kahchu khlonkanatgha ayi yaka khlontyetsi, kahchu toowela yehti, Ahi anne chu sehtghezoon chu!
41:003:035:0  Atunne zon kooh ghawoteassi ayi Nagha Tgha indi, ayi akye chu, ustye chu, unne chu.
41:004:000:1  Tghachyestla tinti.
41:004:001:0  KAHCHU tyigha tane ootatech tu cliok tgha^ mweh : kahchu natlone yinkliadesha, kahcliu tachin ela ehkyiya, kahchu tu chok tih ali; kahchu atghe tane natlone tike wohzon.
41:004:002:0  Kahchu yachioteh ooli nation yughotyeh, kahchu toowe ehti otsiootihi,
41:004:003:0  Oochu atahtsuk; Oochu hadesha otles alibi tane anibyihi niyilihi gha :
41:004:004:0  Kahchu intyizon achunihyehti, tahkine yainkbyi tinkuzze, kahchu chua etye yaghatehtyetllon.
41:004:005:0  Kahchu tahke nooghinklit tsyetgha, atu oonchadi tike ooliite; kahchu kwete ghanaghiyu, atu tike tatghoe :
41:004:006:0  Ahwole chelon sa niniya, maziche ninihklitlon; aha oona maghaye toontooeyi, ayi ihe taihtsutii.
41:004:007:0  Kahchu tahke nooghinklit ghoos chine chok tgha; kahchu ghoos chine chok ghanaghiyn, kahchu klighatanityetllon, kahchu atuli machiche oolilon.
41:004:008:0  Kahchu achu nooghinklitlon tike oochu ti, kahchu machiche ooghilyelon ghanaghiyu yu kahchu tainyezho; kahchu yahlonihyu tahke taoketyi tahke chu edzetaiti ketyi, tahke chu keoneti ketyi.
41:004:009:0  Koohchu yehti, Yaghi matsaghe ooli, inkai ootootsuke yehti.
41:004:010:0  Kootoo ehlatye ayi yehkatyehehi yaghi ehu keneti onketi matgha tawotya yehti kawotzutne gha.
41:004:011:0  Kahchu toowela ooli yehti, Naghunni aghaoochuneoh aoontye atawohtihigha tyewotye hai koosti Eagha Tgha kyeyi: ahwole ayine tsehtsi natihne, atghe ooli keowaahch yehe aehatih:
41:004:012:0  Wai oochui, kahchu atu hlyenahotihi gha; kahchu ooghatitsukooh ooghatootsukassi Ion, kahchu atu klagliatootsukassilon; koohchu oolita ghooghanetyela, koometselihi kooya oone oochatulel akhe.
41:004:013:0  Kahchu toowela ooli yehti, Tiyeghakehe atawahtiha ooli kehe yaghaghahtai kehe ? koohchu yeghateh atawahtiha atghe otech ?
41:004:014:0  Oonehyene oonehyeh sa.
41:004:015:0  Kahchu aghatane tinkuzze tatihne sa chunihyehti; ahwole kootoo ooghatitsukassi kooh ghaghatai metseii kwete otsidesha; kahcliu yazake yuhniyatiooh yadzye ta otsi.
41:004:016:0  Kahchu aghatane chunihye ine tsye tgha; kootoo sa ooghatitsuk, kwete neooatiooh soochanetye ;
41:004:017:0  Kahchu atu ghai ighutaklilon aghatane hahte, kwa tiootsi zon ghaghatalon, ootlwe kootoo sookhaootaya kootoo hlachatatane niwoya sa tachi, kwete chahte intighatesah.
41:004:018:0  Kahchu aghatane ayi yachunihyene ghoos clok chine tgha; ayi sa ooghatitsuk,
41:004:019:0  Kooh tidi tike indi, kahchu ixiilie atsunnetalie yu mihe tatintlon yu, kahchu machachintye achu ooli kwenachaghila otcho ooli sa, kahchu atu machiche ooli.
41:004:020:0  Kahchu ayi mehoochunihyehe tike oochute ; ayi ootitsukne sa, kahchu niooatioone, kahchu machiche ooli, tahke taoketyi enetyi, tahke chu edzetaitiketyi, tahke chu keonetiketyi.
41:004:021:0  Kahchu toowela yehti, Nachila takooche nichualli gliotwetghulle yue take ustyi koole ? koohchu atu nichiooite takoochechine ?
41:004:022:0  Agha atuli nachunehi atu mewotuti; kahchu atuli tanetcha maghuchata iyu aoontye, ahwole atachuteassi.
41:004:023:0  Koole matsaghe oolyetane, inkai ootootsukassi.
41:004:024:0  Kahchu toowela ooli yehti, Tyeke ayi ootahtsukki: ayi ihe tikeghaklyeli, ayieh nagha tsi tiketsalelassi: kahchu naghai ootaghahtsukki, ootehchi nahachuallassi.
41:004:025:0  Yaghi ayehi, machuallassi: kahchu yaghi atu ayehi, mehwayachutallassi koole ayi ayehi.
41:004:026:0  Kahchu toowela ooli yehti, Koohla ootye oontye Nagha Tgha kyeyi, hletye teze oocliunehyehti oodihyitl keoontye;
41:004:027:0  Kahchu satyi, kahchu niiya hatleke chu dzine chu, kahchu achunehyehti ghanaghihu, atu ataoti aoontye sikooh.
41:004:028:0  Ghoo yaghi tike atai hahte otsi ghanaghihu; hatse kloke eli, kahchu hachaghinaghiyu, kalichu otlweh otles.
41:004:029:0  Kahchu yaghi chiche ghanaghihuta, kwete atataz, khoo clietazze dzine eli.
41:004:030:0  Towehchu yehtilon, Tyechi otsi glia Kagha Tgha kehchi niwowotal aoontye manatake ? koole hletyi indi nighaootal aoontye ?
41:004:031:0  Hleoontye oochunihyehti ehlatye yutanikluchi xnachiche, kwa nichalesta oonahyehe tike, eyi zon natsutli anetye oochu ihyehe tike till:
41:004:032:0  Kwa aochelesta, oochu nichulesta ayi  zon otehclii yaincha anetye nichulihchassi, kahchu matatse nation; kahchu ayiti chua yayue sacha iyue tehtsi.
41:004:033:0  Kahchu ayi etye akyehchi oocliatihi ihe ehyatatilon, ghanawesittih oohasoohtsoo glia.
41:004:034:0  Ahwole atu ya-i-ti-tyes ate atu yachiwotyehlon : kahchu sahta aghatinta, yaotatichne atghe yatatilon.
41:004:035:0  Kahchu ayi dzinee, kahkachi aocha, toowehchu yehti, Onka nataghokye taityechi.
41:004:036:0  Kahchu yite kitehalon tane natlone, nighatila aoontye sikooh. Kahchu kooyeh testyetlon tachin ela ihe.
41:004:037:0  Kahchu intsi chok niya, kahchu tuyune nachalon tachin ela kooyeghe tiketlalon, kwa hlilon tadesmanooh.
41:004:038:0  Ahwole atai haistla atii, satyi tsiatakyeh : kahchu tsikiyaniha, toowehchu kiyehti, Metihi, atu aghaititawoala tghataoozitassi ?
41:004:039:0  Kahchu niiya, kahchu intsi tsiwoti, toowehchu yehti tu chok, Tyeke tahtsi. Kahcku intsi atyehzut, kahcku ohtye tyesghutl.
41:004:040:0  Kahcku toowela ooli yehti, Yehoogha onenatyetl aoontye ? yehoogha atu a kootahti aoontye ?
41:004:041:0  Kahchu ohtye onighanintyetl, kahcku toowela klaghatati, Ye teze alontye koole intsi ateate chu tu chok yuzehtso ?
41:005:000:1  Tgliachyestla hlahcheti.
41:005:001:0  Kahchu nighatiooh taityechi chisinchitu chok, kootike tsi Gadarene matike.
41:005:002:0  Kwa kootoo tasaya ela ehkye otsi, kwete yatitityesha ehlatye teze natine kwa otsi ayehi yaghatai atu mayis natsutooh,
41:005:003:0  Makwa ooli natine tgha; kahchu atuline yatalinatsut iyu aoontye ihe ayii ihe atu tah taghatsakluh iyu aoontye, atu satsoone klule aghoo ihe taghachakluhassi:
41:005:004:0  Tewotye oontlon tahtsughesklu mihe klule ihe kahchu satsoone klule ihe, kahchu satsoone klule yatayaghechil, kahchu makye chine klule oochu yatayaghechil: kahchu atuline oochu ayilih iyuntyeh.
41:005:005:0  Kahchu inkaa hatleketahwoyu clzinetahwoyu, ali khis tah, natine tgha woyu, otyesta, kahchu atakhai tatazo tsye ihe.
41:005:006:0  Ahwole tontye tsi ghotsi Jesus ya-i, otsitehtla yatsi nachustaklyeh,
41:005:007:0  Kahchu olitye otyestaT kahchu toowela ooli yehti, Tyeka kelie na-kye-o-os-tyi-cha, Jesus, nuni otehchi ooli yatehchi Nagha Tgha chue neli? Natsinioonunisit Nagha Tgha tsi? atu nidisawositi.
41:005:008:0  Atai toowela yehtie, Sachighatiya teze zi tsi, nuni atu neyis natsutti aghaghintai.
41:005:009:0  Kahchu tawotya yeliti nindizi tyeoolya yehtilon ? Kahchu toowela yehti, Legion, oohzi: nitlon ihe.
41:005:010:0  Kahchu yatsinioonunisit atu achu tsutoohigha ayiti tike otsi.
41:005:011:0  Kahchu ieti alii hwaza khis tah koohkoos nation eghihta.
41:005:012:0  Kahchu atghe aghaghatai metselihi yatsinioonunisit, toowehchu yehti, ghotsiaghatiha koohkoos natyehti, koohkoos zi toontyelikha.
41:005:013:0  Kahchu kwete Jesus gliatyeh yasehla. Kahchu naghaghatai atu mayis natsutti ghaghatestyetl, kahchu koohkoos zi tintyetl: kahchu koohkoos ohtye kyehodihsut ichulti tu chok tghamweh, (oolitah onkye keoneti keoneti;) kootoo chu etye tukooghiwolon.
41:005:014:0  Yaghaine koohkoos zaaliine taghatestyetl kooghohwati nito kwa atyih kahchu ayiti tike. Kahchu otsighatestyetl ayi ye keochaahch aoontye.
41:005:015:0  Kalicliu Jesus kiyunintyetl, kahchu kiya-i ayi tane atsinde metselihi ayehi, kahchu kootoo ayehii ligiona, sata, kahchu natunne tasata, kahchu tyeswe incli alii: kooh onighanityetl.
41:005:016:0  Kahchu yaghine oohwa-i ine kitati oontye sikooh ayi tane atsinde metselihi ayehi, kahchu koohkoos ihe.
41:005:017:0  Kahchu tyikichi niooghaghananintyetl achutooyigha kootike otsi.
41:005:018:0  Kootoo tachin ela ehkyiya, yaghi ayehii tane atsinde metselihi yachinioonunisit yehtootyeli gha.
41:005:019:0  Atu ghate yasehla Jesus, ahwole toowela ooli yehti, Ootinta niootinoo khadiya, oochu kootinti ooli Ghakaoozutti nakeoahchi, kahchu noohchuya.
41:005:020:0  Kahchu achutyesha, kahchu khootaootyeh Decapolis yechatgheze Jesus oochu nanakeochaahch : koohchu aitye tane khaooghali.
41:005:021:0  Kootoo Jesus natyeski tachin ela ihe taityechi, natlone tane yachitesfcyetl: kahchu hwa tuchok alii.
41:005:022:0  Nea koohzon ehlaiti yinkhatyesha kakaoozutti tyetacliatlihi kwa, Jairus ooyi; kootoo ya-ichi, nakye kuchi naitsut,
41:005:023:0  Kahchu ohtye koonoo yachinioonunisit, toowehchu yehti, Setue tyele satyi koola tehtsutooh: nachinoonunisit, samakataootihi, naghaootai gha; koohzon hanalaite ootesi.
41:005:024:0  Kali elm Jesus yehkatich, kahehu natlone tane yakehtestyetl, kahehu kikyeoohsut.
41:005:025:0  Kahehu ehlaiti tsege, yaghi keneti onketi matgha yaskehe matulle natatyehizon,
41:005:026:0  Kahehu natlone ooli yakeoohchi nation yutane, kahehu yaghatestla ayi oontyei, atuli akelie naghiteyo oontye, atatihe tati,
41:005:027:0  Kootoo Jesus otsi ootitsukoo nooja otsi, keistla otsi yatsityesha ootaneghutl ihe, kahehu yakestue katehtich.
41:005:028:0  Atune toowela ehtie, Manatunne zon aghoo katyestich ate, oochu awostyeassi.
41:005:029:0  Kahehu kwete otsi tul natatyehti sakoon; kahehu atyetastyiht mazi tsi nachagihta ayi tatihi tsi.
41:005:030:0  Kahehu Jesus kwete ataotihoo mehnatsutsutti mazi tsi hatsatooh, natunesha tanetiche, kahehu ehti, Mea ali senatunne katehtichlon ?
41:005:031:0  Kahehu yaotatichne toowela yehti, Natlone tane ghii tanighatlu, kooh tinti, Mea sekahtihtich ?
41:005:032:0  Kahehu klokanatgha yui gha ayi ooli keoachine.
41:005:033:0  Kahehu tsege ooniya kahehu ghati ihe, ataootioo ooli maachahi matsun tsihi, yuhchi yachi yuenenitooh, kahehu yatati aitye hlonchati.
41:005:034:0  Kahehu toowela ooli yehti, Ghutue aha koodinti nanaghinta-iih; taichi tyege inditiah, kechutintih natatihe ihe.
41:005:035:0  Intyizon kwaka ootatyichoo, yachidesha ma kwa otsi yaghi yakaoozntti tyetachatlihi kwa tahkine atine, Netue telitsut: Yehoo gha melichintahclia otehchi Metihi ?
41:005:036:0  Kwete Jesus sa ootitsukoo, toowela yehti ayi kakaoozutti tane tyetachatlihi kwa, Atu ooniooya, aka koodinti zon.
41:005:037:0  Kahchu atuline hateh gha selila ooline yekehtooyi, Peter zon, kaliehu James, John chu mekye James.
41:005:038:0  Kahchu khooniyalon kakaoozutti kwa, kahchu wa-i oontlon tsi oochataahoo, yaghi chu atsukki kahchu ohtye atsukki.
41:005:039:0  Kootoo kwiya toowela ooli yehti, Yehoo gha oontlonchi ootahah aoontye, kahchu ahtsuko-oyu ? ataze atu telitsut, ah wale satyih.
