6:7:001:1	Éíkan ádił asiih
6:7:017:0	Áko Júdah dine'é niyiizh'eezh áádóó Zíírah ba'áłchíní néidiinil , áko Zíírah ba'áłchíní bitahdóó diné t'ááłá'í nítínígo niyiizh'eezh , áko Zábdai néidiiłtį́ .
6:7:018:0	Áko Jáshowa éí Zíírah bighandóóígíí diné t'ááłá'í nítínígo niyiizh'eezh índa Éíkan éí Kármii biye' éí Zábdai biye' éí Zíírah biye' éí Júdah dine'é jílį́įgo néidiiłtį́ .
6:7:019:0	Áko Jáshowa éí Éíkan áyidííniid , Shiye' nílíinii , Ízrel biBóhólníihii Diyin God baa ha'niihgo éí bich'į' ádaa hodíílnih . T'áadoo shits'ąą naníł'iní ; íínít'įįdígíí k'ad bee shił hólne' .
6:7:020:0	Áko Éíkan éí Jáshowa ánéidoo'niidgo ání , T'áá aaníí Ízrel dine'é biBóhólníihii Diyin God bich'į' ádił asésiih , áko díigi íít'įįd .
6:7:021:0	Jériko dine'é bindaalye'é bitahgi éénééz ayóó ánóolninii Bábilandę́'ígíí áádóó béésh łigaii naakidi neeznádiin shékel wolyéhígíí bíighahgo , índa óola éí shékel ashdladiin dah hidídlo' bíighahgo yiiłtsą́ągo bidáníshnihgo t'óó nídiinil . Jó , shiníbaal biyi' góne' łeeyi'di béésh łigaii atł'áahdi sinilgo nídees'į́į́' .
6:7:022:0	Ákohgo Jáshowa éí nidaal'a'í dah dazhdiił'a'go níbaal si'ánígóó níjéé' ; nít'éé' haníbaal biyi' góne' béésh łigaii atł'áahdi sinilgo nídees'į́į́' lá .
6:7:023:0	Áko níbaal biyi'dóó ch'ídeizhjaa' áádóó Jáshowa índa Ízrel dine'é t'áá ałtso bich'į' nidajiizhjaa'go Bóhólníihii binááł ni' nidadziiznil .
6:7:024:0	Áko Jáshowa áádóó Ízrel dine'é t'áá ałtso bił Zíírah binálí Éíkan éí béésh łigaii áádóó éénééz , óolada , haye'kéda , hatsi'kéda , habéégashii áádóó hatélii índa hadibéda , áádóó haníbaal , índa hanaalye'é t'áá ałtso nídeidiinilgo yíldzis Éíkor hoolyéhígi áłah ádayiilaa .
6:7:025:0	Áko Jáshowa ádííniid , Ha'át'éegoshą' nihik'ijį' hwííníłchįįd ? Díí jį́ Bóhólníihii nik'ijį' hodoołchįįł . Áko Ízrel dine'é t'áá ałtso tsé yee hoł nidadzisne' , áko tsé yee hoł nidadziyiisne'dóó bik'ijį' adahodiyiisk'ą́ą́' .
6:7:026:0	Áko éí tsé ayóó át'éego hak'i yáádayiitsigo díí jį́į́góó ákót'é . Índa Bóhólníihii t'óó báhádzidgo báháchį'í łahgo ánáyiidlaa . Éí bąą díí jį́įjį' éí haz'ą́ągi yíldzisii Éíkor hoosye' .
