6:8:001:1	Éí'ai kin haal'áii yisnáago ábi'disdįįd
6:8:015:0	Áko Jáshowa áádóó Ízrel dine'é t'áá ałtso hak'eh hodeesdlį́į́' ádahozhdil'į́įgo dabinááł nídazhdíníchéehgo honoojíijigo ajííjéé' .
6:8:016:0	Ákohgo kin haal'áá góne' diné kéédahat'ínígíí t'áá ałtso hágo bidoo'niidgo hakéé' dah diijéé' , áko Jáshowa yikéé' ííjée'go kin haal'áádóó nízaadgóó yits'áníjéé' .
6:8:017:0	Éí' ai kin haal'áagi áádóó Béthel kin shijaa'ígi doo nidaagháhí da ; éí t'áá ałtso Ízrel dine'é yikéé' ííjéé' , áko kin haal'áhígíí t'áá ąą át'éego ádayiilaago Ízrel dine'é yikéé' ííjéé' .
6:8:018:0	Ákohgo Bóhólníihii éí Jáshowa áyidííniid , Tsiidétáán dah yítį́łígíí Éí' ai kin haal'áii bich'į'go bił dah didiilnííh , háálá éí nílák'ee dideesh'ááł áádóó Jáshowa éí tsiidétáán neitinígíí kin haal'áhígíí yich'į'go yił dah didiilnii' .
6:8:019:0	Áko aa héeshjée'go naháaztánídóó tsį́įłgo nídiijéé' . Jáshowa t'áá dah didiilnii'góó t'áá áko dah diijée'go kin haal'áá góne' ííjéé' áádóó éí deisnáago kin haal'áhígíí tsį́įłgo yiih dahodeeznil .
6:8:020:0	Ákohgo Éí'ai dine'é t'ą́ą́' nídadéét'į́į́' nít'éé' ; jó , kin haal'áhídóó łid yá biyi' góde hááyá , áko t'áá háajigoda dah didoojahígi doo bíighah da silį́į́' , háálá Ízrel dine'é honoojíígóó danéechéhígíí hach'į' t'ą́ą́' naanázhjéé' .
6:8:021:0	Áko Jáshowa áádóó Ízrel dine'é t'áá ałtso éí aa nidahaaskaígíí kin haal'áii deisnáago łid hááyáhígíí dayiiłtsą́ągo Éí'ai dine'é yich'į' t'ą́ą́' naanázhjée'go nideistseed .
6:8:022:0	Áko Ízrel dine'é ła'ígíí kin haal'áhídóó éí yich'į' ch'íníjéé' , ákohgo Éí'ai dine'é éí Ízrel dine'é bita'gi tsístł'aaskai , áko Ízrel dine'é ałts'ą́ą́hjí niníjée'go ałtso nidahastseed ; łá'í nidi doo ła' joodzíi' da , índa doo ła' yisdájííyáhí da .
6:8:023:0	Nidi Éí'ai dine'é aláahgo binanit'a'í nilíinii deisnáago Jáshowa yaa deizlóóz .
6:8:024:0	Áádóó ákódzaago Ízrel dine'é éí Éí'aigi kéédahat'íinii honoojíígóó hakéé' yóó'ííjé'ígíí t'áá ałtso nideistseedgo Éí'ai dine'é ts'ídá ałtso diltłish yee dayííghą́ą́' , áko Ízrel dine'é éí t'áá ałtso Éí'aijį' t'ą́ą́' nákai ; áadi ałdó' diltłish yee nideistseed .
6:8:025:0	Áko éí bijį́ diné áádóó asdzání danilíinii t'áá ałtso daneeznánígíí naakits'áadahdi mííl ánéelą́ą́' lá ; éí t'áá ałtso Éí'ai dine'é danilį́į́ nít'éé' .
6:8:026:0	Háálá Jáshowa éí t'áadoo t'ą́ą́' anídílníhí tsiidétáán t'áá yił dah doolnihgo Éí'aigi kéédahat'íinii ałtso ádeisdįįdjį' yił dah doolnih nít'éé' .
6:8:027:0	T'áá hazhó'ó éí kin haal'áhídóó dabilį́į́' áádóó bindaalye'é éí Ízrel dine'é dayoosbą́ągo t'áá bí ádá nídeidii'nil ; Bóhólníihii bizaad k'ehgo Jáshowa yich' į' yee haadzíi'ii ádayiilaa .
6:8:028:0	Áko Jáshowa éí Éí'ai kin haal'áhígíí iidííłk'ą́ą́' áádóó éí hool'áágóó ałk'i yanáa'áago yíchxǫ'go éí díísh jį́į́góó ákót'é .
6:8:002:1	Dził Ííbal si'ánídi bee haz'áanii bee ak'e'ashchį́
6:8:029:0	Áádóó Éí'ai dine'é aláahgo binanit'a'í yę́ę tsin bąąh dah hizhdiilo'go t'áá yąąh dahidíłtį́įgo i'íí'ą́ , áko jį́honaa'éí ííyáago Jáshowa áníinii bik'ehgo éí aláahgo naat'áanii bits'íís éí tsin bąąhdę́ę́' nida'iidiiłtį́įgo kin haal'áhígíí bich'é'étiinjį' adayiisxan áádóó ayóó át'éego tsé éí yik'i yáádayiitsi ; éí díí jį́įjį' ákót'é .
6:8:030:0	Áko Jáshowa éí Ízrel dine'é biBóhólníihii Diyin God bá Dził Ííbal si'ánídi bikáá' náá'iiniihí ájiilaa .
6:8:031:0	Mózes éí Bóhólníihii yá naal'a'í nilíinii Ízrel dine'é yich'į' yee haadzíí' yę́ęgi át'éego í'jiilaa ; t'áá Mózes bibee haz'áanii biyi' naaltsoos bik'e'ashchínígi át'éego tsé hadaałt'éii diné doo ła' béésh yee néidííłne'ii bee bikáá' náá'iiniihí ájiilaago bikáa'gi didlidgo náádahaniihii éí Bóhólníihii bich'į' náádajiiłniih nít'éé' , índa hózhǫ́ǫ́jí nááhániihii ałdó' náádadziisnii' .
6:8:032:0	Áko ákwii Mózes bibee haz'áanii tsé bikáa'gi bee ak'e'jishchį́ ; éí Ízrel dine'é dabinááł bee ak'e'ashchį́įgo ájiilaa .
6:8:033:0	Áko Ízrel dine'é t'áá ałtso áádóó éí aląąjį' naazíinii áádóó naat'áanii danilíinii índa bi'ándahwii'aahii éí Líívai dine'é nááda'iiłniihii danilínígíí Bóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii deí'aahígíí ałnaashiijí naazį́ ; éí dé'éyóní danilíinii , Ízrel dine'é t'áá bił ałníí'dóó Dził Gérazim bitsį́į́dóó naazį́ , índa náá'áłníí'dóó éí Dził Ííbal bitsį́į́dóó nináádaasdzį́ ; t'áá Mózes éí Bóhólníihii yá naal'a'í nilíinii yich'į' yee haadzíi'ii bik'ehgo éí Ízrel dine'é danilíinii yik'idajidlíi doo .
6:8:034:0	Íídą́ą́' Jáshowa éí bee haz'áanii bits'ą́ą́dóó saadígíí t'áá ałtso jííłta' ; bee ak'ihojidlí áádóó hóyée'go á ha'iidziih bik'ehgo éí t'áá ałtso naaltsoos bii' bee haz'áanii bee ak'e'ashchį́ .
6:8:035:0	Mózes saad yee haadzíi'ii t'áadoo doodaí t'áá át'é Ízrel dine'é áłah nilínígíí t'áá ałtso binááł Jáshowa saad jííłta' ; éí asdzánída áádóó á łchíní t'áá ádaałts'íísíjį' índa dé'éyóní danilíinii hatahgóó kéédahat'ínígíí da'íists'ą́ą́' nít'éé' .
