6:24:001:1	Jáshowa hágoónee' níigo haadzíí'
6:24:013:0	Áko kéyah nihaa diní'ánígíí doo bik'é nidashoołnish da , áádóó kin hadaas'áii éí doo nihí ádaahłaagóó bii' kéédahoht'į́ , índa dá'ák'ehgi ch'il na'atł'o'ii áádóó áliv naazkaadii bineest'ą' hólóonii doo t'áá nihí k'idasidooláágóó daahsą́ .
6:24:014:0	Éí bąą k'ad Bóhólníihii dadíínóhsin , áádóó ts'ídá t'áádóo nídí índa t'áá aaníígóó ádaaht'į́įgo bá nidaał'a' , áko tooh nílínígíí wónaanídi áádóó Ííjip kéyahdi diyin dabidi'níinii éí danihizhé'é yę́ę deidísin nít'é'ígíí nahjį' kódaahłééh , áádóó Bóhólníihii t'éí bá nidaał'a' .
6:24:015:0	Ákondi Bóhólníihii bá nidaał'a' dooígíí nihił t'óó badaa'ihgo , díí jį́ háidíígíí bá nidaał'a' dooleełígíí nidadinoh'aah ; tooh nílínígíí wónaanídi diyin dabidi'níinii danihizhé'é yę́ę deidísin nít'é'ígíí daats'í , doodaii' Ámor dine'é bikéyah bii' kéédahoht'ínígíí bidiyin dabidi'níinii daats'í , nidi shí éí índa shighandóó danilíinii bił Bóhólníihii bá nideiil'a' dooleeł .
6:24:016:0	Áko diné ánáádadoo'niid , Dooda lą́ą , Bóhólníihii doo t'áá k'ad yóó'adadeet'ą́ą́góó diyin dabidi'níinii doo bá nidadiil'aał da .
6:24:017:0	Háálá Bóhólníihii nihiDiyin God t'áá bí t'éiyá nihí índa danihizhé'é yę́ę Ííjip kéyahdóó naalte' dajílį́įgo haz'ą́ą́dóó hoł ch'ínihiní'eezh , áádóó éí bee ééhózinii ayóó ádaat'éii nihinááł áyiilaa , áádóó t'áá ałtsogóó tádadii'nánígóó índa diné t'áá ałtso bitahgóó ch'ídahii'ná yę́ędą́ą́' Bí nihaa áhályą́ą́ nít'éé' ,
6:24:018:0	áko Bóhólníihii éí nihilą́ąjį' ana'í ałtso baa ch'íheezhjéé' ; éí Ámor dine'é danilį́įgo kéyah yii' kéédahat'į́į́ nít'éé' ; éí bąą nihí ałdó' Bóhólníihii bá nideiil'a' dooleeł , háálá Bí nihiDiyin God nilį́ .
6:24:019:0	Nidi Jáshowa éí diné áyidííniid , T'áá nihí doo Bóhólníihii bá nidaał'a' le' át'ée da , háálá Diyin God ts'ídá diyinii nilį́ ; éí Diyin God łe'nízinii nilį́ ; bee haz'áanii dahohtíihgo , doodaii' ádił da'íínółzíihgo éí doo nihá yóó'iididoo'áał da .
6:24:020:0	Bóhólníihii yóó'anídadoh'áahgo diyin bidi'níinii doo béédahózinii dadíínóhsin ládą́ą́' , ákohgo nihik'ijį' dooleeł , áádóó atínihił'į́įgo nanihídoołdįįł ; yá'át'éhígi ánihiilaadóó bik'ijį' ánihidoołdįįł .
6:24:021:0	Áko diné danilíinii éí Jáshowa ádeidííniid , Dooda , nidi Bóhólníihii bá nideiil'a' dooleeł .
6:24:022:0	Áko Jáshowa éí diné áyidííniid , T'áá nihí oo'íinii ádá danohłį́įgo Bóhólníihii nidasidoo'ą́ągo bá nidaał'a' doo . Áádóó éí ádadííniid , T'áá nihí oo'íinii ádá daniidlį́ .
6:24:023:0	Áko ábizhdííniid , Éí bąą k'ad eda'alyaii nihitahgóó hólónígíí nahgóó kódaahłééh , áádóó nihijéí éí Ízrel dine'é biBóhólníihii Diyin God baa dinoh'aah .
6:24:024:0	Áádóó diné éí Jáshowa ádeidííniid , Bóhólníihii nihiDiyin God bá nideiil'a' doo , áádóó áníinii bik'eh dahoniil'į́į doo .
6:24:025:0	Áko Jáshowa éí bee aha'deet'áanii ádajiilaa bijį́ yee nihoní'áanii índa bik'eh hoogáałii diné baa dadzisįįdgo Shííkem kin haal'áagi bá ákójiilaa .
6:24:026:0	Áko Jáshowa ak'e'jishchį́įgo díí saadígíí t'áá át'é naaltsoos bikáá' ájiilaaígíí Diyin God bibee haz'áanii át'é , áádóó tsé ayóo da'át'éé léi' néidii'ą́ągo chéch'iltsoh biyaagi Bóhólníihii bihodiyingo haz'ą́ągi ayíítsih .
6:24:027:0	Áádóó Jáshowa éí diné t'áá ałtso ábizhdííniid , Jó , díí tsé nihich'į' bee ééhózinii át'ée dooleeł , háálá adiizts'ą́ą'ii át'éego éí Bóhólníihii bizaad t'áá át'é nihich'į' yee hahaasdzíí' ; éí bąą éí nihich'į' bee ééhózinii át'ée dooleeł , áko nihiDiyin God doo danohsingóó ákót'ée doo .
6:24:002:1	Jáshowa áádóó Eliyéízar neezná
6:24:028:0	Ákohgo Jáshowa éí diné béé'jiisnii'go t'ááłá'í nítínígo kéyah bíí' dadooleełgóó anáhaaskai .
6:24:029:0	Díí kódahoodzaadóó bik'ijį' Nan biye' Jáshowa Bóhólníihii yá naal'a'í nilíinii daaztsą́ ; neeznádiindóó ba'aan neeznáá binááhai nít'éé' .
6:24:030:0	Áko yóó'ádahojiilaa ; t'áá hó hakéyah biyi' Tímnath-síírah kin shijaa'gi Dził Íífreiyim nahós'a'gi áhoolyé ; Géíyash dah yisk'idígíí náhookǫsjí haz'ą́ .
6:24:031:0	Áko Ízrel dine'é éí Bóhólníihii yá nidaal'a'go Jáshowa bíiníłką́ , áádóó aląąjį' naazíinii bídeiníłkánígíí éí Jáshowa bilááh ánízáágóó dahináá nít'éé' áádóó Bóhólníihii yaa naayáhígíí át'éegi t'áá ałtso bił béédahózin nít'éé' ; Ízrel dine'é éí ayóó ádaat'éii yá yaa naayá .
6:24:032:0	Áádóó Jóseph bits'in Ízrel dine'é danilíinii Ííjip kéyahdę́ę́' deizhjaa'ígíí ałdó' Shííkem kin haal'áagi yóó'ádayiilaa ; éí Shííkem bizhé'é Héímor wolyéii biye'ké éí kéyah haz'ą́ągi béésh łigaii neeznádiin bíighahgo Jéíkab nahwiisnii' yę́ęgi yóó'ádahoolaa ; éí kéyah Jóseph ba'áłchíní náás ahoolchíiłii bíí' daazlį́į́' .
6:24:033:0	Áádóó Éran biye' Eliyéízar daaztsą́ , áádóó haye' Fíniyas éí dah yisk'idgo baa hodeet'ánígi Dził Íífreiyim dah yisk'idígi yóó'ádahojiilaa .
