6:22:001:1	Jórdan tooh nílíní bibąąhgi bikáá' náá'iiniihí ályaa
6:22:023:0	jó , bikáá' náá'iiniihí ádeiilyaago Bóhólníihii bikéé' deíníikáahii bits'áhaakaigo , doodaii' bikáa'jį' didlidgo náádahaniihii , doodaii' ak'áán náádahaniihii , doodaii' hózhǫ́ǫ́jí náádahaniihii náádahiilnii'go bíni'dii Bóhólníihii t'áá bí k'éénihidódle' .
6:22:024:0	Nidi díí bik'ee nihił daayée'go biniinaa ákódeiidzaago ádadii'ní , Háadida náasdi nihí aají nihada'áłchíní nihí kojí nihada'áłchíní daats'í ádeididooniił , Ízrel dine'é biBóhólníihii Diyin God hanii nihídadéét'i'go ádaaht'į́ ?
6:22:025:0	Jó , Bóhólníihii éí Jórdan tooh bee nihita'gi hoodzogo áyiilaa ; nihí Rúben dine'é áádóó Géed dine'é danohłíinii , Bóhólníihii doo nihídéét'i' da . Da'ahidi'níigo aají nihada'áłchíní éí nihí kojí nihada'áłchíní Bóhólníihii doo deidísingóó ádeidoolííł .
6:22:026:0	Éí bąą ádadii'ní , Haa'íshą' k'ad bikáá' náá'iiniihí ádadiilnííł ; éí didlidgo náádahaniihii , doodaii' náádahidoonihii doo biniyé ádadiilníił da ,
6:22:027:0	nidi nihita'gi áádóó niha'áłchíní náás da'ahílchíihii bita'gi bee ééhózinii át'ée doo , áko Bóhólníihii bich'į' nidahwiidláago Bí hólǫ́ǫgi didlidgo nihinááhániihii áádóó nihinááda'iiniihii índa hózhǫ́ǫ́jí nihináádahaniihii bich'į' náádahiilniih doo , áko nihí aají nihada'áłchíní éí nihí kojí nihada'áłchíní náasdi doo ádeididoo'niił da , Aají nihí Bóhólníihii doo nihídéét'i' da .
6:22:028:0	Áádóó kódeiniidzį́į́' , Náasdi ákónihi'doo'niidgo , doodaii' nihada'áłchíní ákódabi'doo'niidgo , kódadidii'niił , Shoo , Bóhólníihii bibikáá' náá'iiniihí béé'ályaaii éí danihizhé'é yę́ę ádayiilaa ; éí didlidgo náádahaniihii índa náádahidoonihii doo yiniyé ádayiilaa da , nidi éí nihita'gi bee ééhózinii biniyé át'é .
6:22:029:0	Dooda lą́ą ! Bóhólníihii doo bich'į' nideiilteeh da , áádóó Bóhólníihii bikéé' deíníikáhígíí doo bits'ádiikah da ; éí bikáá' náá'iiniihí ádeiilyaago , bikáa'jį' didlidgo náádahaniihii , doodaii' ak'áán náádahaniihii , doodaii' náádahidoonihii náádahiilnii'go , Bóhólníihii nihiDiyin God bibikáá' náá'iiniihí , éí biníbaal bii' hodílzinii bidáahgi si'ánígíí t'ah biláhídi át'éii ts'ídá doo ádeiil'į́į da .
6:22:030:0	Áko náá'iiłniihii Fíniyas índa áłah ílínídóó bídahólníihii Ízrel dine'é mííl daalt'éego yiląąjį' naazíinii hoł naakaígíí saad deidiizts'ą́ą'go , éí Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é hadaasdzí'ígíí bił yá'ádaat'ééh .
6:22:031:0	Áádóó náá'iiłniihii Eliyéízar biye' Fíniyas éí Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é danilíinii áyidííniid , Díí jį́ Bóhólníihii nihitahgi hólǫ́ǫgo nihił béédahózin ; jó , kót'éego Bóhólníihii bich'į' t'áadoo doo ákǫ́ǫ́ ádaot'įįd da lá , áko k'ad Ízrel dine'é éí Bóhólníihii yee atí'éł'íinii bits'ą́ąjį' yisdádasoonil .
6:22:032:0	Áko náá'iiłniihii Eliyéízar biye' Fíniyas áádóó bídahólníhígíí éí Rúben dine'é áádóó Géed dine'é yits'ą́ą́dę́ę́' nákai ; Gíliyad kéyahdóó Kéínan kéyahgóó Ízrel dine'é bich'į' t'ą́ą́' níjíkaigo hane' baa nídadziz'ą́ .
6:22:033:0	Áko hane'ígíí Ízrel dine'é yaa bił dahóózhǫǫd , áko Ízrel dine'é éí Diyin God yaa dahaniihgo Rúben dine'é áádóó Géed dine'é kéyah yii' kéédahat'ínígíí bik'iidiijahgo ádadiildįįł doo náádadoo'niid da .
6:22:034:0	Rúben dine'é áádóó Géed dine'é éí bikáá' náá'iiniihí Ed wolyée doo , dadííniid , háálá ádaaní , Jó , éí nihita'gi díí bee ééhózin : Bóhólníihii Diyin God nilį́ .
