6:10:001:1	Ámor dine'é bik'eh hodeesdlį́į́'
6:10:011:0	Áko Ízrel dine'é bits'ąą Ámor dine'é yóó'aheezhjée'go Beth-hóran kin shijaa' góyaa dayíjeehgo Bóhólníihii éí wódahdę́ę́' yik'ijį' nílótsoh Azííkah kin shijaa'jį' ayóó át'éego nayííłtą́ągo nidahastseed ; Ízrel dine'é danilíinii diltłish yee nidahastseedígíí biláahdi át'éego nílótsoh yee nahwésdįįd .
6:10:012:0	Áko Bóhólníihii éí Ámor dine'é danilíinii Ízrel dine' é yeidiní'ą́ bijį́į́dą́ą́' Jáshowa éí Bóhólníihii yich'į' haadzíi'go Ízrel dine'é yinááł ání , Jį́honaa'éí nílíinii , niníltłáago Gíbiyan kin haal'áajį i'dííníłdíín , Índa tł'éhonaa'éí nílíinii , Éíjalan kin haal'áii honíteeljį' i'dííníłdíín .
6:10:013:0	Áádóó jį́honaa'éí t'ááłáhígi si'ą́ silį́į́' índa tł'éhonaa'éí t'áá ákwe'é si'ą́ silį́į́' ; Ízrel dine'é bi'ana'í k'éédeidiidlaajį' ákódzaa . Da' díísh doo Jáshar binaaltsoos biyi' bee ak'e'ashchį́į da ? Jį́honaa'éí yá ałníi'gi si'ą́ągo doo hah i'íí'ą́ą da nidi k'asdą́ą́' ła'a jį́ bíighah náá'ásdlį́į'go índa i'íí'ą́ .
6:10:014:0	Bóhólníihii éí diné bisodizin yidiizts'ą́'ígíí t'ah bítséedi áádóó bik'ijį' t'ah doo ákóhánéeh da nít'éé' , háálá Bóhólníihii éí Ízrel dine'é yá anaa' áhoolaa .
6:10:015:0	Ákohgo Jáshowa nádzáago Ízrel dine'é t'áá a łtso hoł naakaígíí bił Gílgalgi dah da'ínéhígóó níjíkai .
6:10:016:0	Aláahgo naat'áanii ashdlalt'éhígíí adahineezhchą́ą'go Makíídah kin haal'áadi tsé'áán góne' nídadeest'į́į́' .
6:10:017:0	Áádóó Jáshowa bee bił hóóne'go áhodoo'niid , Aláahgo naat'áanii ashdlalt'éego Makíídahdi tsé'áán góne' nídadeest'į́į'go bééhoozin .
6:10:018:0	Áádóó Jáshowa ádííniid , Tsé'áán góne' tsé ayóó ádaníłtsxooígíí bidááh dahididoołmasgo diné aa ádahalyánígíí biniyé nidadoohnił .
6:10:019:0	Nidi t'áadoo t'áá ákwii nidaahkaí ; nihida'ana'í bikéé' dohjeehgo bik'i dah shohjeeh ; t'áadoo t'óó bikin hadaas'áágóó anáhájeehí , háálá éí Bóhólníihii nihiDiyin God nihílák'ee hodíí'ą́ .
6:10:020:0	Ákódaadzaago Jáshowa áádóó Ízrel dine'é éí bida'ana'í ałtso nideistseedgo ayóó át'éego nayídeisdįįdgo t'áá ch'éékaígíí t'éí kin hadaas'áii ditą́ągo binaa ahééda'astł'iní góne' yah aheezhjéé' .
6:10:021:0	Diné t'áá ałtso hasht'ehodít'éego Makíídah kin haal'áagi dah da'ínéhígóó Jáshowa yaa nákai . Ła'í nidi t'áadoo diné ła'da Ízrel dine'é yínííká haadzí'í da .
6:10:022:0	Ákohgo Jáshowa ádííniid , Tsé'áán ąą ádaahłéehgo áádę́ę́' aláahgo naat'áanii ashdlalt'éhígíí shich'į' ninoh'éésh .
6:10:023:0	Áko ákódaadzaago tsé'áándę́ę́' aláahgo naat'áanii ashdlalt'éhígíí deiizh'eezh : éí Jerúsalemdóó aláahgo naat'áanii áádóó Hííbrandóó aláahgo naat'áanii áádóó Jármathdóó aláahgo naat'áanii áádóó Léíkishdóó aláahgo naat'áanii índa Églandóó aláahgo naat'áanii danilį́į́ nít'éé' .
6:10:024:0	Áko aláahgo naat'áanii danilíinii Jáshowa yaa deizh'eezhgo Jáshowa éí Ízrel dine'é t'áá ałtso hágo yidííniidgo , áko alą́ąjį' bídahólníihgo hoł anaa' da'ał'ínígíí ábizhdííniid , Hágo , bíighahjį' ninoohkáahgo díí aláahgo naat'áanii dabik'os bik'i dadooł'éés . Áko bíighahjį' nijíkaigo dabik'os bik'i dazdiil'eez .
6:10:025:0	Áko Jáshowa áhodííniid , T'áadoo ádił dahonołyé'í ; t'áadoo ádił nisidaahkaí ; nihidziilgo ída'díí'nółzin áádóó chánah ída'díí'nółzin , háálá Bóhólníihii éí nihi'ana'í t'áá ałtso bił da'ahohgánígíí nihá yik'eh didlį́į dooleeł .
6:10:026:0	Áádóó bik'ijį' Jáshowa éí diné atíjiilaago nidzistseed áádóó tsin ashdla'go bąąh dah hizhdiinil . Áko i'íí'ą́ąjį' tsin bąąh dahidéjée'go ájiilaa .
6:10:027:0	K' adę́ę e'e'aahgo Jáshowa hach'į' haadzíi'go bik'ehgo éí tsin bąąhdę́ę́' nidahizhdi'yiinilgo tsé'áandi nídadeest'į́'í góne' adadziistł'ííd , áádóó tsé ayóó ádaníłtsxoii bidádazdeeznil . Éí díí jį́įjį' t'ahdii t'áá ákót'é .
6:10:028:0	Áko éí bijį́ Jáshowa éí Makíídah kin haal'áii dadzisná áádóó diltłish bee ałtso nidadzistseed ; aláahgo binanit'a'í t'áá bił ádadzisdįįd , áko diné t'áá át'é ałtso nidadzistseedgo t'ááłá'í nidi t'áadoo ła' áádadzisįįd da ; t'áá Jériko kin haal'áádóó aláahgo naat'áanii ádajiilaa yę́ęgi át'éego Makíídah kin haal'áádóó aláahgo naat'áanii ałdó' ákódajiilaa .
6:10:029:0	Áko Jáshowa éí Makíídah hoolyéédę́ę́' Ízrel dine'é t'áá ałtso bił Líbna kin haal'áajį' jíkaigo Líbna kin haal'áii bik'i jiijéé'
6:10:030:0	áádóó Bóhólníihii éí Líbna dine'é áádóó aláahgo binanit'a'í Ízrel dine'é yílák'eidíí'ą́ągo atídayiilaa áádóó diltłish yee nideistseed , áko diné t'áá át'é ałtso nideistseedgo t'ááłá'í nidi t'áadoo ła' áádeisįįd da ; t'áá Jériko kin haal'áádóó aláahgo naat'áanii ádayiilaa yę́ęgi át'éego díí aláahgo naat'áanii ałdó' ákódayiilaa .
6:10:031:0	Áko Líbna kin haal'áádę́ę́' Jáshowa dah diiyáago Léíkish kin haal'áajį' Ízrel dine'é t'áá ałtso hoł yíkaigo kin haal'áii biníjíshzhiizh áádóó bik'i jiijéé' ,
6:10:032:0	áádóó Bóhólníihii éí Léíkish dine'é danilíinii Ízrel dine'é yílák'eidíí'ą́ áádóó naaki jį́ aleeh góne' éí deisnáago diltłish yee nideistseed , áko diné t'áá át'é ałtso nideistseed ; Líbna kin haal'áadi ádaadzaaígi ánáádaadzaa .
6:10:033:0	Áko Gíízer kin haal'áádóó aláahgo naat'áanii Hóram wolyéii éí Léíkish dine'é yíká adoolwołgo yiniyé níyá , áko Jáshowa éí Hóram áádóó bidine'é t'áá bił nideistseed ; t'ááłá'í nidi t'áadoo ła' áádeisįįd da .
6:10:034:0	Áko Léíkish kin haal'áádę́ę́' Jáshowa dah diiyáago Églan kin haal'áajį' Ízrel dine'é t'áá ałtso hoł yíkaigo kin haal'áii biníjíshzhiizh áádóó bik'i jiijéé' ,
6:10:035:0	áko éí bijį́į́dą́ą́' dadzisnáago diltłish bee nidadzistseed , áko éí bijį́į́dą́ą́' diné t'áá át'é ts'ídá ałtso ádadzisdįįd ; Léíkish kin haal'áagi ádadziidzaaígi ánáádajíít'įįd .
6:10:036:0	Áko Jáshowa éí Églan kin haal'áádę́ę́' dah náádiidzáago Ízrel dine'é t'áá ałtso bił Hííbran kin haal'áajį' jíkaigo éí bik'i jiijéé' ,
6:10:037:0	áádóó éí dadzisnáago aláahgo binanit'a'í áádóó bikin hadaas'áii índa ákwii diné t'áá ałtso diltłish bee nidadzistseed ; t'ááłá'í nidi t'áadoo ła' áádadzisįįd da ; Églan kin haal'áii ts'ídá ałtso ádadzisdįįdígi át'éego diné t'áá át'é ałtso ádadzisdįįd .
6:10:038:0	Ákohgo Jáshowa éí Ízrel dine'é t'áá ałtso bił Dííber kin haal'áajį' jíkaigo éí bik'i jiijéé' ,
6:10:039:0	áádóó bik'eh dazdeesdlį́į́' áádóó aláahgo binanit'a'í índa bikin hadaas'áhígíí ałtso dadzisná , áádóó diltłish bee nidadzistseed índa ákwii diné t'áá át'é ts'ídá ałtso ádadzisdįįd ; t'ááłá'í nidi t'áadoo ła' áádadzisįįd da ; Hííbran kin haal'áagi áádóó Líbna kin haal'áádóó aláahgo naat'áanii t'áá bił ádajiilaa yę́ęgi át'éego Dííber kin haal'áádóó aláahgo naat'áanii t'áá bił ákónáádajiidlaa .
6:10:040:0	Ákohgo Jáshowa éí kéyah t'áá át'éé nít'éé' ; dah daask'idígóó áádóó shádi'ááhjí kéyahígíí áádóó dadzígaigóó áádóó dziłtsį́į́góó índa aláahgo bindanit'a'í t'áá ałtso bik'eh dazdeesdlį́į́' ; t'ááłá'í nidi t'áadoo ła' áádadzisįįd da ; dahináanii nidi ts'ídá t'áá át'é ałtso ádadzisdįįd . Ízrel dine'é biBóhólníihii Diyin God ádííniidii bik'eh dahojííł'įįd .
6:10:041:0	Áko Kéídesh-barníya kin haal'áádóó Géíza kin haal'áajį' Jáshowa hadine'é bił ak'eh dazdeesdlį́į́' , índa Góshen kéyahgóó t'áá át'é ; t'áá Gíbiyan kin haal'áajį' nidi t'áá át'é ak'eh dazdeesdlį́į́' .
6:10:042:0	Áko díí aláahgo naat'áanii danilíinii áádóó bikédaayah t'ááłáhídiígíí Jáshowa bik'eh dazdeesdlį́į́' , háálá Ízrel dine'é biBóhólníihii Diyin God nilíinii Ízrel dine'é yá anaa' áhoolaa .
6:10:043:0	Ákohgo Jáshowa éí Ízrel dine'é t'áá ałtso Gílgalgi dah oonéłíjį' bił níjíkai .
