6:6:001:1	Jériko kin haal'áii bik'eh hodeesdlį́į́'
6:6:011:0	Kót'éego Bóhólníihii bitsits'aa' dílzinii éí kin haal'áhígíí t'ááłáhídi binídadziz'ą́ , índa dah oonéłíjį' níjíkaigo áadi dahwiiską́ .
6:6:012:0	Áko Jáshowa t'ah abínídą́ą́' nídii'na'go nááda'iiłniihii éí Bóhólníihii bitsits'aa' dílzinii nídeidii'ą́ .
6:6:013:0	Nááda'iiłniihii tsosts'id yilt'éego éí deenásts'aa' bidee' bee í'dílzoołí deíjáahgo Bóhólníihii bitsits'aa' dílzinii bilą́ąjį' t'ááłáhígi át'éego náásgóó yikahgo deenásts'aa' bidee' bee í'dílzoołí yee ádaaní , áko diné nidaabaahii éí bilą́ąjį' yikah áádóó akéé'dóó hada'ídíl'į́'ígíí éí Bóhólníihii bitsits'aa' dílzinii yikéé'dóó yikahgo nááda'iiłniihii náás yikahgo t'ááłáhígi át'éego adee' bee í'dílzoołí yee ádaaní .
6:6:014:0	Áko naaki jį́ aleeh góne' kin haal'áhígíí binínáádzískaigo dah oonéłíjį' t'ą́ą́' nínáájíkai . Ákódajit'į́įgo hastą́ą́h jį́ azlį́į́' .
6:6:015:0	Ákódzaago tsosts'id jį́ aleeh góne' t'óó hayííłką́ą́dą́ą́' nízhdiijéé' áádóó t'áá ádajit'į́į́ nít'éé' yę́ęgi át'éego kin haal'á tsosts'idi binínáádzískai ; t'áá hazhó'ó éí bijį́ t'éí kin haal'áhígíí tsosts'idi binídzískai .
6:6:016:0	Áko ákódadziidzaago tsosts'idi biníjíkááh góne' nááda'iiłniihii éí deenásts'aa' bidee' bee í'dílzoołí yee ádadííniidgo , Jáshowa éí diné áyidííniid , Hadadołgháásh , háálá Bóhólníihii díí kin haal'áhígíí nihaidiní'ą́ .
6:6:017:0	Díí kin haal'áhígi kéédahat'íinii índa t'áá ałtso bii' dahólónígíí t'áá bił Bóhólníihii bich'į' nideet'ą́ ; t'áá hazhó'ó Réíhab ałjiłnii nilíinii índa bighan góne' yił naháaztánígíí t'éiyá t'áá ałtso dahináa dooleeł , háálá díí asdzání éí naalchi'í adasiil'a'ígíí néidees'į́į́' .
6:6:018:0	Nidi nihí t'áadoo le'é Bóhólníihii bich'į' nideet'ánígíí ts'ídá bits'ąą ádaa ádahołyą́ą doo , éí doodaii' nídadooláago t'áá nihí hóyée'ii biih ádidoohnił índa Ízrel dine'é dah yinéłígíí ałdó' hóyée'ii biih dadoohnił áádóó bich'į' dahodiyoołnááł .
6:6:019:0	Nidi béésh łigaii áádóó óola t'áá át'é índa béésh łitsoii áádóó béésh nitł'izii bee łeets'aa' ádaalyaaígíí éí Bóhólníihii bich'į' dílzin , éí Bóhólníihii binaalye'é da'ílíinii ahi'níiłjį' nidahohjááh .
6:6:020:0	Áko nááda'iiłniihii éí deenásts'aa' bidee' bee í'dílzoołí yee ádadííniidgo Ízrel dine'é hadadeeshghaazh . Ákódzaago éí deenásts'aa' bidee' bee í'dílzoołí diists'ą́'ígíí deidiizts'ą́ą'go t'áá áko ayóó át'éego hadadeeshghaazhgo kin haal'áhígíí ditą́ągo binaa ahéé'ítł'inii naa'adahałdaasgo éí bitis gó'ąą Ízrel dine'é łá'í nítínígo t'áá k'éhézdon yah ííjéé' , áko kin haal'áhígíí deisná .
6:6:021:0	Áko kin haal'áhígi dahólónígíí , diné áádóó asdzání ániid nidaakaii áádóó hadaastihii , béégashiida , dibéda índa téliida ts'ídá ałtso diltłish yee ádeisdįįd .
6:6:022:0	Áko Jáshowa éí diné nidilt'éego kéyah hayíísidígíí ábizhdííniid , Nihílááh , asdzání ałjiłnii bighan góne' yah ooh'aashgo áádę́ę́' bił ch'ínóhkááh ; bik'éí t'áá ałtso t'áá bił bich'į' bee ádee hadoohdzí'ígíí bi'ohłééh .
6:6:023:0	Áko dinééh naalchi'í nilį́į́ nít'é'ígíí yah íí'áazhgo áádę́ę́' Réíhab bił níjíkai , bizhé'é áádóó bimá áádóó yił háájéé' índa bik'éí t'áá ałtso bił níjíkai , áádóó bik'éí danilíinii t'áá ałtso dah deidii'eezhgo Ízrel dine'é dah yinéłígíí bíighahgi nideizh'eezh .
6:6:024:0	Áko kin haal'áhígíí áádóó bii' dahólónígíí ałtso adeideesk'ą́ą́' ; t'áá hazhó'ó béésh łigaii áádóó óola áádóó béésh łitsoii índa béésh nitł'izii bee łeets'aa' ádaalyaii t'éiyá éí Bóhólníihii bikin biyi' naalye'é da'ílíinii ahi'nííł góne' yah adajizhjaa' .
6:6:025:0	Nidi Jáshowa éí Réíhab ałjiłnii nilíinii áádóó bizhé'é bighandóóígíí índa bik'éí t'áá ałtso dahináa doo biniyé yisdájíínil , áko díí jį́įjį' Ízrel dine'é bitahgi kéédahat'į́ , háálá Jáshowa éí naalchi'í nidilt'éego Jériko kin haal'áii haidoosił biniyé nidzis'a'ígíí néidees'į́į́' .
6:6:026:0	Áko íídą́ą́' Jáshowa éí hazhó'ó diné bizhníłnii'go ábijiní , Bóhólníihii binááł hóyée'go diné ła' bá ha'doodzih , háálá díí Jériko kin haal'áii áńjídlééh . Éí díí kin haal'áhígíí bitł'ááh nástł'iní nídzíztł'ingo haye' alą́ąjį' yizhchínígíí hats'ą́ą́' dadootsaa ł , áádóó kin haal'áii bidáń'dítį́į́h áńjiidlaago haye' akéédę́'ígíí hats'ą́ą́' dadootsaał .
6:6:027:0	Áko Bóhólníihii éí Jáshowa yił hólǫ́ǫ́ nít'éé' , áádóó éí kéyah biyi'góó t'áá át'éé nít'éé' bééhózínígo tádííyá .
