6:15:001:1	Yáá'iilt'e' bik'ehgo Júdah dine'é kéyah baa deet'ą́
6:15:041:0	Gedíírath , Beth-déígan , Néíyamah índa Makíídah ; éí bikin dah naazhjaa'ígíí t'áá bił haastą́'áadahgo kin hadaas'áhígíí ałdó' Júdah dine'é bíí' daazlį́į́' .
6:15:042:0	Áádóó Líbna , Ííther , Éíshan ,
6:15:043:0	Jífta , Áshna , Níízib ,
6:15:044:0	Kii'áílah , Ákzib índa Maríísha ; éí bikin dah naazhjaa'ígíí t'áá bił náhást'éigo kin hadaas'áhígíí Júdah dine'é bíí' daazlį́į́' .
6:15:045:0	Áádóó Ékran kin haal'áii , bikin dah naazhjaa'ígíí t'áá bił ;
6:15:046:0	Ékrandóó tónteel siyíníjį' , t'áá át'é Áshdad kin haal'áii bíighahgóó éí bikin dah naazhjaa'ígíí t'áá bił .
6:15:047:0	Áshdad kin haal'áii , bikin dah naazhjaa'ígíí t'áá bił ; Géíza kin haal'áii , bikin dah naazhjaa'ígíí t'áá bił ; Ííjip tó nílíníjį' índa ayóó át'é tónteel siyínígíí bibąąhgóó kin naazhjaa'ígíí t'áá bił Júdah dine'é bíí' daazlį́į́' .
6:15:048:0	Áádóó dziłgo nahaz'ánígóó kin hadaas'áii kódahoolyé : Shéímer , Játer , Sóko ,
6:15:049:0	Dána , Kírjath-sána , t'áá éí Dííber hoolyé ,
6:15:050:0	Éínab , Éshtiimoh , Éínim ,
6:15:051:0	Góshen , Hólan índa Gáílo ; éí bikin dah naazhjaa'ígíí t'áá bił ła'ts'áadahgo kin hadaas'áhígíí Júdah dine'é bíí' daazlį́į́' .
6:15:052:0	Áádóó Árab , Dúmah , Éshiyan ,
6:15:053:0	Jéínam , Beth-tapúwah , Afííkah ,
6:15:054:0	Hámtah áádóó Kírjath-árba , t'áá éí Hííbran hoolyé índa Záíyor ; éí bikin dah naazhjaa'ígíí t'áá bił náhást'éigo kin hadaas'áhígíí Júdah dine'é bíí' daazlį́į́' .
6:15:055:0	Áádóó Méíyan , Kármel , Zif , Játah ,
6:15:056:0	Jézriyel , Jákdiyam , Zanówah ,
6:15:057:0	Kéin , Gíbiyah índa Tímnah éí bikin dah naazhjaa'ígíí t'áá bił , t'áá éí neeznáá kin hadaas'áhígíí Júdah dine'é bíí' daazlį́į́' .
6:15:058:0	Áádóó Hálhal , Beth-zer , Gíídar ,
6:15:059:0	Méíyarath , Beth-ánath índa Éltiikan ; éí bikin dah naazhjaa'ígíí t'áá bił hastą́ągo kin hadaas'áhígíí Júdah dine'é bíí' daazlį́į́' .
6:15:060:0	Áádóó Kírjath-béíyal , t'áá éí Kírjath-jíyarim hoolyé índa Rábah ; éí bikin dah naazhjaa'ígíí t'áá bił naakigo kin haal'áhígíí ałdó' Júdah dine'é bíí' silį́į́' .
6:15:061:0	Áádóó honoojíidi Beth-áraba , Mídin , Siikéíkah ,
6:15:062:0	Níbshan áádóó Áshįįh kin haal'áii índa Engíídai ; éí bikin dah naazhjaa'ígíí t'áá bił hastą́ągo kin hadaas'áhígíí ałdó' Júdah dine'é bíí' daazlį́į́' .
6:15:063:0	Nidi Júdah dine'é éí Jííbas dine'é Jerúsalem kin haal'áagi kéédahat'ínígíí baa ch'ídahidoojahígíí doo yídaneel'ą́ą da ; éí bąą díí jį́įjį' Jííbas dine'é éí Júdah dine'é yił Jerúsalem kin haal'áagi kéédahat'į́ .
