40:26:001:0	And it came to pass , when Jesus had finished all these sayings , he said unto his disciples ,
40:26:041:0	Watch and pray , that ye enter not into temptation : the spirit indeed is willing , but the flesh is weak .
40:26:042:0	He went away again the second time , and prayed , saying , O my Father , if this cup may not pass away from me , except I drink it , thy will be done .
40:26:043:0	And he came and found them asleep again : for their eyes were heavy .
40:26:044:0	And he left them , and went away again , and prayed the third time , saying the same words .
40:26:045:0	Then cometh he to his disciples , and saith unto them , Sleep on now , and take your rest : behold , the hour is at hand , and the Son of man is betrayed into the hands of sinners .
40:26:046:0	Rise , let us be going : behold , he is at hand that doth betray me .
40:26:047:0	And while he yet spake , lo , Judas , one of the twelve , came , and with him a great multitude with swords and staves , from the chief priests and elders of the people .
40:26:048:0	Now he that betrayed him gave them a sign , saying , Whomsoever I shall kiss , that same is he : hold him fast .
40:26:049:0	And forthwith he came to Jesus , and said , Hail , master ; and kissed him .
40:26:050:0	And Jesus said unto him , Friend , wherefore art thou come ? Then came they , and laid hands on Jesus , and took him .
40:26:051:0	And , behold , one of them which were with Jesus stretched out his hand , and drew his sword , and struck a servant of the high priest's , and smote off his ear .
40:26:052:0	Then said Jesus unto him , Put up again thy sword into his place : for all they that take the sword shall perish with the sword .
40:26:053:0	Thinkest thou that I cannot now pray to my Father , and he shall presently give me more than twelve legions of angels ?
40:26:054:0	But how then shall the scriptures be fulfilled , that thus it must be ?
40:26:055:0	In that same hour said Jesus to the multitudes , Are ye come out as against a thief with swords and staves for to take me ? I sat daily with you teaching in the temple , and ye laid no hold on me .
40:26:056:0	But all this was done , that the scriptures of the prophets might be fulfilled . Then all the disciples forsook him , and fled .
40:26:057:0	And they that had laid hold on Jesus led him away to Caiaphas the high priest , where the scribes and the elders were assembled .
40:26:058:0	But Peter followed him afar off unto the high priest's palace , and went in , and sat with the servants , to see the end .
40:26:059:0	Now the chief priests , and elders , and all the council , sought false witness against Jesus , to put him to death ;
40:26:060:0	But found none : yea , though many false witnesses came , yet found they none . At the last came two false witnesses ,
40:26:061:0	And said , This fellow said , I am able to destroy the temple of God , and to build it in three days .
40:26:062:0	And the high priest arose , and said unto him , Answerest thou nothing ? what is it which these witness against thee ?
40:26:063:0	But Jesus held his peace . And the high priest answered and said unto him , I adjure thee by the living God , that thou tell us whether thou be the Christ , the Son of God .
40:26:064:0	Jesus saith unto him , Thou hast said : nevertheless I say unto you , Hereafter shall ye see the Son of man sitting on the right hand of power , and coming in the clouds of heaven .
40:26:065:0	Then the high priest rent his clothes , saying , He hath spoken blasphemy ; what further need have we of witnesses ? behold , now ye have heard his blasphemy .
40:26:066:0	What think ye ? They answered and said , He is guilty of death .
40:26:067:0	Then did they spit in his face , and buffeted him ; and others smote him with the palms of their hands ,
40:26:068:0	Saying , Prophesy unto us , thou Christ , Who is he that smote thee ?
40:26:069:0	Now Peter sat without in the palace : and a damsel came unto him , saying , Thou also wast with Jesus of Galilee .
40:26:070:0	But he denied before them all , saying , I know not what thou sayest .
40:26:071:0	And when he was gone out into the porch , another maid saw him , and said unto them that were there , This fellow was also with Jesus of Nazareth .
40:26:072:0	And again he denied with an oath , I do not know the man .
40:26:073:0	And after a while came unto him they that stood by , and said to Peter , Surely thou also art one of them ; for thy speech bewrayeth thee .
40:26:074:0	Then began he to curse and to swear , saying , I know not the man . And immediately the cock crew .
40:26:075:0	And Peter remembered the word of Jesus , which said unto him , Before the cock crow , thou shalt deny me thrice . And he went out , and wept bitterly .
