3:7:001:0	Díí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii bee haz'áanii át'é: éí ts'ídá aláahgo dílzinii át'é. 
3:7:021:0	Náá'áłdó' ła' t'áá ha'át'íhída baa'ihii bíhizhdéé'náa'go éí diné bííłchxǫ'ii, doodaii' naaldlooshii yíchxǫ'ii, doodaii' ha'át'íhída yíchxǫ'go baa'ihiigi ádaat'éii yénáyáago éí atsį' náádahidoonihii hózhǫ́ǫ́jí nááhaaznii'ii Bóhólníihii bíhígíí jííyą́ą'go hodine'é bits'ą́ąjį' hodi'yoolyééł. 
3:7:022:0	Áádóó Bóhólníihii éí Mózes ííłní, 
3:7:023:0	Ízrel dine'é bich'į' handziihgo ábidiní, Béégashii, doodaii' dibé, doodaii' tł'ízí bik'ah t'ááká daoyą́ą́' lágo. 
3:7:024:0	Naaldlooshii t'áá bíni'dii daaztsáanii índa naaldlooshii ałchinii nibiisdláadii bik'ah t'áá ha'át'íhída biniyé chodaoł'į́į doo, nidi ts'ídá t'ááká daoyą́ą́' lágo. 
3:7:025:0	T'áá háiida naaldlooshii bik'ahígíí jííyą́ą'go, jó, ak'ah náádahaniihii Bóhólníihii yich'į' náádayiiłniih ł eh; éí ak'ah jííyą́'ígíí hodine'é bits'ą́ąjį' hodi'yoolyééł. 
3:7:026:0	Náá'áłdó' tsídii, doodaii' naaldlooshii dabidiłígíí kéédahoht'į́įgi t'ááká daoyą́ą́' lágo. 
3:7:027:0	T'áá háiida éí t'áá ha'át'íhída bidił jííyą́ą'go éí hodine'é bits'ą́ąjį' hodi'yoolyééł.  
3:7:028:0	Áádóó Bóhólníihii éí Mózes ííłní, 
3:7:029:0	Ízrel dine'é bich'į' handziihgo ábidiní, T'áá háiida éí náádahaniihii hózhǫ́ǫ́jí nááhániihii át'éego Bóhólníihii bich'į' náájiiłniihgo éí nááhániihii ła' Bóhólníihii baazhdidoo'áałgo hózhǫ́ǫ́jí nááhániihii át'éego náájiiłniih doo. 
3:7:030:0	Bóhólníihii bich'į' didlidgo náájiiłniihígíí t'áá hó níjíjih doo; ak'ah éí ajéíts'iin bił níjíjih doo; áko náásee bił nídi'dilnihgo nááhániihii Bóhólníihii binááł náájiiłniih doo. 
3:7:031:0	Áko náá'iiłniihii éí ak'ahígíí bikáá' náá'iiniihí yikáa'jį' néidiłi' doo, nidi ajéíts'iinígíí éí Éran áádóó biye'ké daabí doo. 
3:7:032:0	Ajáád nish'náájíígíí éí náá'iiłniihii baa nánítį́į́h; éí bił dah nídi'diilnihgo nááhidoonihii hózhǫ́ǫ́jí nááhániihii át'ée doo. 
3:7:033:0	Éran biye'ké ła' náádi'yoołnihgo éí hózhǫ́ǫ́jí nááhániihii bidił áádóó bik'ah nááyiiłniihgo éí ajáád nish'náájíígíí t'áá bí doo. 
3:7:034:0	Jó, ajéíts'iin náásee bił nídi'dilnihígíí áádóó ajáád bił dah nídi'diilnihígíí éí hózhǫ́ǫ́jí nááhániihii łahdóó át'éego Ízrel dine'é bits'ą́ą́' náádiish'niłgo, náá'iiłniihii Éran áádóó biye'ké baa nídísh'áahgo éí bee nihoní'ą́ągo ahóyéel'áágóó Ízrel dine'é bitahgi ákót'ée doo. 
3:7:035:0	Éran áádóó biye'ké ak'ah hak'i yadaadziidgo daho'doolzį́į'ii baa hidit'aahígi át'éego Bóhólníihii bich'į' didlidgo náádahaniihii bits'ą́ą́dóóígíí nááyiisnii'ígíí bijį́į́dą́ą́' Bóhólníihii bá nidajil'a'go náá'iiłniihii dajílį́į doo. 
3:7:036:0	Éí Bóhólníihii yee haadzíi'ii bik'ehgo Ízrel dine'é baa deideez'ą́ągo ak'ah yee hóósį́į'go nihonínil bijį́į́dą́ą́' yee nihoní'ą́ągo ahóyéel'áágóó náás ahijoolchíił doo. 
3:7:037:0	Éí lá bee haz'áanii át'é ni: didlidgo nááhániihii, ak'áán nááhániihii, ádił ni'iidzííhjí nááhániihii, doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii, diyingo bits'ąą hasti'go nááhániihii, áádóó nááhidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'é. 
3:7:038:0	Díí kót'éego Dził Sáínaigi Bóhólníihii éí Mózes yich'į' yee haadzíí'; t'áá éí bijį́ Ízrel dine'é bich'į' hadzoodzíi'go Sáínai honoojíigi Bóhólníihii yich'į' nááda'iiłniih doo.
