48:3:001:1	Gwik'iinjigwiighit akwat Moses Va-law Haa
48:3:011:0	Jii gaanandaii , duuyeh dinjii ch'ihłak gaa Law zhit deegwinyąą gwizhrįh ahaa gwiizhit Vit'eegwijyąhchy'aa haa ahaa t'oonchy'aa . Dęhtły'aa Choh zhit jii jyaa t'igwinyąą geh'an , “ Juu Vit'eegwijyąhchy'aa haa gwik'iinjigwiighit zhrįh di'įį ąįįt'ee łyaa gweheendaii . ”
48:3:012:0	Gaa Law zhit jyaa digwehee'yaa gwinyąą ąįį gwik'injigwiighit nilii kwaa . Jii ąįį Dęhtły'aa Choh kat jyaa t'igwinyąą , “ Juu Vit'eegwijyąhchy'aa va-law datthak k'eegwahthat t'ee khit geenjit giizhit gweheendaii . ”
48:3:013:0	Gaa Christ diidehk'it niindhat , diikhwan Law khų' k'eegwarahthat geh'an . Dęhtły'aa Choh kat jyaa t'igwinyąą , “ Juu oo'at gwa'an geedzeerahchįį t'ee Vit'eegwijyąhchy'aa yitr'ii'ee k'it t'inchy'aa . ”
48:3:002:1	Law chan ts'ą' Vit'eegwijyąhchy'aa Diineenjit Deeshi'yaa Diinaiinyą' Haa
48:3:014:0	Christ jyaa diizhik t'ee Vit'eegwijyąhchy'aa ąįį Abraham neenjit deeshi'yaa ąįįnyą' ąįį Christ Jesus Vik'iighai' Israel gwich'in nilii kwaa nąįį intł'eeyehee'aa eenjit t'igwiizhik , ąįįts'ą' diikhwan diigwik'iinjigwiighit k'iighai' Ch'anky'aa Shroodiinyąą , Vit'eegwijyąhchy'aa diinantł'eehee'aa diinaiinyą' chy'aa tr'ooheendal geenjit .
48:3:015:0	Shachaa nąįį , jii gwik'it t'igwiizhik t'igwinyąą : dinjii neekwaii dęhtły'aa kat dagoozhri' dagaantł'oo ts'ą' jyaa t'igweheechy'aa nihłagaiinyą' ji' duuyeh ch'izhii dinjii ąįį dęhtły'aa kat gihłeegwihilii akwat duuyeh yakat neech'adantł'oo t'agwarahnyąą .
48:3:016:0	Ąįįts'ą' Vit'eegwijyąhchy'aa ąįį Abraham chan ts'ą' yalak haa eenjit deeshi'yaa ąįįnyą' dąį' jii ąįį jyaa nyąą kwaa , “ Valak nąįį chan , ” ąįįt'ee lęįį nąįį t'arahnyąą kwaa . Jii ąįį jyaa nyąą t'inyąą , “ Nalak ąįį goots'ą' , ” ąįįt'ee ch'ihłak zhrįh t'arahnyąą , ąįįt'ee Christ .
48:3:017:0	Jii jyaa dihnyąą t'ihnyąą : Vit'eegwijyąhchy'aa diineenjit deehee'yaa diinaiinyą' it'ee łyaa gwik'it gweheelyaa t'inyąą . 430 years gwiindhat ąįįtł'ęę Moses va-law goodlit dąį' , ąįį duuyeh ch'ijuk needigiiyantł'oo ts'ą' Vit'eegwijyąhchy'aa diineenjit deehee'yaa nyąą duuyeh łaahnaii t'agwarahnyąą .
48:3:018:0	Jidii Vit'eegwijyąhchy'aa diinantł'eegwiin'ąįį ąįį Law zhit deegwinyąą geh'an t'iizhik ji' diineenjit deehee'yaa diinaiinyą' ąįį iiheezųų . Ąįįts'ą' izhit geh'an Vit'eegwijyąhchy'aa ąįį Abraham neenjit deeshi'yaa ąįįnyą' gwik'it gweheelyaa gwizhrįh goo'aii .
48:3:019:0	Jaghaii Law diinantł'eegwariin'ąįį gwanlii gǫ' ? Gwiizųų gwitr'it gwanlii ąįį gwizhrįh nagwahaatth'aa eenjit danakhwatł'oo t'inchy'aa . Ąįįts'ą' dahthee yeenii diilak Abraham ts'an deeddhaa nąįį neegoorahaan'yaa gwats'ą' gwizhrįh goo'aii , ąįį Vit'eegwijyąhchy'aa Abraham neenjit deeshi'yaa ahnyąą t'arahnyąą . Zheekat gwich'in nąįį ąįį Vit'eegwijyąhchy'aa eenjit Law k'eega'ak , Moses antł'eegiiyin'ąįį ąįįtł'ęę Moses chan dinjii nąįį intł'eeyiin'ąįį t'arahnyąą .
48:3:003:1	Vit'eegwijyąhchy'aa Jidii Eenjit Law Iłtsąįį
48:3:020:0	Gaa Vit'eegwijyąhchy'aa ąįį Abraham neenjit deeshi'yaa ąįįnyą' dąį' adakhai' yintł'eeyiin'ąįį , Moses , akwat zheekat gwich'in giiyeenjit ginkhii gwat'aahchy'aa kwaa .
48:3:021:0	Vit'eegwijyąhchy'aa va-law chan ts'ą' Vit'eegwijyąhchy'aa diineenjit deehee'yaa diinaiinyą' haa nihłehjuk t'oonchy'aa lee t'inyąą ? Nakwaa , jyaa nyąą t'inyąą kwaa . Law zhit deegwinyąą izhit gwik'it dinjii tr'inlii ji' , ąįį Law zhit Vit'eegwijyąhchy'aa vaa gwizhrįh naradhat t'ee łi'didlii , gwinyąą t'igwinyąą .
48:3:022:0	Dęhtły'aa Choh kat jii nankat datthak łyaa gwitr'it iizųų gwanlii gwinyąą ąįįts'ą' Vit'eegwijyąhchy'aa diineenjit deeshi'yaa diinaiinyą' ąįįt'ee Jesus Christ vigwik'injigwiighit k'iighai' juu gwik'injiighit nąįį antł'eerehee'aa t'arahnyąą .
48:3:023:0	Jii gwik'iinjigwiighit gweheelyaa gwats'ą' dąį' Law zhit zheegwaazhrąįį tr'iilk'įį k'it t'oonchy'aa , ąįįt'ee gwik'iinjigwiighit gwizhrįh nagwahaatth'aa gwats'ą' dąį' .
48:3:024:0	Law ąįį Christ vigweheelyaa gwats'ą' dąį' diits'ą' k'eedeegwaadhat inli' geech'ǫąąhtan k'it t'inchy'aa , ąįįt'ee diigwik'iinjigwiighit k'iighai' Vit'eegwijyąhchy'aa vaanareheedhat ji' eenjit .
48:3:025:0	Juk it'ee gwik'iinjigwiighit gwanlii ts'ą' it'ee Law diits'ą' k'eedeegwaadhat kwaa t'inchy'aa .
48:3:026:0	Christ Jesus vik'injuhkhit geh'an Vit'eegwijyąhchy'aa vigii datthak ǫhłįį dhoodlit .
48:3:027:0	Christ vik'it t'ahohchy'aa eenjit Christ zhit chųų nakhwats'an dhidlit t'oonchy'aa .
48:3:028:0	Jews , akwat Jews nilii kwaa nąįį , slaves nilii nąįį , akwat slaves nilii kwaa nąįį , dinjii akwat tr'injaa haa datthak Christ Jesus vaa ch'ihłak k'it t'ohchy'aa .
48:3:029:0	Christ vaa ohdaa ji' Abraham valak ts'an deedhaa ǫhłįį ts'ą' jidii Vit'eegwijyąhchy'aa , Abraham eenjit deeshi'yaa nyąą chy'aa oohohdal .
