24:48:001:1	Mó'ab dine'é bich'į' náasdi áhodoonííł baa hane'
24:48:026:0	Bóhólníihii bik'ijį' jílį́įgo ayóó át'éii ízh'diilyaaígíí bąą Mó'ab bi'iiyíłdlą́ągo bił honiiłdóóh; Mó'ab ałdó' bikwiígíí yii' tádí'néeh doo áádóó diné hándahałt'i' doo. 
24:48:027:0	Ízrel dine'é ts'ídá t'óó bá nahółt'i' nít'éé'. Ízrel dine'éésh da'ni'įįhii bitahgi bi'diiltsą́? T'óó bá nahółt'i'go hodeeshzhiizh yę́ędą́ą́' áádóó wóshdę́ę́' dah na'ílzhiishgo hoolzhiizh. 
24:48:028:0	Mó'ab kéyahgi kéédahoht'íinii kin hadaas'áádóó hah wohkáahgo tséníí'góó kéédahoht'į́ áádóó hasbídí a'áándáa'gi bit'oh áyiił'įįhígi át'éego ída'dołnééh. 
24:48:029:0	Mó'ab be'ashohódli', t'áá íiyisí ádaa ha'niihgo, bee ádaa hodzódli'go, ádoot'į́įgo índa, Shí lą́ą, nízingo deii'nii' ni. 
24:48:030:0	Bóhólníihii kóní, Hashké nídzingo bił náhochxihígíí shił bééhózin, nidi biyooch'íidgo yee ádaa dzódlíii yee doo ła' yidoolíił da. 
24:48:031:0	Éí bąą Mó'ab dine'é baa yínííł nishłį́įgo t'áá aaníí Mó'ab dine'é t'áá ałtso yéego baa yishcha doo; Ker-hííres kin haal'áádóó diné baa yínííł nishłį́įgo dish'níi doo. 
24:48:032:0	Síbmah kin shijaa'dóó ch'il na'atł'o'ii nílíinii, Jéízer kin haal'á bilááh át'éego naa atínídinishdleeh doo; nits'áoz'a' tónteel wónaanígóó adahineesą́ągo Jéízer bitónteel bibąąhjį' nidi nidahineesą́; shį́įgo nineest'ą'ígíí índa ch'il na'atł'o'ii bitoo' bąąh hahas'nii'ígíí éí ni'iiłchxǫǫhii yaatįįh híná. 
24:48:033:0	Mó'ab kéyahgi dáda'ak'ehgóó t'óó ahayóí nida'nt'ą' yę́ędóó bee ił hózhóonii índa baa hózhóonii dah diilyá; ch'il na'atł'o'ii habí'iil'ésígi wáin ádingo áshłaa, áko doo habí'iil'ées da doo índa doo ił hózhónígíí bee hodiwosh doo. 
24:48:034:0	Héshban kin haal'áádóó Iiliyéíleh kin shijaa'jį' t'áá Jéíhaz kin haal'áajį' Nímrim haz'ánígi tó danílíinii nídááltseígíí biniinaa Zó'er kin haal'áádóó Hóranéíyim haz'áníjį' áádóó Égla-shelíshiya haz'áníjį' ayóó át'éego cha hahóół'áa doo. 
24:48:035:0	Áádóó Bóhólníihii ání, Ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaagóó nááda'jiiłniihii índa tsin bijeeh dilidgo łikání halchinii hadiyin dabidi'níinii bich'į' dazhdiłidii éí Mó'ab kéyahgi ádajídingo ádeeshłííł. 
24:48:036:0	Éí bąą tsin bee ída'dilzoołí dadiits'a' nahalingo Mó'ab dine'é bąą shijéí yicha; tsin bee ída'dilzoołí dadiits'a' nahalingo Ker-hííres dine'é bąą shijéí yicha, háálá jit'íinii nishójiyoost'e'ii ásdįįd. 
24:48:037:0	Jó, atsiits'iin t'áá ałtso dadiwolgo ádadoolnííł, dághá t'áá ałtso dahidoogish, yílá t'áá ałtso dadoogish, áádóó aníí' gónaa tł'oh yishbizh bik'i daasti' doo. 
24:48:038:0	Mó'ab kéyahgi kin dabighą́ą́'góó t'áá át'é índa kintaa da'aztiingóó diné yínííł danilį́įgo daacha doo, háálá łeets'aa' doo jiniizį́į́'góó nidziizti'ígi át'éego Mó'ab nehéti', ní Bóhólníihii. 
24:48:039:0	Dooládó' Mó'ab nehestǫ' da; dooládó' ák'idadiit'aah da; dooládó' yániizį́į'go t'ą́ąjigo názbaal da, áko Mó'ab t'óó bá nahat'i' doo índa hanaagóó kéédahat'íinii hak'ee bił adahayói doo. 
24:48:040:0	Jó, Bóhólníihii kóní, Ła' éí atsá nahalingo naat'a' doo áádóó Mó'ab yik'ijį' nilį́įgo bit'a' yidoołbał, jó'akon. 
24:48:041:0	Kííriyath kin haal'á éí bi'disnááh áádóó bohoníłdzilgo nahaz'ą́ yę́ęgóó daasná índa éí bijį́įdi Mó'ab dine'é dahayóii dabijéí éí asdzání awéé' bídii'na'go bijéí át'éhígi át'éego bił daayée' doo. 
24:48:042:0	Bóhólníihii bik'ijį' dajílį́įgo Mó'ab dine'é ayóó ádajít'éego ídazh'diilyaaígíí biniinaa doo dine'é dajílį́į da dooleeł biniyé áhodi'dooldįįł. 
24:48:043:0	Mó'ab kéyahgi kééhót'íinii, yéé' áádóó a'áán índa łoh nihik'i dahwiidooleeł, ní Bóhólníihii. 
24:48:044:0	Yéé' bits'ą́ąjį' dashdíníichą́ą'ii éí a'áán góyaa azhdoogoh, áádóó a'áándę́ę́' háájoo'na'ii éí łoh bii' dahizhdidoogááł, háálá Mó'ab dine'é atíhodeeshłíłígíí baa hoolzhiizhgo ádeeshłííł, ní Bóhólníihii. 
24:48:045:0	Dah dadíníichą́ą'ii éí Héshban kin haal'á bichaha'oh biyaagi doo bitah dahwiináágóó naazį́, háálá Héshbandóó kǫ' hadíínóód áádóó Sáíhan kin haal'áádóó kǫ' hadíínóodgo Mó'ab booshk'iizh ałtso yąąh yidííłid áádóó dabitsii' ałtso yiyíízeez. 
24:48:046:0	Mó'ab nílíinii, doo hojooba' ájíníi da. Kíímash diyin bidi'níinii yich'į' nidahałáii ałtso ásdįįd, háálá niye'ké índa nitsi'ké dabi'disná. 
24:48:047:0	Nidi akée'di yoołkáałdi Mó'ab yisnááh danilíinii nahjį' kódeeshłíiłgo daabíí' yę́ę bíí' nídadoodleełgo ádeeshłííł, ní Bóhólníihii. Kónízahjį' Mó'ab dine'é baa hwiidínóot'įįł.
