24:49:001:1	Áman dine'é bich'į' náasdi áhodoonííł baa hane'
24:49:010:0	Íísa éí t'áá łichí'ígo naagháago áshłaa; nínádít'į́į́h yę́ęgóó bááda'díłtsooz, áko doo nídót'į́łígi ádzaa da. Ba'áłchíní índa bik'isóó danilíinii áádóó yił kéédahat'íinii atídaalyaa áádóó hó ałdó' ájídin. 
24:49:011:0	Áłchíní bizhé'é bąąh ádaasdįįdígíí bíni' t'áá ákǫ́ǫ́ nidaakaigo shí baa áháshyą́ą doo, áádóó asdzání bąąh ádahasdįįdii nii' kéédahat'íinii háni'dii shaa dadzólí. 
24:49:012:0	Háálá Bóhólníihii kóní, Jó, doodlį́įłii doo deidoodlį́į́łgóó bá hada'iisdzíi'ii éí t'áá aaníí deidoodlį́į́ł, áko ni daats'í doo atíndi'doolníił da; t'áá atíndi'doolnííł; doodlį́įłii ts'ídá díídlį́į́ł, 
24:49:013:0	háálá t'áá shí ádee hadeesdzíí', ní Bóhólníihii, Bázra kin haal'á t'óó bik'ee ił ahayói doo; t'óó bá nahat'i' doo, kints'iil t'éí hadaas'áa doo, hóyée'go bá ha'oodzíi'go haz'ą́ą doo áádóó kin hadaas'áhígóó t'áá áłahjį' kints'iil t'éí dah naazhjaa'go ahóyéel'áa doo. 
24:49:014:0	Bóhólníihii éí hane' shich'į' áyiilaago diséts'ą́ą́' áádóó ał'ąą dine'é bitahgóó hane' nei'áii eel'a'go kóní, Ahí'áhoohjáahgo bich'į' dohnéehgo bik'iohjeeh. 
24:49:015:0	Jó, ał'ąą dine'é bitahgóó t'áá díkwíigo áádóó dadine'é dani'į́įgo ándeeshłííł. 
24:49:016:0	Tséghą́ą'di tsé binída'astséélgóó kéédahoht'íinii, bee nihádahadzidii índa bee ádaa dadzíínóhdlíii nihina'azlo'; azhą́ atsá bit'oh ííł'ínígi ánízáadi nihit'oh ádaohłaa nidi, áádę́ę́' adanihidiyeeshtł'ił, ní Bóhólníihii. 
24:49:017:0	Íídam kéyah ałdó' t'óó bik'ee ił ahayói doo; ákǫ́ǫ́ yą́ą́h nídadikahii t'áá ałtso bik'ee t'óó bił adahayóigo, Tłehee yéi', daaníigo doo yá'áshónígi áál'įįdii nídeiníl'įįh doo. 
24:49:018:0	Bóhólníihii ání, Sádam áádóó Gomárah kin haal'áii índa binaagóó kin dah naazhjaa'ígíí atélyaa yę́ęgi át'éego diné ła' índa ba'áłchínída doo ła' ákwii kééhat'į́į da doo. 
24:49:019:0	Jó, bidziilgo kééhat'ínígíí bich'į' Jórdan tooh nílínígi hodíłch'iltahdę́ę́' náshdóítsoh bitsiijį' daditł'ooígíí nahalingo hach'į' nídidoodááł, háálá t'áadoo hooyání hats'ą́ąjį' yóó'adoojahgo ádeeshłííł áádóó nídiiltínígíí honiyé nideeshtééł. Háishą' shígi át'é? Háishą' aa hwiinít'į́įjį' ách'ą́ą́h hadeesdzih biniyé shiidoosįįł áádóó háí éí dibé yaa áhályą́ągo shíníłdzil doo? 
24:49:020:0	Éí bąą Bóhólníihii éí Íídam dine'é yinahaz'ánígíí áádóó Tííman kin haal'áagi kéédahat'íinii yinahaz'ánígíí deísółts'ą́ą́': t'áá aaníí, hó áádóó ha'áłchíní t'áá hoł adahodínóołkał; t'áá aaníí kéédahojit'ínígi doo naagháhígóó áhodoolííł. 
24:49:021:0	Hak'eh hodeesdlį́į'go ni' nahaasnáá'; dajichaígíí Tónteel Łichíí'góó nidi hodiists'ą́ą́'. 
24:49:003:1	Damáskas bich'į' náasdi áhodoonííł baa hane'
24:49:022:0	Jó, atsá nahalingo ch'ídoot'ahgo Bázra kin haal'áii yik'ijį' nilį́įgo bit'a' yidoołbał áádóó éí bijį́įdi Íídam dine'é dahayóii dabijéí éí asdzání awéé' bídii'nahgo bijéí át'éhígi át'éego bił daayée' doo. 
24:49:023:0	Damáskas kin haal'á éí kót'ée doo; Héímath kin haal'á áádóó Ákpad kin shijaa' doo yá'áshónígi át'éégóó dayíínii'ígíí bąą t'óó baa yáhásinígi áho'diilyaa, áko bąąh nidahazkaad. Tónteel doo hasht'edit'eehii nahalingo doo hasht'edadit'eeh da. 
24:49:024:0	Damáskas éí yee ák'idooldziłii bee ásdįįd; yóó'adoolwoł yiniyé náhaayáago neesyiz. Asdzání i'niiłchínígi át'éego bił hodiniihgo yínííł nilį́. 
24:49:025:0	Dooládó' kin haal'áago baa shił hózhónígíí éí t'áadoo bik'i honoodzood da. 
24:49:026:0	Éí bąą hakin haal'áagi kintah da'nítiingóó hadine'é ániid nidaakaii daninéego naa'ahidínóodah. Áádóó éí jínígíí biyi' diné nidaabaahii t'áá ałtso nidadootsił, ní t'áá ałtsoní bee Bóhólníihii. 
24:49:004:1	Kíídar dine'é áádóó Héízar dine'é bich'į' náasdi áhodoonííł baa hane'
24:49:027:0	Áádóó Damáskas ditą́ągo binaa ahéé'ítł'inii bohodideeshniłgo Ben-héídad wolyéii bibine' na'adzi'ii adidook'ą́ą́ł. 
24:49:028:0	Kíídar dine'é índa Héízar dine'é bee bóhólníihgo nahaz'áanii éí Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar yik'eh deesdlį́į'ii íídą́ą́' Bóhólníihii haa halne'go kóní, Hasht'e'ádadołnéehgo ha'a'aahjigo Kíídar dine'é kéédahat'íinii atínílééh. 
24:49:029:0	Dahaníbaal adeidiyoojih áádóó nidazhniłkaadii adeidínóołkał índa dáń'dazhdiłbałii áádóó dahaleets'aa' áádóó dahaghą́ą́'ask'idii ałtso ádá shódeidoołt'eeł, áádóó haatįįh yínáago, T'áá ałtsodę́ę'go yéé' hólǫ́! dahałníi doo. 
24:49:030:0	Héízargi kéédahoht'íinii, yóó'anoohdzoodgo nízaadgóó yóó'adahołyeed; tsédaaníí'góó nídadoht'įįh, háálá Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar nihinahaz'ą́ áádóó nihinahazgiz, ní Bóhólníihii. 
24:49:031:0	Hasht'e'ádílnéehgo diné da'at'íinii t'áadoo bida'diił'áhígóó kéédahat'íinii bich'į' dínééh; t'áá sahdii kéédahat'į́įgo doo dáń'daditį́įh da índa doo bich'ą́ą́h dáń'dadilkał da, ní Bóhólníihii. 
24:49:032:0	Dabighą́ą́'ask'idii éí bąąh nida' aztseedii dadooleeł índa dabibéégashii éí bąąh da'oogą́ą́' dooleeł áádóó dabitsii' bibąąhgóó nídeishihii tadahwiidínéeshkał áádóó atídahodoolíiłii t'áá ałtsodę́ę́' haatįįh dadookahgo ádeeshłííł, ní Bóhólníihii. 
24:49:005:1	Íílam dine'é bich'į' náasdi áhodoonííł baa hane'
24:49:033:0	Héízargi éí mą'ii dabi'áan doo áádóó hool'áágóó doo naagháhí da doo. Diné doo ła' ákwe'é índa ba'áłchíní doo ła' ákwii kééhat'į́į da doo. 
24:49:034:0	Júdah dine'é aláahgo binanit'a'í Zedekáíyah t'óó hodeesáá' yę́ędą́ą́' Bóhólníihii éí Íílam dine'é, Kót'ée dooleeł, níigo Diyin God yá halne'ii Jeremáíyah yich'į' haadzíi'go kóní, 
24:49:035:0	T'áá ałtsoní bee Bóhólníihii kóní, Íílam dine'é be'ałtį́į́' éí agháago bee bidziilii k'ídeeshtih, jó'akon. 
24:49:036:0	Áádóó Íílam dine'é éí t'áá dį́į́'dę́ę́' hach'į' daníyolgo ádeeshłíiłgo t'áá dį́į́'góó hoł taidooyoł. Áádóó Íílam dine'é ch'íneelkaadii éí ał'ąą dine'é t'áá ałtso bitahgóó tadzooswod doo. 
24:49:037:0	Íílam dine'é éí bida'ana'í dabinááł índa dabidooghą́ąłii dabinááł nitsidaakaigo ádeeshłííł áádóó t'óó báhádzidgo sháhóóchįįdígíí bee doo yá'áshónígi áhodeeshłííł. Ałtso áhoséłdįįdjį' diltłish hakéé' deesh'aał, ní Bóhólníihii. 
24:49:038:0	Áádóó Íílam kéyahgi shibikáá'dóó nahat'áii nideesh'ááł, áko áádóó aláahgo naat'áanii índa naat'ánii danilíinii áhodeeshdįįł, ní Bóhólníihii. 
24:49:039:0	Nidi akée'di yoołkáałdi díí baa hodoolzhish: Íílam dine'é yisnááh danilíinii nahjį' kódeeshłíiłgo daabíí' yę́ę bíí' nídadoodleełgo ádeeshłííł, ní Bóhólníihii.
