24:27:001:1	Azéédéetání binahjį' na'nitinii
24:27:013:0	Bóhólníihii kóníigo haadzíí', T'áá háiida dine'é éí Bábilan dine'é aláahgo binanit'a'í doo yá nidaal'a'ii éí diltłish bee, dichin bee, naałniih bee dadínóonééł. Ha'át'íísh biniyé ni áádóó nidine'é ákót'éego dadínóohnééł? 
24:27:014:0	Éí bąą áhodoonííł yaa dahalne'ii, Bábilan dine'é aláahgo binanit'a'í doo bá nidadoołnish da, danihiłníigo éí bizaad t'áadoo bá deísółts'ą́'í, háálá dabiyooch'íidgo nihił dahalne'. 
24:27:015:0	Háálá éí doo dááł'aad da, nidi shízhi' dayózhíigo t'áá áhoodzaagóó nihił dahalne', áko nihí áádóó áhodoonííł yaa dahalne'ii t'áá bił ch'ínihidínéeshkał áádóó ádadoohdįįł. 
24:27:016:0	Nááda'iiłniihii índa díí diné t'áá ałtso ałdó' bich'į' haasdzíi'go kódíshní, Bóhólníihii kóní, Áhodoonííł yaa dahalne'ii nihił dahalne'go, Bóhólníihii bikin bii' sohodizindóó łeets'aa' t'óó hodíína'go Bábilan kéyahdę́ę́' nídoojih, jó'akon, danihiłníigo t'áadoo bá deísółts'ą́'í, háálá dabiyooch'íidgo nihił dahalne'. 
24:27:017:0	T'áadoo bá deísół ts'ą́'í; Bábilan dine'é aláahgo binanit'a'í bá nidaoł'a', áko dahinohnáa doo. Ha'át'íísh biniyé díí kin haal'áhígíí kints'iil t'éiyá naazhjaa'go álnéeh doo? 
24:27:018:0	Nidi t'áá aaníí, Diyin God yá halne'ii dajílį́įgo áádóó Bóhólníihii bizaad hoł dahólǫ́ǫ́ ládą́ą́' Bóhólníihii bikin bii' sohodizin góne' łeets'aa' sinilígíí áádóó Júdah dine'é aláahgo binanit'a'í bikin góne' łeets'aa' sinilígíí índa Jerúsalem kin haal'áagi łeets'aa' sinilígíí doo Bábilangóó doojih da, dajiníigo t'áá ałtsoní bee Bóhólníihii nídeizhdookąął. 
24:27:019:0	Háálá áyah nii'áii, áádóó bii' tá'ádígisí nitsaaígíí, áádóó bii' tá'ádadigisí bá naaznilígíí, índa kin haal'áagi łeets'aa' t'áá ákǫ́ǫ́ nidahaas'nilii t'áá ałtsoní bee Bóhólníihii éí kót'éego yaa haadzíí'. 
24:27:020:0	Éí Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar éí Júdah dine'é aláahgo binanit'a'í Jiihóíyakim biye' Jekonáíyah yisnáago áádóó Júdah kéyahdóó bídahólníihii índa Jerúsalemgi bídahólníihii t'áá ałtso Jerúsalemdóó Bábilangóó iinííłkaad yę́ędą́ą́' łeets'aa' daadzí'ígíí t'áadoo dahidiijaa' da. 
24:27:021:0	T'áá aaníí, Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii éí Bóhólníihii bikin bii' sohodizin góne' áádóó Júdah dine'é aláahgo binanit'a'í bighan góne' índa Jerúsalem kin haal'áagi łeets'aa' t'áá ákǫ́ǫ́ nidahaas'nilii kót'éego yaa haadzíi'go kóní, 
24:27:022:0	Éí łeets'aa' Bábilangóó doojih baa nanítą́ą'jį' áadi sinil doo, áádóó índa áádę́ę́' ch'éédeeshjihgo kwe'é ninádeesh'nił.
